EpThisIter,loss_kl,TimeElapsed,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,TimestepsSoFar,EpRewMean,loss_vf_loss
7,0.029959,384.8982095718384,0.0,0.986190567724,-0.0479361,2170,3.93948,269.0,378826,899.073414618,42.413
7,0.0294949,386.96360182762146,0.0,0.992569733877,-0.0591463,2177,3.89854,273.18,380924,913.485044728,11.9646
8,0.0245761,389.0294225215912,0.0,0.994457327295,-0.0607725,2185,3.85223,274.01,382959,918.337042962,13.7063
8,0.0261155,391.101469039917,0.0,0.993313563988,-0.0562421,2193,3.80933,270.74,384881,908.109438394,20.131
7,0.029895,393.17870235443115,0.0,0.99562898837,-0.0528203,2200,3.77383,271.16,386902,911.490525596,11.9812
8,0.0246635,395.2344846725464,0.0,0.997185403481,-0.0577264,2208,3.72503,271.76,389101,915.061241492,9.22019
8,0.025122,397.3039536476135,0.0,0.993400520179,-0.0535187,2216,3.69759,269.17,391090,905.266115334,17.1328
6,0.0261822,399.3817844390869,0.0,0.996693179477,-0.0554121,2222,3.66098,272.49,393083,918.919197834,10.0989
7,0.0263314,401.4446687698364,0.0,0.99587883288,-0.0450363,2229,3.60147,273.52,395128,923.883397079,11.1273
8,0.029344,403.5078513622284,0.0,0.992767006624,-0.0596112,2237,3.57359,271.59,397134,919.327680308,17.374
6,0.0259413,405.5701313018799,0.0,0.992292016279,-0.0505736,2243,3.53328,277.23,399216,940.196230869,20.8433
6,0.0284015,407.65122747421265,0.0,0.995235482231,-0.0513029,2249,3.50728,276.67,400906,937.276036782,15.0006
7,0.0264887,409.71388721466064,0.0,0.997384565184,-0.0586275,2256,3.50925,284.82,403438,968.027771909,7.88348
5,0.0273825,411.79696702957153,0.0,0.995464629959,-0.0491765,2261,3.47121,289.56,405322,987.643712452,10.5377
7,0.0279328,413.85117387771606,0.0,0.994901467115,-0.0569522,2268,3.44997,292.65,407523,1000.2959997,17.4788
7,0.0303425,415.9134557247162,0.0,0.991164088249,-0.0487093,2275,3.41825,293.12,409570,1001.47410217,22.5532
6,0.0253662,417.99196910858154,0.0,0.987929125316,-0.052475,2281,3.40916,293.57,411394,999.506822458,17.6894
5,0.0306996,420.05427742004395,0.0,0.993405716028,-0.0549394,2286,3.40926,304.14,413630,1035.25440786,18.3122
7,0.0258963,422.1336238384247,0.0,0.966962162405,-0.0496409,2293,3.41112,308.21,415702,1046.03273899,61.8044
5,0.0295739,424.1950566768646,0.0,0.994132644497,-0.0518168,2298,3.36839,311.71,417567,1058.07145917,12.2706
6,0.0245604,426.2567067146301,0.0,0.985039850697,-0.0457213,2304,3.36641,316.72,419669,1074.18494876,32.7492
6,0.0324686,428.3193953037262,0.0,0.981208335608,-0.0537805,2310,3.35874,323.22,421830,1096.93593784,33.1761
6,0.0290895,430.38202381134033,0.0,0.984310464934,-0.0429477,2316,3.35914,327.38,423828,1110.20008206,41.7934
5,0.031318,432.4602675437927,0.0,0.984856712632,-0.0521756,2321,3.35456,330.56,425683,1119.89012575,39.0195
6,0.033212,434.51260328292847,0.0,0.983958357945,-0.0576534,2327,3.34728,334.54,428025,1134.520084,30.2612
4,0.0301803,436.5935926437378,0.0,0.991569549777,-0.0595742,2331,3.31989,342.39,429938,1160.92900922,18.7444
5,0.029903,438.65627789497375,0.0,0.994372827932,-0.0455159,2336,3.33334,348.91,431721,1183.70780396,17.1089
5,0.0337239,440.7254571914673,0.0,0.99475060124,-0.0550614,2341,3.31168,353.87,433997,1202.06200844,12.758
6,0.0355734,442.790314912796,0.0,0.990117236972,-0.0457404,2347,3.27318,356.9,436038,1211.60576881,23.8822
4,0.0324634,444.85407519340515,0.0,0.9827625826,-0.0451558,2351,3.28865,362.9,437965,1230.98734576,31.8072
4,0.02647,446.921906709671,0.0,0.975243268535,-0.0512291,2355,3.30421,369.28,439990,1251.60973127,35.4434
5,0.0200977,448.991845369339,0.0,0.983078800142,-0.0450838,2360,3.32153,375.09,442290,1268.96950842,25.9617
5,0.0255836,451.05758118629456,0.0,0.992474806029,-0.0444013,2365,3.32238,380.07,444405,1287.85967531,14.4378
2,0.035243,453.1180398464203,0.0,0.763628691435,-0.0230065,2367,3.3144,384.47,445738,1302.27308768,438.881
5,0.0329925,455.197496175766,0.0,0.994849832263,-0.0440734,2372,3.27917,389.57,447709,1320.40547314,10.3175
5,0.0231978,457.28260946273804,0.0,0.977704718709,-0.0381482,2377,3.25498,399.4,450371,1356.76794972,33.3697
6,0.0291163,459.34212255477905,0.0,0.993239833508,-0.0471066,2383,3.24868,401.52,452415,1367.97330654,18.202
5,0.027028,461.42041397094727,0.0,0.996685795486,-0.054244,2388,3.23341,402.82,454519,1376.67354022,12.0826
5,0.0326358,463.4916830062866,0.0,0.996316415956,-0.0554951,2393,3.18558,407.83,456485,1398.92140231,13.483
7,0.0223366,465.5848183631897,0.0,0.995370943099,-0.0547755,2400,3.16384,404.37,458689,1387.3872809,20.135
4,0.034398,467.6343457698822,0.0,0.995784496423,-0.0439427,2404,3.13965,408.46,460515,1402.8770483,12.5891
4,0.0346374,469.7021267414093,0.0,0.992508274037,-0.0442606,2408,3.12068,411.15,462279,1413.31740872,17.2687
7,0.029912,471.7813425064087,0.0,0.995047817007,-0.0547194,2415,3.13098,412.85,464772,1421.97693817,12.5239
9,0.036489,473.8356583118439,0.0,0.995214837603,-0.0367482,2424,3.06337,399.57,466940,1377.22031413,16.5755
7,0.0249401,475.9135775566101,0.0,0.993444506545,-0.0532742,2431,3.04071,390.49,468987,1345.99238788,19.5655
5,0.0385599,477.975919008255,0.0,0.99565143045,-0.0528978,2436,2.97852,392.07,470928,1352.88188218,12.7239
