loss_pol_surr,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_ent,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,TimeElapsed
-0.00831431,3,0.515505492687,0.00344788,0.0,128435,0.987599,853.95,853.95,58.4745,853,101.67190265655518
-0.0107688,2,0.356625854969,0.00637338,0.0,130435,0.989646,853.95,853.95,39.8354,855,103.2591598033905
-0.00731905,2,-0.0188518762589,0.0057005,0.0,132435,0.978184,853.95,853.95,70.2484,857,104.87591886520386
-0.003413,2,-0.0168849229813,0.00446456,0.0,134435,1.00784,853.95,853.95,70.0445,859,106.46948027610779
-0.00749938,2,-0.00457775592804,0.00614381,0.0,136435,0.983976,860.95,860.95,69.6223,861,108.09457516670227
-0.00560163,2,-0.015833735466,0.00593438,0.0,138435,0.983948,860.95,860.95,69.659,863,109.68751931190491
-0.00734203,2,-0.013619184494,0.0114581,0.0,140435,0.97161,860.95,860.95,68.8755,865,111.3281409740448
-0.00481894,2,-0.00354254245758,0.00473545,0.0,142435,0.968971,860.95,860.95,68.6391,867,112.92188620567322
-0.00523533,2,-0.00457322597504,0.00597956,0.0,144435,0.973894,860.95,860.95,68.6197,869,114.53125619888306
-0.00712862,3,0.390181601048,0.00757333,0.0,146822,0.972759,861.34,861.34,74.1677,872,116.14062547683716
-0.00816458,3,-0.068706035614,0.00631268,0.0,149106,0.957318,854.18,854.18,92.5293,875,117.74999642372131
-0.00691082,2,-0.015275478363,0.00766899,0.0,151106,0.948578,854.18,854.18,67.8238,877,119.3442792892456
-0.00730185,2,0.00639522075653,0.00530386,0.0,153106,0.951759,854.18,854.18,63.5224,879,120.95123100280762
-0.00761335,2,0.0109897851944,0.00530433,0.0,155106,0.939046,854.18,854.18,67.6492,881,122.56279301643372
-0.00322332,2,-0.0176731348038,0.00498338,0.0,157106,0.939015,863.34,863.34,68.1091,883,124.15846800804138
-0.00321759,2,-0.00261127948761,0.00389399,0.0,159106,0.958969,874.85,874.85,68.2868,885,125.77499628067017
-0.00569601,2,-0.0044139623642,0.00550293,0.0,161106,0.946442,874.85,874.85,68.2697,887,127.37509799003601
-0.00468506,2,-0.000353455543518,0.00814813,0.0,163106,0.932175,883.35,883.35,68.3432,889,128.98447179794312
-0.00611391,3,0.20476680994,0.00618636,0.0,165818,0.934095,888.42,888.42,69.8112,892,130.60627555847168
-0.0066614,2,0.025817990303,0.00466635,0.0,167218,0.929196,882.42,882.42,49.4565,894,132.2107391357422
-0.00536717,2,0.000755548477173,0.00375612,0.0,169218,0.929598,882.42,882.42,67.149,896,133.83675575256348
-0.00810772,2,0.576797902584,0.00559487,0.0,171218,0.921376,889.1,889.1,38.9543,898,135.47733855247498
-0.00647173,2,0.328752219677,0.00589215,0.0,173218,0.915566,889.1,889.1,55.2108,900,137.17185139656067
-0.00658745,2,0.0158598423004,0.00530844,0.0,175218,0.939621,889.7,889.7,66.4879,902,138.76716208457947
-0.00886854,2,0.0151566267014,0.00853251,0.0,177218,0.919334,898.05,898.05,68.6479,904,140.3904151916504
-0.0026419,3,-0.00787305831909,0.00213572,0.0,180218,0.927088,903.62,903.62,101.701,907,141.9841582775116
-0.00362276,2,0.0506649017334,0.00401356,0.0,182218,0.940249,903.62,903.62,65.8323,909,143.60277676582336
-0.0113592,2,0.916731357574,0.00804812,0.0,183935,0.952921,908.0,908.0,10.1527,911,145.2116413116455
-0.00593966,2,0.00883120298386,0.00401022,0.0,185935,0.934761,910.31,910.31,68.4853,913,146.82623600959778
-0.00657909,2,-0.0449370145798,0.00820771,0.0,187935,0.940859,910.31,910.31,70.7947,915,148.4246048927307
-0.00588465,2,-0.00265145301819,0.00707115,0.0,189935,0.970764,910.31,910.31,70.6018,917,150.0325710773468
-0.00921267,3,-0.000484228134155,0.00882784,0.0,192503,0.960919,905.99,905.99,89.8155,920,151.63659167289734
-0.00597968,2,-0.0605342388153,0.0120855,0.0,194503,0.989288,905.99,905.99,68.936,922,153.26566815376282
-0.00677812,2,0.0641388893127,0.00633301,0.0,196503,0.972902,905.99,905.99,66.4428,924,154.85941410064697
-0.00714171,2,0.0291404128075,0.00629992,0.0,198503,0.986677,905.99,905.99,67.1647,926,156.4624161720276
-0.00235853,2,0.0452769994736,0.00658057,0.0,200503,0.989183,906.42,906.42,65.9468,928,158.08777570724487
-0.00690179,2,-0.0414532423019,0.0104604,0.0,202503,0.984062,923.16,923.16,69.6748,930,159.68927121162415
-0.00364563,2,0.040064573288,0.0106023,0.0,204503,0.993544,939.75,939.75,66.2277,932,161.29688429832458
-0.0110658,3,-0.00130689144135,0.00551939,0.0,206765,0.979331,939.67,939.67,99.772,935,162.9019787311554
-0.00589917,2,0.0242424607277,0.00969566,0.0,208765,0.982557,939.67,939.67,66.5024,937,164.51157331466675
-0.00790013,2,-0.00513565540314,0.00639795,0.0,210765,0.993275,939.67,939.67,62.6708,939,166.10650944709778
-0.00727858,2,0.181264579296,0.00801759,0.0,212165,0.975549,933.67,933.67,52.2686,941,167.71849918365479
-0.00714676,2,0.0424656867981,0.00595259,0.0,214165,0.958401,933.67,933.67,63.3878,943,169.31224370002747
-0.0048544,2,0.0912790298462,0.00387268,0.0,216165,0.964238,933.67,933.67,55.5614,945,170.92161464691162
-0.00546453,2,-0.0244243144989,0.0101148,0.0,218165,0.939106,942.83,942.83,68.1538,947,172.5153603553772
-0.00936496,3,0.0290510058403,0.0065183,0.0,221093,0.926983,949.78,949.78,81.3956,950,174.12127923965454
-0.00648287,2,0.0414638519287,0.00990442,0.0,223093,0.932242,949.89,949.89,63.5653,952,175.72315287590027
-0.00416984,2,0.019272685051,0.00556692,0.0,225093,0.908092,956.58,956.58,67.2982,954,177.33220624923706
-0.00511025,2,0.0212274193764,0.0101134,0.0,227093,0.906722,956.58,956.58,64.6516,956,178.94872522354126
-0.00456639,2,-0.0578656196594,0.00685669,0.0,229093,0.896485,956.58,956.58,68.53,958,180.54192781448364
-0.00796482,2,0.00729870796204,0.00607033,0.0,230793,0.896191,953.58,953.58,59.3347,960,182.1515781879425
-0.0059063,2,-0.0300880670547,0.00700787,0.0,232793,0.890398,953.58,953.58,67.3411,962,183.75405645370483
-0.00816197,2,-0.0491716861725,0.00838791,0.0,234793,0.888881,953.58,953.58,67.1833,964,185.35952806472778
-0.00581284,2,0.00525903701782,0.00744614,0.0,236793,0.899725,953.58,953.58,66.5916,966,186.95685720443726
-0.0131391,2,0.0100648999214,0.010237,0.0,238793,0.911141,953.58,953.58,57.7205,968,188.56721997261047
