EpRewMean,EpThisIter,ev_tdlam_before,loss_pol_entpen,loss_kl,TimeElapsed,TimestepsSoFar,EpLenMean,loss_vf_loss,loss_pol_surr,EpisodesSoFar,loss_ent
6099.94017425,3,0.646553874016,0.0,0.0139642,204.3342559337616,236947,655.45,4460.56,-0.00711925,4555,-0.402901
6035.06051646,4,0.57384327054,0.0,0.00745873,206.08455181121826,239294,648.49,5432.98,-0.00975912,4559,-0.438755
6045.11756675,4,0.550875306129,0.0,0.0191184,207.82013535499573,241555,649.57,4158.88,-0.00929677,4563,-0.434647
6104.24351324,2,-0.0810672044754,0.0,0.0138572,209.58260488510132,243555,655.92,4860.98,-0.00847324,4565,-0.43669
6183.86102955,2,0.36958026886,0.0,0.0415064,211.3563311100006,244897,664.47,3927.52,-0.00605682,4567,-0.437876
6283.1505154,2,-0.00134086608887,0.0,0.0143601,213.10854148864746,246897,675.13,4959.98,-0.00209921,4569,-0.44169
6454.66416401,2,-0.0214861631393,0.0,0.0357626,214.84313297271729,248897,693.54,4987.6,-0.00294138,4571,-0.445455
6542.62392166,3,-0.0204156637192,0.0,0.0130303,216.5975751876831,251897,702.99,7248.12,-0.00811283,4574,-0.421457
6583.72202743,2,0.342601299286,0.0,0.0132587,218.3422167301178,253893,707.41,3955.01,-0.00570767,4576,-0.394463
6443.23761971,3,0.482089698315,0.0,0.0332669,220.07503294944763,255385,692.33,3183.23,-0.00597301,4579,-0.393606
6389.30507774,4,0.623912006617,0.0,0.0172645,221.8104064464569,257828,686.55,5851.68,-0.00977338,4583,-0.404071
6321.80411307,4,0.694307386875,0.0,0.0321327,223.58414101600647,259602,679.31,4198.8,-0.00236988,4587,-0.41119
6366.26675034,2,-0.0775498151779,0.0,0.059608,225.31942462921143,261602,684.09,5149.53,0.00182033,4589,-0.393647
6445.50266359,4,0.565327823162,0.0,0.025216,227.06956720352173,263736,692.6,4344.52,-0.0046568,4593,-0.407836
6380.67779016,4,0.592085182667,0.0,0.0102285,228.80401468276978,266019,685.63,5853.33,-0.00761575,4597,-0.433588
6394.47662794,2,0.00124341249466,0.0,0.0203518,230.56108951568604,268019,687.11,5437.25,-0.00100662,4599,-0.436704
6445.46731443,2,0.529492765665,0.0,0.0416153,232.30598044395447,269938,692.58,3420.6,-0.00227016,4601,-0.449175
6445.45610483,2,0.429185032845,0.0,0.0264571,234.066308259964,271938,692.58,3779.08,-0.00254655,4603,-0.468796
6534.34137476,3,0.465288877487,0.0,0.0213218,235.80116271972656,273662,702.13,5931.33,-0.00404262,4606,-0.471587
6645.77717676,3,0.724031060934,0.0,0.0189904,237.5436236858368,276430,714.1,2408.9,-0.00944135,4609,-0.465073
6693.6209252,3,0.555597811937,0.0,0.0123276,239.27927160263062,278420,719.24,6298.67,-0.00843577,4612,-0.49474
6750.42431258,3,0.581927925348,0.0,0.0454451,241.02849006652832,280159,725.34,3801.01,0.00962075,4615,-0.49578
6833.16555116,2,-0.240200161934,0.0,0.0197962,242.76406621932983,282159,734.23,5667.07,-0.0102219,4617,-0.500098
6869.92923738,2,-0.0734901428223,0.0,0.0116493,244.50611472129822,284159,738.18,5492.41,-0.00461301,4619,-0.497947
