loss_pol_surr,EpLenMean,EpisodesSoFar,loss_ent,loss_kl,TimestepsSoFar,EpThisIter,ev_tdlam_before,TimeElapsed,loss_vf_loss,loss_pol_entpen,EpRewMean
-0.00376506,572.6,4768,-0.482462,0.0293672,265579,3,0.460264980793,230.11561632156372,4202.84,0.0,5332.42158671
-0.00151206,567.93,4771,-0.490289,0.0146107,268112,3,0.15481621027,231.8822922706604,6781.89,0.0,5288.77535675
-0.0115691,569.04,4774,-0.518565,0.0131492,270233,3,0.529839992523,233.63943719863892,4692.69,0.0,5298.77986401
-0.0067374,568.35,4777,-0.527472,0.0413187,271809,3,0.538222312927,235.38912320137024,2469.23,0.0,5292.19422603
-0.014633,584.19,4779,-0.518674,0.0119766,273809,2,-0.104282021523,237.1401653289795,5154.43,0.0,5439.47315881
-0.00985682,601.39,4781,-0.514655,0.0269015,275809,2,-0.0531167984009,238.89043998718262,5182.99,0.0,5599.48859137
-0.0124863,619.15,4783,-0.507074,0.0137243,277792,2,0.408441543579,240.648521900177,3310.6,0.0,5764.79611153
-0.00945972,641.78,4786,-0.504384,0.0111424,280368,3,0.191654086113,242.4064004421234,7137.48,0.0,5975.48423466
-0.00867183,658.61,4788,-0.50058,0.0185236,282368,2,-0.0537232160568,244.1733112335205,5438.14,0.0,6132.18175561
-0.00518126,676.14,4790,-0.499269,0.0247763,284368,2,-0.0412666797638,245.91164588928223,5465.46,0.0,6295.40996412
-0.0151542,687.72,4793,-0.496254,0.0130708,286248,3,0.582208961248,247.67220759391785,2078.77,0.0,6403.12283289
-0.00775568,697.8,4796,-0.486529,0.00907729,288421,3,0.350173652172,249.4244544506073,6330.09,0.0,6496.93078583
-0.0025859,714.51,4798,-0.49004,0.0191552,290421,2,-0.10200047493,251.17667698860168,5608.91,0.0,6652.5313235
-0.0116595,728.39,4801,-0.492512,0.0163166,292235,3,0.629784137011,252.94356441497803,4353.31,0.0,6781.76090121
-0.013039,707.42,4805,-0.503582,0.0150283,294138,4,0.573046296835,254.7033748626709,6353.62,0.0,6586.17900113
0.00937438,705.88,4808,-0.532713,0.0510702,296868,3,0.591920912266,256.45370960235596,4848.45,0.0,6571.55482643
-0.015417,694.26,4812,-0.529406,0.0261996,298907,4,0.446636736393,258.2041747570038,6245.77,0.0,6463.11250942
0.0105095,698.13,4815,-0.546198,0.0980267,300401,3,0.622066557407,259.95805859565735,5163.87,0.0,6499.0158071
-0.00763425,700.07,4817,-0.535138,0.0071926,302401,2,-0.0300145149231,261.7185935974121,5666.68,0.0,6517.04456878
-0.00923703,716.79,4819,-0.538976,0.0133351,304401,2,-0.00270748138428,263.46829986572266,5676.05,0.0,6672.88071584
3.9042e-05,724.14,4821,-0.54945,0.0423616,306401,2,-0.0276291370392,265.2182846069336,5736.75,0.0,6741.41367969
-0.0061058,729.1,4823,-0.544017,0.0172684,308401,2,-0.0242664813995,266.9666600227356,5722.95,0.0,6787.85262605
-0.00605773,744.49,4825,-0.521816,0.0205869,310401,2,-0.00310683250427,268.73124742507935,5733.69,0.0,6931.40077678
-0.00665141,762.88,4827,-0.525341,0.0153919,312401,2,-0.00733041763306,270.4759166240692,5754.71,0.0,7102.82405542
-0.00755592,778.1,4829,-0.521312,0.00983995,314401,2,-0.00464081764221,272.22557282447815,5769.81,0.0,7244.71560523
-0.00821808,782.82,4832,-0.52144,0.00984998,317401,3,-0.004723072052,273.9854345321655,7690.65,0.0,7288.71863521
-0.00419784,783.76,4834,-0.510053,0.0259068,319401,2,-0.000110864639282,275.7477185726166,5782.34,0.0,7297.60977938
-0.00940553,783.23,4837,-0.529837,0.0191416,321485,3,0.197444915771,277.51547861099243,7810.61,0.0,7292.92101725
-0.010665,795.74,4839,-0.532861,0.0182557,323485,2,-0.00189673900604,279.2646052837372,5778.09,0.0,7409.5471424
-0.00583977,806.43,4841,-0.529151,0.022757,325485,2,0.00024288892746,281.0235381126404,5791.5,0.0,7509.39736107
-0.00468372,814.99,4843,-0.53824,0.020719,327485,2,0.000510990619659,282.77970242500305,5802.68,0.0,7589.29824216
-0.00638284,822.21,4845,-0.536753,0.0165622,329485,2,-0.000946283340454,284.54674220085144,5820.34,0.0,7656.75447881
-0.00989312,822.21,4847,-0.520403,0.0121106,331485,2,-0.00286388397217,286.29712557792664,5829.68,0.0,7656.92122149
-0.00869167,815.13,4850,-0.543061,0.00871289,333777,3,0.191195070744,288.04846930503845,7468.01,0.0,7591.0836331
-0.00757243,823.74,4852,-0.529365,0.0133952,335777,2,0.0414006710052,289.80909490585327,3895.68,0.0,7671.4858886
-0.00816945,835.5,4854,-0.522935,0.00837796,337777,2,-0.0162072181702,291.56312012672424,5850.45,0.0,7781.19730255
-0.00514169,839.01,4856,-0.506397,0.0090575,339777,2,-0.00174963474274,293.31278109550476,5862.39,0.0,7814.12025157
-0.00564813,839.01,4858,-0.494473,0.00578278,341777,2,-0.00173735618591,295.07125878334045,5870.15,0.0,7814.30051657
-0.00938698,839.01,4860,-0.505321,0.0186324,343777,2,-0.000400066375732,296.82493233680725,5879.52,0.0,7814.49380178
-0.0105015,840.76,4862,-0.495527,0.0188918,345675,2,0.396325051785,298.5690379142761,3385.52,0.0,7830.97109905
-0.00689747,843.11,4864,-0.480747,0.0245656,347675,2,-0.016442656517,300.3191056251526,5891.24,0.0,7853.08812331
-0.0110029,853.27,4866,-0.497156,0.0113778,349521,2,0.236085653305,302.0691330432892,5270.95,0.0,7947.9371454
-0.00986806,850.97,4869,-0.492356,0.0162828,351676,3,0.261650264263,303.82802176475525,6299.54,0.0,7926.72217594
-0.0141288,844.02,4872,-0.502214,0.017985,353514,3,0.643717736006,305.5851011276245,4669.16,0.0,7862.23804419
-0.00965686,852.81,4874,-0.497699,0.0131005,355514,2,-0.116960287094,307.3423111438751,5967.69,0.0,7944.47139014
0.00146183,848.66,4878,-0.513301,0.033444,357675,4,0.410700976849,309.09223675727844,6947.2,0.0,7906.32051295
0.00447705,848.66,4880,-0.503487,0.0314316,359675,2,-0.0289232730865,310.84106397628784,5886.99,0.0,7906.75765115
-0.0117726,829.15,4885,-0.511467,0.00633812,362283,5,0.387170851231,312.5991530418396,11135.9,0.0,7725.5791509
-0.016513,797.61,4890,-0.525465,0.016466,364129,5,0.622184634209,314.3511610031128,6567.0,0.0,7432.0570064
-0.00778201,803.43,4893,-0.521245,0.0166728,366591,3,0.47669506073,316.1007421016693,6406.46,0.0,7486.59832676
0.00205898,811.7,4895,-0.50592,0.0465416,368591,2,-0.00443387031555,317.8673470020294,5758.4,0.0,7563.89987936
-0.0116277,811.7,4897,-0.504572,0.0143623,370591,2,-0.0578163862228,319.6093807220459,5854.9,0.0,7564.17038162
-0.0106446,811.7,4899,-0.501785,0.0198262,372591,2,-0.0241845846176,321.37414956092834,5863.8,0.0,7564.43906563
-0.00961922,823.56,4901,-0.500164,0.0206168,374591,2,-0.00462472438812,323.1235899925232,5832.6,0.0,7675.19300317
-0.0121882,823.6,4903,-0.493276,0.0252796,375916,2,0.470385074615,324.8746032714844,3604.79,0.0,7675.7687147
-0.00998169,837.78,4905,-0.48634,0.0178712,377916,2,-0.00441133975983,326.6317205429077,5846.36,0.0,7808.17474484
-0.00895885,840.48,4908,-0.487078,0.0124027,380916,3,-0.00842249393463,328.38077211380005,8692.93,0.0,7833.94357767
-0.00927717,849.45,4910,-0.460668,0.0141895,382916,2,-0.00431561470032,330.1317358016968,5864.52,0.0,7917.91434044
-0.00403455,853.58,4912,-0.462298,0.0264318,384265,2,0.447632551193,331.90528202056885,3760.8,0.0,7956.64129747
-0.00851778,864.02,4915,-0.461777,0.0154947,386803,3,0.388862788677,333.6467514038086,6373.09,0.0,8054.32595454
-0.00458006,864.02,4917,-0.467832,0.012322,388803,2,0.0151425600052,335.41264271736145,5478.39,0.0,8054.57183058
-0.00606458,864.02,4919,-0.462518,0.00830722,390803,2,-0.0691593885422,337.16304421424866,5954.71,0.0,8054.7280063
-0.00473953,858.95,4921,-0.478975,0.0479857,392296,2,0.805754497647,338.91430950164795,1465.94,0.0,8007.54631845
-0.0188444,840.68,4925,-0.509266,0.0171867,394469,4,0.804372802377,340.65741205215454,3714.59,0.0,7837.165026
-0.0134064,840.68,4927,-0.525052,0.00805319,396469,2,-0.104798555374,342.4618728160858,5834.55,0.0,7837.27396624
-0.00655882,840.68,4929,-0.53016,0.0133744,398469,2,-0.0456148386002,344.2174549102783,6313.7,0.0,7837.46141301
-0.00675029,840.68,4931,-0.519946,0.00777587,400469,2,-0.0149466991425,345.98443269729614,5918.25,0.0,7837.70792477
-0.0107111,837.26,4934,-0.533522,0.0160089,403127,3,0.305369496346,347.7315583229065,7636.7,0.0,7806.01970049
-0.00316485,846.42,4936,-0.539448,0.0205046,405127,2,-0.00292384624481,349.49178981781006,5884.05,0.0,7891.55919713
-0.000951782,846.42,4938,-0.538679,0.0181508,407127,2,0.0202286243439,351.2410762310028,3835.32,0.0,7891.74712199
-0.00711976,846.42,4940,-0.53633,0.0264857,409127,2,0.00714975595474,352.99027252197266,5526.15,0.0,7891.93489375
-0.0119791,839.13,4943,-0.546424,0.017912,411398,3,0.387652695179,354.7490599155426,6746.56,0.0,7824.05934035
-0.00961553,839.13,4945,-0.557568,0.0230717,413398,2,-0.114049434662,356.50024223327637,6062.79,0.0,7824.08369518
-0.00991523,829.87,4948,-0.579299,0.0199643,415472,3,0.439803123474,358.25061798095703,6781.93,0.0,7737.77931727
-0.0109831,836.95,4950,-0.599693,0.0101386,417472,2,-0.15537250042,359.99987983703613,6052.73,0.0,7803.81456103
-0.00632354,836.95,4952,-0.615053,0.01168,419472,2,-0.105185031891,361.76300978660583,5997.85,0.0,7803.83349273
-0.00254481,836.95,4954,-0.617394,0.0103937,421472,2,-0.0508451461792,363.50886845588684,5865.55,0.0,7803.7954885
-0.00845304,819.75,4958,-0.619183,0.0264568,423752,4,0.542109102011,365.2692222595215,4875.62,0.0,7643.26382965
-0.00798197,815.13,4960,-0.624646,0.0195042,425290,2,0.515635669231,367.0193157196045,4111.35,0.0,7600.14140043
-0.00417929,816.15,4962,-0.627633,0.0334648,427290,2,-0.0951091051102,368.7809143066406,5956.53,0.0,7609.69577385
-0.0082849,816.15,4964,-0.604811,0.0110264,429290,2,-0.00364649295807,370.5301322937012,5905.33,0.0,7609.69847091
-0.00551233,817.69,4966,-0.603909,0.0202923,431290,2,-0.0135939121246,372.286504983902,5912.9,0.0,7624.1852976
-0.0054038,817.69,4968,-0.579395,0.0138896,433290,2,-0.00089693069458,374.0384771823883,5912.87,0.0,7624.25917388
-0.00348277,826.14,4970,-0.571864,0.0364579,435290,2,-0.000190615653992,375.8031599521637,5916.59,0.0,7703.13438983
-0.00230153,837.76,4972,-0.593833,0.0498883,437290,2,-0.00855767726898,377.56168127059937,5882.19,0.0,7811.58420684
-0.00851647,837.76,4975,-0.595028,0.0111244,440290,3,-0.0029548406601,379.31287932395935,8491.18,0.0,7811.54694164
-0.00834154,840.6,4977,-0.566799,0.0254377,441710,2,0.592915922403,381.06378054618835,3613.53,0.0,7838.01443267
-0.0125384,847.74,4979,-0.572831,0.015499,443449,2,0.366468906403,382.83353185653687,3353.82,0.0,7904.58209672
-0.011462,855.62,4982,-0.568109,0.0126811,446449,3,-0.00276482105255,384.57651686668396,8774.47,0.0,7978.11222311
-0.0114599,864.71,4984,-0.567728,0.015172,448449,2,0.256948709488,386.342431306839,3905.26,0.0,8062.96169433
-0.00850397,878.2,4986,-0.570454,0.00928023,450449,2,0.0474385619164,388.0937304496765,4334.82,0.0,8188.93781504
-0.0123536,876.71,4988,-0.567619,0.00772562,451644,2,0.412330329418,389.84293580055237,3231.7,0.0,8175.21212788
