EpLenMean,TimeElapsed,EpRewMean,loss_pol_entpen,loss_ent,loss_kl,loss_vf_loss,loss_pol_surr,EpisodesSoFar,EpThisIter,TimestepsSoFar,ev_tdlam_before
50.0,237.0003263950348,-8.23478817494,0.0,-3.07487,0.0396546,0.0528755,-0.00765936,5447,41,272350,0.976584885269
50.0,238.76004767417908,-7.64709017841,0.0,-3.05326,0.0227827,0.037395,-0.0174731,5488,41,274400,0.980118013918
50.0,240.54260969161987,-7.39368049808,0.0,-3.0966,0.0226972,0.0409572,-0.0182274,5529,41,276450,0.980540528893
50.0,242.29735732078552,-7.08253410035,0.0,-3.10128,0.029328,0.030268,-0.0225818,5570,41,278500,0.980727367103
50.0,244.07939338684082,-7.34637160322,0.0,-3.13675,0.0265004,0.0564734,-0.0257952,5611,41,280550,0.972725329921
50.0,245.85265135765076,-7.81851725084,0.0,-3.15483,0.0336883,0.0640527,-0.0251195,5652,41,282600,0.965324226767
50.0,247.62562203407288,-8.50476648599,0.0,-3.18682,0.0327963,0.0583036,-0.015929,5693,41,284650,0.980010669678
50.0,249.40712785720825,-8.5642592704,0.0,-3.20105,0.0361689,0.0507292,-0.0172772,5734,41,286700,0.988189692609
50.0,251.18924403190613,-7.70136806273,0.0,-3.197,0.0212682,0.0377087,-0.0188363,5775,41,288750,0.976820480078
50.0,252.9465913772583,-7.35607133203,0.0,-3.23205,0.0254309,0.0288231,-0.0085368,5816,41,290800,0.984492453746
50.0,254.73593711853027,-7.49682220718,0.0,-3.24451,0.0434521,0.0305998,-0.0174786,5857,41,292850,0.986115078442
50.0,256.5024960041046,-7.08996459524,0.0,-3.24294,0.0293742,0.0339661,-0.0145408,5898,41,294900,0.974429717287
50.0,258.25852370262146,-7.13944523513,0.0,-3.23099,0.0305755,0.0773277,-0.0247533,5939,41,296950,0.974856816232
50.0,260.0553660392761,-7.25536314232,0.0,-3.23536,0.0298485,0.0445693,-0.0171363,5980,41,299000,0.973688486964
50.0,261.8291003704071,-7.28286833972,0.0,-3.21683,0.0408231,0.0393984,-0.0208509,6021,41,301050,0.972629066557
50.0,263.58686804771423,-7.08563864261,0.0,-3.23828,0.0322084,0.043289,-0.00806384,6062,41,303100,0.979375932366
50.0,265.36820006370544,-7.95930402052,0.0,-3.2231,0.0438129,0.0553717,-0.0124052,6103,41,305150,0.986379003152
50.0,267.12152576446533,-7.9383052879,0.0,-3.23888,0.0259815,0.0455665,-0.0249304,6144,41,307200,0.979996724054
50.0,268.8831584453583,-8.2607543808,0.0,-3.25181,0.0343641,0.0424139,-0.0195706,6184,40,309200,0.986114675179
50.0,270.64883947372437,-7.63144396705,0.0,-3.27231,0.0227321,0.0254492,-0.015893,6225,41,311250,0.98511158023
50.0,272.43079471588135,-7.59502313956,0.0,-3.27043,0.0189384,0.0501399,-0.0193511,6266,41,313300,0.984200704843
50.0,274.18082213401794,-7.59030478943,0.0,-3.2638,0.0212212,0.0390378,-0.0186917,6307,41,315350,0.985256650485
50.0,275.9464774131775,-7.11185921673,0.0,-3.30076,0.0244373,0.0374764,-0.0179095,6348,41,317400,0.984806365333
50.0,277.7201817035675,-7.00575772695,0.0,-3.31264,0.0236739,0.0294967,-0.0200341,6389,41,319450,0.983418384567
50.0,279.4856116771698,-7.61847215931,0.0,-3.31562,0.0392719,0.033494,-0.0166739,6430,41,321500,0.988449841738
50.0,281.2548928260803,-7.41306131565,0.0,-3.29756,0.0346823,0.0359607,-0.00979572,6471,41,323550,0.988696283661
50.0,283.012699842453,-7.82622936199,0.0,-3.32958,0.0639801,0.0353045,-0.0205256,6512,41,325600,0.971807152033
50.0,284.7759201526642,-7.90071130153,0.0,-3.3384,0.0353486,0.0283652,-0.0112012,6553,41,327650,0.989440501668
50.0,286.5437319278717,-7.35390967828,0.0,-3.36559,0.0239232,0.0242362,-0.0157933,6594,41,329700,0.988194810227
50.0,288.3135094642639,-6.73001901534,0.0,-3.38384,0.0230944,0.0229308,-0.0239523,6635,41,331750,0.991682542488
50.0,290.0792725086212,-7.26986716209,0.0,-3.41527,0.0214472,0.025615,-0.0223657,6676,41,333800,0.989068900235
50.0,291.83700919151306,-7.02573424327,0.0,-3.4323,0.0237787,0.0278635,-0.0277836,6717,41,335850,0.98720241338
50.0,293.6027524471283,-7.22298015078,0.0,-3.44163,0.0333539,0.0310325,-0.010447,6758,41,337900,0.988482116722
50.0,295.37081480026245,-7.3460733688,0.0,-3.45041,0.0788163,0.0478997,-0.0182254,6799,41,339950,0.975116839632
50.0,297.14180064201355,-7.5163194405,0.0,-3.46704,0.0294807,0.0441332,-0.00848145,6840,41,342000,0.980668440461
50.0,298.9148955345154,-7.21067971973,0.0,-3.45363,0.0230891,0.0349187,-0.0137762,6881,41,344050,0.965246409178
50.0,300.695677280426,-6.64256249495,0.0,-3.45284,0.022324,0.0394299,-0.0207537,6922,41,346100,0.980577116832
50.0,302.46173906326294,-7.55518074773,0.0,-3.45416,0.0321167,0.0475491,-0.0224134,6963,41,348150,0.981039984152
50.0,304.22784185409546,-7.57715942218,0.0,-3.46882,0.0303719,0.0660038,-0.0231624,7004,41,350200,0.975033931434
50.0,305.9964060783386,-7.68121192472,0.0,-3.46621,0.0261756,0.0436793,-0.0122225,7045,41,352250,0.977712512016
50.0,307.7590136528015,-7.07178955279,0.0,-3.46228,0.0260305,0.0377511,-0.0123687,7086,41,354300,0.979256706312
50.0,309.52796149253845,-6.79454102034,0.0,-3.47081,0.0468468,0.027589,-0.002832,7127,41,356350,0.989754335955
50.0,311.2824866771698,-6.80190610563,0.0,-3.47449,0.0235375,0.0546043,-0.0173028,7168,41,358400,0.945805229247
50.0,313.0625560283661,-6.92785932689,0.0,-3.44899,0.0283874,0.0322797,-0.0139171,7208,40,360400,0.983759758994
50.0,314.8209812641144,-6.69642542506,0.0,-3.44047,0.0233314,0.0380246,-0.0216921,7249,41,362450,0.970522368327
50.0,316.6193799972534,-6.52977623871,0.0,-3.45745,0.0539609,0.0348129,-0.0112326,7290,41,364500,0.977450324222
50.0,318.3862781524658,-6.64523789044,0.0,-3.47404,0.0899184,0.0490619,-0.0189956,7331,41,366550,0.958926506341
50.0,320.17188715934753,-6.58614411881,0.0,-3.4846,0.0514786,0.033747,-0.0210713,7372,41,368600,0.952114205807
50.0,321.93057680130005,-7.11724372332,0.0,-3.48672,0.0346226,0.0400518,-0.0157805,7413,41,370650,0.94961059466
