loss_pol_surr,TimeElapsed,TimestepsSoFar,ev_tdlam_before,EpThisIter,EpRewMean,EpLenMean,loss_kl,loss_pol_entpen,EpisodesSoFar,loss_ent,loss_vf_loss
-0.00535439,135.06223034858704,171799,-0.00134062767029,2,936.68,936.68,0.00653205,0.0,961,0.947204,69.4403
-0.00442263,136.67158389091492,173799,-0.00311696529388,2,941.56,941.56,0.00703021,0.0,963,0.956608,69.2285
-0.00861991,138.28072047233582,175799,-0.00501799583435,2,941.56,941.56,0.00943643,0.0,965,0.957449,69.0974
-0.00611148,139.8756251335144,177799,0.101486206055,2,941.56,941.56,0.00922542,0.0,967,0.972895,69.3622
-0.005473,141.46975803375244,179799,-0.00763583183289,2,941.56,941.56,0.0167173,0.0,969,0.996303,66.9124
-0.0058426,143.07747101783752,181760,-0.00515115261078,2,941.17,941.17,0.00475078,0.0,971,0.985723,65.8235
-0.00744725,144.68252325057983,183760,-0.00247693061829,2,941.17,941.17,0.0051285,0.0,973,0.98974,65.6157
-0.00470064,146.28116846084595,185760,-0.0124553442001,2,941.17,941.17,0.00449821,0.0,975,0.991041,68.6687
-0.00403889,147.87423610687256,187760,-0.00675415992737,2,941.17,941.17,0.00413537,0.0,977,1.00724,66.1105
-0.00309205,149.49958777427673,189760,-0.0105681419373,2,941.17,941.17,0.00358632,0.0,979,1.01139,68.4292
-0.00839214,151.10858178138733,191760,0.0365673303604,2,941.17,941.17,0.00711474,0.0,981,1.02713,66.2787
-0.00581857,152.70232605934143,193760,0.00138789415359,2,941.17,941.17,0.00508346,0.0,983,1.04015,67.1602
-0.00279023,154.29675674438477,195760,-0.0311343669891,2,941.17,941.17,0.00586278,0.0,985,1.04422,68.0732
-0.00545962,155.90605688095093,198157,0.00523096323013,3,935.14,935.14,0.00363879,0.0,988,1.03957,95.0681
-0.00435207,157.50050449371338,200157,-0.00297367572784,2,935.14,935.14,0.00671599,0.0,990,1.02791,67.8734
-0.00626802,159.10869550704956,202157,-0.0353784561157,2,935.14,935.14,0.00600764,0.0,992,1.04968,68.4088
-0.00394923,160.7024188041687,204157,-0.000292539596558,2,935.14,935.14,0.00397191,0.0,994,1.05865,67.8044
-0.00651027,162.29646611213684,206157,-0.000252842903137,2,935.14,935.14,0.00632853,0.0,996,1.06923,67.9689
-0.00677422,163.9068260192871,208671,0.0051943063736,3,930.28,930.28,0.0055627,0.0,999,1.06586,97.0092
-0.00470688,165.49926590919495,210671,-0.00192105770111,2,930.28,930.28,0.00739937,0.0,1001,1.07451,67.3682
-0.00595684,167.10858964920044,212671,-0.00376164913177,2,930.28,930.28,0.00612718,0.0,1003,1.05766,67.6044
-0.00243021,168.70231819152832,214671,-0.00036084651947,2,930.28,930.28,0.0082354,0.0,1005,1.06362,67.708
-0.0088349,170.29681086540222,216129,0.0434630513191,2,924.86,924.86,0.00580858,0.0,1007,1.08126,40.0762
-0.010932,171.90622997283936,218861,0.532785743475,4,912.18,912.18,0.0052555,0.0,1011,1.07667,99.9276
-0.00876888,173.50514698028564,220374,0.443896055222,2,909.89,909.89,0.00551911,0.0,1013,1.06779,42.6086
-0.00613095,175.10937595367432,222374,0.0108813047409,2,916.23,916.23,0.00699222,0.0,1015,1.08984,60.1879
-0.00834548,176.70313024520874,224374,0.0251716375351,2,917.65,917.65,0.00628821,0.0,1017,1.07467,66.0302
-0.00613572,178.29624104499817,227291,0.0737194418907,3,924.66,924.66,0.0108528,0.0,1020,1.06388,84.6209
-0.00575769,179.9062159061432,229291,-0.0242304801941,2,924.66,924.66,0.00589513,0.0,1022,1.05554,67.8213
-0.00880407,181.50007796287537,230956,0.795758008957,2,921.38,921.38,0.00391878,0.0,1024,1.05492,3.3804
