ev_tdlam_before,loss_pol_surr,loss_pol_entpen,EpRewMean,loss_vf_loss,TimeElapsed,loss_kl,loss_ent,TimestepsSoFar,EpisodesSoFar,EpLenMean,EpThisIter
0.996040600352,-0.0485992,0.0,279.894674444,2.7002,143.63180661201477,0.0154437,6.89648,137120,1164,156.26,13
0.996622734237,-0.0458274,0.0,277.431399267,2.56778,145.78810453414917,0.0142348,6.88504,139232,1179,153.62,15
0.995616963133,-0.0479765,0.0,279.39001334,2.76032,147.94576001167297,0.011467,6.86286,141210,1191,155.26,12
0.996760701761,-0.0468353,0.0,279.788090601,2.37076,150.11597967147827,0.0120249,6.83499,143268,1204,155.26,13
0.982094116509,-0.0264524,0.0,281.168358214,3.39873,152.28776001930237,0.0121069,6.83704,145403,1216,157.86,12
0.996576082194,-0.0488489,0.0,281.419157686,2.46892,154.4064016342163,0.0123128,6.83659,147311,1229,157.7,13
0.995069185272,-0.0464125,0.0,281.065231976,2.98219,156.5625057220459,0.0117721,6.78209,149342,1243,156.87,14
0.993391408585,-0.0331893,0.0,279.346291925,2.95622,158.7031319141388,0.0155994,6.79265,151418,1256,154.99,13
0.995249771047,-0.0498694,0.0,280.837106447,3.78453,160.90602040290833,0.0142029,6.74395,153599,1270,156.37,14
0.996903172927,-0.0506981,0.0,279.400641514,2.71813,163.06396985054016,0.0125383,6.73173,155606,1284,155.12,14
0.996485436102,-0.0485268,0.0,277.431826371,2.58013,165.2141556739807,0.0142598,6.68819,157608,1298,153.42,14
0.986523155123,-0.0343192,0.0,276.306039959,4.66319,167.35915732383728,0.0119784,6.6837,159706,1311,152.09,13
0.994713355787,-0.0483529,0.0,274.518510966,4.0415,169.50808835029602,0.0143627,6.65175,161737,1325,150.58,14
0.995766595006,-0.0531051,0.0,272.56065562,3.4627,171.66436648368835,0.0154087,6.66933,163830,1340,148.97,15
0.99432031624,-0.0504895,0.0,272.947292084,5.22242,173.81194829940796,0.0138419,6.69849,165816,1354,146.92,14
0.992269549053,-0.0522571,0.0,273.363686986,4.48355,175.9903872013092,0.0163308,6.65703,167725,1367,147.09,13
0.991067155264,-0.0512973,0.0,274.451435083,6.94464,178.1248345375061,0.0136746,6.63775,169874,1381,147.31,14
0.990472447127,-0.0503096,0.0,274.016463797,6.89832,180.3281044960022,0.017548,6.58758,171930,1396,146.08,15
0.988367086276,-0.0496596,0.0,273.959688652,8.64172,182.46889519691467,0.0176782,6.57969,173930,1410,143.65,14
0.975962704048,-0.0534634,0.0,275.618827415,19.4647,184.60211873054504,0.0189141,6.52486,176106,1425,143.69,15
0.982243960723,-0.0495091,0.0,278.605811287,13.0487,186.73451352119446,0.0118251,6.51527,178055,1438,145.0,13
0.983953893185,-0.0498257,0.0,284.239318765,11.893,188.87605142593384,0.0167461,6.48016,180130,1451,147.42,13
0.970416199416,-0.054262,0.0,289.086860716,21.4355,191.0468726158142,0.0149105,6.45325,182144,1464,148.54,13
0.975827390328,-0.0530295,0.0,288.613867744,16.4932,193.18694734573364,0.0157829,6.4237,184236,1479,146.43,15
0.968071620911,-0.0560064,0.0,293.401077844,22.0311,195.34366250038147,0.0193012,6.39297,186329,1493,147.99,14
0.925785191357,-0.0532468,0.0,300.873898324,31.6334,197.48402047157288,0.0214057,6.36159,188293,1506,150.05,13
0.950866222382,-0.0586009,0.0,307.742506022,31.5095,199.63175058364868,0.0180686,6.34607,190407,1519,152.15,13
0.957765884697,-0.0579349,0.0,312.055173893,26.8492,201.78883242607117,0.0185805,6.30017,192355,1531,152.93,12
0.959062393755,-0.0591062,0.0,320.792412757,28.4847,203.91333436965942,0.0153414,6.24367,194446,1544,155.05,13
0.947680030018,-0.0602386,0.0,329.436782117,26.3834,206.06193852424622,0.0194312,6.15904,196590,1556,156.66,12
0.957195978612,-0.0525762,0.0,336.138893822,36.506,208.2026252746582,0.0155816,6.14894,198556,1568,158.3,12
0.936912253499,-0.0601362,0.0,348.575601279,54.1578,210.36004638671875,0.0190276,6.144,200549,1580,161.71,12
0.913268767297,-0.0564499,0.0,361.401744614,56.2384,212.52357459068298,0.0171611,6.08623,202678,1592,164.93,12
0.946521099657,-0.0586084,0.0,371.486540945,60.1598,214.6649613380432,0.0190756,6.10192,204778,1604,167.77,12
0.940238889307,-0.0600528,0.0,376.907220781,66.0495,216.7992823123932,0.0171114,6.07852,206817,1616,168.84,12
0.916910141706,-0.0589604,0.0,390.702949802,50.5177,218.92971444129944,0.021196,6.0713,208870,1627,171.73,11
0.935808964074,-0.0614501,0.0,401.386609893,64.9913,221.08628678321838,0.0175441,6.03131,210927,1638,174.17,11
0.918040730059,-0.062578,0.0,408.094356844,77.7,223.2413923740387,0.018846,5.99654,212969,1649,176.1,11
0.949751768261,-0.0586664,0.0,411.329640871,54.0964,225.37506771087646,0.0159063,5.98975,214892,1659,178.51,10
