TimestepsSoFar,EpRewMean,EpisodesSoFar,loss_pol_entpen,loss_vf_loss,loss_kl,TimeElapsed,loss_ent,ev_tdlam_before,loss_pol_surr,EpThisIter,EpLenMean
235427,1246.9916794,1388,0.0,49.2908,0.0153729,261.93801069259644,2.32934,0.985899235122,-0.0301749,6,351.94
237156,1239.52894481,1393,0.0,17.2956,0.0152684,264.0242269039154,2.28876,0.993271927349,-0.0378895,5,349.21
239295,1249.57691941,1398,0.0,15.1534,0.0163216,266.11728072166443,2.24854,0.995607686695,-0.0342961,5,351.68
241597,1287.84555474,1402,0.0,7.82022,0.0174835,268.2283880710602,2.22168,0.997003320372,-0.0307871,4,362.34
243452,1273.69636139,1408,0.0,13.8561,0.0137713,270.3710460662842,2.17057,0.994282036088,-0.0334475,6,357.77
245466,1286.94305529,1413,0.0,14.1116,0.0139708,272.484011888504,2.13445,0.995306492317,-0.0312982,5,361.83
247680,1290.52486507,1419,0.0,10.5183,0.0203912,274.5698938369751,2.10879,0.996672898298,-0.0274451,6,362.1
249716,1319.22808062,1424,0.0,14.5329,0.017366,276.7579278945923,2.08503,0.995283258148,-0.0354362,5,369.58
251739,1314.16219815,1429,0.0,12.6148,0.0182601,279.0048472881317,2.06536,0.995959806722,-0.0310966,5,367.94
253850,1338.1050871,1434,0.0,15.5435,0.017024,281.33930945396423,2.02517,0.995124850888,-0.030554,5,374.39
255684,1343.31596346,1439,0.0,12.417,0.0192281,283.5939712524414,2.02434,0.996038315352,-0.0322626,5,374.95
257604,1357.74600078,1446,0.0,60.58,0.0173105,285.85869336128235,2.00421,0.969345837831,-0.0309685,7,377.97
259800,1377.67721618,1451,0.0,12.4542,0.0174723,288.2589211463928,2.00713,0.995592765044,-0.0278648,5,382.81
261898,1390.4846388,1456,0.0,12.1932,0.0136863,290.7135257720947,1.98659,0.996084608138,-0.0338879,5,386.05
264155,1366.93783046,1463,0.0,15.5963,0.0198447,293.15175580978394,1.99931,0.995611646213,-0.0313924,7,378.83
266226,1371.8998136,1468,0.0,11.6225,0.0164742,295.61014318466187,1.96398,0.996759787435,-0.0294508,5,379.65
268163,1397.39442312,1472,0.0,10.7048,0.0186977,298.0856235027313,1.94928,0.995640087873,-0.0321728,4,386.33
270190,1405.39047106,1477,0.0,16.9438,0.0135615,300.59480452537537,1.91393,0.995029581245,-0.0314304,5,387.86
272239,1389.39744018,1484,0.0,19.0788,0.0207131,303.1245496273041,1.87842,0.99399964558,-0.0330045,7,382.44
274097,1399.5207902,1489,0.0,11.5285,0.0172589,305.31331634521484,1.86108,0.995794163551,-0.0284137,5,384.51
276269,1407.61400991,1494,0.0,8.55359,0.0160296,307.39822912216187,1.84058,0.996785141295,-0.0322617,5,386.3
278477,1416.83759652,1499,0.0,10.5567,0.0153419,309.465176820755,1.80196,0.996453837259,-0.0334618,5,388.19
