loss_vf_loss,loss_kl,EpThisIter,EpisodesSoFar,EpLenMean,TimeElapsed,loss_ent,loss_pol_surr,loss_pol_entpen,ev_tdlam_before,EpRewMean,TimestepsSoFar
32.0455,0.0142585,2,36,1000.0,32.98572397232056,7.205,-0.0487688,0.0,0.352960884571,-495.826804198,36000
19.4344,0.011774,2,38,1000.0,34.79700469970703,7.15591,-0.0387388,0.0,0.312010288239,-487.911251945,38000
27.7871,0.0149338,2,40,1000.0,36.60917091369629,7.07497,-0.0465362,0.0,0.227694153786,-483.171121521,40000
35.9427,0.0178297,3,43,1000.0,38.422290325164795,6.9902,-0.0489317,0.0,0.35925090313,-474.193047348,43000
30.6817,0.0169019,2,45,1000.0,40.218799114227295,6.89226,-0.049739,0.0,0.303886175156,-467.203800812,45000
24.5169,0.0176686,2,47,1000.0,42.03193783760071,6.83441,-0.0493951,0.0,0.126767337322,-461.655187252,47000
17.713,0.0139385,2,49,1000.0,43.827678203582764,6.73915,-0.0485634,0.0,0.35512149334,-455.646382771,49000
35.7022,0.0131064,2,51,1000.0,45.64081954956055,6.71772,-0.0524129,0.0,0.430483400822,-447.570836386,51000
18.7123,0.0153598,2,53,1000.0,47.438684940338135,6.66335,-0.0468223,0.0,0.39478302002,-440.30397662,53000
53.2741,0.0145133,2,55,1000.0,49.234580278396606,6.65332,-0.0486955,0.0,0.337124109268,-435.898573733,55000
22.1671,0.0134868,2,57,1000.0,51.04729771614075,6.58973,-0.0494655,0.0,0.567678540945,-428.769740223,57000
27.1484,0.0143179,2,59,1000.0,52.859604835510254,6.54609,-0.0485624,0.0,0.410567522049,-419.612173633,59000
25.7842,0.0169761,2,61,1000.0,54.6575129032135,6.46338,-0.0503522,0.0,0.475313425064,-414.682467525,61000
20.4675,0.0154151,2,63,1000.0,56.468838930130005,6.39728,-0.0498173,0.0,0.506386905909,-409.212557925,63000
26.7203,0.0142655,2,65,1000.0,58.265421867370605,6.32746,-0.0519809,0.0,0.474589169025,-402.047525629,65000
17.7172,0.015758,2,67,1000.0,60.07875084877014,6.26445,-0.0554165,0.0,0.37678694725,-392.538277787,67000
35.2809,0.014189,2,69,1000.0,61.89051866531372,6.18718,-0.0574378,0.0,0.424715518951,-386.681289054,69000
26.0505,0.0136983,2,71,1000.0,63.68834638595581,6.12875,-0.0520171,0.0,0.587625920773,-381.968963468,71000
37.5474,0.0159017,2,73,1000.0,65.48419427871704,6.09693,-0.0538687,0.0,0.502817004919,-377.235223144,73000
18.9509,0.0140189,2,75,1000.0,67.29650115966797,6.11839,-0.0541797,0.0,0.546658247709,-370.891772027,75000
24.06,0.015295,2,77,1000.0,69.11080718040466,6.04804,-0.0562574,0.0,0.616080313921,-365.575395225,77000
27.1982,0.0146057,2,79,1000.0,70.92161011695862,6.0134,-0.0562181,0.0,0.629166841507,-359.509102036,79000
20.1647,0.0153423,2,81,1000.0,72.7036063671112,6.01819,-0.0590767,0.0,0.734010666609,-354.272315302,81000
35.71,0.0142282,2,83,1000.0,74.51583480834961,5.96266,-0.0588161,0.0,0.48870998621,-348.870204671,83000
27.3307,0.0143196,3,86,1000.0,76.31255412101746,5.93346,-0.0598439,0.0,0.419627308846,-335.927498147,86000
24.4374,0.0143282,2,88,1000.0,78.10989880561829,5.89718,-0.0594778,0.0,0.39568156004,-328.388615245,88000
30.1846,0.0169523,2,90,1000.0,79.9129798412323,5.85847,-0.059661,0.0,0.465792775154,-320.100025102,90000
42.3626,0.0135769,2,92,1000.0,81.71938014030457,5.84865,-0.0558803,0.0,0.419528722763,-312.162024522,92000
21.0684,0.0150612,2,94,1000.0,83.51532030105591,5.78703,-0.0656597,0.0,0.776270166039,-303.83672799,94000
26.5692,0.0130875,2,96,1000.0,85.3120768070221,5.75218,-0.0579866,0.0,0.816016986966,-299.407977546,96000
49.9282,0.0151117,2,98,1000.0,87.10913038253784,5.70113,-0.0595435,0.0,0.430397748947,-292.017355444,98000
61.7566,0.0157995,2,100,1000.0,88.92239427566528,5.64993,-0.0599323,0.0,0.462319135666,-282.691033465,100000
54.862,0.0184743,2,102,1000.0,90.70396327972412,5.599,-0.0640507,0.0,0.456790566444,-266.100091515,102000
45.8692,0.014439,2,104,1000.0,92.51541018486023,5.57799,-0.0594087,0.0,0.82896193862,-252.989302879,104000
