EpThisIter,TimestepsSoFar,loss_pol_surr,loss_ent,TimeElapsed,EpisodesSoFar,loss_kl,EpLenMean,ev_tdlam_before,loss_vf_loss,EpRewMean,loss_pol_entpen
8,163655,-0.0332357,2.89361,167.78099417686462,1292,0.0140789,232.91,0.996354433475,8.91134,769.400781039,0.0
9,165879,-0.0298073,2.87038,169.90628123283386,1301,0.0145224,235.95,0.989647473209,18.2827,780.039724163,0.0
7,167662,-0.0296765,2.86496,172.0476269721985,1308,0.0125152,238.48,0.993636670988,14.3317,789.014335586,0.0
8,169714,-0.0274878,2.81556,174.2109739780426,1316,0.0139977,240.49,0.984383130446,38.4145,793.116839529,0.0
8,171856,-0.0282919,2.79838,176.41425704956055,1324,0.0125113,244.77,0.993262537755,16.9272,807.030968973,0.0
8,173937,-0.0296686,2.83483,178.62487626075745,1332,0.0116633,247.41,0.994196084794,17.0039,814.632313195,0.0
9,176106,-0.0322644,2.82281,180.84460020065308,1341,0.0131158,247.58,0.994740510359,11.8562,816.276268375,0.0
7,177951,-0.0300549,2.80485,183.0786509513855,1348,0.0121261,249.13,0.991765859537,17.3719,820.595629687,0.0
9,180132,-0.0327625,2.76731,185.28395462036133,1357,0.0123935,251.25,0.9941971316,15.4426,828.415230423,0.0
7,182011,-0.0313339,2.74749,187.47622776031494,1364,0.0141627,253.95,0.99595724605,8.83398,837.30500701,0.0
8,184317,-0.0301267,2.71223,189.66247010231018,1372,0.0134516,256.03,0.994131311774,11.6903,843.981975069,0.0
7,186241,-0.0313822,2.68823,191.7888765335083,1379,0.0128442,258.42,0.996146688005,9.64996,853.761029328,0.0
7,188285,-0.0287805,2.6822,193.8971290588379,1386,0.016258,260.9,0.996192224324,9.16733,862.455627228,0.0
7,190269,-0.0305878,2.67422,195.9764266014099,1393,0.0110153,262.61,0.99308752967,14.7614,869.241381502,0.0
8,192266,-0.0284475,2.63242,198.0462236404419,1401,0.0122188,263.87,0.989847023971,20.9975,874.284394896,0.0
8,194433,-0.0327876,2.6026,200.13975286483765,1409,0.0122926,264.88,0.995501149446,12.3341,880.111292019,0.0
7,196557,-0.0302393,2.57662,202.24257397651672,1416,0.0160283,268.43,0.994799968321,10.9191,893.2401169,0.0
6,198457,-0.028947,2.57222,204.32471013069153,1422,0.012668,271.32,0.996380420635,8.34519,904.377091768,0.0
8,200592,-0.0328124,2.55901,206.40629243850708,1430,0.0141196,272.25,0.997448423179,7.03717,910.842254603,0.0
7,202605,-0.0299765,2.55743,208.4718418121338,1437,0.0123635,274.23,0.996364261489,7.58177,917.795709381,0.0
7,204625,-0.0344977,2.56844,210.53801274299622,1444,0.0149036,277.74,0.99750817474,7.86275,930.315470015,0.0
6,206602,-0.0278876,2.56311,212.64881563186646,1450,0.0129725,281.73,0.99659104296,8.90025,945.770871751,0.0
7,208722,-0.0315414,2.56621,214.7187693119049,1457,0.0144839,285.9,0.997264497681,7.28021,961.955865126,0.0
7,210910,-0.0322036,2.54805,216.81242537498474,1464,0.0131249,288.99,0.996801294154,8.66456,974.752118923,0.0
7,212769,-0.0350998,2.52502,218.87435817718506,1471,0.0141544,287.46,0.997103179572,7.36635,970.543328598,0.0
7,214827,-0.0314273,2.4981,220.96798515319824,1478,0.0151006,289.39,0.996709730942,9.58235,978.588259192,0.0
8,217016,-0.0322483,2.48312,223.0624644756317,1486,0.0164399,287.31,0.997484992025,7.85187,973.121700463,0.0
7,219093,-0.0317638,2.46831,225.1555621623993,1493,0.0130796,288.24,0.996657158248,9.51706,975.945618095,0.0
