EpThisIter,EpLenMean,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_entpen,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr
9,218.28,1181,707.327999327,0.993076282088,3.25815,130987,0.0,21.0005,146.12551879882812,0.0107086,-0.0232997
9,220.7,1190,718.567827037,0.992120166309,3.2134,133094,0.0,20.1918,148.21109056472778,0.0116248,-0.0294467
9,221.61,1199,721.486533654,0.989776780829,3.16698,135126,0.0,26.3448,150.3324110507965,0.0116927,-0.0312104
9,222.14,1208,726.265284342,0.99421824608,3.10988,137128,0.0,13.1075,152.46024751663208,0.0108991,-0.028578
9,222.76,1217,728.481725271,0.992842355277,3.08279,139242,0.0,21.6204,154.64782881736755,0.0115647,-0.0232675
8,224.55,1225,736.065202379,0.995295454282,3.07893,141196,0.0,12.6473,156.8042140007019,0.0116042,-0.0288358
9,226.02,1234,745.016640542,0.993541180622,3.06983,143283,0.0,21.1895,158.94698429107666,0.0105834,-0.0276083
9,227.27,1243,751.024698542,0.993027238641,3.07207,145388,0.0,25.1221,161.09340143203735,0.0112238,-0.027674
8,230.58,1251,763.872560522,0.992553970776,3.07017,147404,0.0,26.9924,163.28944635391235,0.0093601,-0.0261343
8,233.93,1259,779.171977913,0.993321018293,3.06449,149361,0.0,20.9641,165.50802063941956,0.0129019,-0.0304063
8,235.0,1267,784.825397676,0.995393340476,3.01639,151351,0.0,13.2511,167.70344376564026,0.0135256,-0.0274871
8,237.28,1275,794.051067474,0.996095757,2.97987,153374,0.0,11.2236,169.9057240486145,0.0162741,-0.028076
8,239.16,1283,802.770498627,0.997053798521,2.96495,155390,0.0,9.24108,172.12485527992249,0.0169718,-0.0294813
8,241.59,1291,810.048786672,0.996325371554,2.95224,157496,0.0,11.352,174.40627145767212,0.0149539,-0.028335
8,244.63,1299,821.020981348,0.995268863626,2.94032,159589,0.0,15.3025,176.72186064720154,0.0100884,-0.0260657
8,247.68,1307,829.270058905,0.996103343321,2.9464,161702,0.0,12.1339,179.02334570884705,0.0156164,-0.0276996
8,250.21,1315,839.035951285,0.99478159938,2.93551,163736,0.0,16.1177,181.37519192695618,0.0129898,-0.0248416
8,251.02,1323,842.385233161,0.995818080381,2.89735,165771,0.0,13.2452,183.73704886436462,0.0113079,-0.0290649
8,253.54,1331,849.002695172,0.994485762436,2.88182,167929,0.0,18.2289,186.1252782344818,0.0119066,-0.0282335
8,255.57,1339,855.706274448,0.995754566509,2.85848,169963,0.0,12.1025,188.45973777770996,0.0151446,-0.0276397
7,257.0,1346,861.190792717,0.996921154205,2.86417,171850,0.0,6.60933,190.80573678016663,0.0185953,-0.0293011
8,258.69,1354,866.354795184,0.995817983989,2.84015,173926,0.0,11.6884,193.2027633190155,0.0121447,-0.0293928
8,258.57,1362,865.69762347,0.929851442575,2.83065,175958,0.0,301.616,195.65625953674316,0.023706,-0.0146566
7,260.23,1369,871.412210555,0.991512278095,2.81619,177894,0.0,11.6467,198.0810627937317,0.011642,-0.0214944
9,260.68,1378,872.607032698,0.994173754472,2.74297,180197,0.0,18.0122,200.54671382904053,0.0131218,-0.0329699
7,261.93,1385,876.655730838,0.995300911833,2.72128,182117,0.0,13.2338,202.9246928691864,0.0129837,-0.0253965
6,265.5,1391,888.988125825,0.996035806835,2.71425,184046,0.0,9.68074,205.42402815818787,0.0155211,-0.0254675
7,268.02,1398,897.413479835,0.99670980568,2.72407,186101,0.0,11.8412,207.92915105819702,0.0186971,-0.0238296
7,269.64,1405,903.972004936,0.996804208495,2.67237,188181,0.0,10.2363,210.46897196769714,0.0215423,-0.0284271
7,273.96,1412,917.243866331,0.996780095855,2.6508,190320,0.0,9.08568,212.98380661010742,0.0100474,-0.0258595
