loss_vf_loss,loss_pol_surr,EpisodesSoFar,EpThisIter,TimestepsSoFar,ev_tdlam_before,loss_ent,EpRewMean,loss_pol_entpen,TimeElapsed,EpLenMean,loss_kl
64.8897,-0.0515946,1223,12,153569,0.955149095505,6.40558,428.73892013,0.0,153.89073705673218,169.78,0.0195134
44.9188,-0.0548674,1235,12,155512,0.968240700662,6.34079,430.2974218,0.0,155.9300730228424,168.76,0.0161679
47.3027,-0.052344,1247,12,157511,0.97130693309,6.32087,436.958402835,0.0,157.99200916290283,169.9,0.0148151
32.3359,-0.0457862,1259,12,159689,0.976310012862,6.30922,447.165930611,0.0,160.05464386940002,171.94,0.0154826
42.0255,-0.0535707,1270,11,161625,0.971738636494,6.29904,455.077699718,0.0,162.13298797607422,173.8,0.0191887
59.4846,-0.0546112,1281,11,163676,0.961768426001,6.256,463.959625505,0.0,164.2102415561676,174.2,0.0186234
38.79,-0.0562268,1293,12,165732,0.970549287274,6.22734,469.159483334,0.0,166.31205105781555,173.89,0.0184306
59.8331,-0.0541882,1305,12,167927,0.957297701389,6.2044,475.698518075,0.0,168.39181470870972,174.0,0.0191424
144.678,-0.0503739,1317,12,169905,0.927775472403,6.16395,479.365038936,0.0,170.45330429077148,174.04,0.0177608
116.464,-0.0472801,1329,12,172020,0.932117447257,6.13401,487.126496016,0.0,172.53268146514893,175.71,0.0186126
78.8405,-0.0579986,1339,10,173868,0.96069098264,6.08642,493.293691501,0.0,174.58078408241272,176.5,0.0190477
70.3033,-0.0476421,1350,11,176119,0.966324143112,6.0638,506.867249904,0.0,176.6335895061493,179.91,0.0208459
78.849,-0.0538251,1360,10,178111,0.962847162038,6.04279,515.959837392,0.0,178.68776679039001,182.12,0.0192025
114.933,-0.0576088,1371,11,180223,0.951173000038,6.01465,524.639095169,0.0,180.72226810455322,183.77,0.0173028
105.795,-0.0508612,1382,11,182270,0.953034024686,6.02345,528.510924477,0.0,182.7412407398224,184.27,0.0173858
75.2093,-0.0517701,1391,9,184128,0.96522102505,6.04055,541.031686781,0.0,184.7878761291504,187.83,0.0177476
109.445,-0.054985,1401,10,186295,0.943105392158,6.0077,554.348543145,0.0,186.80531311035156,191.08,0.0194822
156.033,-0.0471716,1411,10,188375,0.919136211276,6.00427,567.242111971,0.0,188.8313057422638,194.32,0.0172712
158.716,-0.0498827,1420,9,190323,0.917974360287,5.95061,585.966219182,0.0,190.88200283050537,199.08,0.0220214
162.733,-0.0502465,1430,10,192509,0.94113188237,5.94536,600.125116411,0.0,192.90077781677246,202.98,0.0236369
185.971,-0.0402154,1440,10,194460,0.941017717123,5.89821,601.678152493,0.0,194.95346093177795,203.7,0.0212081
173.166,-0.0529804,1450,10,196467,0.942317515612,5.87561,600.570093075,0.0,196.97294855117798,203.48,0.0196493
161.137,-0.0497957,1461,11,198543,0.942250352353,5.8577,599.45186534,0.0,199.00807237625122,202.68,0.0182321
203.836,-0.0572345,1471,10,200493,0.914708599448,5.79089,598.40981669,0.0,201.05533289909363,202.7,0.0223075
130.526,-0.0530988,1481,10,202688,0.93599332124,5.77087,610.180429957,0.0,203.07857084274292,206.43,0.0172111
90.8303,-0.0567059,1489,8,204639,0.947015520185,5.69124,620.821117741,0.0,205.1235933303833,209.14,0.0222382
108.05,-0.0505067,1496,7,206714,0.956962972879,5.67172,645.055029195,0.0,207.17159485816956,215.18,0.0204208
99.6322,-0.0564087,1505,9,208884,0.957809623331,5.65366,649.33019254,0.0,209.2185549736023,216.83,0.0205783
132.833,-0.0561159,1513,8,210741,0.95576024428,5.62474,657.64758005,0.0,211.23426723480225,219.27,0.0185113
161.647,-0.0533487,1522,9,212970,0.932875044644,5.5862,666.758290165,0.0,213.24992203712463,222.16,0.0177906
208.704,-0.0524148,1531,9,214838,0.909489281476,5.57195,657.571454241,0.0,215.28150033950806,221.25,0.0179859
123.031,-0.0580651,1539,8,217052,0.957512218505,5.55192,678.154739381,0.0,217.31284713745117,227.14,0.0182975
103.313,-0.055224,1546,7,219113,0.956859190017,5.50699,703.707149338,0.0,219.34400844573975,234.47,0.0192365
127.358,-0.0550151,1555,9,221177,0.927124984562,5.50905,711.448409316,0.0,221.3751826286316,236.95,0.018518
134.507,-0.0568298,1563,8,223232,0.948317915201,5.46543,729.25756916,0.0,223.41459107398987,242.38,0.0205704
168.079,-0.0574773,1572,9,225241,0.942967358977,5.41892,740.780899882,0.0,225.42937707901,245.34,0.0223819
101.015,-0.0596645,1580,8,227289,0.965113550425,5.41457,748.852279802,0.0,227.44417548179626,247.9,0.0196947
81.0317,-0.0576024,1587,7,229174,0.956346988678,5.35814,756.593263126,0.0,229.477126121521,250.29,0.0209284
145.621,-0.0584736,1593,6,231145,0.939878553152,5.2654,761.202673771,0.0,231.51876664161682,252.06,0.0218959
155.124,-0.0554317,1601,8,233365,0.923068203032,5.28657,768.004341469,0.0,233.54662322998047,254.74,0.0208448
95.2185,-0.0588016,1609,8,235471,0.946448281407,5.27092,765.75295467,0.0,235.57775712013245,254.61,0.0217557
186.081,-0.0563108,1616,7,237427,0.875110395253,5.25163,772.805209023,0.0,237.59409761428833,258.12,0.0175104
50.8285,-0.059311,1620,4,239503,0.949208159,5.19818,810.888557904,0.0,239.62811970710754,269.15,0.0260615
130.746,-0.0589186,1627,7,241516,0.941355705261,5.21249,830.426447935,0.0,241.664489030838,274.22,0.0221817
134.24,-0.0607038,1633,6,243492,0.942023590207,5.20768,848.875855679,0.0,243.69646668434143,280.0,0.0227887
102.008,-0.0579671,1639,6,245657,0.946951050311,5.17497,869.934342668,0.0,245.7341709136963,286.05,0.0269639
127.802,-0.0575596,1645,6,247709,0.95147049427,5.10865,877.85043244,0.0,247.76581001281738,288.48,0.0237622
115.563,-0.059171,1651,6,249773,0.955385092646,5.12018,898.970912753,0.0,249.81255173683167,294.08,0.0266016
122.265,-0.0529048,1657,6,251770,0.95522890985,5.15177,920.214619048,0.0,251.84366703033447,300.81,0.0242423
105.092,-0.0536601,1662,5,253341,0.953902006149,5.09547,929.615472202,0.0,253.8747639656067,303.94,0.0199902
159.668,-0.0577236,1669,7,255786,0.94492232427,5.0669,949.850909303,0.0,255.9064404964447,309.93,0.0195526
104.188,-0.0594008,1675,6,258040,0.961151909083,5.01503,984.377601948,0.0,257.9412217140198,320.32,0.0211799
456.707,-0.0518223,1680,5,260047,0.754622533917,4.99333,1011.20470081,0.0,259.9766728878021,327.58,0.0252403
84.601,-0.059589,1686,6,261985,0.953050725162,4.91771,1027.64984152,0.0,262.00798058509827,332.0,0.0246127
126.707,-0.059869,1692,6,263950,0.955588310957,4.92671,1024.50612292,0.0,264.0435609817505,330.06,0.0268162
104.592,-0.0530155,1699,7,266209,0.968143284321,4.89056,1045.59071427,0.0,266.07606506347656,335.53,0.0218977
98.2438,-0.0531182,1704,5,268117,0.954449813813,4.85922,1067.5257286,0.0,268.10953760147095,341.07,0.0245299
164.617,-0.0549164,1710,6,270179,0.915163971484,4.85353,1080.95708719,0.0,270.1488869190216,344.0,0.0247757
86.0123,-0.0583987,1716,6,272342,0.957439295948,4.89262,1105.39434267,0.0,272.1803889274597,349.15,0.0254419
94.5892,-0.0624911,1722,6,274186,0.949634026736,4.91253,1079.21550712,0.0,274.2358274459839,341.46,0.0276087
100.886,-0.0596021,1727,5,276141,0.93463075906,4.89789,1095.53460599,0.0,276.2689526081085,346.25,0.0204255
106.753,-0.0570279,1731,4,278089,0.95359973982,4.88357,1115.05348893,0.0,278.3128445148468,350.93,0.0222897
164.554,-0.0549346,1736,5,280364,0.940217990428,4.88494,1137.30773423,0.0,280.3589370250702,356.9,0.0222126
120.039,-0.0565593,1742,6,282412,0.955715678632,4.89112,1148.90770149,0.0,282.3910446166992,358.9,0.0207443
146.794,-0.0564752,1746,4,284092,0.937526330352,4.8578,1156.03514242,0.0,284.42994451522827,360.41,0.0200682
162.079,-0.0518745,1752,6,286487,0.956488791853,4.84393,1168.38018398,0.0,286.4615216255188,363.94,0.022161
134.8,-0.0516498,1758,6,288715,0.930553108454,4.82341,1181.07431762,0.0,288.4845218658447,366.75,0.0236062
83.9652,-0.0578214,1760,2,290528,0.936664588749,4.78274,1227.72047491,0.0,290.51595401763916,379.14,0.0287548
124.731,-0.0580438,1765,5,292639,0.925588816404,4.7447,1232.23046441,0.0,292.54725432395935,379.06,0.0245681
185.678,-0.0530768,1770,5,294906,0.950832959265,4.69308,1269.73589049,0.0,294.5802128314972,388.78,0.0250098
