loss_ent,EpRewMean,TimestepsSoFar,EpLenMean,ev_tdlam_before,loss_pol_surr,loss_vf_loss,EpThisIter,loss_kl,EpisodesSoFar,loss_pol_entpen,TimeElapsed
2.22239,25.6258922488,53000,1000.0,0.982259413227,-0.0203709,0.0716711,2,0.00650841,53,0.0,46.68715453147888
2.21045,26.0071974466,55000,1000.0,0.97000624612,-0.00860507,0.138795,2,0.00921989,55,0.0,48.468586921691895
2.1928,26.3734424647,57000,1000.0,0.977282568812,-0.0179461,0.0737103,2,0.00611989,57,0.0,50.26674509048462
2.2096,26.6197371017,59000,1000.0,0.974381938577,-0.0167276,0.101663,2,0.00699508,59,0.0,52.03105902671814
2.19018,26.7430058693,61000,1000.0,0.974307909608,-0.0169487,0.135645,2,0.00798657,61,0.0,53.81255602836609
2.1593,27.0004513616,63000,1000.0,0.984766707756,-0.0155523,0.0783913,2,0.00671779,63,0.0,55.59419894218445
2.15642,27.2417972207,65000,1000.0,0.994169535581,-0.0151657,0.0225442,2,0.0104704,65,0.0,57.39069628715515
2.15394,27.4862602185,67000,1000.0,0.995586797595,-0.0172311,0.0272466,2,0.0062385,67,0.0,59.187105894088745
2.12744,27.7186955596,69000,1000.0,0.988531897776,-0.0173999,0.0514109,2,0.00801036,69,0.0,60.968297243118286
2.08214,27.9404514192,71000,1000.0,0.995944210328,-0.0163503,0.0141332,2,0.00624723,71,0.0,62.76546788215637
2.06744,28.1498563714,73000,1000.0,0.986630247906,-0.0169862,0.0792981,2,0.012568,73,0.0,64.54673910140991
2.07489,28.4222082286,75000,1000.0,0.993703184649,-0.0137496,0.0219615,2,0.00506002,75,0.0,66.34347128868103
2.05389,28.6126346141,77000,1000.0,0.992372910026,-0.0128963,0.0242741,2,0.00703894,77,0.0,68.15767931938171
2.03264,28.808655806,79000,1000.0,0.992807057686,-0.0194941,0.0414663,2,0.00584433,79,0.0,69.9530017375946
2.01283,28.9718430791,81000,1000.0,0.992389125749,-0.014197,0.0438165,2,0.00683721,81,0.0,71.73433232307434
1.9917,29.0993467872,83000,1000.0,0.994249867275,-0.0114126,0.0213828,2,0.018928,83,0.0,73.53124785423279
1.9605,29.3074470905,86000,1000.0,0.995281133801,-0.0120666,0.0415064,3,0.00719383,86,0.0,75.3123528957367
1.963,29.4587082109,88000,1000.0,0.996144385543,-0.0154712,0.0253694,2,0.00889109,88,0.0,77.09424448013306
1.94341,29.5776969683,90000,1000.0,0.991918401793,-0.0191524,0.0193546,2,0.00717293,90,0.0,78.89238810539246
1.92546,29.8024404782,92000,1000.0,0.994958358351,-0.0153954,0.0172109,2,0.013848,92,0.0,80.68799376487732
1.90746,29.9068633718,94000,1000.0,0.991069674492,-0.0166401,0.0283235,2,0.00644353,94,0.0,82.48514747619629
1.91446,30.1408506229,96000,1000.0,0.996731963707,-0.0152908,0.0121428,2,0.00471972,96,0.0,84.28520584106445
1.91171,30.3144071224,98000,1000.0,0.995389373973,-0.0135353,0.0166011,2,0.00710752,98,0.0,86.07323169708252
1.89583,30.4775884146,100000,1000.0,0.99614883028,-0.0191189,0.011786,2,0.00671669,100,0.0,87.86176133155823
1.85026,30.905294155,102000,1000.0,0.996217157459,-0.0145987,0.0177223,2,0.0114465,102,0.0,89.65580439567566
