loss_pol_entpen,loss_pol_surr,loss_ent,EpLenMean,ev_tdlam_before,TimeElapsed,EpThisIter,loss_vf_loss,EpisodesSoFar,EpRewMean,loss_kl,TimestepsSoFar
0.0,-0.00527875,0.872371,952.14,-0.0109063386917,244.20416951179504,2,69.5745,1133,952.14,0.00736977,319029
0.0,-0.00741563,0.875338,952.14,-0.0171509981155,245.78574132919312,2,69.1319,1135,952.14,0.0102632,321029
0.0,-0.00483887,0.887334,952.14,-0.00181329250336,247.28572702407837,2,68.9566,1137,952.14,0.00833767,323029
0.0,-0.00777748,0.90181,952.14,0.00838780403137,248.87713289260864,2,66.4446,1139,952.14,0.00758782,325029
0.0,-0.00492135,0.912739,952.14,0.00643557310104,250.4570529460907,2,68.3252,1141,952.14,0.0091663,327029
0.0,-0.0053661,0.915678,952.14,0.00125002861023,252.02671265602112,2,68.5611,1143,952.14,0.0067394,329029
0.0,-0.00551424,0.918695,955.88,0.0141991376877,253.57866263389587,2,68.111,1145,955.88,0.0053464,331029
0.0,-0.00417535,0.923497,955.88,0.010424554348,255.17275524139404,2,68.9876,1147,955.88,0.00676683,333029
0.0,-0.00243146,0.921978,955.88,-0.0200618505478,256.7433919906616,2,69.7107,1149,955.88,0.00228654,335029
0.0,-0.00695724,0.907493,955.88,-0.0182849168777,258.30477142333984,2,64.8604,1151,955.88,0.00816563,337029
0.0,-0.00665405,0.891182,955.88,-0.025254368782,259.8759891986847,2,67.8678,1153,955.88,0.00310506,339029
0.0,-0.0047361,0.892228,961.73,-0.00623857975006,261.4345200061798,2,69.1647,1155,961.73,0.0112086,341029
0.0,-0.00793521,0.904331,961.73,-0.00140488147736,263.0153295993805,3,95.2021,1158,961.73,0.00762093,344029
0.0,-0.00792495,0.922312,971.34,-0.0074737071991,264.5622000694275,2,68.4469,1160,971.34,0.0106692,346029
0.0,-0.0037477,0.925322,971.34,-0.00530803203583,266.1246943473816,2,67.7425,1162,971.34,0.00767449,348029
0.0,-0.00602633,0.924676,971.34,-0.0122535228729,267.7112967967987,2,68.2602,1164,971.34,0.00580483,350029
0.0,-0.0064233,0.936836,971.34,-0.00178289413452,269.2895781993866,2,66.4804,1166,971.34,0.0103144,352029
0.0,-0.00608033,0.936987,971.34,0.013987839222,270.84798884391785,2,67.2049,1168,971.34,0.00733162,354029
0.0,-0.00362126,0.945706,971.34,0.000240921974182,272.4254114627838,2,68.7636,1170,971.34,0.0117798,356029
0.0,-0.00567912,0.920578,971.34,-0.00640201568604,273.9950313568115,2,68.7307,1172,971.34,0.00853169,358029
0.0,-0.0119935,0.930941,971.34,-0.0415536165237,275.5576901435852,2,68.2407,1174,971.34,0.0192238,360029
0.0,-0.00463242,0.919654,971.34,0.00144731998444,277.13003301620483,2,68.5006,1176,971.34,0.00453951,362029
0.0,-0.00628218,0.905298,963.84,-0.00224328041077,278.6670072078705,3,94.7589,1179,963.84,0.00415973,364222
0.0,-0.009199,0.91293,963.84,0.003453373909,280.23416209220886,2,56.7105,1181,963.84,0.00846037,366222
0.0,-0.0111049,0.917396,963.84,-0.106081843376,281.7966573238373,2,69.5001,1183,963.84,0.00761745,368222
0.0,-0.00873315,0.902817,968.47,0.000761926174164,283.3614137172699,2,66.6267,1185,968.47,0.00757413,370222
0.0,-0.00365747,0.911533,970.26,-0.0156719684601,284.93103551864624,2,68.3136,1187,970.26,0.00911217,372222
0.0,-0.00449556,0.899668,970.26,-0.00102233886719,286.5000295639038,2,68.3061,1189,970.26,0.00660161,374222
0.0,-0.00310267,0.896976,970.26,-0.000371694564819,288.0781502723694,2,68.2906,1191,970.26,0.00557504,376222
0.0,-0.00771102,0.878057,970.26,0.0161174535751,289.6250195503235,2,57.9744,1193,970.26,0.00448521,378222
0.0,-0.00710272,0.8795,971.52,-0.0231292247772,291.2031400203705,2,68.7233,1195,971.52,0.00650196,380222
0.0,-0.00573721,0.878382,971.52,-0.0286303758621,292.7656350135803,2,69.0503,1197,971.52,0.00455388,382222
0.0,-0.00427515,0.885382,971.52,-0.00242638587952,294.3299949169159,2,68.6504,1199,971.52,0.00443187,384222
0.0,-0.00783058,0.886478,971.52,-0.000847458839417,295.8849678039551,2,68.6237,1201,971.52,0.00727483,386222
0.0,-0.00628368,0.895512,971.52,-0.0027688741684,297.4530544281006,2,68.5163,1203,971.52,0.00811709,388222
0.0,-0.00598776,0.881872,975.89,0.0011214017868,299.0311748981476,2,66.7442,1205,975.89,0.00466605,390222
0.0,-0.00442954,0.880209,975.89,-0.0390002727509,300.5936689376831,2,68.4104,1207,975.89,0.00833255,392222
0.0,-0.010073,0.863312,975.89,0.000465512275696,302.17176032066345,3,85.0082,1210,975.89,0.0129017,395222
0.0,-0.00886698,0.869922,982.19,0.0059432387352,303.74345803260803,2,65.1963,1212,982.19,0.00567034,397222
0.0,-0.00659406,0.860355,982.19,-0.00370132923126,305.3210074901581,2,67.8871,1214,982.19,0.00667912,399222
0.0,-0.0106413,0.868042,982.19,-0.00618660449982,306.875545501709,2,68.1407,1216,982.19,0.00764329,401222
0.0,-0.00981964,0.829714,982.19,-0.00410807132721,308.4378390312195,2,68.5321,1218,982.19,0.00692212,403222
0.0,-0.00527311,0.819077,982.19,-0.00387239456177,310.00743436813354,2,68.6006,1220,982.19,0.0063766,405222
0.0,-0.00584606,0.808094,991.93,-0.000446557998657,311.5554234981537,2,68.4854,1222,991.93,0.00506886,407222
0.0,-0.00393145,0.818478,991.93,-0.00021767616272,313.15136528015137,2,68.471,1224,991.93,0.00499004,409222
0.0,-0.00681453,0.814863,991.93,0.0195586681366,314.67188811302185,2,55.0017,1226,991.93,0.00484799,411222
0.0,-0.00436468,0.801271,991.93,-0.0337070226669,316.2500066757202,2,69.3638,1228,991.93,0.0116399,413222
0.0,-0.00555658,0.775348,991.93,-0.00151383876801,317.76562881469727,2,68.8205,1230,991.93,0.0107002,415222
0.0,-0.00960738,0.779088,991.93,-0.00229096412659,319.3437485694885,2,67.9233,1232,991.93,0.00998057,417222
0.0,-0.00716308,0.795401,991.93,0.00836682319641,320.9062433242798,2,68.4382,1234,991.93,0.0169849,419222
0.0,-0.00624252,0.778726,991.93,0.0242346525192,322.4531180858612,2,62.4986,1236,991.93,0.00873503,421222
0.0,-0.00481568,0.778475,991.93,-0.04676425457,324.0178644657135,2,69.5837,1238,991.93,0.0134016,423222
0.0,-0.00642559,0.777404,991.93,-0.00282371044159,325.57115626335144,2,67.3044,1240,991.93,0.00508783,425222
0.0,-0.00710875,0.773342,991.93,-0.0260537862778,327.1578803062439,2,68.7956,1242,991.93,0.00968774,427222
0.0,-0.00400122,0.789737,991.93,0.0115399360657,328.67837476730347,2,65.6818,1244,991.93,0.00632939,429222
0.0,-0.00949581,0.800054,991.93,0.00824815034866,330.25839018821716,2,57.7177,1246,991.93,0.00920193,431222
0.0,-0.00578072,0.79711,991.93,-0.0183855295181,331.8193497657776,2,68.9558,1248,991.93,0.00512532,433222
0.0,-0.00949079,0.788275,991.93,-0.0370947122574,333.36761450767517,3,100.154,1251,991.93,0.010064,436222
0.0,-0.00598075,0.795077,991.93,-0.000524401664734,334.93847250938416,2,65.4969,1253,991.93,0.00354712,438222
0.0,-0.00878913,0.781902,991.93,-0.0149672031403,336.5002865791321,2,67.1633,1255,991.93,0.00628967,440222
0.0,-0.00450343,0.794142,991.93,-0.0132249593735,338.0878496170044,2,67.3559,1257,991.93,0.00618144,442222
0.0,-0.0066842,0.794727,991.93,0.000753998756409,339.6203246116638,2,66.5561,1259,991.93,0.00906548,444222
0.0,-0.00614955,0.780256,991.93,-0.00665557384491,341.203129529953,2,67.5197,1261,991.93,0.00446153,446222
0.0,-0.00493728,0.785334,991.93,-0.00942265987396,342.73437547683716,2,67.7086,1263,991.93,0.0132656,448222
0.0,-0.00817109,0.777268,991.93,-0.000267744064331,344.3124952316284,2,67.6446,1265,991.93,0.00603139,450222
0.0,-0.00895976,0.775013,991.93,-0.00808560848236,345.8749918937683,2,67.7062,1267,991.93,0.0120494,452222
0.0,-0.00631257,0.779046,991.93,0.000681519508362,347.45311188697815,2,67.6718,1269,991.93,0.00597096,454222
0.0,-0.0108335,0.767641,991.93,-0.00288593769073,349.01560616493225,2,67.9916,1271,991.93,0.0126546,456222
0.0,-0.00701618,0.773374,991.93,-0.00284290313721,350.5781030654907,2,68.0505,1273,991.93,0.0113907,458222
0.0,-0.00312031,0.776791,991.93,-0.000317692756653,352.156222820282,2,68.1256,1275,991.93,0.00776853,460222
0.0,-0.00848608,0.78682,991.93,-0.00348222255707,353.70309233665466,2,68.1224,1277,991.93,0.00728323,462222
0.0,-0.00840938,0.80875,994.7,0.382333159447,355.2968382835388,3,37.927,1280,994.7,0.00499674,464692
0.0,-0.00640237,0.809116,994.7,-0.00339555740356,356.8437080383301,2,69.0385,1282,994.7,0.00803758,466692
0.0,-0.0108202,0.81057,994.7,0.00269591808319,358.43137550354004,2,62.3251,1284,994.7,0.0116805,468692
0.0,-0.00397866,0.819765,994.7,0.0109641551971,360.0011773109436,2,62.4394,1286,994.7,0.00643117,470692
0.0,-0.00518695,0.827063,994.7,0.0140322446823,361.56515860557556,2,64.4722,1288,994.7,0.00556501,472692
0.0,-0.00679155,0.813469,994.7,-0.0498415231705,363.15045404434204,2,69.3482,1290,994.7,0.00693193,474692
