loss_ent,loss_vf_loss,EpThisIter,TimestepsSoFar,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_kl,loss_pol_entpen,EpLenMean
-0.182567,6626.2,7,132983,4382,2720.67546733,0.614004790783,-0.0119835,115.08707666397095,0.00520337,0.0,292.57
-0.183227,6288.29,5,134978,4387,2838.2852951,0.568880319595,-0.011503,116.83707213401794,0.0161403,0.0,305.2
-0.204144,6914.51,6,136443,4393,2899.2776875,0.498047292233,-0.0029289,118.58706569671631,0.0232791,0.0,311.75
-0.209721,6040.23,6,138581,4399,3036.36941029,0.630857467651,-0.002488,120.35268712043762,0.0287195,0.0,326.47
-0.231403,6441.53,5,140774,4404,3127.96473807,0.493483543396,-0.00884676,122.08705615997314,0.0185284,0.0,336.29
-0.235133,5696.78,3,143130,4407,3326.6899393,0.563823670149,-0.00643041,123.84232091903687,0.0370374,0.0,357.63
-0.241786,6439.27,4,144974,4411,3406.09939118,0.491987586021,-0.0104847,125.61869955062866,0.0126168,0.0,366.14
-0.251276,5309.46,3,146673,4414,3552.71629376,0.450138807297,-0.0130155,127.36869478225708,0.0124663,0.0,381.88
-0.262169,6381.24,4,148826,4418,3653.12049414,0.465513527393,-0.00401582,129.11868906021118,0.0110445,0.0,392.64
-0.250874,6352.27,3,150929,4421,3818.17173084,0.174770355225,-0.00761291,130.8530604839325,0.0133851,0.0,410.35
-0.238132,5717.42,2,152929,4423,3984.86717016,0.0305025577545,-0.00423708,132.60305380821228,0.0165333,0.0,428.24
-0.250371,6136.89,5,155117,4428,4040.18165453,0.447466015816,0.00925342,134.36867475509644,0.0441374,0.0,434.15
-0.254529,6186.24,3,157549,4431,4238.83545235,0.224136590958,-0.0131086,136.11866784095764,0.0147203,0.0,455.46
-0.262111,5782.65,4,159286,4435,4249.42450395,0.500442445278,-0.0105974,137.8686625957489,0.0122457,0.0,456.58
-0.246622,4916.94,2,160906,4437,4362.20730597,0.515945255756,-0.00884205,139.61865735054016,0.00641678,0.0,468.68
-0.236314,6059.79,3,163376,4440,4462.24109158,0.275296151638,-0.00485246,141.35302710533142,0.00707703,0.0,479.4
-0.244159,6684.61,4,165886,4444,4590.99420818,0.211516499519,-0.00635276,143.1116099357605,0.00937045,0.0,493.21
