EpRewMean,TimeElapsed,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,TimestepsSoFar,EpisodesSoFar,EpLenMean,loss_ent,loss_kl,EpThisIter,loss_vf_loss
921.86,161.1555986404419,0.0,-0.00742077827454,-0.00726739,204518,952,921.86,1.06938,0.00803439,2,67.7511
921.86,162.7685809135437,0.0,0.000303149223328,-0.00716703,206518,954,921.86,1.07209,0.0079929,2,67.7748
928.91,164.39378833770752,0.0,-0.0196921825409,-0.00604721,208518,956,928.91,1.06412,0.00642792,2,67.9165
922.95,165.99919939041138,0.0,0.0312162041664,-0.00610256,210922,959,922.95,1.05364,0.00534182,3,75.9505
922.95,167.60857105255127,0.0,0.0105347633362,-0.00724393,212922,961,922.95,1.03222,0.00652954,2,67.0647
922.95,169.21794056892395,0.0,-0.000742077827454,-0.00641043,214922,963,922.95,1.03007,0.00824162,2,67.937
922.95,170.8273105621338,0.0,-0.000896096229553,-0.00530151,216922,965,922.95,1.02202,0.00609462,2,68.132
922.95,172.43668127059937,0.0,0.000134706497192,-0.00856825,218922,967,922.95,1.01426,0.00950201,2,68.1722
931.02,174.04605293273926,0.0,-0.0154763460159,-0.00405983,220922,969,931.02,1.01953,0.00575191,2,68.2424
940.83,175.63979578018188,0.0,-0.000980496406555,-0.00207422,222922,971,940.83,1.03227,0.00454805,2,68.2492
940.83,177.2567400932312,0.0,0.000190317630768,-0.00329455,224922,973,940.83,1.04391,0.00387869,2,68.2562
940.83,178.86340403556824,0.0,0.0057544708252,-0.00443003,226922,975,940.83,1.03994,0.00698279,2,67.6208
946.81,180.47197222709656,0.0,-0.00934386253357,-0.0071411,228922,977,946.81,1.04856,0.00939017,2,68.1605
946.81,182.07753992080688,0.0,0.0637873411179,-0.00926746,230922,979,946.81,1.05621,0.00624701,2,57.2492
946.81,183.6712863445282,0.0,-0.0125044584274,-0.00427206,232922,981,946.81,1.03599,0.00451093,2,68.9217
951.93,185.29628133773804,0.0,-0.00157344341278,-0.00727055,234922,983,951.93,1.06817,0.0078513,2,68.6031
965.21,186.89002656936646,0.0,-0.00104010105133,-0.00309607,236922,985,965.21,1.07294,0.0074449,2,68.6736
969.09,188.49939680099487,0.0,0.171496331692,-0.0125177,238695,987,969.09,1.07152,0.0118054,2,40.4799
974.49,190.1087667942047,0.0,0.0286791324615,-0.010257,240695,989,974.49,1.04984,0.00901763,2,49.8556
978.46,191.7181372642517,0.0,-0.0263106822968,-0.00559534,243695,992,978.46,1.03389,0.00423588,3,103.017
978.46,193.31188225746155,0.0,-0.00528645515442,-0.00646398,245695,994,978.46,1.04854,0.00854718,2,68.8263
978.46,194.91994071006775,0.0,-0.00884711742401,-0.00442406,247695,996,978.46,1.04169,0.0127166,2,68.7809
978.46,196.52143168449402,0.0,0.00280582904816,-0.00369915,249695,998,978.46,1.04064,0.0104315,2,68.4362
978.46,198.1326892375946,0.0,-0.00384664535522,-0.00583729,251695,1000,978.46,1.03594,0.00903456,2,68.7086
978.46,199.73489713668823,0.0,-0.000333666801453,-0.00141098,253695,1002,978.46,1.02138,0.0150245,2,68.6496
978.46,201.34410405158997,0.0,-0.000135540962219,-0.00633932,255695,1004,978.46,1.0198,0.00714687,2,68.6472
978.46,202.94497275352478,0.0,0.0170792937279,-0.0129159,257695,1006,978.46,1.03118,0.00870318,2,48.9587
978.46,204.5553367137909,0.0,0.00458651781082,-0.00312669,259695,1008,978.46,1.0351,0.00306292,2,69.0027
978.46,206.19624304771423,0.0,-0.0322843790054,-0.00756752,261695,1010,978.46,1.02914,0.0131599,2,69.2009
978.46,207.79626846313477,0.0,-0.0184955596924,-0.00369129,263695,1012,978.46,1.01149,0.00398524,2,68.7751
978.46,209.4056375026703,0.0,-0.000278949737549,-0.00251304,265695,1014,978.46,1.0045,0.0024488,2,67.4415
978.46,210.99938416481018,0.0,-0.0131202936172,-0.0036909,267695,1016,978.46,1.01369,0.0124187,2,68.2399
978.46,212.62437987327576,0.0,-0.00130903720856,-0.00546268,269695,1018,978.46,1.02093,0.00522544,2,68.4582
979.8,214.21812391281128,0.0,0.000221014022827,-0.00418543,271695,1020,979.8,1.00674,0.00321755,2,68.446
979.8,215.82749581336975,0.0,0.00058650970459,-0.00457085,273695,1022,979.8,1.01929,0.00800426,2,68.4588
979.8,217.42123818397522,0.0,-0.00186860561371,-0.00544225,275695,1024,979.8,1.01484,0.00664866,2,68.5429
979.8,219.01498413085938,0.0,0.00132954120636,-0.00475577,277695,1026,979.8,1.02987,0.00395983,2,67.8206
981.61,220.62435460090637,0.0,-0.0063887834549,-0.00599872,279695,1028,981.61,1.03329,0.0105766,2,68.4963
981.61,222.21809887886047,0.0,-0.00274622440338,-0.00594561,281695,1030,981.61,1.02616,0.00572978,2,68.4779
981.61,223.8430938720703,0.0,-0.000243544578552,-0.00363064,283695,1032,981.61,1.02712,0.0191486,2,68.5472
981.61,225.43684005737305,0.0,0.000757396221161,-0.00575432,286695,1035,981.61,1.02898,0.00485506,3,99.3587
981.61,227.06198477745056,0.0,-0.000281691551208,-0.00457821,288695,1037,981.61,1.04152,0.00350106,2,67.8305
981.61,228.65998888015747,0.0,-0.00469851493835,-0.00693305,290695,1039,981.61,1.04394,0.0125386,2,67.8129
981.61,230.27591347694397,0.0,0.00232565402985,-0.00758981,292695,1041,981.61,1.05857,0.0067219,2,59.9202
981.61,231.87429332733154,0.0,-0.00800061225891,-0.00389999,294695,1043,981.61,1.07821,0.00635755,2,68.8072
985.76,233.4836642742157,0.0,-0.004767537117,-0.00764624,296695,1045,985.76,1.07112,0.00778147,2,68.7436
991.77,235.09303522109985,0.0,0.000999510288239,-0.00446362,298695,1047,991.77,1.0751,0.00615953,2,68.5631
991.77,236.69395446777344,0.0,-0.0140542984009,-0.00502408,300695,1049,991.77,1.08141,0.00416103,2,68.5372
991.77,238.3208830356598,0.0,0.000700294971466,-0.00537486,302695,1051,991.77,1.06908,0.00708536,2,68.4402
991.77,239.90637254714966,0.0,0.00302076339722,-0.0038524,304695,1053,991.77,1.06392,0.00584897,2,67.8556
991.77,241.539479970932,0.0,-0.00155735015869,-0.00709784,306695,1055,991.77,1.06983,0.00648706,2,64.2826
991.77,243.13354015350342,0.0,-0.0409346818924,-0.00420774,308695,1057,991.77,1.07079,0.0088412,2,68.1082
997.73,244.75080347061157,0.0,-0.0153073072433,-0.00928394,310695,1059,997.73,1.04479,0.00543259,2,64.5094
997.73,246.35928916931152,0.0,-0.0118099451065,-0.00623702,312695,1061,997.73,1.03525,0.00620987,2,68.0632
997.73,247.96797680854797,0.0,-0.0186285972595,-0.00678877,314695,1063,997.73,1.03537,0.0080986,2,68.0164
997.73,249.57734870910645,0.0,0.000334560871124,-0.00333559,316695,1065,997.73,1.01712,0.00264326,2,67.9782
997.73,251.17506051063538,0.0,-0.00370287895203,-0.00492172,318695,1067,997.73,1.01921,0.00462824,2,68.1804
997.73,252.7759289741516,0.0,-0.00110423564911,-0.00432544,320695,1069,997.73,1.01891,0.0154003,2,68.2532
997.73,254.38972115516663,0.0,-0.00392770767212,-0.0075426,322695,1071,997.73,1.0224,0.00612192,2,68.1321
997.73,256.000492811203,0.0,0.000440657138824,-0.0071422,324695,1073,997.73,1.01624,0.0041805,2,68.2137
997.73,257.6482594013214,0.0,-0.00141572952271,-0.00439553,326695,1075,997.73,1.01736,0.00799681,2,68.3068
997.73,259.2474844455719,0.0,-0.00145256519318,-0.00438303,329695,1078,997.73,1.02417,0.00581561,3,96.4636
997.73,260.85850191116333,0.0,-0.000909686088562,-0.00558509,331695,1080,997.73,1.03292,0.00580652,2,67.8087
989.43,262.46815490722656,0.0,0.635752469301,-0.00840808,332865,1082,989.43,1.02175,0.0143552,2,36.1565
983.61,264.0775258541107,0.0,0.233794927597,-0.0064906,335283,1085,983.61,1.01329,0.00384985,3,67.3177
951.77,265.6868975162506,0.0,0.2933421731,-0.00913751,337872,1091,951.77,1.02555,0.00413659,6,31.7114
940.62,267.29337763786316,0.0,0.795110031962,-0.00963275,339757,1094,940.62,1.02541,0.00442672,3,21.4201
917.24,268.90543723106384,0.0,0.881631813943,-0.012669,341419,1098,917.24,1.03109,0.00461222,4,29.2894
917.24,270.51480746269226,0.0,-0.0102245807648,-0.00500618,343419,1100,917.24,1.03236,0.00716442,2,72.4187
917.24,272.1241788864136,0.0,0.00361889600754,-0.00732193,345419,1102,917.24,1.05248,0.00930987,2,72.4779
917.24,273.73354744911194,0.0,-0.000111818313599,-0.00523991,347419,1104,917.24,1.04394,0.00425438,2,70.6428
917.24,275.32729411125183,0.0,-0.00150346755981,-0.00760832,349419,1106,917.24,1.06176,0.0114885,2,70.2495
917.24,276.95228934288025,0.0,-0.00123631954193,-0.00610769,351419,1108,917.24,1.07212,0.00647528,2,69.9755
917.24,278.5616593360901,0.0,-0.00745940208435,-0.00594072,353419,1110,917.24,1.08227,0.00769913,2,70.1284
917.24,280.1710305213928,0.0,-0.00177049636841,-0.00679639,355419,1112,917.24,1.0794,0.00616223,2,69.179
917.24,281.78039813041687,0.0,-0.00260126590729,-0.00403098,357419,1114,917.24,1.10312,0.00600721,2,69.0373
917.24,283.37414383888245,0.0,0.0103772878647,-0.00848877,360419,1117,917.24,1.09611,0.00652553,3,90.2796
891.7,284.98351550102234,0.0,0.777781307697,-0.0108454,361865,1121,891.7,1.09995,0.0115064,4,19.2806
891.7,286.5928840637207,0.0,0.0355746150017,-0.00966884,363865,1123,891.7,1.08603,0.00735983,2,72.1956
884.65,288.18662905693054,0.0,-0.000261306762695,-0.0065901,366160,1126,884.65,1.09251,0.00737664,3,100.713
884.65,289.7960002422333,0.0,-0.00982761383057,-0.00871457,368160,1128,884.65,1.08098,0.0084787,2,68.5108
884.65,291.4076211452484,0.0,-0.00135266780853,-0.00470047,370160,1130,884.65,1.0874,0.00485303,2,68.4682
884.65,293.01547503471375,0.0,-0.00037956237793,-0.00829905,372160,1132,884.65,1.09175,0.0045312,2,63.0034
884.65,294.61733770370483,0.0,-0.0122185945511,-0.0095042,374160,1134,884.65,1.09644,0.00928093,2,67.8266
884.65,296.22555923461914,0.0,-0.00880944728851,-0.00797922,376160,1136,884.65,1.07349,0.00347855,2,68.0487
884.65,297.83368396759033,0.0,0.0198357701302,-0.0073364,378160,1138,884.65,1.09609,0.00636783,2,31.5953
884.65,299.4288959503174,0.0,0.0208589434624,-0.00712643,380160,1140,884.65,1.08041,0.00705491,2,70.7056
884.65,301.04775404930115,0.0,-0.00382137298584,-0.00365518,382160,1142,884.65,1.08363,0.00541327,2,69.9464
879.61,302.6563744544983,0.0,0.208690106869,-0.00705078,384656,1145,879.61,1.0717,0.00376152,3,69.7173
879.61,304.24921441078186,0.0,0.0470778942108,-0.00896514,386656,1147,879.61,1.03871,0.00633614,2,64.3796
879.61,305.8742084503174,0.0,-0.0603669881821,-0.00449457,388656,1149,879.61,1.03858,0.00865233,2,68.7286
879.61,307.46795296669006,0.0,-1.47819519043e-05,-0.00680219,390656,1151,879.61,1.03553,0.00369183,2,66.7752
879.61,309.07732367515564,0.0,0.0206527709961,-0.00409328,392656,1153,879.61,1.04305,0.00458944,2,61.6463
879.61,310.6866948604584,0.0,0.037729382515,-0.00263996,394656,1155,879.61,1.06407,0.00416773,2,64.4432
879.61,312.29606437683105,0.0,0.00617378950119,-0.0069394,396656,1157,879.61,1.0549,0.00644431,2,67.1504
879.61,313.9054343700409,0.0,0.050926566124,-0.00350845,398656,1159,879.61,1.03432,0.00899036,2,64.0346
879.61,315.5159418582916,0.0,0.0604764223099,-0.00897919,400656,1161,879.61,1.03952,0.010792,2,64.9609
875.65,317.124862909317,0.0,0.24911147356,-0.00566185,403260,1164,875.65,1.03487,0.00456038,3,65.2186
875.65,318.75797867774963,0.0,0.29146027565,-0.0038613,405260,1166,875.65,1.04733,0.00530064,2,52.4352
875.65,320.39847683906555,0.0,0.100587785244,-0.00651009,407260,1168,875.65,1.05861,0.0119988,2,65.7783
855.47,322.0032777786255,0.0,0.673937827349,-0.0118091,409242,1172,855.47,1.03737,0.0085019,4,38.229
854.54,323.6053614616394,0.0,0.634834170341,-0.00928499,411149,1174,854.54,1.02422,0.0109489,2,42.4996
854.54,325.1981873512268,0.0,0.0794276595116,-0.00895025,413149,1176,854.54,1.01144,0.00618909,2,65.8296
854.54,326.8154847621918,0.0,0.0225355029106,-0.00447163,415149,1178,854.54,1.01574,0.0265907,2,67.7247
854.54,328.42123913764954,0.0,0.0229482650757,-0.00346018,417149,1180,854.54,1.02257,0.00497169,2,69.1488
862.84,330.0306098461151,0.0,0.0494076013565,-0.00526336,419149,1182,862.84,1.03498,0.00788684,2,67.0887
862.84,331.6435408592224,0.0,-0.00033700466156,-0.00519222,421149,1184,862.84,1.03481,0.00625234,2,67.5231
871.0,333.253879070282,0.0,0.0283982753754,-0.00338458,423149,1186,871.0,1.04821,0.00619517,2,67.6418
883.09,334.854736328125,0.0,0.0401498675346,-0.0055094,425149,1188,883.09,1.05538,0.00610056,2,66.4945
894.16,336.46332144737244,0.0,0.0585468411446,-0.00171934,427149,1190,894.16,1.06238,0.00173667,2,63.6433
906.53,338.0713839530945,0.0,0.116106271744,-0.00759346,429149,1192,906.53,1.05377,0.00823526,2,62.9111
913.92,339.6598401069641,0.0,0.094290137291,-0.00372243,431149,1194,913.92,1.04894,0.00942941,2,63.6326
933.43,341.2693135738373,0.0,0.327945709229,-0.00755489,434098,1197,933.43,1.05269,0.00394563,3,56.9604
