loss_vf_loss,loss_pol_entpen,loss_kl,EpLenMean,loss_ent,TimestepsSoFar,TimeElapsed,EpisodesSoFar,ev_tdlam_before,EpRewMean,loss_pol_surr,EpThisIter
7.66791,0.0,0.0104058,172.91,3.52431,114677,127.66360187530518,1084,0.996421444695,542.815363621,-0.0292661,12
15.0022,0.0,0.011652,173.48,3.53051,116597,130.1403980255127,1095,0.99155722931,545.408710687,-0.0249127,11
22.9743,0.0,0.0141826,172.51,3.5279,118654,132.61686038970947,1107,0.991089408286,541.270139716,-0.0228389,12
16.1018,0.0,0.0100074,173.04,3.48695,120800,135.14370346069336,1119,0.992759659886,543.850249723,-0.0249173,12
27.0446,0.0,0.0131,173.4,3.45943,122840,137.63684701919556,1131,0.986942251213,545.034022717,-0.0184416,12
25.1646,0.0,0.0127333,175.5,3.48634,124797,140.06395554542542,1142,0.990956178866,554.050456786,-0.0253196,11
39.2639,0.0,0.010523,176.4,3.49504,126970,142.14833426475525,1154,0.983898324892,556.314926973,-0.0235983,12
11.3126,0.0,0.0106694,177.28,3.49013,129010,144.2581765651703,1165,0.99401302496,559.041840718,-0.0241307,11
13.1483,0.0,0.0150394,176.99,3.53085,130955,146.3513593673706,1176,0.992806185503,558.756400784,-0.0265014,11
12.7334,0.0,0.00988387,177.32,3.51282,132976,148.492413520813,1187,0.994120337535,560.035188744,-0.0226393,11
16.4033,0.0,0.0116675,178.34,3.50253,135077,150.58578276634216,1199,0.993570122868,565.056171832,-0.0245726,12
10.5733,0.0,0.0172785,179.66,3.4354,137144,152.66392970085144,1210,0.995374683756,569.987406732,-0.0301609,11
11.666,0.0,0.0107218,179.73,3.43116,139138,154.7806112766266,1221,0.995519410353,570.790855127,-0.0235055,11
6.64872,0.0,0.0141313,182.13,3.41495,141244,156.89079594612122,1232,0.997414385667,581.126801349,-0.0279576,11
19.6838,0.0,0.0104763,183.27,3.40909,143314,159.02376055717468,1243,0.991683077998,585.309512596,-0.0273663,11
6.68687,0.0,0.0105508,184.34,3.41707,145229,161.08609557151794,1253,0.996866678121,591.525054784,-0.0251485,10
6.47753,0.0,0.0113492,184.51,3.36272,147278,163.21033120155334,1264,0.997183552943,593.445717591,-0.0266463,11
13.1608,0.0,0.00925422,186.87,3.34981,149318,165.28871250152588,1274,0.993461318314,601.562036418,-0.0264731,10
7.54877,0.0,0.0147185,188.84,3.32629,151512,167.430602312088,1285,0.996041781735,607.727212787,-0.0296683,11
8.26293,0.0,0.0143202,190.41,3.32657,153439,169.52349019050598,1295,0.996237415122,613.80890521,-0.0303624,10
13.4893,0.0,0.00859753,192.37,3.3415,155622,171.58605241775513,1306,0.994528142735,620.314751577,-0.0261628,11
5.03654,0.0,0.0129016,193.7,3.31238,157572,173.6809492111206,1316,0.997456740355,625.635621034,-0.0270375,10
7.2241,0.0,0.017682,195.5,3.31872,159651,175.8058683872223,1326,0.993975903839,632.754786451,-0.0309146,10
8.15444,0.0,0.0115106,197.01,3.31905,161668,177.93306016921997,1336,0.995137334336,638.158929309,-0.027223,10
7.97118,0.0,0.0117866,196.73,3.30826,163742,180.04685354232788,1347,0.993998675141,639.757670284,-0.0259586,11
8.55504,0.0,0.0130673,196.94,3.25407,165869,182.13987231254578,1358,0.9966724189,642.645861509,-0.026758,11
10.763,0.0,0.0126739,197.62,3.21744,167887,184.24953866004944,1368,0.990468782373,643.358070168,-0.0245088,10
14.6692,0.0,0.0119283,198.64,3.2116,169961,186.4229154586792,1378,0.994434996974,648.79916753,-0.0253451,10
8.27156,0.0,0.0150381,199.1,3.22066,172002,188.59207248687744,1388,0.996313169366,651.778606733,-0.0315047,10
13.0767,0.0,0.0116799,199.86,3.18538,174035,190.75727820396423,1398,0.994519578293,655.594750027,-0.0287215,10
21.4118,0.0,0.0130876,200.86,3.14131,176092,192.91383504867554,1408,0.987279624678,658.673485625,-0.0254744,10
19.0196,0.0,0.0116152,202.59,3.11817,178041,195.3047022819519,1417,0.992986160796,663.814612169,-0.0271298,9
12.2934,0.0,0.00949935,204.87,3.07856,180138,197.8823525905609,1426,0.994429407176,672.531373357,-0.0262206,9
22.1733,0.0,0.0144138,206.06,3.06568,182075,200.47660160064697,1435,0.992662600707,676.776982811,-0.0285703,9
17.7754,0.0,0.0101764,209.31,3.05622,184088,203.0553159713745,1444,0.992408751044,686.946607053,-0.0306477,9
17.3227,0.0,0.0115705,211.98,3.04874,186311,205.66549015045166,1454,0.993483995087,694.598985246,-0.0264143,10
19.0444,0.0,0.0106036,214.15,3.03084,188309,208.21022725105286,1463,0.99195276387,701.145004644,-0.032016,9
25.2238,0.0,0.0126886,217.67,2.99581,190288,210.7434368133545,1471,0.990675680339,713.721647719,-0.0288137,8
19.4181,0.0,0.015712,219.13,2.98425,192309,213.10917615890503,1480,0.992710159626,717.846823139,-0.0290856,9
