loss_vf_loss,EpRewMean,EpLenMean,loss_ent,EpisodesSoFar,loss_pol_entpen,TimestepsSoFar,loss_kl,EpThisIter,TimeElapsed,loss_pol_surr,ev_tdlam_before
5.39853,-25.7530372809,50.0,0.708906,1269,0.0,63450,0.0111552,41,54.08791708946228,-0.0228011,0.756115809083
4.73249,-25.1190497,50.0,0.659863,1310,0.0,65500,0.0100924,41,55.842695474624634,-0.0262881,0.763709619641
4.57056,-24.7198896579,50.0,0.586136,1351,0.0,67550,0.00890994,41,57.56222081184387,-0.0219316,0.704453766346
4.08808,-24.241818619,50.0,0.519406,1392,0.0,69600,0.0138334,41,59.30396008491516,-0.0229773,0.735632479191
4.44305,-22.7715577029,50.0,0.451506,1433,0.0,71650,0.0115237,41,61.03785490989685,-0.0282125,0.697653800249
3.52094,-22.0243417502,50.0,0.391107,1474,0.0,73700,0.0104119,41,62.772717237472534,-0.0201461,0.73438090086
3.39983,-21.4978114995,50.0,0.326208,1515,0.0,75750,0.0087196,41,64.5069625377655,-0.0225541,0.741456389427
3.19896,-20.7644414297,50.0,0.256153,1556,0.0,77800,0.0102999,41,66.24945163726807,-0.0263442,0.74553540349
2.71771,-19.8525941662,50.0,0.230852,1597,0.0,79850,0.00961356,41,67.96870970726013,-0.0200956,0.766210690141
2.37262,-18.9345319484,50.0,0.162907,1638,0.0,81900,0.0108626,41,69.7257730960846,-0.0240922,0.77494725585
1.83666,-18.2730659782,50.0,0.101556,1679,0.0,83950,0.0118043,41,71.44408893585205,-0.022529,0.806523829699
1.8133,-17.7764202767,50.0,0.0390167,1720,0.0,86000,0.0106016,41,73.18559861183167,-0.0234481,0.77901764214
1.92447,-17.4710010359,50.0,-0.000100255,1761,0.0,88050,0.0114009,41,74.90547060966492,-0.0243891,0.731283009052
1.51862,-17.264485586,50.0,-0.0512578,1802,0.0,90100,0.0102436,41,76.64117932319641,-0.024239,0.804072111845
1.32509,-17.2620701061,50.0,-0.109379,1843,0.0,92150,0.0127991,41,78.38492774963379,-0.0207963,0.834236443043
1.27328,-17.2598922672,50.0,-0.149455,1884,0.0,94200,0.0113567,41,80.12309980392456,-0.0222639,0.84081582725
0.904181,-16.5974384989,50.0,-0.186421,1925,0.0,96250,0.00993471,41,81.84268069267273,-0.0223236,0.866321340203
1.20789,-16.336590158,50.0,-0.231575,1966,0.0,98300,0.0118212,41,83.57775521278381,-0.024815,0.811534538865
0.946231,-16.2889474237,50.0,-0.318285,2007,0.0,100350,0.016284,41,85.32000398635864,-0.0233085,0.832296684384
1.03538,-16.4805710661,50.0,-0.367485,2048,0.0,102400,0.0151917,41,87.0422875881195,-0.0239282,0.850715875626
