EpisodesSoFar,TimestepsSoFar,EpLenMean,EpRewMean,loss_kl,loss_ent,loss_pol_entpen,loss_vf_loss,loss_pol_surr,ev_tdlam_before,TimeElapsed,EpThisIter
4590,126902,199.35,1852.13964721,0.0186445,-0.137085,0.0,6969.74,-0.00372413,0.485114872456,109.79717493057251,5
4595,128598,205.08,1905.33808286,0.019551,-0.138051,0.0,5965.32,-0.0159828,0.699022173882,111.5226538181305,5
4599,130928,225.2,2092.48368163,0.0129574,-0.143785,0.0,6527.48,-0.0039154,0.481841385365,113.28197026252747,4
4609,133067,231.42,2150.22606601,0.0136783,-0.165233,0.0,6172.35,-0.0104637,0.688175886869,115.01664185523987,10
4615,134600,240.7,2236.46382535,0.0207125,-0.159919,0.0,6498.01,-0.0142972,0.56965509057,116.76563143730164,6
4625,137208,252.32,2344.44576112,0.0289584,-0.186642,0.0,6084.4,0.00271746,0.676294773817,118.4843738079071,10
4629,139229,269.15,2500.96949476,0.0190935,-0.19502,0.0,5343.57,-0.00837253,0.645931750536,120.23437023162842,4
4634,140639,275.35,2558.54588606,0.0234826,-0.192914,0.0,5470.35,-0.0104496,0.702065765858,121.9531135559082,5
4639,143146,295.75,2748.21038894,0.012557,-0.195103,0.0,5875.64,-0.0083275,0.464883744717,123.7031090259552,5
4647,145400,310.58,2885.96808901,0.00770445,-0.197679,0.0,5493.33,-0.00675893,0.73136895895,125.42185282707214,8
4659,147424,306.45,2847.32986365,0.00884324,-0.186903,0.0,5202.8,-0.0153933,0.747469782829,127.17184829711914,12
4667,149336,305.64,2839.77636434,0.0105526,-0.209139,0.0,6182.24,-0.0133062,0.684768617153,128.92899370193481,8
4673,151049,303.8,2822.60600732,0.0191757,-0.209847,0.0,5296.62,-0.0096154,0.715796768665,130.6791787147522,6
4679,153388,303.41,2818.89148864,0.0208224,-0.214396,0.0,5243.62,0.000576619,0.69106143713,132.40626692771912,6
4685,155440,307.45,2856.38500775,0.00954386,-0.243382,0.0,5597.96,-0.0169552,0.618856430054,134.15626168251038,6
4689,157246,312.14,2900.05663853,0.00729038,-0.251698,0.0,5030.32,-0.0112019,0.571883022785,135.92188215255737,4
4692,159292,313.65,2914.17705769,0.0165128,-0.246037,0.0,5012.56,-0.00788834,0.44249767065,137.6634337902069,3
4697,161400,314.44,2921.58863717,0.0185628,-0.250664,0.0,5590.3,-0.00884836,0.636966377497,139.40621900558472,5
4701,163693,319.26,2966.44574744,0.0116838,-0.273951,0.0,4849.5,-0.0108746,0.637134999037,141.1511743068695,4
4706,165607,330.64,3072.40560611,0.00638676,-0.278103,0.0,5931.45,-0.0118378,0.54950684309,142.90562081336975,5
