EpRewMean,ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_pol_entpen,loss_ent,TimestepsSoFar,EpLenMean,EpisodesSoFar,loss_kl,loss_vf_loss,EpThisIter
4449.37074459,0.64878448844,-0.00540405,141.62504601478577,0.0,-0.25971,161105,477.93,4399,0.0253791,4388.33,3
4581.92705458,0.727872639894,-0.0158815,143.40628957748413,0.0,-0.244735,163359,492.15,4403,0.011985,4267.88,4
4735.64772576,0.123643934727,-0.0171282,145.17191076278687,0.0,-0.253701,165756,508.63,4406,0.0176563,5807.7,3
4834.96960219,0.715158075094,-0.00360794,146.95265173912048,0.0,-0.27331,167378,519.28,4409,0.01386,4259.41,3
4959.94265007,0.0866875648499,-0.00149525,148.73476004600525,0.0,-0.287281,169378,532.67,4411,0.0172613,5011.1,2
5105.99661837,-0.0282570123672,-0.00577516,150.51584315299988,0.0,-0.291311,171378,548.33,4413,0.00561197,5178.79,2
5221.63831332,0.457279682159,0.00427531,152.2814621925354,0.0,-0.315003,173677,560.72,4416,0.0282511,4889.53,3
5328.28779274,0.310416519642,-0.00636108,154.04708123207092,0.0,-0.308972,175957,572.13,4419,0.00726429,5229.11,3
5441.2311481,-0.00494277477264,-0.00715598,155.82832527160645,0.0,-0.302703,177957,584.22,4421,0.0099719,5209.11,2
5518.56550383,0.391721010208,-0.000397434,157.60957098007202,0.0,-0.334406,180025,592.49,4424,0.030885,5246.04,3
5544.68797289,0.129624426365,-0.00942871,159.35956597328186,0.0,-0.358182,182025,595.27,4426,0.00840325,4442.48,2
5550.37569702,0.561284989119,-0.0101669,161.1474642753601,0.0,-0.356366,183374,595.86,4429,0.00679073,4344.65,3
5599.1947987,-0.0363290309906,-0.00127585,162.90615844726562,0.0,-0.361196,185374,601.08,4431,0.0265669,4965.47,2
5758.49123302,2.68220901489e-06,-0.00596274,164.68740344047546,0.0,-0.34385,188374,618.14,4434,0.0113559,5749.69,3
5915.3962846,-0.0010666847229,-0.00521988,166.45302295684814,0.0,-0.342082,190374,634.96,4436,0.0134248,4972.05,2
5976.01691448,0.630996525288,0.00851902,168.23426914215088,0.0,-0.351663,191782,641.46,4438,0.054918,2678.63,2
6087.11392205,-0.0150227546692,-0.00358348,169.9928114414215,0.0,-0.340258,193782,653.36,4440,0.0272105,4864.33,2
6167.25053666,0.592179268599,-0.0110064,171.76641082763672,0.0,-0.351939,196516,661.93,4447,0.0127101,6724.67,7
6201.70724136,0.0520288348198,-0.00619865,173.54737663269043,0.0,-0.345621,198516,665.6,4449,0.0154949,4730.97,2
6201.97066558,-0.00831973552704,-0.00220934,175.313081741333,0.0,-0.335101,200516,665.6,4451,0.0177838,4799.33,2
6341.66195724,-0.0184453725815,-0.00405407,177.07857012748718,0.0,-0.330078,202516,680.58,4453,0.00938703,4732.4,2
6375.45545713,0.199619889259,-0.013571,178.84425830841064,0.0,-0.323904,204533,684.18,4456,0.0139359,5206.0,3
6441.40261603,0.138209700584,-0.00365721,180.62582755088806,0.0,-0.318723,206696,691.24,4459,0.0116352,5138.78,3
6555.75213749,0.697491288185,-0.0121651,182.39147448539734,0.0,-0.325243,208808,703.51,4463,0.00684941,3137.04,4
6529.94612213,0.79892206192,-0.0165276,184.15632724761963,0.0,-0.308124,210146,700.74,4466,0.0218322,2831.01,3
6614.50592737,-0.101147890091,-0.00506783,185.9219455718994,0.0,-0.308813,212146,709.8,4468,0.0120595,4799.57,2
6740.48505682,0.443100094795,-0.0094941,187.703191280365,0.0,-0.312234,214636,723.31,4472,0.00916179,6210.44,4
6811.23520258,0.249515235424,0.00064189,189.46881008148193,0.0,-0.310403,216761,730.89,4475,0.0277536,5511.58,3
6851.13048593,0.194286227226,-0.00732768,191.23443245887756,0.0,-0.314712,219004,735.16,4478,0.0134077,5690.18,3
6715.25674692,0.670605689287,-0.0067475,193.00004959106445,0.0,-0.322905,220466,720.58,4481,0.00867825,3872.17,3
6639.28281929,0.532317638397,-0.011756,194.77004551887512,0.0,-0.330537,223154,712.43,4485,0.0126686,3967.79,4
6465.68575135,0.609690248966,-0.0113897,196.54766869544983,0.0,-0.352225,225127,693.8,4489,0.00728227,5462.56,4
6533.35915605,0.313488125801,-0.00370757,198.3235764503479,0.0,-0.361281,226691,701.06,4491,0.0329343,4259.47,2
6614.01966553,0.403771102428,-0.00617618,200.07821345329285,0.0,-0.341105,228945,709.71,4494,0.00607533,5404.82,3
6620.3997696,0.581749886274,-0.00990085,201.8640456199646,0.0,-0.342705,230607,710.4,4496,0.0211912,3315.38,2
6647.09481929,0.707744985819,-0.00949851,203.62642002105713,0.0,-0.367563,233387,713.27,4501,0.00897269,4852.4,5
