TimestepsSoFar,TimeElapsed,loss_kl,loss_pol_entpen,ev_tdlam_before,loss_vf_loss,EpThisIter,EpLenMean,loss_ent,loss_pol_surr,EpisodesSoFar,EpRewMean
231000,201.93743181228638,0.0321046,0.0,0.0476583838463,78.5354,2,1000.0,1.91869,-0.036733,231,901.913518828
233000,203.71839570999146,0.0272039,0.0,0.361114084721,80.9622,2,1000.0,1.90649,-0.041808,233,909.242786315
235000,205.5003378391266,0.0276294,0.0,0.0935792326927,83.9486,2,1000.0,1.90143,-0.0356081,235,916.500348281
237000,207.2970676422119,0.0332987,0.0,0.0735622048378,85.533,2,1000.0,1.85878,-0.0374175,237,923.403694948
239000,209.07850456237793,0.0294428,0.0,0.0481083393097,85.8055,2,1000.0,1.83399,-0.0332075,239,930.855228071
241000,210.8589096069336,0.025149,0.0,0.0835915803909,85.3524,2,1000.0,1.83075,-0.0354189,241,936.805173226
243000,212.64161705970764,0.0367727,0.0,0.0877906680107,85.113,2,1000.0,1.81676,-0.0336436,243,943.003418881
245000,214.4373128414154,0.0239906,0.0,0.100601732731,85.774,2,1000.0,1.78881,-0.0360776,245,949.135725186
247000,216.20334696769714,0.0233853,0.0,0.0368547439575,89.6279,2,1000.0,1.78623,-0.0367676,247,955.848248611
249000,218.0002019405365,0.0214074,0.0,0.109006285667,89.2172,2,1000.0,1.74565,-0.0402189,249,961.702033792
251000,219.78113341331482,0.0267513,0.0,0.128203809261,88.1119,2,1000.0,1.70551,-0.0389675,251,968.67725736
253000,221.5626347064972,0.0236608,0.0,0.0426697731018,94.8049,2,1000.0,1.68132,-0.0396155,253,973.922576143
256000,223.3280475139618,0.0389582,0.0,0.0456709861755,130.293,3,1000.0,1.633,-0.0331686,256,983.137998994
258000,225.10907769203186,0.0273234,0.0,0.111779212952,89.1359,2,1000.0,1.61595,-0.0367479,258,989.065819774
260000,226.87470388412476,0.0282483,0.0,0.0712053179741,94.2757,2,1000.0,1.53556,-0.0350534,260,995.10982424
262000,228.65593934059143,0.0276854,0.0,0.069503903389,92.9523,2,1000.0,1.51221,-0.0371841,262,1001.7196344
264000,230.43791961669922,0.0353319,0.0,0.0576111078262,96.3961,2,1000.0,1.48296,-0.032223,264,1007.63871033
266000,232.21894216537476,0.027644,0.0,0.0567994117737,91.8052,2,1000.0,1.46848,-0.0368154,266,1012.65681745
268000,233.99996662139893,0.026446,0.0,0.0769192576408,98.7677,2,1000.0,1.47901,-0.037657,268,1018.6702693
270000,235.7653329372406,0.0299595,0.0,0.0559238195419,101.781,2,1000.0,1.42182,-0.0353834,270,1026.21816588
272000,237.54730415344238,0.0422309,0.0,0.103982925415,101.243,2,1000.0,1.43055,-0.0358702,272,1032.12365834
274000,239.31315970420837,0.025843,0.0,0.0769121646881,94.0688,2,1000.0,1.40725,-0.0362103,274,1037.7705729
276000,241.0943284034729,0.027464,0.0,0.0481790304184,102.827,2,1000.0,1.3606,-0.0376685,276,1042.65508468
278000,242.8755807876587,0.0259829,0.0,0.0763905644417,100.528,2,1000.0,1.32922,-0.0336247,278,1048.31840291
280000,244.65761160850525,0.0292785,0.0,0.133411049843,102.216,2,1000.0,1.32265,-0.035592,280,1052.67155573
