loss_ent,ev_tdlam_before,loss_kl,EpisodesSoFar,loss_pol_entpen,EpRewMean,loss_vf_loss,EpThisIter,EpLenMean,TimestepsSoFar,loss_pol_surr,TimeElapsed
5.37264,0.980631861836,0.0204801,1554,0.0,637.362110695,30.5593,9,219.09,237452,-0.0567104,237.83527636528015
5.31009,0.983024053276,0.021456,1563,0.0,651.597627893,28.5993,9,222.6,239509,-0.0564393,239.87403178215027
5.28902,0.963283032179,0.0174992,1573,0.0,646.32001507,43.4198,10,222.25,241644,-0.0546606,241.90822315216064
5.24373,0.987124335952,0.0240386,1581,0.0,652.543469777,23.153,8,224.53,243553,-0.0589967,243.9395604133606
5.23583,0.980526169762,0.0190637,1591,0.0,647.601892421,42.2998,10,221.83,245655,-0.0609254,245.97570180892944
5.20203,0.980832610279,0.0193386,1600,0.0,658.687629698,36.7348,9,224.16,247797,-0.0610973,248.00716400146484
5.19458,0.960859030485,0.0191353,1608,0.0,656.306155136,45.1519,8,224.75,249676,-0.0546252,250.04585528373718
5.17586,0.975120367482,0.0208371,1616,0.0,666.005885465,53.6816,8,227.14,251709,-0.0563156,252.09466218948364
5.13335,0.980957711115,0.0235085,1625,0.0,674.27288334,43.9798,9,228.97,253916,-0.0635239,254.13636565208435
5.0914,0.979803632945,0.0235588,1634,0.0,679.496202531,48.0955,9,230.41,255994,-0.062103,256.17012548446655
5.07683,0.986091400497,0.0221445,1643,0.0,679.820042924,28.4485,9,230.03,257971,-0.0625148,258.2021007537842
5.0496,0.9815077167,0.018836,1651,0.0,688.595734062,47.2794,8,232.63,259956,-0.059104,260.2360200881958
5.03077,0.970628391951,0.017752,1660,0.0,691.040249475,61.0405,9,232.85,262119,-0.052637,262.28708934783936
5.04537,0.984349625185,0.0239682,1668,0.0,701.425778662,34.6214,8,234.18,264059,-0.0564779,264.3196506500244
5.03536,0.969630168751,0.0239501,1677,0.0,710.134499146,52.7825,9,235.64,266175,-0.0526552,266.35842752456665
4.98888,0.978893104941,0.0213373,1685,0.0,715.801755366,44.74,8,237.24,268076,-0.0567081,268.38942217826843
4.937,0.986307613552,0.0194235,1694,0.0,721.436759176,38.4513,9,238.59,270270,-0.0550261,270.49229311943054
4.95603,0.990630399436,0.0249672,1702,0.0,724.086909259,22.0755,8,238.49,272263,-0.0564819,272.51393699645996
4.94374,0.98843385838,0.0207047,1711,0.0,732.396826652,24.1384,9,238.65,274341,-0.0646248,274.5480926036835
4.9174,0.983572689816,0.0177554,1720,0.0,728.367318996,38.7235,9,237.14,276398,-0.0580675,276.5853855609894
4.88123,0.976286236197,0.0224949,1729,0.0,723.662657094,30.5313,9,235.75,278366,-0.0609648,278.6240782737732
4.86549,0.981531890109,0.0192415,1739,0.0,723.432373756,43.7837,10,235.01,280535,-0.0561049,280.6744327545166
4.83934,0.986732300371,0.0267162,1748,0.0,727.351725725,23.3077,9,235.3,282590,-0.0522302,282.70972204208374
4.84611,0.988565103151,0.0210893,1757,0.0,722.86705143,24.9734,9,232.71,284660,-0.0609341,284.76432967185974
4.83756,0.967544425279,0.0175175,1766,0.0,713.359498407,43.1664,9,231.0,286681,-0.0536906,286.7957947254181
4.77746,0.978392701596,0.0247353,1776,0.0,705.523878152,43.927,10,228.09,288761,-0.0605089,288.82706022262573
4.73285,0.988711381331,0.0201161,1784,0.0,708.486521714,18.8031,8,228.45,290682,-0.0628125,290.85783767700195
4.70393,0.981573898345,0.0242954,1793,0.0,709.752950262,35.8375,9,228.02,292832,-0.051261,292.88909220695496
4.71164,0.98236807622,0.022844,1801,0.0,708.352614102,33.9184,8,227.88,294817,-0.0489715,294.9360795021057
4.6488,0.987521218136,0.0203921,1810,0.0,711.774158365,25.4634,9,228.28,296937,-0.0561215,296.9517500400543
4.5963,0.986273154616,0.0239918,1818,0.0,715.89531085,33.8088,8,229.17,298860,-0.0610016,298.99885416030884
4.58243,0.992318496108,0.0256296,1827,0.0,727.442991813,24.3306,9,231.21,301015,-0.0608559,301.0384187698364
4.5562,0.98748813197,0.0252582,1835,0.0,733.796195775,26.6539,8,232.04,302895,-0.0628992,303.06968426704407
4.54172,0.990193512291,0.0241082,1844,0.0,739.011305826,23.9342,9,233.08,304975,-0.0580186,305.11076951026917
4.50131,0.98453483358,0.0241655,1853,0.0,742.446029649,33.7534,9,234.25,307125,-0.0542948,307.1477324962616
4.47572,0.990612839349,0.0247884,1862,0.0,743.452411809,24.002,9,234.02,309209,-0.0671367,309.1864721775055
4.43733,0.988145193085,0.0290543,1870,0.0,752.703419544,31.7959,8,235.72,311006,-0.0599849,311.2177712917328
4.41663,0.99111653585,0.0247314,1879,0.0,757.471669775,28.988,9,237.13,313194,-0.0566835,313.2491455078125
4.37723,0.99054742977,0.0203843,1888,0.0,755.557959216,24.7887,9,236.77,315324,-0.0596103,315.2825586795807
4.34047,0.988421624526,0.0255062,1896,0.0,759.96385316,28.7054,8,237.81,317268,-0.0602144,317.30399537086487
4.3001,0.985329457559,0.0259965,1905,0.0,758.139172051,28.1405,9,236.47,319442,-0.0573038,319.3425660133362
4.27355,0.989654103294,0.0238619,1914,0.0,760.719546518,23.7891,9,236.67,321494,-0.0554857,321.3782169818878
4.26822,0.989285668358,0.0251766,1922,0.0,760.920235013,23.3554,8,237.19,323511,-0.0598226,323.4445958137512
4.26475,0.983740910888,0.0306207,1930,0.0,759.86885379,47.1319,8,236.83,325429,-0.048794,325.46826672554016
4.26528,0.981808811426,0.0220209,1939,0.0,759.004493464,35.73,9,236.58,327464,-0.0513441,327.49869179725647
4.23092,0.971719207242,0.0247932,1947,0.0,765.023077148,42.3771,8,238.44,329485,-0.0569638,329.5332365036011
4.2294,0.989906747825,0.0290291,1956,0.0,772.492237512,26.06,9,239.63,331733,-0.052257,331.56930708885193
4.24164,0.991815387271,0.0219224,1964,0.0,781.670833057,22.5807,8,241.62,333782,-0.0523524,333.600545167923
4.21331,0.98761993181,0.0241716,1971,0.0,788.46769073,30.274,7,243.37,335636,-0.0612297,335.632150888443
