loss_ent,EpLenMean,loss_pol_surr,loss_kl,ev_tdlam_before,loss_vf_loss,EpThisIter,TimestepsSoFar,EpRewMean,loss_pol_entpen,TimeElapsed,EpisodesSoFar
6.79745,163.65,-0.0454931,0.0146195,0.979108354077,31.5902,13,128975,362.937939422,0.0,130.6289677619934,1048
6.77281,164.06,-0.0426884,0.0120861,0.98504797183,15.3644,11,130898,367.890005957,0.0,132.69627213478088,1059
6.76878,163.61,-0.0484547,0.0163518,0.9821369946,28.437,13,133037,369.714653053,0.0,134.77387976646423,1072
6.69791,160.52,-0.0441855,0.0148222,0.94585441798,38.3522,13,135097,366.416800405,0.0,136.8414180278778,1085
6.66454,162.07,-0.0445631,0.0130774,0.960422612727,36.2419,13,137198,368.563615375,0.0,138.94542694091797,1098
6.59386,161.32,-0.0475998,0.0156414,0.967536438257,38.0139,12,139128,369.319345866,0.0,141.03126430511475,1110
6.55871,162.23,-0.0467519,0.0175331,0.975564416498,31.3777,13,141270,372.491525626,0.0,143.09707522392273,1123
6.53638,163.62,-0.0463429,0.0137782,0.978804323822,28.5085,12,143261,378.054830153,0.0,145.18903803825378,1135
6.52691,165.45,-0.0434679,0.0158078,0.973406819627,26.8409,11,145247,383.802862966,0.0,147.26965713500977,1146
6.51227,165.49,-0.0424527,0.0125847,0.952094063163,61.0507,12,147278,385.788606892,0.0,149.35256505012512,1158
6.47101,165.44,-0.0494197,0.0156491,0.963937044144,48.5261,13,149391,388.663526441,0.0,151.41456031799316,1171
6.43845,165.22,-0.0474368,0.0146941,0.957222364843,41.8484,13,151417,393.338381828,0.0,153.50086879730225,1184
6.43483,164.57,-0.0455253,0.0131232,0.967475406826,41.3409,13,153505,397.098721457,0.0,155.56532621383667,1197
6.40587,165.76,-0.04334,0.0164894,0.982804555446,27.9682,12,155541,403.59034368,0.0,157.6497323513031,1209
6.39154,165.81,-0.0458589,0.016061,0.967699106783,49.8213,13,157668,409.349770347,0.0,159.7343578338623,1222
6.34979,166.6,-0.0477039,0.0124816,0.956467095762,66.8787,11,159598,411.258310293,0.0,161.81323075294495,1233
6.30626,165.87,-0.0514683,0.0163387,0.959436368197,46.458,12,161674,414.013019898,0.0,163.90993857383728,1245
6.31013,167.38,-0.0494312,0.016816,0.969112215564,35.3179,12,163789,419.945292974,0.0,166.02931022644043,1257
6.26999,166.41,-0.0499273,0.0163408,0.985634746961,25.5252,12,165762,420.325480371,0.0,168.16026067733765,1269
6.2667,170.46,-0.0476728,0.0155803,0.967151038349,31.4499,11,167796,432.771847921,0.0,170.2696499824524,1280
6.24218,171.88,-0.0461237,0.0149589,0.973650924861,36.9069,12,169955,443.350176453,0.0,172.38217091560364,1292
6.20857,175.33,-0.0515728,0.0166019,0.919994674623,52.564,10,171843,456.168976483,0.0,174.48476219177246,1302
6.17563,176.8,-0.0471162,0.0145139,0.936947651207,118.392,12,173975,465.076243828,0.0,176.5942029953003,1314
6.13917,176.6,-0.0532818,0.0164699,0.946898575872,86.8901,12,176066,470.123989554,0.0,178.7037389278412,1326
6.07182,177.11,-0.0523255,0.0202576,0.94399054721,94.1254,11,178047,475.132713241,0.0,180.7976851463318,1337
5.99043,179.16,-0.052511,0.0149416,0.967168040574,65.1044,11,180093,486.6249638,0.0,182.89364957809448,1348
5.96561,180.48,-0.0503099,0.0198442,0.968935959041,63.5435,11,182179,496.805519461,0.0,184.96196675300598,1359
5.9316,185.33,-0.0496419,0.0157656,0.970885196701,44.8035,9,184139,516.200141087,0.0,187.05555033683777,1368
5.94795,187.54,-0.0511937,0.0189331,0.978134602308,36.4089,10,186193,526.486558718,0.0,189.11849641799927,1378
5.94185,188.43,-0.0473609,0.014796,0.933076038957,119.599,12,188415,530.795363883,0.0,191.18945336341858,1390
5.94554,188.99,-0.0476673,0.0151856,0.961795158684,59.5492,10,190327,535.058167761,0.0,193.25305557250977,1400
5.91594,192.24,-0.0531224,0.0152811,0.977000145242,35.3863,10,192469,548.921108119,0.0,195.3213255405426,1410
5.88646,195.15,-0.0539188,0.0172023,0.973304616287,54.4638,9,194312,561.405025662,0.0,197.4145905971527,1419
5.88823,197.27,-0.0483007,0.0158953,0.98014437966,50.7922,11,196506,571.32636542,0.0,199.4699923992157,1430
5.85084,200.18,-0.045395,0.0149006,0.976460501552,48.5855,9,198482,582.824471684,0.0,201.54918003082275,1439
5.823,204.79,-0.0550918,0.0188901,0.983228575438,39.4667,9,200572,599.020245791,0.0,203.6132287979126,1448
5.82094,210.12,-0.0471527,0.018732,0.979454236105,48.7299,9,202729,618.650068176,0.0,205.68075466156006,1457
5.83229,212.57,-0.0483922,0.0160111,0.974253389984,59.7222,8,204644,626.325695984,0.0,207.73490595817566,1465
5.8382,211.66,-0.0519929,0.0171161,0.978165937588,52.9097,10,206800,626.119660952,0.0,209.8034017086029,1475
5.79256,215.12,-0.0460092,0.0183052,0.980130683631,61.1701,8,208627,638.051616039,0.0,211.85938954353333,1483
5.7858,218.76,-0.053038,0.0173382,0.983688795939,40.5471,10,210861,653.137893333,0.0,213.9226839542389,1493
5.74924,219.97,-0.0501911,0.0156879,0.969541311264,51.6196,9,212757,655.824929961,0.0,215.9880473613739,1502
5.7507,222.8,-0.0467984,0.0164575,0.976345555857,38.8864,9,214972,665.947869325,0.0,218.05560088157654,1511
5.73854,223.95,-0.0531707,0.0222959,0.977220520377,51.9122,9,216970,670.302308675,0.0,220.125506401062,1520
5.7457,227.75,-0.0544725,0.020327,0.978014903143,44.9083,8,218930,681.098371452,0.0,222.1877624988556,1528
5.67964,230.62,-0.051645,0.0154665,0.975188244134,53.9325,8,220910,692.052252402,0.0,224.2502133846283,1536
5.67404,231.32,-0.0546506,0.019733,0.977344704792,50.2614,9,223045,695.451837129,0.0,226.31244230270386,1545
5.69607,230.31,-0.0531658,0.0190604,0.976045597345,55.9295,9,225057,691.788257329,0.0,228.3658173084259,1554
5.66268,229.01,-0.0537628,0.0186598,0.96837021783,63.0251,9,227070,687.765822189,0.0,230.41491174697876,1563
5.62469,232.08,-0.0541681,0.0161599,0.969608377665,75.9939,9,229329,699.754586703,0.0,232.46963548660278,1572
5.59804,232.48,-0.0531326,0.0202828,0.970667196438,65.8273,8,231192,701.677388247,0.0,234.5468339920044,1580
5.61203,233.18,-0.0497475,0.0192672,0.974823504686,48.3976,9,233425,702.627896202,0.0,236.60264611244202,1589
5.57657,235.73,-0.0568791,0.021747,0.980077633634,53.8089,9,235469,714.657360487,0.0,238.67263388633728,1598
5.53645,235.14,-0.0536239,0.016227,0.98017382808,57.663,9,237479,713.900835834,0.0,240.7273256778717,1607
5.52208,235.5,-0.0516726,0.0154395,0.979786293581,62.1271,9,239596,716.35997495,0.0,242.78947687149048,1616
5.48751,236.41,-0.0495047,0.0202943,0.98029255867,64.3394,8,241540,721.968716187,0.0,244.85272526741028,1624
5.47253,233.98,-0.0515042,0.0240067,0.980515580624,52.0951,9,243601,717.160835989,0.0,246.90711665153503,1633
5.4035,233.24,-0.0530529,0.0223326,0.981757039204,49.0519,9,245579,716.921296654,0.0,248.95615124702454,1642
5.39064,232.52,-0.05069,0.020881,0.984332311898,34.1373,9,247585,719.303548315,0.0,251.02448868751526,1651
5.35994,234.39,-0.0563322,0.0202385,0.988354872912,26.9062,9,249708,728.862413831,0.0,253.07907915115356,1660
5.32838,233.29,-0.0544424,0.0178571,0.987499492243,27.5085,8,251769,727.98019709,0.0,255.1437737941742,1668
5.30032,234.1,-0.0488952,0.0236726,0.98892135825,31.7901,8,253786,735.612374633,0.0,257.2038116455078,1676
5.29934,235.47,-0.0583451,0.0225367,0.988326138817,34.2928,9,255992,746.273679773,0.0,259.2732594013214,1685
5.26168,236.03,-0.0555599,0.0192646,0.984519724734,35.5435,8,257985,747.326117672,0.0,261.3361098766327,1693
5.26448,237.97,-0.057324,0.0206179,0.989138735458,27.8101,8,259922,756.989789316,0.0,263.3834059238434,1701
5.20697,238.99,-0.0566221,0.0163573,0.990273505449,29.4003,9,262133,763.632626353,0.0,265.4462172985077,1710
5.19303,242.07,-0.0541591,0.018402,0.992683100048,24.0,7,264014,777.710398894,0.0,267.5158181190491,1717
5.17421,243.91,-0.0533882,0.0198425,0.992046741769,19.854,8,266149,785.587853214,0.0,269.5624384880066,1725
5.11636,245.12,-0.0546965,0.0206005,0.990733671933,24.3868,8,268113,792.634628773,0.0,271.6255443096161,1733
5.1327,248.39,-0.0490774,0.0230779,0.989648521878,30.7034,8,270154,805.317664862,0.0,273.6878182888031,1741
5.11303,251.75,-0.051827,0.0198847,0.987154188566,20.665,8,272301,816.130477326,0.0,275.75011944770813,1749
5.1057,252.2,-0.0573168,0.0210682,0.988197691739,23.5463,8,274238,816.315853722,0.0,277.81331968307495,1757
5.04928,253.46,-0.0563151,0.0211853,0.989422372542,26.8791,8,276378,820.868156833,0.0,279.8785607814789,1765
5.08946,255.64,-0.0486947,0.0202679,0.988757017069,28.6116,7,278317,827.431885216,0.0,281.93685579299927,1772
