EpThisIter,EpRewMean,loss_pol_entpen,TimeElapsed,TimestepsSoFar,EpLenMean,EpisodesSoFar,loss_pol_surr,loss_vf_loss,loss_kl,loss_ent,ev_tdlam_before
2,977.81,0.0,130.20208859443665,169893,977.81,924,-0.00621752,68.7612,0.00809716,0.999785,-0.00533092021942
3,964.17,0.0,131.73328018188477,171529,964.17,927,-0.012305,3.05992,0.00482594,0.988447,0.937001943588
2,967.92,0.0,133.2815306186676,173529,967.92,929,-0.00464971,70.1287,0.00571275,0.971908,-0.0105096101761
3,967.72,0.0,134.85829281806946,175858,967.72,932,-0.00782392,57.7219,0.00731885,0.96578,0.68222796917
2,972.99,0.0,136.45208597183228,177858,972.99,934,-0.00502674,70.0912,0.00349472,0.984125,-0.0195472240448
2,972.99,0.0,138.0299518108368,179858,972.99,936,-0.0074521,51.1658,0.00588704,0.991411,0.147519946098
2,972.99,0.0,139.5941562652588,181858,972.99,938,-0.00650703,70.3708,0.00334076,0.99681,-0.00139272212982
2,972.99,0.0,141.1550009250641,183858,972.99,940,-0.00772941,70.0542,0.00893416,1.01653,-0.000531673431396
2,972.99,0.0,142.7181921005249,185858,972.99,942,-0.006118,69.624,0.00532757,0.99481,-0.00882148742676
2,972.99,0.0,144.28071188926697,187858,972.99,944,-0.00570496,69.4573,0.0102788,1.00418,-0.00164306163788
3,968.27,0.0,145.8439428806305,190247,968.27,947,-0.00515855,69.5513,0.00380932,1.02769,0.572357833385
2,968.27,0.0,147.4057252407074,192247,968.27,949,-0.0082221,68.9025,0.00851483,1.03042,-0.00208330154419
2,967.24,0.0,148.96780133247375,194144,967.24,951,-0.0145536,28.2568,0.00853297,1.03123,0.737883299589
2,967.24,0.0,150.53028988838196,196144,967.24,953,-0.00792541,70.0192,0.00574114,1.01668,-0.00194811820984
2,967.24,0.0,152.07693362236023,198144,967.24,955,-0.00716851,69.7294,0.00805218,1.00771,-0.000107169151306
2,967.24,0.0,153.60810232162476,200144,967.24,957,-0.0057566,69.5352,0.00378092,0.991777,-0.00420749187469
2,967.24,0.0,155.16118955612183,202144,967.24,959,-0.00665365,69.3593,0.00923165,1.00728,-0.00301802158356
2,967.24,0.0,156.73373651504517,204144,967.24,961,-0.00459081,69.2483,0.00908489,1.00951,-0.000307679176331
2,967.24,0.0,158.29541397094727,206144,967.24,963,-0.00695691,69.0788,0.00753689,1.00006,-0.000185251235962
2,967.24,0.0,159.85806918144226,208144,967.24,965,-0.00572591,31.35,0.011261,0.99711,0.246626138687
2,967.24,0.0,161.4204671382904,210144,967.24,967,-0.00624228,62.7948,0.00869502,0.990383,0.0249347686768
2,967.24,0.0,162.98294734954834,212144,967.24,969,-0.00910341,64.3617,0.00697328,0.99699,0.1407802701
2,967.24,0.0,164.54575848579407,214144,967.24,971,-0.00689161,71.6233,0.00678984,1.00515,-0.0157775878906
2,967.24,0.0,166.09295511245728,216144,967.24,973,-0.00420517,70.4922,0.00562276,1.00313,-0.013322353363
2,967.24,0.0,167.6596097946167,218144,967.24,975,-0.00614393,70.2045,0.00536124,0.987213,-0.00186288356781
3,967.24,0.0,169.20292568206787,221144,967.24,978,-0.0046387,91.2915,0.00729092,0.986698,-0.000270128250122
2,967.24,0.0,170.76439499855042,223144,967.24,980,-0.0112584,57.9977,0.00974192,0.999659,-0.000248193740845
2,967.24,0.0,172.32923674583435,225144,967.24,982,-0.00699958,70.2589,0.00971349,0.993376,-0.0490275621414
2,967.24,0.0,173.8892855644226,227144,967.24,984,-0.00659575,69.2401,0.00870509,1.01985,-0.0105893611908
2,967.24,0.0,175.46744441986084,229144,967.24,986,-0.00672878,69.0708,0.00853187,1.0271,-0.00199627876282
2,967.24,0.0,177.03836750984192,231144,967.24,988,-0.00583232,68.9375,0.00488984,1.02853,-0.00452959537506
2,967.24,0.0,178.61143851280212,233144,967.24,990,-0.00538316,68.8573,0.00770802,1.0198,-0.00214421749115
2,967.24,0.0,180.1556317806244,235144,967.24,992,-0.00807528,68.776,0.00790432,1.0407,-8.225440979e-05
2,967.24,0.0,181.71784687042236,237144,967.24,994,-0.0106122,68.7756,0.0111646,1.04285,-0.000660538673401
2,967.24,0.0,183.26464223861694,239144,967.24,996,-0.0054616,68.6883,0.00915109,1.04327,-0.000840187072754
4,951.41,0.0,184.8273754119873,241561,951.41,1000,-0.00763085,119.527,0.00593623,1.02568,0.00516486167908
2,944.16,0.0,186.39514231681824,242836,944.16,1002,-0.00826632,36.6947,0.00589323,1.03745,0.181934118271
2,944.16,0.0,187.95214200019836,244836,944.16,1004,-0.00822866,65.798,0.0187848,1.06253,-0.0258910655975
2,944.16,0.0,189.5064401626587,246836,944.16,1006,-0.00694339,68.3746,0.00926752,1.07439,-0.0292798280716
3,944.16,0.0,191.06189894676208,249836,944.16,1009,-0.00600308,100.546,0.0103109,1.07982,-0.0022257566452
2,944.16,0.0,192.60875940322876,251836,944.16,1011,-0.00775631,67.6393,0.00541193,1.09541,-0.00314319133759
2,944.16,0.0,194.17112231254578,253836,944.16,1013,-0.00655734,67.7513,0.00833792,1.09313,-0.00177180767059
3,937.39,0.0,195.71797919273376,255632,937.39,1016,-0.00970226,40.413,0.00543721,1.09936,0.569839328527
2,933.61,0.0,197.28083968162537,257254,933.61,1018,-0.00811615,68.6412,0.00811496,1.09852,-0.00434124469757
3,928.95,0.0,198.85789394378662,259788,928.95,1021,-0.010384,92.1779,0.00937237,1.09667,0.00931251049042
2,928.95,0.0,200.42136597633362,261788,928.95,1023,-0.0103258,68.7094,0.00750232,1.06804,-0.0689669847488
2,932.02,0.0,201.98345065116882,263788,932.02,1025,-0.00698871,67.3368,0.00698207,1.06192,-0.0188199281693
2,942.59,0.0,203.57817006111145,265788,942.59,1027,-0.00751327,67.7719,0.00625927,1.06149,-0.0155380964279
2,942.59,0.0,205.13957858085632,267788,942.59,1029,-0.00329156,67.7673,0.00430086,1.0766,-0.000815868377686
