TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,loss_pol_entpen,EpThisIter,loss_vf_loss,loss_pol_surr,EpRewMean,loss_kl,TimeElapsed,loss_ent,EpLenMean
75750,1515,0.793097063899,0.0,41,2.62769,-0.0246385,-20.1318477275,0.00854578,65.25945377349854,0.352576,50.0
77800,1556,0.808406814933,0.0,41,2.17924,-0.0232963,-19.6463783824,0.0143149,66.99995732307434,0.309008,50.0
79850,1597,0.7596103549,0.0,41,2.39054,-0.0235872,-19.2431095746,0.0109732,68.75759816169739,0.276839,50.0
81900,1638,0.749121576548,0.0,41,2.59418,-0.0213213,-19.2616051163,0.00829991,70.50679874420166,0.21703,50.0
83950,1679,0.820499822497,0.0,41,1.87927,-0.0222258,-18.9438931933,0.0122668,72.27255082130432,0.147359,50.0
86000,1720,0.675803035498,0.0,41,2.41931,-0.0229132,-18.6499790598,0.00734425,74.02266597747803,0.102258,50.0
88050,1761,0.766993671656,0.0,41,1.9812,-0.026422,-18.7983874363,0.0106975,75.78081679344177,0.0444489,50.0
90100,1802,0.77273504436,0.0,41,1.92232,-0.0224094,-18.2030540365,0.012035,77.52282524108887,-0.0300176,50.0
92150,1843,0.852312430739,0.0,41,1.49959,-0.0216533,-17.0875725291,0.0123247,79.27926278114319,-0.0853198,50.0
94200,1884,0.836387574673,0.0,41,1.12207,-0.0265938,-16.16589449,0.012662,81.03144550323486,-0.133884,50.0
96250,1925,0.830750182271,0.0,41,1.28439,-0.016767,-16.2116501889,0.0101636,82.77561044692993,-0.167837,50.0
98300,1966,0.81504163146,0.0,41,1.50444,-0.0227806,-16.4689821241,0.0122224,84.5310549736023,-0.208308,50.0
100350,2007,0.805782496929,0.0,41,1.3127,-0.0235006,-16.6454173911,0.0140334,86.28097677230835,-0.259363,50.0
102400,2048,0.832157894969,0.0,41,1.19656,-0.0273594,-16.5483842468,0.0124321,88.03079533576965,-0.328436,50.0
