EpLenMean,loss_pol_entpen,ev_tdlam_before,loss_kl,loss_vf_loss,loss_ent,EpisodesSoFar,TimeElapsed,loss_pol_surr,TimestepsSoFar,EpRewMean,EpThisIter
1000.0,0.0,0.071994304657,0.0203604,55.5032,2.97911,186,163.78127455711365,-0.0414227,186000,623.734144906,2
1000.0,0.0,0.182595849037,0.022912,59.3395,2.9197,188,165.56336665153503,-0.0431617,188000,637.252674914,2
1000.0,0.0,0.217767298222,0.0185781,57.067,2.91162,190,167.36104774475098,-0.0377977,190000,649.890299303,2
1000.0,0.0,0.343352556229,0.0222533,60.4627,2.87683,192,169.17189264297485,-0.0463126,192000,661.956244581,2
1000.0,0.0,0.150457918644,0.0203231,59.3205,2.86929,194,170.9538221359253,-0.0382784,194000,674.040014599,2
1000.0,0.0,0.279839575291,0.0210088,61.979,2.86383,196,172.74998474121094,-0.0399832,196000,684.935905848,2
1000.0,0.0,0.309189081192,0.0213777,61.8026,2.80031,198,174.54753494262695,-0.0451269,198000,693.746266206,2
1000.0,0.0,0.229275882244,0.0283196,62.9158,2.75344,200,176.32848501205444,-0.0363735,200000,704.356204201,2
1000.0,0.0,0.129848182201,0.0258892,59.2917,2.72338,202,178.14140367507935,-0.0395717,202000,712.972794461,2
1000.0,0.0,0.228251814842,0.0251919,58.6036,2.72192,204,179.9379861354828,-0.0411967,204000,721.248573568,2
1000.0,0.0,0.0695955753326,0.0240288,61.1931,2.67661,206,181.71888637542725,-0.0385519,206000,731.002651003,2
1000.0,0.0,0.105149388313,0.023181,57.3011,2.64048,208,183.51576018333435,-0.0393438,208000,739.671204562,2
1000.0,0.0,0.0705676674843,0.0238563,59.2194,2.60791,210,185.29733395576477,-0.0352159,210000,747.072621336,2
1000.0,0.0,0.0935962796211,0.0220437,62.2889,2.61561,212,187.0938856601715,-0.0357276,212000,756.186199013,2
1000.0,0.0,0.152918577194,0.0227745,78.8243,2.63212,215,188.89082407951355,-0.0410872,215000,768.39607907,3
1000.0,0.0,0.0385457277298,0.0248368,62.0535,2.61834,217,190.67194509506226,-0.0356097,217000,776.65540952,2
1000.0,0.0,0.0637810826302,0.0213037,67.0486,2.57318,219,192.46970295906067,-0.0406189,219000,784.260928903,2
1000.0,0.0,0.167650282383,0.0238653,63.8363,2.57847,221,194.2656762599945,-0.0426438,221000,791.058646549,2
1000.0,0.0,0.151453793049,0.0212328,63.5244,2.51341,223,196.04831886291504,-0.0403245,223000,797.966095839,2
1000.0,0.0,0.283811569214,0.0242836,70.4799,2.52417,225,197.84414649009705,-0.0405553,225000,804.873593732,2
1000.0,0.0,0.291323244572,0.0241169,67.3381,2.44213,227,199.63343596458435,-0.0412737,227000,812.015744261,2
1000.0,0.0,0.506397843361,0.0229343,67.5095,2.44267,229,201.42307448387146,-0.0407794,229000,818.065549404,2
1000.0,0.0,0.110701262951,0.0266724,69.1331,2.40132,231,203.20302939414978,-0.0396762,231000,824.261135259,2
1000.0,0.0,0.0280590057373,0.0211805,67.2661,2.35703,233,204.99994325637817,-0.0382892,233000,829.884966245,2
1000.0,0.0,0.0575115084648,0.0217035,69.5527,2.36348,235,206.78190779685974,-0.0374232,235000,836.698315124,2
1000.0,0.0,0.295824348927,0.0321122,70.2955,2.37079,237,208.56276655197144,-0.0481171,237000,842.393925542,2
1000.0,0.0,0.100133240223,0.024352,68.9614,2.35116,239,210.34437131881714,-0.0403482,239000,846.786889233,2
1000.0,0.0,0.211207926273,0.0271419,72.788,2.31515,241,212.1410870552063,-0.0444773,241000,852.056176565,2
1000.0,0.0,0.0396181344986,0.0262341,72.2669,2.26291,243,213.92206835746765,-0.0404427,243000,857.42920364,2
1000.0,0.0,0.0480753183365,0.0350595,71.6798,2.23741,245,215.71942162513733,-0.0375778,245000,863.940262012,2
1000.0,0.0,0.12695735693,0.0213316,72.3781,2.21257,247,217.50104546546936,-0.0423383,247000,869.486271114,2
1000.0,0.0,0.0691887140274,0.0266955,74.1753,2.17231,249,219.2819459438324,-0.0339083,249000,875.749728669,2
1000.0,0.0,0.0660675764084,0.0279375,76.537,2.14958,251,221.07864427566528,-0.0381679,251000,882.942774034,2
1000.0,0.0,0.146109700203,0.0332397,75.2707,2.11616,253,222.86397695541382,-0.0361093,253000,888.60329103,2
1000.0,0.0,0.0685968995094,0.0206161,112.183,2.08071,256,224.65660548210144,-0.0408375,256000,896.213482453,3
1000.0,0.0,0.108343958855,0.0222549,75.6586,2.05858,258,226.43754863739014,-0.0403932,258000,901.784927057,2
1000.0,0.0,0.179621219635,0.0207949,80.3316,2.0602,260,228.22000432014465,-0.0434213,260000,906.190546433,2
1000.0,0.0,0.0429735779762,0.0244452,82.326,2.09613,262,230.00027179718018,-0.0390049,262000,911.78524301,2
1000.0,0.0,0.132523953915,0.0269173,82.7578,2.06516,264,231.79729628562927,-0.0400433,264000,916.344896567,2
1000.0,0.0,0.273330688477,0.0289908,84.372,2.04479,266,233.57886958122253,-0.0428927,266000,920.667864867,2
1000.0,0.0,0.41448700428,0.0247203,86.0933,2.04044,268,235.3599066734314,-0.0399823,268000,925.706238246,2
1000.0,0.0,0.0222946405411,0.0201389,80.897,2.02652,270,237.17239332199097,-0.0405996,270000,930.937262128,2
1000.0,0.0,0.0488859415054,0.0279161,81.867,1.97009,272,238.95333337783813,-0.0384397,272000,934.887276842,2
1000.0,0.0,0.0660658478737,0.0245394,79.8276,1.95038,274,240.73439192771912,-0.0410781,274000,939.753529498,2
1000.0,0.0,0.0737761259079,0.0276075,82.6081,1.89711,276,242.53205633163452,-0.0400472,276000,944.554573955,2
1000.0,0.0,0.181167900562,0.0222909,83.8357,1.90113,278,244.31305503845215,-0.0419744,278000,948.3311144,2
1000.0,0.0,0.0743343830109,0.0301626,85.2266,1.87542,280,246.0944004058838,-0.0346535,280000,954.791968589,2
1000.0,0.0,0.0627422332764,0.0229084,86.4243,1.83707,282,247.89090418815613,-0.0366411,282000,960.34505878,2
1000.0,0.0,0.0367079377174,0.0256164,88.5306,1.86762,284,249.67330622673035,-0.036101,284000,964.595143774,2
1000.0,0.0,0.143861591816,0.0304334,91.0394,1.8391,286,251.45452308654785,-0.0357597,286000,969.023626094,2
1000.0,0.0,0.103729307652,0.02944,88.6753,1.86084,288,253.2506618499756,-0.0329922,288000,974.237571901,2
1000.0,0.0,0.0257859826088,0.0339583,89.0869,1.83263,290,255.03181505203247,-0.0369002,290000,978.653797517,2
1000.0,0.0,0.0947214961052,0.0211758,88.8529,1.80319,292,256.8286871910095,-0.0414264,292000,983.009950245,2
1000.0,0.0,0.0667937994003,0.0234756,88.9214,1.76099,294,258.6105885505676,-0.0419369,294000,987.766686402,2
1000.0,0.0,0.109370112419,0.023943,90.575,1.74279,296,260.4020137786865,-0.0422634,296000,991.517305214,2
1000.0,0.0,0.0427196621895,0.0280234,127.329,1.79037,299,262.20400190353394,-0.0403538,299000,999.196866536,3
1000.0,0.0,0.0675737261772,0.025154,84.5342,1.76194,301,263.98282122612,-0.0394452,301000,1003.09629299,2
1000.0,0.0,0.0450122952461,0.0258104,91.2504,1.76489,303,265.7744507789612,-0.0355605,303000,1006.74679767,2
1000.0,0.0,0.0686196088791,0.0285193,88.643,1.75413,305,267.5626730918884,-0.0359748,305000,1010.73417052,2
