TimestepsSoFar,EpisodesSoFar,EpThisIter,TimeElapsed,loss_vf_loss,EpLenMean,loss_pol_entpen,loss_kl,loss_ent,loss_pol_surr,ev_tdlam_before,EpRewMean
212923,1580,10,224.758318901062,54.9733,202.21,0.0,0.0167394,5.71014,-0.0477507,0.968884235248,566.194230629
214931,1590,10,226.89725923538208,42.0204,202.51,0.0,0.0157675,5.70894,-0.0491851,0.972620226443,568.870013536
216935,1599,9,229.0556173324585,52.9285,205.42,0.0,0.0159739,5.67484,-0.0519109,0.966313563287,580.353658918
219116,1609,10,231.20259809494019,79.0573,206.77,0.0,0.0218854,5.5961,-0.0574269,0.961148172617,583.272265984
221093,1618,9,233.3594000339508,54.6512,208.12,0.0,0.0195474,5.55762,-0.0516725,0.973862875253,587.454304765
223065,1627,9,235.51564359664917,51.302,209.6,0.0,0.0219261,5.54553,-0.05253,0.978256436065,591.608234284
225148,1636,9,237.64045000076294,44.3259,212.95,0.0,0.0201147,5.49772,-0.0559183,0.979554675519,605.336149431
227192,1645,9,239.79744911193848,36.0503,214.31,0.0,0.0236627,5.46127,-0.0516842,0.97868248634,611.850939261
229222,1653,8,241.94408297538757,49.4709,218.6,0.0,0.0170191,5.40868,-0.0598842,0.967819020152,630.081445234
231314,1662,9,244.10210251808167,44.3785,220.8,0.0,0.0196414,5.42444,-0.0505916,0.972339425236,636.280164028
233471,1671,9,246.19033551216125,38.8254,224.38,0.0,0.0252177,5.3845,-0.0533929,0.975932994857,649.481348062
235373,1679,8,248.37730646133423,82.4269,226.52,0.0,0.0192499,5.33186,-0.0572795,0.958231117576,655.361875897
237501,1688,9,250.61128520965576,58.1546,229.1,0.0,0.0242025,5.31888,-0.0516724,0.974435668439,662.886923704
239482,1696,8,252.8438057899475,73.0445,232.4,0.0,0.0184983,5.33116,-0.0575895,0.962670970708,673.402012722
241598,1704,8,255.0850100517273,83.3301,235.83,0.0,0.0185977,5.31827,-0.0551067,0.96115475893,684.01331038
243494,1711,7,257.3206388950348,69.6959,239.98,0.0,0.0268284,5.30817,-0.051311,0.964074797928,695.922750543
245512,1719,8,259.596821308136,75.2575,241.89,0.0,0.0193492,5.29651,-0.0585282,0.962052542716,701.764586149
247634,1727,8,261.7270939350128,42.9837,245.69,0.0,0.0221124,5.27795,-0.055836,0.979971500114,716.671956375
249843,1735,8,263.8587820529938,74.3755,249.38,0.0,0.0235699,5.25356,-0.0531614,0.960525784642,728.74372651
251658,1741,6,265.9924190044403,74.1559,253.74,0.0,0.0235027,5.22794,-0.0612826,0.958970613778,738.850930921
253698,1748,7,268.13187980651855,75.1694,257.44,0.0,0.0231742,5.18515,-0.0626067,0.962490901351,750.989606746
255878,1755,7,270.28879857063293,69.2842,262.23,0.0,0.0228784,5.18644,-0.050837,0.90393486619,764.555762764
257855,1762,7,272.445184469223,78.8788,265.41,0.0,0.0206334,5.1851,-0.0544516,0.944041278213,771.226877753
259942,1768,6,274.58519077301025,133.507,272.23,0.0,0.0211787,5.15395,-0.0628532,0.911993376911,784.414607674
261964,1776,8,276.7111051082611,111.338,273.02,0.0,0.0207843,5.12762,-0.0585974,0.939035400748,785.440498483
264067,1784,8,278.87516951560974,73.4828,274.46,0.0,0.0243295,5.11716,-0.0604328,0.963129851967,788.474727666
265933,1791,7,281.01556277275085,69.0179,276.93,0.0,0.0187038,5.10569,-0.0634459,0.954096797854,794.443859828
268228,1798,7,283.1580934524536,107.385,282.5,0.0,0.0198893,5.09836,-0.0592203,0.910271465778,806.975781885
270301,1805,7,285.29970598220825,80.0748,284.41,0.0,0.0245369,5.02505,-0.0623204,0.948350310326,812.35671353
272021,1811,6,287.4456923007965,78.3032,285.27,0.0,0.0198735,5.00427,-0.0577321,0.963313248008,815.548419091
274271,1816,5,289.6022515296936,115.384,295.45,0.0,0.0200154,4.97784,-0.055911,0.880440458655,847.19225176
276380,1822,6,291.73400115966797,51.3219,301.14,0.0,0.0193334,4.96766,-0.0614232,0.973026527092,872.034703502
278364,1829,7,293.8816976547241,101.922,301.15,0.0,0.0241233,4.92401,-0.0571671,0.958251461387,872.438956934
280293,1836,7,296.0026648044586,71.5096,300.96,0.0,0.022291,4.92002,-0.0561271,0.962968286127,869.396306866
282502,1843,7,298.1476707458496,88.0659,299.91,0.0,0.0220056,4.93746,-0.0660119,0.933736890554,872.379849625
284499,1848,5,300.3047182559967,89.1997,308.01,0.0,0.0215778,4.89947,-0.0572469,0.943313557655,902.029851517
286532,1855,7,302.44394969940186,60.0651,306.54,0.0,0.0222616,4.89416,-0.058159,0.97030155547,898.156558827
288592,1861,6,304.5879633426666,77.4969,310.02,0.0,0.0252176,4.873,-0.0602247,0.962703503668,915.226409365
290499,1867,6,306.7183849811554,56.7498,308.76,0.0,0.0239199,4.83801,-0.0564514,0.966095861048,923.120222128
292848,1873,6,308.88221049308777,52.3599,317.55,0.0,0.0231795,4.81607,-0.058526,0.969508830458,961.850913446
294490,1877,4,311.0377686023712,55.065,322.99,0.0,0.0212172,4.80601,-0.0571668,0.960751678795,988.352441519
296929,1884,7,313.195353269577,37.0821,328.62,0.0,0.0266857,4.81988,-0.0615618,0.98133479245,1013.61770848
299007,1889,5,315.3214545249939,47.3188,335.15,0.0,0.0253834,4.78808,-0.0614494,0.978906141594,1046.83624771
300734,1893,4,317.45267820358276,61.3249,339.99,0.0,0.0184874,4.7469,-0.055156,0.948407772928,1069.36357653
303040,1899,6,319.624719619751,96.4183,345.92,0.0,0.0229143,4.75768,-0.0623205,0.963266298175,1104.03424261
305098,1905,6,321.74990463256836,132.518,347.97,0.0,0.0208296,4.74689,-0.0554364,0.945325955749,1116.98506562
306980,1910,5,323.8975808620453,91.4837,352.4,0.0,0.0260413,4.72463,-0.0558064,0.960376415402,1141.60758656
309056,1915,5,326.0223295688629,69.3362,354.44,0.0,0.0253139,4.68169,-0.0593223,0.961304139346,1155.75180811
311129,1920,5,328.17901134490967,58.7964,353.72,0.0,0.0239375,4.66424,-0.0652108,0.977874042466,1159.87432617
312859,1925,5,330.3363616466522,117.885,356.83,0.0,0.0240431,4.61625,-0.0596545,0.947461605072,1175.8623988
315108,1930,5,332.4855818748474,69.2994,365.33,0.0,0.0240721,4.61127,-0.0653184,0.953998036683,1213.99900552
317194,1936,6,334.611784696579,82.3644,369.01,0.0,0.0218131,4.59468,-0.0561966,0.973681420088,1235.17650611
319387,1941,5,336.7437860965729,67.2615,374.0,0.0,0.0204965,4.60469,-0.0621935,0.945064786822,1255.67824089
321343,1945,4,338.8923885822296,103.552,381.9,0.0,0.0233131,4.55659,-0.0536517,0.956778261811,1291.12243551
323377,1951,6,341.0337493419647,105.613,380.01,0.0,0.0266756,4.57145,-0.0605269,0.960213523358,1286.25369701
325394,1956,5,343.1795334815979,66.9026,383.81,0.0,0.0197912,4.52978,-0.0568262,0.971904454753,1308.47750454
327572,1961,5,345.311904668808,98.6165,389.8,0.0,0.030503,4.5163,-0.0577691,0.966254483908,1336.79557424
329217,1965,4,347.4529571533203,84.9356,393.31,0.0,0.0282056,4.50513,-0.0627933,0.971940798685,1355.30383878
331603,1971,6,349.6097266674042,97.5043,395.23,0.0,0.0284907,4.48933,-0.0550467,0.969223916531,1367.48109221
333721,1975,4,351.7336745262146,87.1366,401.92,0.0,0.0219325,4.45363,-0.06052,0.965822584927,1400.17721541
335691,1980,5,353.85960125923157,77.3093,401.54,0.0,0.0244099,4.45096,-0.0528834,0.964464314282,1401.42590558
337444,1985,5,355.99207282066345,99.8343,402.31,0.0,0.0259873,4.39627,-0.0616561,0.953720677644,1409.01826328
339501,1989,4,358.14797830581665,96.5302,404.94,0.0,0.0282395,4.38054,-0.0609287,0.942715980113,1418.67209094
341900,1994,5,360.2895064353943,104.923,406.56,0.0,0.0261425,4.38878,-0.0609464,0.956457752734,1425.50836064
343796,1999,5,362.437771320343,83.5483,407.56,0.0,0.0253225,4.36038,-0.056335,0.962248690426,1430.87338976
346057,2004,5,364.5595369338989,122.817,413.3,0.0,0.0270089,4.34242,-0.0610608,0.954877194017,1459.52219426
348048,2008,4,366.6970992088318,118.14,416.01,0.0,0.0235547,4.32377,-0.0619404,0.920207671821,1464.31771158
349795,2012,4,368.8449387550354,69.5289,416.1,0.0,0.0238987,4.30476,-0.0587594,0.960449118167,1464.01909326
351851,2016,4,370.9996337890625,47.8357,424.82,0.0,0.0317308,4.29286,-0.0630982,0.976951226592,1501.74475711
354184,2020,4,373.1556873321533,96.1718,430.55,0.0,0.023999,4.25921,-0.0549564,0.973519276828,1525.98122294
355956,2024,4,375.28142833709717,102.325,433.04,0.0,0.025982,4.24873,-0.0623527,0.9634244591,1535.3063512
358294,2028,4,377.44872999191284,311.846,439.83,0.0,0.015245,4.2457,-0.0388952,0.913561582565,1564.38695914
360114,2033,5,379.5849277973175,62.395,438.16,0.0,0.0245708,4.22384,-0.059038,0.960272237659,1556.87558432
362423,2039,6,381.7320775985718,65.8376,441.24,0.0,0.0281101,4.24224,-0.0595448,0.974734960124,1571.284465
364515,2043,4,383.8606581687927,68.1219,443.88,0.0,0.0341915,4.24037,-0.0620151,0.958984568715,1590.21631119
366417,2047,4,386.00089478492737,98.9781,441.23,0.0,0.0246282,4.20668,-0.0654842,0.964243035764,1575.51319876
368560,2052,5,388.1483554840088,86.9667,447.61,0.0,0.0310772,4.18609,-0.0622233,0.961302626878,1603.56568532
370573,2056,4,390.2878634929657,80.5941,451.79,0.0,0.0237627,4.15785,-0.0643425,0.959734920412,1622.86767887
372634,2060,4,392.43694734573364,84.222,454.8,0.0,0.0255602,4.13886,-0.0646836,0.96740635857,1637.02857989
374405,2064,4,394.5658164024353,80.6173,456.49,0.0,0.0263108,4.11389,-0.0598934,0.971555469558,1647.09188989
376582,2069,5,396.69557189941406,87.3085,456.96,0.0,0.02353,4.09714,-0.0601718,0.967892315239,1647.52064352
377946,2072,3,398.82801365852356,82.6077,458.14,0.0,0.0339161,4.06953,-0.0593834,0.956043083221,1652.54063598
380405,2077,5,400.98385882377625,484.804,459.32,0.0,0.0273031,4.04549,-0.0436303,0.89980199188,1658.3410854
382778,2080,3,403.12498021125793,299.418,470.87,0.0,0.0285788,4.03805,-0.0378993,0.877117194235,1707.41213906
384735,2085,5,405.250972032547,88.0304,472.91,0.0,0.0325035,3.99058,-0.0632144,0.974663643166,1717.19039929
386939,2089,4,407.40579533576965,50.4988,474.38,0.0,0.0288073,3.98061,-0.0577884,0.97827049531,1728.67067586
389064,2093,4,409.5480008125305,553.338,478.94,0.0,0.0205196,3.99232,-0.0461732,0.881463132799,1752.72421382
390395,2095,2,411.6756184101105,617.608,481.02,0.0,0.0194114,3.97166,-0.0344165,0.793667376041,1763.13272752
392479,2098,3,413.7977862358093,42.6574,490.24,0.0,0.0323573,3.95716,-0.0632756,0.983924869448,1803.73664116
395109,2103,5,415.93691849708557,644.007,492.72,0.0,0.0256168,3.94182,-0.0417241,0.904475182295,1817.52349877
396888,2106,3,418.0777676105499,52.0513,495.19,0.0,0.0278157,3.90088,-0.0610563,0.979715459049,1837.81355869
399338,2110,4,420.21949076652527,573.89,505.02,0.0,0.0197401,3.87407,-0.0458094,0.893963940442,1884.8529213
401393,2114,4,422.37803959846497,521.752,504.52,0.0,0.0316631,3.86379,-0.0447321,0.879894182086,1885.75298425
403127,2117,3,424.5068738460541,64.3119,505.11,0.0,0.0315382,3.84347,-0.0599843,0.958732109517,1891.23899932
404889,2120,3,426.64895510673523,55.4683,507.05,0.0,0.0356159,3.84025,-0.0635821,0.972929691896,1900.56343039
407381,2124,4,428.7652349472046,77.8275,514.25,0.0,0.023952,3.87885,-0.0571288,0.959355566651,1936.14408364
408848,2126,2,430.9377090930939,120.496,512.02,0.0,0.0360937,3.8887,-0.0580008,0.944045178592,1933.51793801
411012,2131,5,433.0938398838043,60.0303,517.47,0.0,0.0356378,3.87097,-0.0548517,0.97707442008,1962.76077934
413579,2135,4,435.211660861969,627.764,528.47,0.0,0.0333128,3.84541,-0.0342101,0.891246907413,2016.07803661
415436,2137,2,437.34991431236267,663.793,539.99,0.0,0.0318607,3.83859,-0.0314027,0.808279365301,2064.8681912
417436,2139,2,439.4917552471161,680.869,550.13,0.0,0.02587,3.84984,-0.0359132,0.737811565399,2109.30503193
418917,2141,2,441.64818716049194,212.709,552.92,0.0,0.0352819,3.83093,-0.041188,0.860807523131,2119.07835592
421059,2144,3,443.7758173942566,377.222,562.69,0.0,0.0277773,3.81705,-0.0454917,0.794972583652,2164.91402481
423362,2148,4,445.90612721443176,58.848,566.03,0.0,0.0307898,3.76824,-0.0606679,0.981356704608,2189.77611167
425798,2152,4,448.03126525878906,150.772,572.38,0.0,0.0271273,3.77433,-0.0578397,0.962578792125,2223.43946416
427883,2156,4,450.18776679039,102.474,573.1,0.0,0.0270102,3.77689,-0.0550972,0.971761401743,2230.00304081
429789,2159,3,452.31611490249634,666.969,575.87,0.0,0.0270356,3.74197,-0.0371649,0.849692344666,2241.14821103
431736,2161,2,454.44597864151,598.125,586.75,0.0,0.0390017,3.70232,-0.0332306,0.807291075587,2290.90954241
434139,2164,3,456.5781252384186,1089.59,597.34,0.0,0.0320449,3.67729,-0.0346087,0.695725768805,2335.64485086
436110,2168,4,458.7167181968689,89.9807,601.11,0.0,0.0341847,3.63859,-0.0577979,0.948663465679,2354.71713543
437734,2171,3,460.8906397819519,55.2976,599.89,0.0,0.03273,3.62699,-0.052128,0.966052066535,2349.53036387
440255,2174,3,463.03098368644714,651.334,608.6,0.0,0.0368718,3.62354,-0.0349282,0.861999556422,2392.5204218
442325,2177,3,465.1558060646057,397.146,619.2,0.0,0.0365518,3.61207,-0.0352809,0.862409859896,2441.02801749
444377,2180,3,467.28056263923645,672.843,615.99,0.0,0.036674,3.57258,-0.0373198,0.830110669136,2429.1272129
446444,2183,3,469.4304931163788,413.153,623.38,0.0,0.0217087,3.56887,-0.0394627,0.868585541844,2462.61236635
448017,2185,2,471.57860374450684,332.253,632.82,0.0,0.0541128,3.55988,-0.0348559,0.814126506448,2505.44809705
450451,2188,3,473.705290555954,1173.83,641.21,0.0,0.0427345,3.57807,-0.0342882,0.710462808609,2544.84234797
452445,2192,4,475.85888051986694,515.815,638.32,0.0,0.0333753,3.5795,-0.0425652,0.891567543149,2531.24913533
453836,2195,3,477.9849627017975,84.8274,634.41,0.0,0.0362715,3.55705,-0.0529753,0.973925353959,2516.08357701
456441,2198,3,480.1590859889984,663.187,639.62,0.0,0.0321148,3.54492,-0.0369099,0.886162161827,2542.9400864
458194,2201,3,482.2893350124359,54.2725,636.39,0.0,0.0325347,3.49949,-0.0596855,0.972239628434,2527.46578036
460194,2203,2,484.4233694076538,1081.73,650.85,0.0,0.0378754,3.48972,-0.0302652,0.429391264915,2590.56531561
462781,2207,4,486.5497398376465,1357.8,651.4,0.0,0.0298611,3.50473,-0.0418952,0.759493038058,2590.8479646
464358,2210,3,488.6952700614929,434.031,650.2,0.0,0.0346024,3.49197,-0.0463117,0.847838371992,2584.75687031
465977,2213,3,490.85984468460083,729.385,649.93,0.0,0.0283977,3.45591,-0.0414889,0.847579106688,2585.30748367
468545,2217,4,493.00776624679565,523.823,654.18,0.0,0.0276967,3.43626,-0.0467396,0.889374181628,2604.37840202
