loss_pol_surr,loss_kl,loss_ent,TimestepsSoFar,EpRewMean,EpisodesSoFar,ev_tdlam_before,TimeElapsed,EpThisIter,loss_vf_loss,loss_pol_entpen,EpLenMean
-0.0119279,0.00846437,-0.283071,146910,2047.8179852,4566,0.561800092459,123.81065773963928,5,5468.29,0.0,220.41
-0.00905251,0.0141956,-0.266897,148950,2131.10248235,4570,0.634041041136,125.49829435348511,4,5234.31,0.0,229.35
-0.0116384,0.0107443,-0.281202,151455,2272.03548223,4577,0.703779697418,127.18650031089783,7,5396.24,0.0,244.5
-0.0132976,0.0240283,-0.270679,153526,2304.61975004,4582,0.512476503849,128.86550068855286,5,6010.72,0.0,248.0
-0.011535,0.0190741,-0.292782,155639,2420.90532796,4590,0.660257816315,130.5688111782074,8,5555.25,0.0,260.5
-0.00940899,0.0161879,-0.303632,156702,2474.2166347,4592,0.470479130745,132.24003410339355,2,4875.15,0.0,266.23
-0.012135,0.0188009,-0.300288,158921,2563.85063058,4597,0.638634085655,133.9354748725891,5,5266.61,0.0,275.85
-0.0146134,0.0149645,-0.325325,161522,2707.095449,4602,0.594128519297,135.6242754459381,5,5625.54,0.0,291.25
0.00688215,0.0442877,-0.342559,163746,2869.42026227,4606,0.624458342791,137.3308653831482,4,4698.19,0.0,308.7
-0.0114235,0.0182735,-0.341316,165843,3046.8736195,4609,0.539532035589,139.0283088684082,3,5069.65,0.0,327.78
0.0076877,0.079136,-0.353429,167843,3192.78868908,4611,-0.0138883590698,140.72346544265747,2,5381.72,0.0,343.45
-0.00977114,0.0250552,-0.366477,169822,3236.43376602,4617,0.621734291315,142.42884969711304,6,5200.4,0.0,348.14
-0.0105209,0.0117427,-0.356876,171746,3362.67921009,4621,0.577235281467,144.12335848808289,4,4692.14,0.0,361.71
-0.00787858,0.0231751,-0.354595,174015,3521.20812641,4625,0.534538596869,145.83361339569092,4,5231.28,0.0,378.75
-0.00606552,0.0285404,-0.36228,175375,3581.31222801,4630,0.590125590563,147.52207827568054,5,5435.28,0.0,385.21
-0.000558579,0.0456227,-0.372238,177375,3726.81772353,4632,-0.0170735120773,149.23238277435303,2,5083.47,0.0,400.84
-0.0111136,0.0102076,-0.372297,180108,3881.29293658,4636,0.445374011993,150.927987575531,4,5819.62,0.0,417.44
-0.0106005,0.014102,-0.373908,181730,3989.25447567,4640,0.6116361022,152.64583659172058,4,4452.6,0.0,429.04
0.00182305,0.031527,-0.390193,183909,3960.65194344,4645,0.490631043911,154.31895422935486,5,6143.81,0.0,425.96
-0.00348229,0.0175034,-0.410461,186276,4117.98102211,4648,0.34797257185,156.0131163597107,3,5272.37,0.0,442.86
-0.0112274,0.0222149,-0.428842,188010,4174.31206459,4652,0.648300200701,157.68498730659485,4,3666.02,0.0,448.91
-0.0119591,0.0126628,-0.430513,189841,4271.12055486,4656,0.534219622612,159.3724820613861,4,4524.62,0.0,459.3
-0.00382902,0.0225244,-0.436253,191829,4333.60151002,4660,0.77242949605,161.05997705459595,4,4118.46,0.0,466.0
