loss_kl,EpLenMean,TimestepsSoFar,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,loss_ent,TimeElapsed,loss_vf_loss,EpThisIter,EpRewMean
0.0177391,162.46,204636,1467,0.0,0.944229073822,-0.0585934,6.3876,204.95790576934814,83.5543,12,431.037619753
0.0175117,165.19,206749,1478,0.0,0.964471396059,-0.0551649,6.37459,207.00465059280396,47.0615,11,437.849815237
0.0194584,167.78,208751,1489,0.0,0.941435813904,-0.0546468,6.37065,209.05028915405273,86.544,11,448.048128526
0.0178414,169.72,210805,1501,0.0,0.972573654726,-0.0637767,6.37728,211.0833637714386,33.4814,12,452.210616081
0.021445,172.11,212920,1512,0.0,0.949533887208,-0.0534166,6.34491,213.1382863521576,72.6312,11,461.836855688
0.0154728,174.04,214926,1524,0.0,0.946314480156,-0.0523836,6.30893,215.1687366962433,99.0248,12,467.469073686
0.020538,175.34,217073,1537,0.0,0.970100682229,-0.0585105,6.32475,217.21567153930664,42.5655,13,474.504832928
0.0172943,178.02,218981,1547,0.0,0.970227975398,-0.0582831,6.29848,219.24712705612183,45.5469,10,483.953728836
0.0194599,176.71,221087,1559,0.0,0.954233631492,-0.0568554,6.2746,221.2818591594696,65.3943,12,482.995553683
0.0180311,177.85,223176,1571,0.0,0.958619497716,-0.0546305,6.29227,223.31579899787903,72.6936,12,490.823217238
0.0198022,176.17,225108,1582,0.0,0.968226131052,-0.0606049,6.22419,225.34888458251953,58.1852,11,490.175209317
0.0181784,176.83,227164,1593,0.0,0.964780449867,-0.0524357,6.16201,227.40333676338196,71.3813,11,493.86364677
0.0196388,179.24,229317,1604,0.0,0.940327472985,-0.0453192,6.1308,229.43447184562683,109.734,11,503.857932977
0.018303,179.47,231267,1614,0.0,0.963981896639,-0.0590038,6.04851,231.49677324295044,60.5027,10,506.995504296
0.0183746,183.23,233418,1625,0.0,0.95229037106,-0.0527178,6.0447,233.52774024009705,104.56,11,524.848795014
0.0201987,186.6,235428,1635,0.0,0.962739892304,-0.0545813,6.01506,235.56134223937988,80.686,10,540.588717653
0.0218903,189.16,237544,1645,0.0,0.940086618066,-0.0513953,5.95888,237.59785413742065,126.351,10,554.350711422
0.02051,191.15,239389,1654,0.0,0.956934239715,-0.0577856,5.91887,239.64578294754028,96.9946,9,566.791024936
0.0224679,195.47,241458,1664,0.0,0.959833558649,-0.0582281,5.91707,241.6686975955963,96.3002,10,586.258284423
0.0197813,196.72,243642,1675,0.0,0.948933918029,-0.0571968,5.90062,243.70026922225952,118.737,11,598.606041224
0.020272,199.21,245659,1685,0.0,0.965144049376,-0.0509495,5.87007,245.74983596801758,103.489,10,614.152409426
