EpisodesSoFar,loss_vf_loss,EpRewMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,TimeElapsed,loss_ent,loss_pol_surr,EpLenMean,loss_kl,ev_tdlam_before
1420,75.5949,906.603011336,0.0,6,218928,232.52404165267944,5.84469,-0.0613068,303.09,0.0176334,0.957043424249
1427,134.292,913.677740607,0.0,7,221092,234.66793704032898,5.79197,-0.0637417,305.35,0.0258017,0.944311708212
1433,107.843,927.310157378,0.0,6,223080,236.82936644554138,5.76757,-0.0561314,307.08,0.0283901,0.949411913753
1439,87.5449,940.076338599,0.0,6,225087,238.99345302581787,5.75203,-0.0501073,310.44,0.0209641,0.96050991863
1447,98.3307,934.446132288,0.0,8,227223,241.1345980167389,5.76592,-0.0538045,307.38,0.0200593,0.946284782141
1453,114.145,945.486581257,0.0,6,229312,243.2899088859558,5.7088,-0.0568866,309.14,0.0230147,0.944625012577
1460,136.403,929.5151654,0.0,7,231144,245.44936728477478,5.68112,-0.0536027,304.16,0.0276091,0.941203504801
1468,151.708,917.200981582,0.0,8,233394,247.5940170288086,5.70416,-0.0603473,299.0,0.0197459,0.937792353332
1474,131.619,922.913260505,0.0,6,235387,249.76556658744812,5.73275,-0.0450485,299.56,0.0247632,0.862711057067
1481,143.562,933.730868928,0.0,7,237462,251.89932513237,5.69375,-0.0543587,301.31,0.025766,0.915342837572
1488,149.046,946.83584965,0.0,7,239581,254.04055786132812,5.6712,-0.0467663,304.4,0.0227931,0.916607402265
1494,85.829,948.144622712,0.0,6,241403,256.1960406303406,5.66165,-0.0589433,303.66,0.022226,0.960764829069
1501,153.508,949.944102393,0.0,7,243687,258.36689615249634,5.62263,-0.0550441,304.12,0.0238234,0.931493788958
1508,89.3429,955.877638202,0.0,7,245700,260.51158714294434,5.60939,-0.0586076,305.04,0.0187166,0.959979448467
1514,88.8218,956.139883231,0.0,6,247473,262.6573476791382,5.57988,-0.048724,304.46,0.0166735,0.908966079354
1520,99.6555,972.960069335,0.0,6,249705,264.8293755054474,5.54425,-0.0632111,307.77,0.0214821,0.959169581532
1526,106.792,976.9701301,0.0,6,251679,266.9937012195587,5.52577,-0.060371,308.04,0.0240655,0.947522256523
1532,138.4,996.171197078,0.0,6,253847,269.15232515335083,5.46162,-0.0595536,313.09,0.026547,0.91234729439
1539,94.7691,976.414464977,0.0,7,255749,271.28203082084656,5.43837,-0.0654349,306.62,0.0220315,0.964994784445
1544,118.465,995.607512963,0.0,5,257718,273.4384138584137,5.4303,-0.0622984,311.81,0.0230385,0.942154306918
1550,138.357,1000.43534546,0.0,6,259543,275.57917308807373,5.43399,-0.0646821,313.03,0.0214562,0.949974443763
1557,171.193,1006.6341392,0.0,7,262011,277.7500138282776,5.36911,-0.0580061,315.44,0.0181177,0.890793643892
1562,132.568,1039.50261937,0.0,5,264092,279.91532278060913,5.36291,-0.0631545,323.69,0.0279517,0.925175957382
1567,144.043,1048.74165747,0.0,5,265776,282.05571150779724,5.34807,-0.0622836,325.94,0.0183287,0.935788199306
1575,340.749,1046.45332867,0.0,8,268282,284.21190643310547,5.33062,-0.0581102,324.93,0.0185805,0.803515955806
1581,182.84,1058.47692993,0.0,6,270231,286.36829257011414,5.29685,-0.054043,327.69,0.0270428,0.898892894387
1587,273.237,1063.23084145,0.0,6,272165,288.5245633125305,5.26777,-0.0507851,328.54,0.02025,0.851105719805
1592,184.505,1091.77201719,0.0,5,274283,290.649423122406,5.23204,-0.0648695,336.43,0.0261688,0.902510598302
1599,163.863,1073.06714049,0.0,7,276338,292.78989458084106,5.22444,-0.0536122,330.56,0.0300913,0.939583767205
1604,115.759,1099.1080353,0.0,5,278382,294.94626545906067,5.17206,-0.0635694,337.57,0.0270972,0.947496924549
1610,158.559,1121.78877657,0.0,6,280568,297.11072540283203,5.14242,-0.065412,343.45,0.0236339,0.940069161355
1614,174.063,1146.1711491,0.0,4,282462,299.28312492370605,5.16266,-0.0621852,349.89,0.0201751,0.912128053606
1618,221.645,1146.81706242,0.0,4,283841,301.4150433540344,5.15595,-0.0593194,349.11,0.0242185,0.935829639435
1625,264.163,1157.49039785,0.0,7,286498,303.57254433631897,5.168,-0.0492679,352.01,0.0203197,0.875428050756
1632,257.658,1149.58167182,0.0,7,288728,305.7280168533325,5.13227,-0.0608027,348.81,0.0241021,0.913199402392
1637,195.264,1159.51378857,0.0,5,290437,307.8840682506561,5.09541,-0.0604292,351.73,0.0250608,0.919367708266
1641,203.81,1178.57824841,0.0,4,292445,310.0088095664978,5.11205,-0.0552533,356.84,0.0294505,0.86756336689
1647,134.985,1189.62374055,0.0,6,294752,312.1504023075104,5.0476,-0.0625612,359.48,0.0237813,0.943493332714
1650,76.9851,1215.8161959,0.0,3,296208,314.32108187675476,5.02735,-0.0547201,366.65,0.0257095,0.931378208101
1654,273.567,1254.82121862,0.0,4,298749,316.48045897483826,5.03738,-0.0458057,378.38,0.0197,0.876020796597
1660,153.14,1238.40425542,0.0,6,300950,318.6534233093262,4.99448,-0.0569258,374.26,0.0242466,0.878230564296
1664,115.568,1259.02724402,0.0,4,302944,320.7918212413788,4.95181,-0.0606928,380.14,0.0245233,0.946519449353
1668,125.536,1279.42752284,0.0,4,305015,322.94725799560547,4.90707,-0.0566788,386.3,0.0293412,0.947011575103
1672,147.98,1315.72224928,0.0,4,307141,325.0780735015869,4.91436,-0.0515332,396.35,0.042296,0.930870011449
1677,140.51,1347.41789499,0.0,5,309178,327.25188302993774,4.88513,-0.0621186,405.37,0.0236698,0.931004494429
1680,78.9079,1387.59716936,0.0,3,311048,329.4111363887787,4.84648,-0.0607596,416.29,0.0252676,0.939301155508
1684,143.677,1396.64122465,0.0,4,313148,331.55507731437683,4.80096,-0.0620442,417.73,0.0254438,0.945315692574
1689,119.688,1414.96223926,0.0,5,315126,333.7285363674164,4.78994,-0.0586872,422.06,0.027325,0.965386882424
