TimestepsSoFar,loss_pol_entpen,TimeElapsed,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_pol_surr,loss_kl,loss_vf_loss,EpRewMean,EpLenMean,loss_ent
124000,0.0,108.3507125377655,0.997658753069,2,124,0.00173576,0.0414125,0.0136238,37.6548928346,1000.0,1.333
126000,0.0,110.1150712966919,0.994667542167,2,126,-0.0155017,0.00546886,0.0204432,37.7663544787,1000.0,1.31377
129000,0.0,111.89633393287659,0.995579131413,3,129,-0.0104147,0.0080732,0.0316844,38.1143145975,1000.0,1.31902
131000,0.0,113.67823648452759,0.996687490726,2,131,-0.0171909,0.0090354,0.0138882,38.3179884534,1000.0,1.30301
133000,0.0,115.45880174636841,0.997545315884,2,133,-0.0131711,0.0187109,0.0132757,38.5272417446,1000.0,1.29835
135000,0.0,117.22418594360352,0.997604933102,2,135,-0.00398904,0.00437721,0.0111086,38.8556250066,1000.0,1.29434
137000,0.0,119.00522470474243,0.99816508533,2,137,-0.0119199,0.00823482,0.0139195,39.1153054429,1000.0,1.27937
139000,0.0,120.78820824623108,0.998951458489,2,139,-0.0130734,0.00732191,0.0101709,39.2682598059,1000.0,1.25331
141000,0.0,122.58327460289001,0.998622104409,2,141,-0.0106055,0.0227128,0.0109844,39.3955308624,1000.0,1.22953
143000,0.0,124.35830473899841,0.99778731796,2,143,-0.0174403,0.0120312,0.00997307,39.4674951682,1000.0,1.25252
145000,0.0,126.13063502311707,0.998528802884,2,145,-0.017342,0.0065705,0.011681,39.6461652328,1000.0,1.22668
147000,0.0,127.89628553390503,0.998104309314,2,147,-0.0150907,0.00988374,0.01176,39.8208254869,1000.0,1.1923
149000,0.0,129.6772699356079,0.99830233003,2,149,-0.0108849,0.00772599,0.00920679,40.0121571258,1000.0,1.1874
151000,0.0,131.45932793617249,0.997846984537,2,151,-0.0165833,0.017983,0.0158236,40.1803305842,1000.0,1.18594
153000,0.0,133.2395372390747,0.99551369343,2,153,-0.0176789,0.0125612,0.0214333,40.3140429508,1000.0,1.17815
155000,0.0,135.00549483299255,0.996800290653,2,155,-0.0180648,0.00524449,0.00719015,40.3707186505,1000.0,1.1277
157000,0.0,136.78739714622498,0.998529925942,2,157,-0.0173841,0.0062734,0.00950207,40.5630323358,1000.0,1.11031
159000,0.0,138.56757068634033,0.994892260525,2,159,0.00879859,0.0224061,0.0177311,40.7394910754,1000.0,1.11543
161000,0.0,140.33502054214478,0.998048658832,2,161,-0.0169104,0.0103007,0.00788797,40.8854566902,1000.0,1.05894
163000,0.0,142.11473965644836,0.992669858038,2,163,-0.0117956,0.00855082,0.00811968,41.0284983291,1000.0,1.06687
165000,0.0,143.88041639328003,0.996600735001,2,165,-0.0170472,0.00824278,0.0188111,41.1788159017,1000.0,1.03942
167000,0.0,145.6613757610321,0.997182799969,2,167,-0.0154545,0.0130216,0.00980168,41.2729712314,1000.0,1.04292
169000,0.0,147.443265914917,0.998060562182,2,169,-0.0128627,0.00942491,0.0116467,41.3325736929,1000.0,1.06272
172000,0.0,149.2241861820221,0.997550148284,3,172,-0.000193921,0.0215654,0.0205304,41.3917455832,1000.0,1.04386
174000,0.0,150.99703669548035,0.998228815268,2,174,-0.0201004,0.0063149,0.00977295,41.443697375,1000.0,1.02843
176000,0.0,152.77156615257263,0.998343099141,2,176,-0.015176,0.00523001,0.00716631,41.4647950067,1000.0,1.01666
178000,0.0,154.53811478614807,0.99727746076,2,178,-0.0142701,0.0115526,0.00988671,41.5719124505,1000.0,1.01622
180000,0.0,156.30267095565796,0.998407246312,2,180,-0.0202675,0.0135226,0.0107927,41.7553673176,1000.0,0.999334
182000,0.0,158.08785343170166,0.998147372273,2,182,-0.00956697,0.00678331,0.0108587,41.8556521381,1000.0,0.964544
184000,0.0,159.86611199378967,0.998821034795,2,184,-0.00800898,0.0117111,0.0112729,42.0573068266,1000.0,0.958219
186000,0.0,161.6306767463684,0.992310459726,2,186,-0.0123007,0.00489511,0.0218729,42.1745488884,1000.0,0.946602
188000,0.0,163.4117476940155,0.997568346327,2,188,-0.0165499,0.00691515,0.0105609,42.2447526063,1000.0,0.915194
190000,0.0,165.19279265403748,0.998589749681,2,190,-0.015304,0.0101741,0.00690787,42.2822362774,1000.0,0.909351
192000,0.0,166.97443532943726,0.997274580412,2,192,0.00334373,0.0380621,0.0144396,42.486266984,1000.0,0.874502
194000,0.0,168.75554084777832,0.998237932217,2,194,-0.0173179,0.00705545,0.00674536,42.6188392376,1000.0,0.877558
196000,0.0,170.5364692211151,0.99774441123,2,196,-0.0102615,0.0254142,0.0082114,42.7234533597,1000.0,0.860145
198000,0.0,172.30219626426697,0.996691124514,2,198,-0.0210927,0.013639,0.00688413,42.7617261174,1000.0,0.841459
200000,0.0,174.08374857902527,0.997263483237,2,200,-0.0217462,0.0168014,0.0114512,42.7399163984,1000.0,0.83321
202000,0.0,175.86597990989685,0.998177560861,2,202,-0.0164279,0.00755682,0.0108942,42.6324713796,1000.0,0.806078
204000,0.0,177.64597153663635,0.998579350417,2,204,-0.0142117,0.0189198,0.00783183,42.5490226859,1000.0,0.762401
206000,0.0,179.41144180297852,0.998411563574,2,206,-0.0112918,0.0110295,0.00881202,42.5280685787,1000.0,0.742211
208000,0.0,181.209046125412,0.99951315677,2,208,-0.018742,0.018395,0.00412655,42.5343094674,1000.0,0.719798
210000,0.0,182.97459053993225,0.987866612151,2,210,-0.0160573,0.0146421,0.0138551,42.458416167,1000.0,0.704646
212000,0.0,184.75554275512695,0.997599518392,2,212,-0.0230459,0.0162811,0.00833161,42.5832274843,1000.0,0.690345
215000,0.0,186.53653740882874,0.99838684313,3,215,-0.0157024,0.00844256,0.0160339,42.7082469362,1000.0,0.696829
217000,0.0,188.3178904056549,0.999202308827,2,217,-0.0131604,0.0309955,0.00283874,42.6884641943,1000.0,0.668166
219000,0.0,190.099426984787,0.997534557944,2,219,-0.017802,0.0107684,0.00905653,42.7412525676,1000.0,0.656111
221000,0.0,191.88025903701782,0.998429851956,2,221,-0.0150928,0.0137279,0.00961112,42.8478608608,1000.0,0.662081
223000,0.0,193.63085174560547,0.997223081067,2,223,-0.0106867,0.0230454,0.0152763,43.1346863173,1000.0,0.683888
225000,0.0,195.41200304031372,0.998847424868,2,225,-0.0174538,0.0104719,0.0106389,43.4105556278,1000.0,0.687642
227000,0.0,197.17726874351501,0.997306770179,2,227,-0.01707,0.010373,0.0158495,43.680938925,1000.0,0.675903
229000,0.0,198.95627546310425,0.995616757777,2,229,-0.0177353,0.0168451,0.00940049,43.6673799609,1000.0,0.670902
231000,0.0,200.72531628608704,0.996630964801,2,231,-0.0167775,0.0131944,0.0128567,43.7285373367,1000.0,0.664721
233000,0.0,202.50616002082825,0.997256196802,2,233,-0.0195825,0.0168809,0.0154161,43.9425980742,1000.0,0.662601
235000,0.0,204.26225113868713,0.997086509597,2,235,-0.0166834,0.0077021,0.00850387,44.034031949,1000.0,0.654504
237000,0.0,206.020681142807,0.998080578516,2,237,-0.020402,0.00952255,0.0101896,44.114560083,1000.0,0.619878
239000,0.0,207.78624749183655,0.998539008433,2,239,-0.0155449,0.00973267,0.010498,44.3029019802,1000.0,0.63613
241000,0.0,209.56775188446045,0.996150340885,2,241,-0.0138825,0.107212,0.0149344,44.3424793486,1000.0,0.594211
243000,0.0,211.33311939239502,0.987835791893,2,243,-0.0189328,0.0077615,0.019141,44.5650634769,1000.0,0.581625
245000,0.0,213.0997703075409,0.998253358179,2,245,-0.0158393,0.0102366,0.00906671,44.7846285308,1000.0,0.549417
247000,0.0,214.8652160167694,0.972683576867,2,247,-0.0113599,0.0102849,0.105523,44.9889266438,1000.0,0.543339
249000,0.0,216.64589858055115,0.99417629512,2,249,-0.0177935,0.0129347,0.0376217,45.1267489339,1000.0,0.537736
251000,0.0,218.4116177558899,0.997700018808,2,251,-0.016004,0.02448,0.0197842,45.3116812105,1000.0,0.509399
253000,0.0,220.17779278755188,0.998026440153,2,253,-0.0203569,0.0203078,0.0168573,45.5632683163,1000.0,0.489019
256000,0.0,221.94336223602295,0.993301723152,3,256,-0.0146843,0.0181729,0.0330419,45.7950440444,1000.0,0.517885
258000,0.0,223.70867204666138,0.996731547406,2,258,-0.0197753,0.00960871,0.0210926,46.0031184969,1000.0,0.515019
260000,0.0,225.50656604766846,0.998886987567,2,260,-0.00794925,0.0142904,0.0128539,46.190363371,1000.0,0.50643
