loss_pol_surr,loss_pol_entpen,EpRewMean,EpThisIter,EpLenMean,TimestepsSoFar,loss_kl,loss_ent,TimeElapsed,loss_vf_loss,EpisodesSoFar,ev_tdlam_before
-0.0362195,0.0,1094.08876192,6,314.76,370460,0.0150449,2.08401,409.4068970680237,9.29996,2022,0.992923922837
-0.0330338,0.0,1108.68918951,7,318.64,372719,0.0225666,2.04746,411.6560821533203,16.5764,2029,0.984023280442
-0.0314358,0.0,1103.00297755,6,316.64,374762,0.0196838,2.01302,413.9392592906952,8.53682,2035,0.996279123006
-0.0337278,0.0,1113.13211385,7,318.83,376763,0.0193668,2.00456,416.2733361721039,22.9055,2042,0.984569165856
-0.0405832,0.0,1118.8150432,5,320.79,378439,0.01621,2.01411,418.7423689365387,17.3398,2047,0.98804448545
-0.0342278,0.0,1128.46917317,5,323.4,380513,0.0168459,2.01274,421.19586277008057,9.79542,2052,0.992528559174
-0.0400777,0.0,1149.70426776,6,329.26,382712,0.0187353,2.00661,423.5938229560852,8.42057,2058,0.996336631244
-0.0361126,0.0,1150.51122498,7,329.63,384810,0.0190609,2.00438,426.0167520046234,18.4367,2065,0.989527050406
-0.0348932,0.0,1181.1004931,4,338.46,387061,0.0154082,1.97142,428.45948576927185,9.40086,2069,0.99392459821
-0.0362019,0.0,1175.07387029,7,335.8,388954,0.020473,1.93665,431.0307240486145,9.68126,2076,0.995024065487
-0.039263,0.0,1178.82220546,6,336.47,390968,0.0165843,1.91617,433.5308425426483,10.7253,2082,0.992761860136
-0.0192141,0.0,1196.23065328,5,343.48,393180,0.0177211,1.91161,436.0461037158966,286.203,2087,0.65316465497
-0.0357317,0.0,1208.90229664,4,346.99,394706,0.018041,1.90091,438.47238540649414,13.02,2091,0.990575177595
-0.0228862,0.0,1210.22391976,7,348.39,397228,0.0131956,1.86467,440.62804913520813,59.3579,2098,0.959628310055
-0.040648,0.0,1222.88520752,5,352.02,399151,0.0168906,1.84973,442.7352695465088,7.0829,2103,0.996865332825
-0.0326654,0.0,1216.81098087,6,350.68,401235,0.0254373,1.85613,444.8613774776459,18.8483,2109,0.986656389199
-0.0359269,0.0,1231.2054163,5,354.25,403143,0.0248739,1.87255,446.9445991516113,9.69265,2114,0.99548618542
-0.0374243,0.0,1234.8522079,6,355.54,405396,0.0158905,1.87366,449.03850769996643,8.90647,2120,0.995366642252
-0.0401801,0.0,1248.73612071,4,359.09,407052,0.024072,1.86228,451.14798378944397,11.7232,2124,0.993672079872
-0.0388173,0.0,1259.34388964,7,362.06,409573,0.0242671,1.81757,453.2887852191925,10.034,2131,0.99485242879
-0.03565,0.0,1252.22795385,7,360.26,411640,0.0161937,1.80118,455.3982334136963,13.4462,2138,0.993085342925
-0.0386467,0.0,1246.8930249,7,358.63,413685,0.0240743,1.76922,457.47662448883057,14.7438,2145,0.991660013795
-0.0409675,0.0,1221.31420624,7,350.88,415601,0.0221621,1.77124,459.5619783401489,17.5563,2152,0.991693512537
-0.0362186,0.0,1207.60547883,7,346.61,417707,0.0220253,1.75317,461.66264033317566,16.0913,2159,0.991646595299
-0.0389907,0.0,1216.57545461,6,349.34,419744,0.0197725,1.75239,463.8043158054352,10.2337,2165,0.993769653141
-0.0391515,0.0,1185.20486143,6,339.99,421586,0.0166023,1.73669,465.90591073036194,17.0441,2171,0.993590337224
-0.0314139,0.0,1193.32249931,6,342.66,423555,0.0169244,1.72033,467.98432755470276,29.1102,2177,0.982517199591
-0.0310601,0.0,1202.4124139,6,345.34,425808,0.0216271,1.7391,470.07785081863403,15.6718,2183,0.994669209234
-0.0396584,0.0,1204.44846158,4,343.94,427574,0.0223558,1.71667,472.2179253101349,6.76236,2187,0.997459248407
-0.0256246,0.0,1214.95495572,5,346.21,429893,0.0181844,1.69007,474.40692019462585,107.047,2192,0.957013711333
-0.0305777,0.0,1243.4135847,3,354.9,431792,0.0219367,1.66074,476.624981880188,19.8391,2195,0.990676040761
-0.0384759,0.0,1264.404709,5,359.86,433981,0.0205007,1.64452,478.9056348800659,9.15791,2200,0.992207626346
-0.0254923,0.0,1269.46692646,4,362.11,435750,0.0180211,1.64149,481.1719756126404,41.1648,2204,0.900355115533
-0.0286002,0.0,1306.37954461,4,372.35,438183,0.0195383,1.62246,483.4858922958374,9.46217,2208,0.988467659801
-0.0341648,0.0,1317.38692264,4,375.18,439892,0.0196262,1.59167,485.8136329650879,13.3598,2212,0.988437869586
-0.0362193,0.0,1324.63557794,6,376.95,442354,0.0207206,1.60074,488.1701488494873,13.501,2218,0.994122128002
-0.0285257,0.0,1347.91408434,3,384.15,444138,0.022457,1.59209,490.546808719635,12.0412,2221,0.991379181854
-0.0356161,0.0,1345.78411256,5,383.55,446311,0.025578,1.55286,492.98371958732605,5.95944,2226,0.995089349337
-0.0372099,0.0,1356.76159957,5,386.59,448232,0.0171851,1.50451,495.405800819397,12.6081,2231,0.991974125616
-0.0328314,0.0,1380.96088121,5,392.88,450362,0.0211189,1.48472,497.91716027259827,9.47928,2236,0.99528911896
-0.039721,0.0,1409.57227209,5,401.03,452568,0.0219009,1.47594,500.3636198043823,10.7391,2241,0.995896916371
-0.0263124,0.0,1433.71721467,3,407.99,454248,0.0245515,1.45728,502.8437674045563,7.39834,2244,0.994622588623
-0.0373267,0.0,1466.3869736,5,417.34,456374,0.0203732,1.4559,505.33015632629395,6.16543,2249,0.996736828936
-0.0332342,0.0,1485.56283706,5,422.55,458462,0.0218963,1.4375,507.8591139316559,14.2787,2254,0.994689515792
-0.0423093,0.0,1486.61719705,6,422.66,460432,0.0226203,1.41373,510.1718497276306,15.6998,2260,0.992725191172
-0.0421088,0.0,1503.84075719,5,427.46,462490,0.0217955,1.40143,512.2845454216003,8.6321,2265,0.993677542545
-0.0344375,0.0,1517.29440274,6,431.42,464728,0.0192392,1.39189,514.3827040195465,12.7051,2271,0.994081448298
-0.0419694,0.0,1527.92944013,5,434.29,466721,0.0214938,1.37292,516.4602401256561,8.06038,2276,0.991465999745
-0.0353473,0.0,1511.78182144,7,429.34,468742,0.0186273,1.40136,518.6119804382324,29.8805,2283,0.987258818001
-0.0228823,0.0,1486.91928802,5,421.79,470753,0.0153472,1.38917,520.7108504772186,25.0922,2288,0.890524037182
-0.0381385,0.0,1510.66016997,4,428.87,472780,0.0222945,1.32558,522.8193356990814,7.75112,2292,0.995684648864
-0.0330392,0.0,1474.91602495,6,418.37,475057,0.0152267,1.33663,524.8830509185791,10.8111,2298,0.990721657872
-0.0367613,0.0,1479.90390416,5,419.09,477076,0.0198452,1.34258,526.9765424728394,9.12427,2303,0.99540327955
-0.0406028,0.0,1441.44262095,5,407.85,478968,0.0154626,1.33461,529.1017360687256,10.1468,2308,0.996291604126
-0.04393,0.0,1440.86157199,5,407.43,481099,0.0230468,1.28283,531.2273073196411,6.08174,2313,0.994863755535
