EpLenMean,loss_vf_loss,loss_kl,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_surr,EpRewMean,EpisodesSoFar,TimeElapsed,EpThisIter,loss_pol_entpen
500.51,4339.45,0.0141106,0.716722905636,-0.371832,216172,-0.011022,4659.48245951,4625,189.76522731781006,4,0.0
506.63,5209.69,0.0540494,0.446016788483,-0.376534,219025,-0.000801281,4716.5114546,4628,191.54647254943848,3,0.0
499.15,4105.35,0.0171279,0.650907099247,-0.403978,220811,-0.0133187,4646.74999035,4631,193.29646635055542,3,0.0
507.86,4587.11,0.0248805,-0.0271772146225,-0.401856,222811,-0.00616163,4727.86474367,4633,195.08765363693237,2,0.0
521.12,4671.89,0.0225546,0.00159448385239,-0.404997,224811,-0.00807274,4851.37447586,4635,196.8531196117401,2,0.0
534.79,4746.82,0.0196376,-0.00281059741974,-0.401677,226811,-0.00772819,4978.75570735,4637,198.64543843269348,2,0.0
523.67,3096.7,0.0142407,0.686210542917,-0.39366,228699,-0.00233969,4875.112853,4640,200.40593957901,3,0.0
510.12,2445.4,0.00367176,0.8916214481,-0.374127,231313,-0.00810284,4748.92246794,4645,202.18718457221985,5,0.0
502.19,2545.34,0.0312607,0.864172101021,-0.384651,233119,-0.011396,4675.11540321,4649,203.95280385017395,4,0.0
487.72,2414.33,0.0130564,0.893452227116,-0.376018,235112,-0.00897004,4540.45215228,4654,205.7340486049652,5,0.0
481.97,3578.2,0.0151583,0.695367872715,-0.376959,237537,-0.0129003,4486.84721251,4657,207.5152931213379,3,0.0
486.92,3655.1,0.0175927,0.47164452076,-0.36256,239427,-0.00739785,4533.03186793,4659,209.29708671569824,2,0.0
504.86,4886.37,0.00699821,0.000409483909607,-0.35946,241427,-0.00515986,4700.20498927,4661,211.06263709068298,2,0.0
509.28,4423.69,0.0371324,0.12333714962,-0.366072,243427,0.00351171,4741.41845481,4663,212.84458899497986,2,0.0
528.82,4613.92,0.00946425,0.220586121082,-0.383525,245427,-0.00611366,4923.42503753,4665,214.60923790931702,2,0.0
535.07,3482.82,0.021212,0.742309004068,-0.370708,247686,-0.0130635,4981.67250417,4668,216.39295291900635,3,0.0
533.51,3332.21,0.0207259,0.219303131104,-0.37542,248983,-0.0036226,4967.11045124,4670,218.17152953147888,2,0.0
523.38,6676.36,0.0231021,0.459949433804,-0.371589,251267,-0.00452648,4872.74441489,4674,219.9527759552002,4,0.0
524.43,5031.95,0.0964261,-0.0143268108368,-0.377959,253267,0.0103568,4882.53936084,4676,221.71839380264282,2,0.0
516.98,6357.63,0.010938,0.690722048283,-0.391168,255483,-0.0117248,4813.02182798,4683,223.49963903427124,7,0.0
511.52,5300.06,0.0147577,0.411299169064,-0.385702,257692,-0.0131537,4762.07142452,4686,225.26525783538818,3,0.0
515.56,2541.94,0.0159856,0.573248416185,-0.391456,259153,-0.00771343,4799.6063662,4690,227.0621280670166,4,0.0
537.78,7104.19,0.0267874,0.56979689002,-0.386456,261729,-0.00862648,5006.37343499,4694,228.82774710655212,4,0.0
551.54,5193.73,0.00656701,0.748345017433,-0.372857,263600,-0.0126722,5134.42568711,4699,230.60899257659912,5,0.0
570.77,7739.29,0.00893601,0.636019915342,-0.380151,266217,-0.00662658,5313.31458827,4704,232.3752121925354,5,0.0
574.4,4945.96,0.0382014,0.65334764123,-0.378465,267692,0.00517614,5347.00884246,4708,234.160053730011,4,0.0
580.34,6993.84,0.011725,0.649420827627,-0.374918,269374,-0.0151458,5402.26522373,4712,235.93702626228333,4,0.0
583.39,6802.92,0.014375,0.620826035738,-0.389217,271697,-0.00989747,5430.53935213,4717,237.70264601707458,5,0.0
589.41,6984.32,0.0168747,0.671824097633,-0.39017,274032,-0.00739453,5486.5356593,4722,239.48389053344727,5,0.0
605.46,5172.38,0.0119045,-0.070973277092,-0.37898,276032,-0.00873023,5636.01577855,4724,241.24951028823853,2,0.0
601.66,6279.85,0.01255,0.264218509197,-0.372421,278191,-0.0101367,5600.63039222,4727,243.0151298046112,3,0.0
598.34,4095.24,0.0101067,0.648744046688,-0.34942,279781,-0.0115928,5569.6403763,4730,244.79637455940247,3,0.0
582.21,5618.27,0.0196401,0.558164060116,-0.359635,282032,-0.0170719,5419.35852757,4734,246.56199431419373,4,0.0
572.41,7046.0,0.020035,0.166815340519,-0.369403,284052,-0.00576367,5328.07559144,4737,248.32761406898499,3,0.0
561.79,7140.87,0.0181346,0.574205011129,-0.37627,286464,-0.0103789,5229.07033137,4742,250.10885858535767,5,0.0
573.41,7523.56,0.024233,0.18465256691,-0.389558,288654,-0.00605713,5337.26605313,4745,251.87447834014893,3,0.0
584.36,5387.91,0.0098363,-0.0406898260117,-0.385063,290654,-0.00705125,5439.24207697,4747,253.64736890792847,2,0.0
590.64,7147.43,0.023716,0.194321334362,-0.395122,292827,-0.00398257,5497.74905599,4750,255.41417813301086,3,0.0
600.5,5337.84,0.00922994,-0.084796667099,-0.397299,294827,-0.00920897,5589.55545675,4752,257.18705654144287,2,0.0
