TimestepsSoFar,EpThisIter,loss_ent,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,EpRewMean,loss_kl,EpisodesSoFar,loss_vf_loss,TimeElapsed,EpLenMean
343393,2,-0.422053,0.0,-0.0295239686966,0.00904168,7584.00799379,0.0598079,4811,5774.69,295.1879315376282,814.72
346064,5,-0.401813,0.0,0.514065921307,-0.0102049,7381.53469196,0.0148331,4816,5423.12,296.93779945373535,792.94
348064,2,-0.399954,0.0,0.0893185734749,-0.000753912,7433.51338889,0.0203274,4818,4978.77,298.6877317428589,798.5
350056,5,-0.400753,0.0,0.663633882999,-0.0102365,7153.74396848,0.0355457,4823,6703.24,300.4374303817749,768.42
352056,2,-0.398825,0.0,-0.047483921051,-0.00760356,7208.07705366,0.00639651,4825,5817.77,302.18742179870605,774.23
354056,2,-0.428602,0.0,-0.020267367363,-0.00502844,7208.3369861,0.0357258,4827,5801.98,303.93741846084595,774.23
356056,2,-0.419017,0.0,-0.0195497274399,-0.00752418,7277.99546358,0.0111001,4829,5818.1,305.6874113082886,781.68
358056,2,-0.398703,0.0,-0.00843954086304,0.00269027,7278.31256676,0.0304097,4831,5817.6,307.4374084472656,781.68
360046,3,-0.422239,0.0,0.366510272026,-0.00463441,7256.9043832,0.0289852,4834,6458.27,309.1874008178711,779.35
362046,2,-0.411955,0.0,-0.0327672958374,-0.010641,7326.40279188,0.0120586,4836,5815.27,310.95302176475525,786.78
364046,2,-0.393808,0.0,-0.00665414333344,-0.00402511,7326.73596286,0.0208422,4838,5831.02,312.7030155658722,786.78
366046,2,-0.402757,0.0,-0.00104701519012,0.00119655,7379.76245968,0.0186113,4840,5835.01,314.45301055908203,792.44
368046,2,-0.39809,0.0,-0.00529992580414,-0.00534117,7391.25526944,0.00402932,4842,5847.18,316.20300459861755,793.65
370210,3,-0.385291,0.0,0.26982074976,-0.00830619,7366.97745238,0.00954028,4845,6156.47,317.93789076805115,791.01
372070,2,-0.390522,0.0,0.179441928864,-0.011214,7400.01391029,0.0176176,4847,5372.57,319.69080424308777,794.54
374070,2,-0.41827,0.0,-0.0259387493134,-0.0101447,7400.12454191,0.0104327,4849,5815.99,321.42250418663025,794.54
376070,2,-0.397762,0.0,-0.0262166261673,-0.00775755,7400.27951928,0.006186,4851,5845.86,323.17226362228394,794.54
378177,3,-0.390657,0.0,0.24966275692,-0.00236221,7366.91901409,0.0234714,4854,7230.19,324.9220881462097,790.94
380140,3,-0.407101,0.0,0.405626952648,-0.010852,7270.46917859,0.0110105,4857,6819.57,326.68757796287537,780.57
382011,2,-0.413451,0.0,0.308254063129,-0.0114936,7314.60102912,0.0216857,4859,5649.62,328.4377107620239,785.3
384981,3,-0.399961,0.0,0.207943499088,-0.0092203,7388.21412041,0.0127139,4862,5822.9,330.18749260902405,793.18
386762,4,-0.409121,0.0,0.574863016605,-0.00667641,7195.40328722,0.0168624,4866,7012.05,331.9409475326538,772.46
388997,3,-0.410736,0.0,0.312700390816,-0.0147137,7259.74208973,0.0100125,4869,7698.75,333.70380425453186,779.37
391103,3,-0.425429,0.0,0.567036181688,-0.010692,7248.48769181,0.00887057,4872,5520.65,335.43752431869507,778.16
392516,4,-0.43515,0.0,0.554719567299,0.000966794,7080.61209761,0.0297944,4876,7351.48,337.2038266658783,760.13
395201,3,-0.431358,0.0,0.311563909054,-0.00950324,7195.69096976,0.00952304,4879,7434.58,338.9535412788391,772.47
