loss_kl,loss_pol_surr,TimeElapsed,ev_tdlam_before,EpThisIter,EpisodesSoFar,EpLenMean,loss_ent,TimestepsSoFar,loss_pol_entpen,EpRewMean,loss_vf_loss
0.0126339,-0.00740631,108.43751072883606,0.604490548372,5,4509,197.79,-0.154514,122598,0.0,1838.38920006,6242.45
0.0120899,-0.011828,110.23438000679016,0.609512299299,6,4515,209.33,-0.151126,124547,0.0,1945.85061479,6282.37
0.0158195,-0.00966419,112.00922679901123,0.40358453989,4,4519,225.53,-0.167673,126689,0.0,2096.62317995,7014.77
0.0317599,0.00331224,113.79724836349487,0.209462404251,3,4522,242.58,-0.171406,128986,0.0,2255.38090797,7006.21
0.0135414,-0.00920318,115.57863593101501,0.644588112831,6,4528,250.34,-0.163877,130937,0.0,2327.59048683,5914.77
0.00868692,-0.00944514,117.35199737548828,0.623777151108,6,4534,263.93,-0.145637,133081,0.0,2454.03873587,6506.99
0.0112813,-0.011906,119.14056897163391,0.646952480078,5,4539,278.66,-0.152766,135055,0.0,2590.95607343,5672.01
0.00886444,-0.0142179,120.92181372642517,0.65565559268,10,4549,286.96,-0.147959,137203,0.0,2668.04528922,5955.39
0.0145026,-0.0128269,122.71868324279785,0.626391887665,5,4554,292.69,-0.145018,138586,0.0,2721.35379359,5910.68
0.0115496,-0.010823,124.51555299758911,0.510112375021,8,4562,304.12,-0.160331,141160,0.0,2827.58016436,6872.99
0.0065623,-0.0128371,126.28117203712463,0.660759270191,7,4569,312.38,-0.185357,143279,0.0,2904.48554006,5348.26
0.0202464,-0.011693,128.07986211776733,0.753967195749,2,4571,325.25,-0.195538,144720,0.0,3024.2296499,5019.35
0.0258662,-0.00421043,129.84359741210938,0.537744730711,6,4577,326.45,-0.187201,146983,0.0,3035.41399659,6479.45
0.0122253,-0.00651023,131.63438272476196,0.432155311108,5,4582,340.24,-0.194058,149299,0.0,3163.89094231,6052.94
0.0138681,-0.0171855,133.40640377998352,0.593335390091,7,4589,344.51,-0.197717,151360,0.0,3203.72060434,5524.3
0.0110364,-0.00595238,135.20374703407288,0.470069646835,2,4591,363.38,-0.182101,153349,0.0,3379.39415559,5040.24
0.026789,0.00267803,136.97052812576294,0.561826080084,3,4594,371.44,-0.168215,155360,0.0,3454.48866454,5479.51
0.0137221,-0.00741434,138.766188621521,0.69702604413,5,4599,383.85,-0.174846,157361,0.0,3570.00504433,4902.57
0.00668461,-0.0117211,140.53191256523132,0.655626416206,8,4607,370.09,-0.186742,159331,0.0,3441.96070843,5905.67
0.0394268,0.00190038,142.32878994941711,0.506132096052,4,4611,372.68,-0.207996,160989,0.0,3466.03640027,5765.35
0.0143862,-0.0081768,144.09342122077942,0.639262735844,7,4618,377.79,-0.2074,163468,0.0,3513.52748377,4588.96
0.0172387,-0.00669923,145.89029169082642,0.705176711082,6,4624,358.05,-0.2203,165695,0.0,3329.77855745,5085.19
0.0115705,-0.00769393,147.65591025352478,0.400572776794,3,4627,367.66,-0.215579,167559,0.0,3419.1677407,5141.51
0.0288603,0.00319527,149.43715620040894,0.492270886898,3,4630,373.02,-0.219539,169502,0.0,3469.00355422,4936.14
0.0175608,-0.00506494,151.21840023994446,0.762199819088,4,4634,388.02,-0.256998,171883,0.0,3608.65552346,4014.66
0.00940762,-0.00836355,153.03089547157288,0.669379085302,7,4641,384.2,-0.267322,173970,0.0,3573.25388568,5466.55
0.00726153,-0.00845647,154.79651427268982,-0.241148710251,2,4643,397.24,-0.266439,175970,0.0,3694.73261636,4937.27
0.010238,-0.00974945,156.5777587890625,0.594308227301,4,4647,407.16,-0.285778,177290,0.0,3787.10966259,4618.65
0.0224173,-0.00556833,158.35900330543518,0.49016225338,3,4650,423.18,-0.267542,179612,0.0,3936.32447012,4584.26
0.0118718,-0.0150816,160.14024806022644,0.638332247734,7,4657,425.41,-0.29755,182267,0.0,3957.21576485,6147.04
0.0234989,-0.00591671,161.92255020141602,-0.00178515911102,2,4659,442.31,-0.28842,184267,0.0,4114.5780587,4865.03
0.0113117,-0.0111845,163.70298266410828,0.492899656296,3,4662,449.78,-0.281859,186138,0.0,4184.1671892,4443.31
0.0164664,-0.00744913,165.46860218048096,-0.0842423439026,2,4664,463.08,-0.29344,188138,0.0,4307.94943024,4805.61
0.0132383,-0.00550878,167.26640057563782,0.281630814075,3,4667,482.37,-0.293828,190452,0.0,4487.5233965,5513.16
0.0112863,-0.00852218,169.0330286026001,0.286135733128,2,4669,484.25,-0.298257,191704,0.0,4505.10925776,3839.26
0.0319511,0.00138653,170.85953307151794,0.596130609512,5,4674,479.85,-0.331772,194160,0.0,4464.21126011,4494.13
0.0236908,-0.00401979,172.6342556476593,0.230032503605,4,4678,482.23,-0.346323,196206,0.0,4486.41045765,6130.15
0.0114248,-0.00931497,174.40648865699768,0.205830693245,3,4681,499.18,-0.372677,198217,0.0,4644.30478401,5161.94
0.00982776,-0.00572992,176.1879198551178,0.247494637966,3,4684,508.87,-0.370099,200676,0.0,4734.61475785,5444.66
0.00711006,-0.0070553,177.9690716266632,0.724176853895,3,4687,506.98,-0.364529,201992,0.0,4717.05497394,3069.53
0.00899252,-0.00773436,179.7348976135254,0.611962020397,5,4692,503.86,-0.386388,204735,0.0,4688.16021214,5556.93
0.0345569,-0.00472386,181.51560735702515,-0.0395873785019,2,4694,513.75,-0.389259,206735,0.0,4780.39251832,4747.74
0.0123999,-0.0112358,183.29685187339783,0.184504330158,3,4697,520.47,-0.403453,208804,0.0,4843.12953334,5638.08
0.00942293,-0.00982592,185.06247210502625,0.0134716629982,2,4699,534.43,-0.393579,210804,0.0,4973.23311869,4706.39
0.0179078,-0.00739146,186.8437156677246,0.268567919731,2,4701,541.7,-0.40284,212394,0.0,5041.01534568,4132.19
0.00741551,-0.00845446,188.6249611377716,-0.0413448810577,2,4703,559.32,-0.416774,214394,0.0,5205.19148135,4702.73
0.0300826,-0.00291689,190.39057993888855,-0.00347757339478,2,4705,576.93,-0.39564,216394,0.0,5369.24670024,4753.91
0.0297395,0.00124186,192.1720793247223,0.505453109741,5,4710,578.44,-0.395605,218709,0.0,5383.42645356,4611.39
0.0363766,-0.00080036,193.9378685951233,0.696325004101,6,4716,583.47,-0.383634,221120,0.0,5430.3429299,3680.35
0.016079,-0.00816707,195.70318269729614,0.457658946514,2,4718,591.35,-0.392799,222603,0.0,5503.75608906,3749.71
0.0142324,-0.00999361,197.48491096496582,0.325451850891,3,4721,601.89,-0.410306,224682,0.0,5601.83812181,4748.65
0.0116378,-0.00715033,199.2599036693573,0.00242388248444,2,4723,612.99,-0.411867,226682,0.0,5705.23660778,4721.83
0.0275407,0.00220083,201.0310618877411,0.559811532497,4,4727,611.09,-0.40388,228668,0.0,5687.65467759,4295.35
0.0153951,-0.00791078,202.8123073577881,0.382760286331,3,4730,615.85,-0.40224,231087,0.0,5732.10888663,5158.53
