loss_ent,ev_tdlam_before,EpThisIter,loss_pol_entpen,TimeElapsed,loss_vf_loss,loss_kl,EpisodesSoFar,EpLenMean,loss_pol_surr,TimestepsSoFar,EpRewMean
-0.287706,0.728783220053,3,0.0,122.2507553100586,5633.29,0.00802994,4271,374.26,-0.00958531,138429,3483.42857525
-0.283629,0.652285784483,5,0.0,124.02456378936768,5549.2,0.00855523,4276,390.32,-0.0122077,140901,3633.14811677
-0.283728,0.720817565918,3,0.0,125.79685282707214,5558.6,0.0110118,4279,403.57,-0.00335519,142734,3756.72973068
-0.264835,0.832329362631,5,0.0,127.57809686660767,4671.83,0.0191539,4284,410.63,-0.00318808,144808,3822.70577845
-0.26648,0.411179900169,3,0.0,129.35934257507324,6123.0,0.010933,4287,426.85,-0.0060146,147426,3974.012491
-0.282679,0.609826207161,3,0.0,131.15627002716064,5606.61,0.0118212,4290,438.61,-0.0131745,149108,4083.61259026
-0.274736,0.127203941345,3,0.0,132.9374566078186,5747.24,0.0102241,4293,454.93,-0.00751982,151505,4235.76524474
-0.281928,0.7436209023,4,0.0,134.70356512069702,4820.55,0.0162219,4297,460.6,-0.0108974,152780,4288.66794417
-0.277619,0.0449295043945,3,0.0,136.48448610305786,6111.41,0.00705183,4300,474.48,-0.0110427,155198,4418.1288378
-0.2839,0.604226559401,3,0.0,138.25110530853271,4493.16,0.0116739,4303,494.56,-0.0113357,157555,4605.27108611
-0.295846,0.712523043156,2,0.0,140.03131484985352,4443.61,0.0102926,4305,501.29,-0.00814643,158764,4668.01524401
-0.30071,-0.00224173069,3,0.0,141.79693293571472,6539.34,0.00862734,4308,519.52,-0.00603885,161764,4838.08175946
-0.291917,-0.0104639530182,2,0.0,143.59380435943604,5531.34,0.00490702,4310,529.91,-0.00330678,163764,4935.08702185
-0.285927,-0.00136196613312,2,0.0,145.3646969795227,5531.0,0.0284879,4312,545.35,-0.00220712,165764,5079.05007563
-0.284344,0.484871506691,3,0.0,147.14129972457886,4946.91,0.0121004,4315,561.03,-0.010607,167913,5225.168171
-0.29236,0.661480456591,2,0.0,148.9222719669342,4101.27,0.011981,4317,577.67,-0.0161539,169690,5380.16630623
-0.293721,-0.044459939003,2,0.0,150.68787932395935,5280.87,0.0157255,4319,588.44,-0.00535431,171690,5480.50080721
-0.292877,0.545184731483,4,0.0,152.46881890296936,4820.96,0.033876,4323,585.25,-0.0072286,173362,5450.88985012
-0.298093,-0.0703066587448,2,0.0,154.25094270706177,5038.54,0.0124169,4325,596.63,-0.00992322,175362,5556.89874167
-0.2925,0.408356010914,4,0.0,156.01618766784668,5569.23,0.013624,4329,608.59,-0.00916391,178130,5668.19760398
-0.289598,0.436245858669,3,0.0,157.7815227508545,4760.68,0.00932469,4332,609.72,-0.0116564,179846,5678.7038246
-0.27632,0.24470603466,3,0.0,159.55688166618347,5677.32,0.00808097,4335,615.22,-0.0112457,181988,5729.94819319
-0.274695,0.439045011997,4,0.0,161.32900094985962,4774.4,0.0163627,4339,615.41,0.000384218,183893,5731.72423001
-0.293101,0.697736769915,5,0.0,163.0929615497589,3712.0,0.0168185,4344,614.84,-0.0105037,185969,5726.40999303
-0.279323,0.0160455107689,2,0.0,164.86630392074585,5005.14,0.0191642,4346,628.23,-0.00408091,187969,5851.10586972
-0.282403,0.52575802803,3,0.0,166.6408088207245,4023.85,0.0176029,4349,637.77,-0.00477113,190305,5939.91344119
-0.279979,-0.0357024669647,2,0.0,168.40642976760864,4787.68,0.0154683,4351,643.82,-0.00615537,192305,5996.24419635
-0.281373,-0.00377917289734,2,0.0,170.18023300170898,4877.89,0.0534787,4353,658.24,-0.00139473,194305,6130.49636933
-0.269787,0.314490318298,3,0.0,171.95371174812317,5227.24,0.0191173,4356,658.28,-0.00566125,196400,6130.87245999
