loss_ent,EpisodesSoFar,TimeElapsed,EpThisIter,loss_vf_loss,ev_tdlam_before,loss_kl,EpLenMean,loss_pol_surr,EpRewMean,TimestepsSoFar,loss_pol_entpen
7.09612,1062,131.60464429855347,13,32.2138,0.974462704733,0.019366,171.74,-0.0457903,401.009128122,130977,0.0
7.09216,1073,133.6406877040863,11,31.7507,0.970612967387,0.0147273,171.43,-0.0517028,403.661497926,133050,0.0
7.03041,1084,135.71067237854004,11,35.4703,0.960901845247,0.0165047,171.22,-0.0537974,403.393260827,134949,0.0
6.99253,1095,137.77544021606445,11,46.1285,0.97336631082,0.0144381,174.06,-0.0481686,413.541952256,137111,0.0
6.92186,1106,139.81319379806519,11,28.2855,0.978902950883,0.0158126,175.81,-0.0556817,419.014521676,139215,0.0
6.91278,1118,141.89540910720825,12,35.2749,0.975506324321,0.01597,177.3,-0.0540847,424.864040107,141223,0.0
6.95068,1130,143.94534611701965,12,39.5484,0.975892832503,0.0167253,176.93,-0.0461203,425.849072316,143217,0.0
6.93175,1140,146.02331066131592,10,25.7064,0.978735189885,0.0136889,180.58,-0.0494821,430.574640391,145336,0.0
6.90294,1151,148.0725359916687,11,30.3423,0.976821212098,0.0128211,181.77,-0.0426823,435.708263058,147401,0.0
6.89591,1163,150.10757517814636,12,46.7043,0.961181908846,0.0129334,181.16,-0.0512776,434.353893048,149311,0.0
6.89755,1175,152.16360998153687,12,45.6939,0.968008194119,0.0163747,180.31,-0.0518637,432.874605524,151525,0.0
6.80989,1185,154.22591400146484,10,27.2295,0.975594708696,0.0197031,181.98,-0.0488872,439.214692339,153387,0.0
6.76514,1196,156.2810184955597,11,44.0711,0.969196531922,0.0175786,181.99,-0.0543997,441.413569125,155507,0.0
6.77428,1208,158.31151223182678,12,44.7873,0.945609267801,0.0177122,181.44,-0.0516631,440.620170053,157597,0.0
6.78145,1221,160.36050033569336,13,47.0128,0.971263729036,0.0165221,179.49,-0.046594,442.139886193,159705,0.0
6.72811,1231,162.41691040992737,10,45.1543,0.97166736424,0.0261672,182.53,-0.054008,452.290412964,161662,0.0
6.65743,1242,164.46388292312622,11,77.452,0.96043163538,0.0193761,180.11,-0.0486075,455.458310707,163759,0.0
6.61866,1253,166.5451374053955,11,77.3074,0.962016493082,0.0180583,180.19,-0.053406,458.969085474,165724,0.0
6.6099,1266,168.59810400009155,13,78.6905,0.950503136963,0.019031,179.35,-0.053305,464.159479756,167919,0.0
6.53373,1276,170.66320991516113,10,84.3498,0.93510171026,0.0173614,181.17,-0.0520753,472.821753139,169919,0.0
6.53836,1287,172.694815158844,11,44.9937,0.971216954291,0.0200421,181.26,-0.0509698,481.008505356,171965,0.0
6.50507,1298,174.75712490081787,11,112.693,0.94858495146,0.0219287,181.72,-0.0549493,486.827464636,174032,0.0
6.4624,1308,176.8038330078125,10,45.7955,0.974855093285,0.0229048,184.67,-0.0523794,504.891971793,176064,0.0
6.43938,1317,178.8505244255066,9,42.6928,0.976701075211,0.0162874,189.45,-0.0521268,519.645058166,178026,0.0
6.4111,1327,180.91576647758484,10,60.0457,0.970840325579,0.0181109,191.87,-0.0611535,534.877105686,180119,0.0
6.35826,1336,182.9689884185791,9,41.6899,0.979677245021,0.0181215,194.86,-0.0601147,546.15075298,182113,0.0
6.32431,1347,185.0066683292389,11,41.5109,0.984786650166,0.0219682,195.66,-0.0554667,560.104847775,184318,0.0
6.31985,1356,187.03872156143188,9,43.9402,0.979687895626,0.0191516,199.98,-0.0540159,575.989804471,186254,0.0
6.31354,1365,189.10468339920044,9,51.5439,0.974254446104,0.0167534,204.79,-0.0519947,593.610512102,188265,0.0
6.26314,1374,191.16327595710754,9,53.3817,0.974859593436,0.0196085,210.24,-0.0558116,607.894044456,190449,0.0
6.21565,1383,193.19466614723206,9,67.6844,0.965621776879,0.0225922,211.69,-0.0614636,612.744955878,192369,0.0
6.19392,1394,195.25722408294678,11,78.4724,0.963366985321,0.0182852,212.17,-0.053453,618.512372401,194529,0.0
6.17473,1403,197.28868007659912,9,74.1911,0.964908760041,0.0258485,215.17,-0.0553948,632.169717893,196535,0.0
6.15204,1412,199.35227489471436,9,38.6571,0.983323387802,0.0184576,215.17,-0.0564955,633.324994199,198519,0.0
6.13882,1423,201.38473892211914,11,93.1544,0.914501436055,0.0206552,213.8,-0.0513499,628.936451918,200668,0.0
6.10785,1431,203.4159276485443,8,57.4009,0.968901949003,0.020462,215.11,-0.054434,640.347565423,202627,0.0
6.09657,1440,205.45222926139832,9,48.9385,0.977454731241,0.0220902,218.48,-0.0563845,648.086791899,204705,0.0
6.07795,1450,207.49993753433228,10,91.6445,0.967096835375,0.0188477,218.71,-0.0568408,649.30229058,206793,0.0
6.04709,1461,209.5542607307434,11,103.437,0.96579637751,0.0191006,214.2,-0.0582375,634.009936328,208795,0.0
6.00558,1469,211.58571338653564,8,51.4794,0.976696696132,0.0190768,214.41,-0.0602872,643.580494138,210817,0.0
5.96052,1478,213.6661901473999,9,89.4222,0.966396022588,0.0198855,215.0,-0.0589404,651.227779884,212849,0.0
5.93531,1487,215.71853351593018,9,57.0636,0.975030722097,0.0211249,217.24,-0.0597654,661.751847512,214957,0.0
5.9158,1496,217.75017476081848,9,53.1139,0.977991731837,0.0208071,220.62,-0.0554968,672.079566468,217074,0.0
5.87341,1504,219.78816318511963,8,70.9289,0.961829096079,0.0243692,222.72,-0.0616536,679.56551793,219028,0.0
5.85367,1512,221.8508915901184,8,63.911,0.970758659765,0.0209375,223.91,-0.0569596,683.792458373,220910,0.0
5.82495,1520,223.8979799747467,8,79.4627,0.969409318641,0.0187808,228.91,-0.0663895,701.586318376,223186,0.0
