EpThisIter,loss_vf_loss,loss_pol_entpen,TimestepsSoFar,EpRewMean,TimeElapsed,loss_pol_surr,EpisodesSoFar,loss_ent,loss_kl,EpLenMean,ev_tdlam_before
13,63.5038,0.0,59341,360.348860041,65.28342151641846,-0.0289404,740,3.87915,0.012079,138.14,0.955988824368
13,258.357,0.0,61336,374.237500843,67.69558334350586,-0.0233477,753,3.85577,0.00993806,141.56,0.850466325879
13,78.0118,0.0,63434,390.965251762,70.12481594085693,-0.0236161,766,3.83001,0.0101669,145.54,0.941131558269
11,69.5775,0.0,65467,414.277120103,72.64094567298889,-0.0171954,777,3.80395,0.00659503,151.68,0.96155301109
11,54.688,0.0,67411,433.039387343,75.23434734344482,-0.0285407,788,3.78118,0.013426,156.42,0.968570716679
12,73.9391,0.0,69554,458.668314943,77.70310091972351,-0.0245168,800,3.74193,0.0104186,163.14,0.969762383029
11,64.7409,0.0,71611,477.067737854,79.82824730873108,-0.0230411,811,3.70062,0.00946117,167.48,0.967872835696
10,64.7724,0.0,73669,501.708318232,81.9221351146698,-0.0254929,821,3.69647,0.00777538,173.55,0.963502086699
11,57.7233,0.0,75697,513.944418905,84.03177762031555,-0.0250421,832,3.68253,0.0119504,176.61,0.969959782436
10,55.0788,0.0,77671,528.341604443,86.15974450111389,-0.0294646,842,3.62657,0.0122433,179.69,0.975010234863
10,52.7134,0.0,79645,548.851595451,88.24211359024048,-0.026166,852,3.59361,0.00937574,184.4,0.978284966201
10,41.4026,0.0,81757,571.731352753,90.32010793685913,-0.0238781,862,3.58368,0.0112928,189.8,0.980220587924
11,26.6325,0.0,83953,584.224764913,92.41308450698853,-0.0241481,873,3.57857,0.0117325,192.46,0.987252003513
9,35.018,0.0,85849,598.316905288,94.55418872833252,-0.0269041,882,3.56496,0.0128802,195.1,0.984347455204
10,26.5538,0.0,87892,610.007888808,96.6719172000885,-0.0271866,892,3.52751,0.0109978,197.23,0.988649017178
10,38.9478,0.0,90002,626.000230369,98.8093249797821,-0.0263227,902,3.50618,0.0113301,200.83,0.983718162403
10,36.4602,0.0,91986,631.40132181,101.03144764900208,-0.0304075,912,3.52052,0.0161943,201.73,0.977487212047
10,24.5554,0.0,94137,639.585274828,103.33587789535522,-0.026874,922,3.51056,0.0101794,202.67,0.989061972126
9,33.1941,0.0,96207,655.553813018,105.61537075042725,-0.0270144,931,3.4849,0.00932682,206.45,0.985582238063
9,19.0826,0.0,98162,667.60227075,108.06241631507874,-0.0237918,940,3.44915,0.0094731,209.09,0.989133016206
10,19.6564,0.0,100345,676.143890688,110.43962025642395,-0.0266357,950,3.41669,0.0125381,210.85,0.992675733287
9,14.8989,0.0,102380,682.751156658,112.8686408996582,-0.0210311,959,3.4434,0.0132907,212.09,0.99221048411
8,16.0248,0.0,104309,696.790675903,115.39762115478516,-0.0234207,967,3.45011,0.00894486,215.88,0.993591757957
8,15.042,0.0,106173,705.138829062,117.97119164466858,-0.0276616,975,3.41449,0.0133084,217.6,0.994007560425
