ev_tdlam_before,EpisodesSoFar,loss_ent,loss_pol_entpen,EpLenMean,TimestepsSoFar,loss_pol_surr,EpRewMean,EpThisIter,loss_kl,TimeElapsed,loss_vf_loss
0.00692445039749,928,0.792765,0.0,923.63,159332,-0.00206913,923.63,2,0.0037322,122.57933473587036,69.4131
-0.0155186653137,930,0.777239,0.0,923.63,161332,-0.00220953,923.63,2,0.00363164,124.15828394889832,68.9574
0.0192350149155,932,0.760202,0.0,923.63,163332,-0.00547801,923.63,2,0.00505729,125.73447847366333,66.4999
-0.00466084480286,934,0.767566,0.0,923.63,165332,-0.00589212,923.63,2,0.0148063,127.29869341850281,65.1389
-0.0245753526688,936,0.760305,0.0,923.63,167332,-0.00558504,923.63,2,0.00700666,128.9060413837433,67.2765
-0.0111784934998,938,0.76584,0.0,923.63,169332,-0.00445327,923.63,2,0.00712365,130.46937799453735,67.5279
-0.0083589553833,940,0.772822,0.0,923.63,171332,-0.00804045,923.63,2,0.00707989,132.0313777923584,66.5689
-0.00221943855286,942,0.775295,0.0,923.63,173332,-0.00202361,923.63,2,0.00557624,133.5947620868683,66.9978
0.00614964962006,944,0.778335,0.0,923.63,175332,-0.00453677,923.63,2,0.00926852,135.25809454917908,67.4529
0.0240309238434,946,0.749289,0.0,923.63,177332,-0.00620565,923.63,2,0.00746444,136.89556169509888,67.302
0.0460053682327,948,0.718073,0.0,923.63,179332,-0.00532942,923.63,2,0.00698049,138.5477592945099,65.1169
-0.0355659723282,950,0.731577,0.0,923.63,181332,-0.00238467,923.63,2,0.00744868,140.1094138622284,70.037
0.00309234857559,952,0.728945,0.0,923.63,183332,-0.00410961,923.63,2,0.00478573,141.67255425453186,67.4324
0.0117649435997,955,0.713199,0.0,927.5,186332,-0.00217088,927.5,3,0.00480961,143.23445105552673,92.4287
-0.0392652750015,957,0.730681,0.0,928.16,188332,-0.00528003,928.16,2,0.0148259,144.8151741027832,70.5916
-0.00276923179626,959,0.728819,0.0,928.16,190332,-0.00677065,928.16,2,0.00736017,146.3915309906006,69.0231
-0.00837635993958,961,0.726688,0.0,931.45,192332,-0.0042833,931.45,2,0.00838315,147.96969985961914,69.8795
-0.000492334365845,963,0.722809,0.0,937.76,194332,-0.00400546,937.76,2,0.00846807,149.54766654968262,68.6852
-0.00569355487823,965,0.709007,0.0,937.76,196332,-0.00751054,937.76,2,0.0109172,151.10977005958557,69.465
0.00251090526581,967,0.716976,0.0,937.76,198332,-0.00480065,937.76,2,0.00857805,152.68761658668518,68.3751
-0.00451731681824,969,0.712158,0.0,937.76,200332,-0.00229234,937.76,2,0.00284982,154.25007343292236,69.0491
0.00198704004288,971,0.704685,0.0,937.76,202332,-0.00318435,937.76,2,0.0066952,155.7975835800171,68.1643
0.0044629573822,973,0.725575,0.0,947.44,204332,-0.00319506,947.44,2,0.00685559,157.3597912788391,68.2767
-0.00572562217712,975,0.719921,0.0,954.57,206332,-0.000913003,954.57,2,0.0105705,158.9237415790558,68.997
0.0128062367439,977,0.724468,0.0,955.15,208332,-0.00373618,955.15,2,0.0066966,160.48431420326233,65.2449
-0.0101184844971,979,0.721969,0.0,955.15,210332,-0.00313779,955.15,2,0.00282327,162.05433082580566,69.3867
0.00526350736618,981,0.717466,0.0,955.15,212332,-0.00619503,955.15,2,0.00469396,163.6408178806305,66.7692
-0.0171958208084,983,0.700146,0.0,955.15,214332,-0.00327709,955.15,2,0.00318182,165.20504021644592,68.4852
0.0377187132835,986,0.687925,0.0,968.03,216581,-0.0101093,968.03,3,0.00839078,166.78208827972412,83.622
-0.0235192775726,988,0.681823,0.0,981.25,218581,-0.00411699,981.25,2,0.00685549,168.32891654968262,69.3258
0.115017235279,994,0.688171,0.0,957.75,221175,-0.00907118,957.75,6,0.00542234,169.8754665851593,107.979
0.277921497822,996,0.690306,0.0,953.03,222703,-0.00719183,953.03,2,0.0132607,171.43766570091248,60.1853
-0.0832093954086,998,0.68506,0.0,953.71,224703,-0.00351821,953.71,2,0.00176884,172.99993109703064,70.9645
0.0216088294983,1000,0.669819,0.0,953.71,226703,-0.00611416,953.71,2,0.0112383,174.5626904964447,68.1009
-0.012805223465,1002,0.678011,0.0,953.71,228703,-0.0031161,953.71,2,0.00404988,176.14182424545288,70.169
-0.0100520849228,1004,0.652524,0.0,953.71,230703,-0.00543937,953.71,2,0.00701026,177.7197184562683,69.2614
-0.0111142396927,1006,0.658761,0.0,953.71,232703,-0.00620443,953.71,2,0.00807676,179.28254508972168,69.6603
-0.0173922777176,1008,0.672286,0.0,953.71,234703,-0.00629,953.71,2,0.0114965,180.84383249282837,68.8912
-0.00941920280457,1010,0.671987,0.0,953.71,236703,-0.00574755,953.71,2,0.00411019,182.4064998626709,69.0275
-0.014763712883,1012,0.682159,0.0,953.71,238703,-0.00550534,953.71,2,0.00658961,183.96897196769714,68.2473
-0.00780761241913,1014,0.703129,0.0,953.71,240703,-0.00326026,953.71,2,0.00397302,185.53146886825562,68.6416
-0.00760471820831,1017,0.700665,0.0,953.71,243703,-0.00468554,953.71,3,0.00623515,187.10931253433228,101.45
-0.000334501266479,1019,0.706891,0.0,953.71,245703,-0.00558828,953.71,2,0.00619753,188.67247462272644,67.0693
0.0133942961693,1021,0.733524,0.0,953.71,247703,-0.00577976,953.71,2,0.0064702,190.23919343948364,64.4417
-0.00452017784119,1023,0.734056,0.0,953.71,249703,-0.0082767,953.71,2,0.00695466,191.82977724075317,68.6628
-0.00884366035461,1025,0.738402,0.0,953.71,251703,-0.00459049,953.71,2,0.00484695,193.39163827896118,68.4916
-0.00565052032471,1027,0.742643,0.0,953.71,253703,-0.00526165,953.71,2,0.00804499,194.95364904403687,66.5334
0.00689804553986,1029,0.739126,0.0,953.71,255703,-0.00731393,953.71,2,0.00639337,196.53168988227844,66.8735
-0.00760364532471,1031,0.707808,0.0,953.71,257703,-0.00434042,953.71,2,0.00695248,198.09425497055054,67.7025
-0.0160689353943,1033,0.737915,0.0,953.71,259703,-0.00264686,953.71,2,0.00530015,199.65659523010254,69.0124
0.00812715291977,1035,0.738221,0.0,953.71,261703,-0.00410823,953.71,2,0.00401713,201.23542308807373,68.5812
-0.0136607885361,1037,0.748828,0.0,953.71,263703,-0.00508463,953.71,2,0.00633212,202.81291484832764,68.9379
-0.00332641601563,1039,0.744931,0.0,953.71,265703,-0.00287737,953.71,2,0.00514351,204.3908669948578,68.6553
0.00163674354553,1041,0.732815,0.0,953.71,267703,-0.00513741,953.71,2,0.00819403,205.97013449668884,63.3965
-0.0275741815567,1043,0.728681,0.0,953.71,269703,-0.00817031,953.71,2,0.00554853,207.53231167793274,69.0184
0.00966417789459,1045,0.737447,0.0,953.71,271703,-0.0086283,953.71,2,0.00822239,209.11036157608032,67.715
0.00811338424683,1047,0.726986,0.0,953.71,273703,-0.00714119,953.71,2,0.00480087,210.65663766860962,68.1303
0.0364176630974,1049,0.705172,0.0,953.71,275703,-0.00870158,953.71,2,0.0226583,212.25035119056702,63.363
0.0530484318733,1051,0.710738,0.0,953.71,277703,-0.00584569,953.71,2,0.00367069,213.82933163642883,66.8741
0.000171720981598,1053,0.703252,0.0,953.71,279703,-0.00701757,953.71,2,0.00846994,215.39164328575134,67.9234
0.133696258068,1055,0.685621,0.0,953.71,281703,-0.00687475,953.71,2,0.0135665,216.96992135047913,63.0436
-0.00362515449524,1057,0.688829,0.0,953.71,283703,-0.00450532,953.71,2,0.0063632,218.53133940696716,69.6593
-0.0192031860352,1060,0.68462,0.0,953.71,286703,-0.00385717,953.71,3,0.00583616,220.10943841934204,100.322
0.0277154445648,1062,0.671673,0.0,953.71,288703,-0.00671344,953.71,2,0.0101505,221.68774509429932,64.598
0.0831944942474,1064,0.679344,0.0,953.71,290703,-0.00514038,953.71,2,0.00532199,223.25087475776672,63.7026
0.0145536065102,1066,0.67405,0.0,953.71,292703,-0.0048852,953.71,2,0.00756194,224.81261467933655,67.658
0.0426672697067,1068,0.678925,0.0,953.71,294703,-0.00657651,953.71,2,0.0105594,226.35950899124146,61.7111
-0.0799106359482,1070,0.668663,0.0,953.71,296703,-0.003177,953.71,2,0.00515676,227.9223597049713,69.888
-0.0357604026794,1072,0.670619,0.0,953.71,298703,-0.00544644,953.71,2,0.00900514,229.5001516342163,68.7329
-0.0163108110428,1074,0.676079,0.0,953.71,300703,-0.00966354,953.71,2,0.0115324,231.06434726715088,67.7318
0.0852103233337,1076,0.662171,0.0,953.71,302703,-0.00593721,953.71,2,0.0104075,232.641095161438,50.4666
-0.1067892313,1078,0.650243,0.0,953.71,304703,-0.0119509,953.71,2,0.011262,234.2035710811615,72.4146
-0.0522563457489,1080,0.651729,0.0,953.71,306703,-0.00756268,953.71,2,0.00847257,235.76635718345642,68.8535
0.00822949409485,1082,0.664986,0.0,953.71,308703,-0.00545231,953.71,2,0.0141978,237.32860445976257,66.9428
0.00739848613739,1084,0.681704,0.0,953.71,310703,-0.00595047,953.71,2,0.00909004,238.8909215927124,67.7407
0.483446002007,1086,0.684458,0.0,958.02,312383,-0.011299,958.02,2,0.00582466,240.45403003692627,37.6276
-6.66379928589e-05,1089,0.685117,0.0,958.02,315383,-0.00486429,958.02,3,0.00765473,242.03215289115906,101.874
0.0339354276657,1091,0.67573,0.0,974.22,317383,-0.0124956,974.22,2,0.00931519,243.59389209747314,62.6335
-0.0133720636368,1093,0.66376,0.0,987.44,319383,-0.00477821,987.44,2,0.00281435,245.14095830917358,68.4194
0.00513619184494,1095,0.689023,0.0,992.08,321383,-0.00377958,992.08,2,0.00532885,246.70351576805115,68.5017
-0.0211690664291,1097,0.724209,0.0,996.8,323383,-0.00602233,996.8,2,0.00710815,248.28996181488037,68.042
0.00883609056473,1099,0.732168,0.0,996.8,325383,-0.00828801,996.8,2,0.0162561,249.84426474571228,67.2413
0.0152966380119,1101,0.750849,0.0,996.8,327383,-0.00673834,996.8,2,0.00510921,251.40777349472046,68.1371
0.00303554534912,1103,0.7372,0.0,996.8,329383,-0.00996621,996.8,2,0.00953734,252.97003483772278,67.5944
-0.0153942108154,1105,0.742487,0.0,996.8,331383,-0.00428361,996.8,2,0.00373978,254.56423592567444,67.2585
0.0323460698128,1107,0.753363,0.0,996.8,333383,-0.00446907,996.8,2,0.0140716,256.12564158439636,67.0817
0.0128208994865,1109,0.769096,0.0,996.8,335383,-0.0056437,996.8,2,0.00935955,257.6889681816101,68.1387
-0.0082995891571,1111,0.776909,0.0,996.8,337383,-0.00830503,996.8,2,0.00858947,259.26581048965454,63.9959
0.228290677071,1114,0.782107,0.0,992.49,339952,-0.00935286,992.49,3,0.0073219,260.8299877643585,65.6711
0.518414795399,1116,0.781452,0.0,984.11,341114,-0.0116627,984.11,2,0.00425325,262.42258048057556,37.7625
0.211388468742,1119,0.783507,0.0,981.59,343862,-0.00938606,981.59,3,0.00704809,263.9851071834564,72.0996
-0.0147341489792,1121,0.795208,0.0,981.59,345862,-0.00767718,981.59,2,0.00828675,265.5477406978607,68.4742
-0.023567199707,1123,0.778393,0.0,981.59,347862,-0.00905084,981.59,2,0.00512289,267.10997700691223,68.0566
0.0221056342125,1125,0.772011,0.0,981.59,349862,-0.00496801,981.59,2,0.00419283,268.68814182281494,64.6998
0.00743520259857,1127,0.765221,0.0,981.59,351862,-0.00560379,981.59,2,0.00672283,270.2499907016754,68.5799
-0.0218394994736,1129,0.767965,0.0,981.59,353862,-0.0068958,981.59,2,0.00628988,271.82322692871094,66.2491
0.0410253405571,1131,0.764789,0.0,981.59,355862,-0.00558086,981.59,2,0.0045202,273.3906092643738,66.0972
0.0119300484657,1133,0.762757,0.0,981.59,357862,-0.00571288,981.59,2,0.00765198,274.95419549942017,66.9545
-0.0256359577179,1135,0.758963,0.0,981.59,359862,-0.00928301,981.59,2,0.00648151,276.5474512577057,68.9523
0.0563645362854,1137,0.757039,0.0,981.59,361862,-0.00598854,981.59,2,0.00232906,278.10992336273193,65.4813
0.000904083251953,1139,0.761927,0.0,981.59,363862,-0.00517876,981.59,2,0.0080632,279.67270708084106,67.6531
-0.00527274608612,1141,0.778576,0.0,981.59,365862,-0.00587066,981.59,2,0.00764821,281.2348892688751,68.4793
-0.0235812664032,1143,0.780246,0.0,981.59,367862,-0.00582771,981.59,2,0.0065024,282.8140711784363,69.6189
0.00416147708893,1145,0.775185,0.0,981.59,369862,-0.00767136,981.59,2,0.00630112,284.3685438632965,68.4806
0.0116022229195,1147,0.779031,0.0,981.59,371862,-0.00558793,981.59,2,0.00355849,285.93800926208496,64.7022
0.100027620792,1149,0.78158,0.0,981.59,373862,-0.012292,981.59,2,0.00933104,287.5156943798065,50.8126
-0.0134593248367,1151,0.787025,0.0,981.59,375862,-0.00393658,981.59,2,0.00812129,289.0800323486328,68.6616
0.290055394173,1154,0.786131,0.0,981.59,378862,-0.00863375,981.59,3,0.00679711,290.6568946838379,87.8151
-0.0112018585205,1156,0.785549,0.0,981.59,380862,-0.00773737,981.59,2,0.00790959,292.2038564682007,68.4749
-0.0182120800018,1158,0.771795,0.0,981.59,382862,-0.00677899,981.59,2,0.00705132,293.7816812992096,68.6653
0.00036484003067,1160,0.775906,0.0,981.59,384862,-0.00793623,981.59,2,0.00889408,295.3288826942444,68.8352
0.0121831893921,1162,0.799072,0.0,981.59,386862,-0.0115306,981.59,2,0.0112108,296.9071099758148,61.6681
0.0388967394829,1164,0.801293,0.0,981.59,388862,-0.00881741,981.59,2,0.0107779,298.4849126338959,66.8882
0.053395152092,1166,0.798718,0.0,981.59,390862,-0.00956842,981.59,2,0.0123291,300.0786979198456,67.8573
-0.0179332494736,1168,0.785514,0.0,981.59,392862,-0.00524918,981.59,2,0.00578943,301.65806889533997,70.2955
-0.018816113472,1170,0.800318,0.0,981.59,394862,-0.0053746,981.59,2,0.00582297,303.2343804836273,70.7264
-0.00236284732819,1172,0.804209,0.0,981.59,396862,-0.00829477,981.59,2,0.00727777,304.79864835739136,68.253
0.0704063177109,1175,0.79507,0.0,975.39,399242,-0.0127808,975.39,3,0.00464027,306.3611307144165,45.0096
0.0408605337143,1177,0.780364,0.0,972.67,400970,-0.00789091,972.67,2,0.0119462,307.923401594162,61.688
