loss_kl,TimeElapsed,ev_tdlam_before,loss_ent,EpisodesSoFar,loss_pol_surr,EpRewMean,loss_vf_loss,EpLenMean,EpThisIter,TimestepsSoFar,loss_pol_entpen
0.0185207,325.06351923942566,0.987212857231,2.06705,1832,-0.035303,1853.8003909,14.4356,514.69,3,294807,0.0
0.0166642,327.5690989494324,0.992050441913,2.06216,1835,-0.031927,1863.08857034,15.4475,516.61,3,296310,0.0
0.0146061,329.95150899887085,0.994173275772,2.03557,1839,-0.0286285,1883.52242191,14.1976,521.81,4,298697,0.0
0.0190965,331.99858713150024,0.995984706096,2.03609,1843,-0.035057,1894.02442713,10.2072,524.18,4,300798,0.0
0.0145022,334.0773787498474,0.992663040757,2.03959,1846,-0.0354934,1911.0943598,18.2792,528.7,3,302471,0.0
0.0150432,336.15483355522156,0.994828165974,2.01627,1850,-0.0248353,1938.60374237,8.24352,535.62,4,304887,0.0
0.0203135,338.24907660484314,0.995274869725,1.97923,1853,-0.030069,1961.82120283,11.359,541.67,3,306592,0.0
0.0210709,340.37528920173645,0.992694197223,1.95003,1857,-0.0349979,1967.78901318,20.321,542.84,4,308819,0.0
0.0158196,342.43640542030334,0.993945711292,1.91588,1861,-0.0295796,1978.79533859,12.7226,545.06,4,311061,0.0
0.0179952,344.5147268772125,0.996532396646,1.90469,1865,-0.0338089,1989.62325961,11.0495,547.87,4,313136,0.0
0.0250934,346.60865592956543,0.894973494112,1.89326,1869,-0.0199175,2002.89376074,264.663,551.23,4,315370,0.0
0.0166655,348.735958814621,0.990161745809,1.87197,1873,-0.031301,1972.32725623,20.0309,542.6,4,317184,0.0
0.019654,350.8191683292389,0.997214409756,1.85806,1877,-0.0332731,1970.82043718,8.05985,541.52,4,319475,0.0
0.0136544,352.91308641433716,0.941019911319,1.82934,1879,-0.025602,1992.96237683,38.0137,547.43,2,321277,0.0
0.0193168,354.98314094543457,0.980583997443,1.81381,1881,-0.0255108,1995.48002773,10.249,547.8,2,322588,0.0
