TimeElapsed,loss_pol_entpen,EpLenMean,loss_kl,EpThisIter,TimestepsSoFar,EpisodesSoFar,loss_vf_loss,loss_pol_surr,EpRewMean,ev_tdlam_before,loss_ent
106.3747570514679,0.0,999.93,0.0127656,2,134907,855,68.325,-0.00432412,999.93,-0.000325679779053,1.03063
107.96841597557068,0.0,999.93,0.00394916,2,136907,857,54.4616,-0.0068816,999.93,0.114975869656,1.03154
109.578439950943,0.0,999.93,0.00279952,2,138907,859,74.5086,-0.00395741,999.93,0.346800863743,1.01822
111.17224645614624,0.0,999.93,0.0037438,2,140907,861,69.062,-0.003872,999.93,-0.00531589984894,1.02984
112.78381752967834,0.0,999.93,0.00191629,2,142907,863,68.9106,-0.00299524,999.93,-0.00620830059052,1.01861
114.37467098236084,0.0,999.93,0.00672162,2,144907,865,68.8223,-0.00587425,999.93,-0.000880599021912,1.02224
115.98452472686768,0.0,999.93,0.00651209,2,146907,867,68.7748,-0.00509808,999.93,-0.000948548316956,1.03134
117.59421706199646,0.0,996.98,0.0108328,2,148612,869,9.98307,-0.00860504,996.98,0.830362036824,1.04443
119.18760633468628,0.0,996.98,0.00805659,2,150612,871,70.8263,-0.00538249,996.98,-0.00758981704712,1.06002
120.79708695411682,0.0,996.98,0.00465731,2,152612,873,70.6959,-0.00502225,996.98,-0.0198774337769,1.05924
122.39051938056946,0.0,996.98,0.00668146,3,155612,876,96.3439,-0.00518346,996.98,-0.00268912315369,1.07689
123.98418807983398,0.0,996.98,0.00621622,2,157612,878,68.6634,-0.00604874,996.98,0.00124305486679,1.08438
125.58521437644958,0.0,996.98,0.00728609,2,159612,880,69.0582,-0.00535638,996.98,-0.00186491012573,1.08947
127.20301103591919,0.0,994.05,0.00574,2,161319,882,38.259,-0.00845168,994.05,0.236702680588,1.07826
128.81235218048096,0.0,984.93,0.00428263,3,163407,885,46.0466,-0.00978385,984.93,0.894552513957,1.08395
130.42248153686523,0.0,974.32,0.0096763,3,165346,888,42.3223,-0.0152989,974.32,0.895928859711,1.05313
132.0164897441864,0.0,974.32,0.0043741,2,167346,890,70.6638,-0.00667635,974.32,0.267634272575,1.04181
133.62560749053955,0.0,974.32,0.011108,2,169346,892,71.0558,-0.00559871,974.32,-0.0103968381882,1.03828
135.2339518070221,0.0,974.32,0.00506296,2,171346,894,70.2577,-0.00454196,974.32,-0.0126774311066,1.03301
136.82877922058105,0.0,974.32,0.00574592,2,173346,896,69.9869,-0.00562926,974.32,-0.00561904907227,1.03073
138.4369945526123,0.0,974.32,0.00512609,2,175346,898,69.7526,-0.00417007,974.32,-0.00053596496582,1.05325
140.0468029975891,0.0,974.32,0.00801907,2,177346,900,68.8886,-0.0039302,974.32,0.00108808279037,1.05138
141.64032101631165,0.0,974.39,0.00365062,2,179346,902,38.1281,-0.00519358,974.39,0.592045128345,1.07306
143.23468327522278,0.0,974.39,0.0077453,2,181346,904,69.7218,-0.00765318,974.39,0.300176858902,1.06912
144.84418940544128,0.0,974.39,0.00694162,2,183346,906,69.0444,-0.00717638,974.39,0.0191213488579,1.04899
146.43768048286438,0.0,974.39,0.00405478,3,186346,909,102.091,-0.00464414,974.39,0.00354701280594,1.0556
148.03151273727417,0.0,974.39,0.0077435,2,188346,911,69.3194,-0.00754815,974.39,-0.0207502841949,1.06274
149.6418957710266,0.0,974.39,0.00717408,2,190346,913,66.731,-0.00982437,974.39,0.0101877450943,1.0817
151.24990010261536,0.0,974.39,0.00667035,2,192346,915,69.1042,-0.00541832,974.39,-0.0032149553299,1.06226
152.84789276123047,0.0,960.5,0.00245847,3,193957,918,63.8399,-0.00698852,960.5,0.483035445213,1.05031
154.4529571533203,0.0,960.5,0.00979413,2,195957,920,67.4136,-0.00478876,960.5,0.0256813168526,1.06626
156.04751753807068,0.0,960.5,0.00410863,2,197957,922,67.892,-0.00483029,960.5,-0.00749135017395,1.04318
157.65793299674988,0.0,960.5,0.00896703,2,199957,924,69.2987,-0.00534219,960.5,-0.00746262073517,1.03247
159.25099205970764,0.0,960.5,0.00726749,2,201957,926,66.335,-0.00637367,960.5,0.00868201255798,1.05612
160.8437557220459,0.0,960.5,0.00275951,2,203957,928,68.3326,-0.00368094,960.5,-0.000760197639465,1.04143
162.4541380405426,0.0,960.5,0.00520519,2,205957,930,67.8563,-0.00553855,960.5,0.0091894865036,1.02453
164.04664158821106,0.0,960.5,0.00808248,2,207957,932,67.0457,-0.00456407,960.5,-0.0255835056305,1.0289
165.65687489509583,0.0,960.5,0.00422991,2,209957,934,69.2545,-0.0041135,960.5,-0.00795722007751,1.05693
167.2655746936798,0.0,960.5,0.00783955,3,212957,937,92.9875,-0.00612307,960.5,0.00703150033951,1.05203
168.85959148406982,0.0,960.5,0.00476303,2,214957,939,67.5642,-0.00485149,960.5,-0.049644112587,1.0526
170.45413064956665,0.0,960.5,0.0040409,2,216957,941,67.9689,-0.00364787,960.5,-0.00129950046539,1.06285
172.062353849411,0.0,960.5,0.00657258,2,218957,943,65.1292,-0.00479521,960.5,-0.0181881189346,1.06471
173.6567084789276,0.0,960.5,0.00648486,2,220957,945,68.2873,-0.00533728,960.5,-0.00149917602539,1.07596
175.26580476760864,0.0,960.5,0.010557,2,222957,947,67.6041,-0.00432181,960.5,-0.0259547233582,1.0735
176.85949683189392,0.0,960.5,0.0038903,2,224957,949,67.6168,-0.00474025,960.5,-0.000493884086609,1.05397
178.4688642024994,0.0,960.5,0.00716933,2,226957,951,68.2809,-0.00570475,960.5,-0.00526475906372,1.05911
180.06333804130554,0.0,960.5,0.00509951,2,228957,953,68.1667,-0.00241859,960.5,0.00545543432236,1.06017
181.65576362609863,0.0,960.5,0.00768231,2,230957,955,41.982,-0.00953763,960.5,0.00886034965515,1.06161
183.26576566696167,0.0,960.5,0.00695144,2,232957,957,68.8946,-0.00519487,960.5,0.00599378347397,1.07557
184.85914039611816,0.0,960.5,0.00803629,2,234957,959,69.4951,-0.00193655,960.5,-0.012619972229,1.08579
186.46329069137573,0.0,960.5,0.00957291,2,236957,961,72.3791,-0.00611623,960.5,-0.0959377288818,1.07412
188.06211137771606,0.0,960.5,0.00401369,2,238957,963,68.7936,-0.00382596,960.5,0.014635682106,1.08757
189.67134380340576,0.0,960.5,0.0109551,2,240957,965,68.6492,-0.00952192,960.5,0.00765955448151,1.08696
191.26634311676025,0.0,960.5,0.00952594,2,242957,967,67.3415,-0.00467086,960.5,-0.0351910591125,1.10476
192.87573337554932,0.0,963.45,0.00942681,2,244957,969,66.8157,-0.00754359,963.45,-0.0174953937531,1.10159
194.4706597328186,0.0,963.45,0.00347604,2,246957,971,57.2662,-0.00749958,963.45,0.0366883277893,1.10166
196.07783269882202,0.0,963.45,0.00362161,2,248957,973,69.0274,-0.00360821,963.45,-0.0130032300949,1.12203
197.68785071372986,0.0,963.45,0.00833466,2,250957,975,61.8817,-0.00480258,963.45,0.00888586044312,1.11727
199.28186440467834,0.0,963.45,0.00926619,2,252957,977,69.0436,-0.00349568,963.45,-0.0362329483032,1.12486
200.87471508979797,0.0,963.45,0.00755546,3,255957,980,84.1908,-0.00768208,963.45,-0.0202449560165,1.10759
202.48470878601074,0.0,966.38,0.00943464,2,257957,982,51.4249,-0.00904349,966.38,0.0491040945053,1.10143
204.0936563014984,0.0,968.65,0.00636423,2,259957,984,68.6825,-0.00496298,968.65,-0.0530030727386,1.10568
205.69237971305847,0.0,979.91,0.00385613,2,261957,986,68.0955,-0.00604294,979.91,-0.00779271125793,1.07215
207.29914259910583,0.0,986.11,0.00782231,2,263957,988,66.5317,-0.00594466,986.11,0.00806927680969,1.06798
208.90355563163757,0.0,986.11,0.00788276,2,265957,990,63.2903,-0.0051228,986.11,0.0538085103035,1.07238
210.48400902748108,0.0,986.11,0.0138844,2,267957,992,67.151,-0.00603839,986.11,0.045297563076,1.07362
212.09325337409973,0.0,986.11,0.0050891,2,269957,994,70.0232,-0.00395051,986.11,-0.0115432739258,1.06393
213.70843243598938,0.0,981.07,0.00473924,2,271453,996,35.4553,-0.0085781,981.07,0.517654627562,1.05617
215.36153650283813,0.0,981.07,0.00592029,2,273453,998,66.4718,-0.00881899,981.07,-0.00842463970184,1.03515
216.9546639919281,0.0,981.07,0.00561727,3,276453,1001,97.0647,-0.00619881,981.07,0.0197681188583,1.05749
218.5603883266449,0.0,981.07,0.00723129,2,278453,1003,69.5702,-0.0058827,981.07,-0.0177507400513,1.05341
220.14862036705017,0.0,981.07,0.00537754,2,280453,1005,69.3864,-0.00584716,981.07,-0.0164544582367,1.03595
221.76510787010193,0.0,981.07,0.00803137,2,282453,1007,68.4179,-0.00569704,981.07,-0.00395882129669,1.03575
223.3625557422638,0.0,981.07,0.0081446,2,284453,1009,68.4262,-0.00723774,981.07,0.00849622488022,1.0457
224.95740509033203,0.0,981.07,0.00529907,2,286453,1011,68.212,-0.0068482,981.07,0.0104210972786,1.03372
226.55114769935608,0.0,981.07,0.00879912,2,288453,1013,68.1861,-0.0079345,981.07,0.00441724061966,1.02616
228.1605188846588,0.0,981.07,0.00856945,2,290453,1015,68.7126,-0.00591019,981.07,-0.00213766098022,1.02309
229.7698895931244,0.0,994.96,0.00963954,2,292453,1017,68.7497,-0.005637,994.96,-0.00750076770782,1.01031
231.36363577842712,0.0,994.96,0.00490274,2,294453,1019,68.0052,-0.00609363,994.96,-0.000933289527893,0.991249
