EpLenMean,EpThisIter,loss_pol_entpen,EpRewMean,loss_vf_loss,EpisodesSoFar,loss_pol_surr,TimestepsSoFar,loss_ent,loss_kl,TimeElapsed,ev_tdlam_before
1000.0,2,0.0,119.06648848,121.685,141,-0.0658435,141000,4.83258,0.0161556,124.1554741859436,0.929598480463
1000.0,2,0.0,144.581096436,103.912,143,-0.056881,143000,4.75417,0.0210686,125.95238375663757,0.333250641823
1000.0,2,0.0,164.28310932,109.418,145,-0.0629843,145000,4.73866,0.0187628,127.74846458435059,0.416835963726
1000.0,2,0.0,187.838828151,84.8979,147,-0.0656918,147000,4.67822,0.0171028,129.54615545272827,0.805657789111
1000.0,2,0.0,201.416994689,64.3619,149,-0.0679688,149000,4.60448,0.0183234,131.34301662445068,0.915333673358
1000.0,2,0.0,217.590712053,79.8246,151,-0.0637016,151000,4.58656,0.016673,133.13964414596558,0.926455296576
1000.0,2,0.0,226.144256954,56.9451,153,-0.0617873,153000,4.54906,0.0158109,134.92042636871338,0.959499087185
1000.0,2,0.0,238.415487796,70.2785,155,-0.0643636,155000,4.55133,0.0169526,136.717355966568,0.956875365227
1000.0,2,0.0,264.670878196,95.2413,157,-0.0618653,157000,4.52507,0.0165914,138.52971720695496,0.947790767998
1000.0,2,0.0,272.11296593,85.4247,159,-0.0641523,159000,4.48957,0.0179029,140.3273274898529,0.930803127587
1000.0,2,0.0,295.600243701,105.229,161,-0.0632355,161000,4.49475,0.0177631,142.1239447593689,0.938964650035
1000.0,2,0.0,309.33000401,85.224,163,-0.0608681,163000,4.45218,0.0175015,143.9210193157196,0.927208013833
1000.0,2,0.0,333.010231609,116.578,165,-0.0575053,165000,4.43666,0.0173769,145.70907402038574,0.31062734127
1000.0,2,0.0,353.45749893,114.145,167,-0.0616831,167000,4.4171,0.018098,147.51439833641052,0.315930247307
1000.0,2,0.0,376.8496211,121.198,169,-0.0623744,169000,4.35156,0.0202789,149.31133270263672,0.389317572117
1000.0,3,0.0,405.601052534,119.359,172,-0.0559681,172000,4.33142,0.0156221,151.1136908531189,0.928571306169
1000.0,2,0.0,424.227655294,130.412,174,-0.0629299,174000,4.26191,0.0171064,152.90496802330017,0.324981689453
1000.0,2,0.0,447.31298908,117.541,176,-0.0542272,176000,4.23705,0.0187308,154.70805478096008,0.271562099457
1000.0,2,0.0,465.722958363,91.3595,178,-0.0613655,178000,4.20692,0.0174649,156.4835970401764,0.679895997047
1000.0,2,0.0,474.450006211,104.129,180,-0.0673176,180000,4.17044,0.019092,158.29609417915344,0.96163905412
1000.0,2,0.0,494.829939352,129.688,182,-0.0620558,182000,4.11902,0.0174095,160.076434135437,0.13929527998
1000.0,2,0.0,502.39328909,119.68,184,-0.0689635,184000,4.09044,0.0211031,161.8737382888794,0.95072747767
1000.0,2,0.0,521.135374454,122.854,186,-0.0635823,186000,4.0688,0.0218204,163.6703543663025,0.503723323345
1000.0,2,0.0,529.314252065,133.337,188,-0.0641333,188000,4.05287,0.0198497,165.4671835899353,0.950682487339
1000.0,2,0.0,549.011949858,140.593,190,-0.0578781,190000,4.04316,0.0207772,167.26444101333618,0.390963971615
1000.0,2,0.0,563.896459744,139.874,192,-0.063109,192000,4.0199,0.022409,169.06136226654053,0.395692408085
1000.0,2,0.0,580.439510631,159.189,194,-0.0630174,194000,4.01875,0.0188781,170.84235620498657,0.935956701636
1000.0,2,0.0,591.324765531,200.538,196,-0.0660248,196000,3.99724,0.0206377,172.63921689987183,0.474135696888
1000.0,2,0.0,596.531298005,134.519,198,-0.0624979,198000,3.97029,0.0202014,174.42079973220825,0.962222021073
1000.0,2,0.0,613.040808066,156.523,200,-0.0624644,200000,3.91686,0.0197129,176.21888780593872,0.889422759414
1000.0,2,0.0,631.137250298,169.75,202,-0.0655557,202000,3.89355,0.0203766,178.01482820510864,0.745115220547
1000.0,2,0.0,652.921432815,74.2861,204,-0.0649811,204000,3.8501,0.0189455,179.8109040260315,0.920904561877
1000.0,2,0.0,670.775966314,145.339,206,-0.0579957,206000,3.85422,0.0197879,181.592835187912,0.284946143627
1000.0,2,0.0,692.792488089,133.845,208,-0.0580647,208000,3.82915,0.0192301,183.3890130519867,0.234470784664
1000.0,2,0.0,702.795411867,101.859,210,-0.0671271,210000,3.76835,0.0213024,185.18591165542603,0.876314908266
1000.0,2,0.0,721.597461168,140.316,212,-0.0639431,212000,3.74432,0.0215262,186.9810450077057,0.943962398916
1000.0,3,0.0,729.006506301,136.816,215,-0.065243,215000,3.71967,0.019454,188.7641351222992,0.961156494915
1000.0,2,0.0,741.809047656,138.5,217,-0.0623533,217000,3.68996,0.0224237,190.56168603897095,0.285933315754
1000.0,2,0.0,765.306396887,156.887,219,-0.0574842,219000,3.62242,0.0245728,192.35832238197327,0.357125818729
1000.0,2,0.0,774.375036675,167.305,221,-0.0614398,221000,3.55327,0.0208449,194.13944840431213,0.919891491532
1000.0,2,0.0,794.633452705,165.438,223,-0.0540494,223000,3.50611,0.0235671,195.9363465309143,0.160649657249
1000.0,2,0.0,805.490331287,156.79,225,-0.0593983,225000,3.47443,0.0245355,197.73293590545654,0.293666422367
1000.0,2,0.0,831.454605997,136.808,227,-0.056719,227000,3.45458,0.0227238,199.5146083831787,0.616837501526
1000.0,2,0.0,836.917367429,183.204,229,-0.0677257,229000,3.45547,0.0217719,201.3267321586609,0.95767788589
1000.0,2,0.0,849.058207928,187.988,231,-0.0625814,231000,3.44405,0.0225865,203.14002776145935,0.373324632645
1000.0,2,0.0,866.979764554,159.202,233,-0.0519267,233000,3.45225,0.0238895,204.92037868499756,0.193250834942
1000.0,2,0.0,881.094223339,156.933,235,-0.0598702,235000,3.45119,0.0232518,206.7172656059265,0.256816804409
1000.0,2,0.0,896.226126927,155.625,237,-0.0512315,237000,3.44127,0.0227645,208.51467514038086,0.210299253464
1000.0,2,0.0,929.580597796,145.489,239,-0.0510159,239000,3.41556,0.0196262,210.311767578125,0.177979826927
1000.0,2,0.0,956.08957355,156.242,241,-0.051685,241000,3.40046,0.0280808,212.0929582118988,0.205608308315
1000.0,2,0.0,965.248785749,170.43,243,-0.0638606,243000,3.38077,0.0218882,213.8907973766327,0.930699326098
1000.0,2,0.0,963.096640004,116.696,245,-0.0640722,245000,3.32773,0.024257,215.67042541503906,0.963022485375
1000.0,2,0.0,971.978088895,181.74,247,-0.057959,247000,3.32812,0.0261891,217.46734237670898,0.284556269646
1000.0,2,0.0,982.645707568,122.081,249,-0.0681579,249000,3.29282,0.0242899,219.26428866386414,0.919474408031
1000.0,2,0.0,1001.28122989,213.512,251,-0.0678414,251000,3.28557,0.0242646,221.06211519241333,0.842677772045
1000.0,2,0.0,1009.46880105,60.568,253,-0.063909,253000,3.25921,0.021688,222.85300469398499,0.976682767272
1000.0,3,0.0,1029.55229278,174.422,256,-0.0591239,256000,3.20298,0.0234547,224.65473675727844,0.694061815739
1000.0,2,0.0,1043.98526918,98.4715,258,-0.072044,258000,3.13164,0.025853,226.4533383846283,0.969318466261
1000.0,2,0.0,1056.8233258,202.024,260,-0.0592791,260000,3.12301,0.022931,228.24879360198975,0.286534845829
1000.0,2,0.0,1082.00580099,163.793,262,-0.0644129,262000,3.10631,0.0233958,230.0312979221344,0.425527453423
