TimestepsSoFar,loss_pol_entpen,TimeElapsed,ev_tdlam_before,EpThisIter,EpLenMean,loss_pol_surr,EpisodesSoFar,loss_ent,loss_kl,EpRewMean,loss_vf_loss
98238,0.0,162.3595314025879,0.919620215893,27,74.16,-0.145594,1966,22.21,0.06864,37.2812153385,0.577548
100280,0.0,165.77386617660522,0.928598284721,27,74.92,-0.14341,1993,22.195,0.0594266,37.3156912188,0.396603
102337,0.0,169.17239212989807,0.934523075819,28,73.98,-0.139995,2021,22.1903,0.066761,37.0944006449,0.423334
104409,0.0,172.59838700294495,0.933063328266,28,74.64,-0.14391,2049,22.167,0.0639356,37.5604750481,0.494704
106463,0.0,176.01616501808167,0.937751341611,26,75.52,-0.146338,2075,22.1522,0.0683935,37.7788684242,0.529963
108497,0.0,179.43956971168518,0.913450941443,26,75.78,-0.147106,2101,22.1314,0.0662806,38.1387363119,0.481109
110546,0.0,182.84371042251587,0.900614522398,25,78.35,-0.145502,2126,22.0917,0.0651734,39.3070598651,0.537122
112541,0.0,186.2499499320984,0.916504181921,25,79.87,-0.141667,2151,22.0565,0.062364,39.9939813591,0.535868
114639,0.0,189.64056491851807,0.926284462214,27,80.16,-0.145372,2178,22.026,0.0633985,40.2640570912,0.588179
116654,0.0,193.06624460220337,0.9315892905,26,78.72,-0.149421,2204,22.0209,0.0697195,39.4774258668,0.617636
118719,0.0,196.48781991004944,0.940329451114,27,77.61,-0.141651,2231,21.9635,0.0641809,39.0615632656,0.464244
120818,0.0,199.90144634246826,0.910746470094,26,77.45,-0.142569,2257,21.9692,0.0706854,39.0363062259,0.375919
122843,0.0,203.33341145515442,0.933232657611,27,77.52,-0.145728,2284,21.9681,0.0709043,39.0463337069,0.605782
124916,0.0,206.7586531639099,0.931570827961,26,78.03,-0.142801,2310,21.9103,0.0675,39.1928754525,0.405133
126855,0.0,210.1414704322815,0.935887672007,26,76.91,-0.147876,2336,21.8939,0.0702523,38.6947899175,0.364316
128995,0.0,213.61921191215515,0.931969799101,26,77.92,-0.141101,2362,21.8639,0.0700155,38.7868236076,0.405321
131070,0.0,217.01152563095093,0.946023713797,26,79.03,-0.147454,2388,21.874,0.0710829,39.4258990901,0.310175
133097,0.0,220.42573165893555,0.93387645483,27,77.71,-0.139254,2415,21.8693,0.0707479,38.6511267045,0.459425
135090,0.0,223.84040641784668,0.943119339645,25,79.05,-0.143157,2440,21.835,0.068384,39.3362868799,0.424671
