loss_kl,TimestepsSoFar,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,EpThisIter,loss_pol_entpen,loss_vf_loss,TimeElapsed,EpRewMean
0.0152334,134906,0.961860969663,-0.0570013,1047,6.79391,182.51,9,0.0,34.1852,135.27196955680847,438.617607841
0.0159121,137182,0.957818649709,-0.0530739,1058,6.76348,185.52,11,0.0,45.1275,137.31996273994446,450.624221443
0.017346,139121,0.964838225394,-0.0513555,1068,6.76149,185.53,10,0.0,39.9217,139.3681435585022,455.067195197
0.0168246,141204,0.963637273759,-0.0575919,1079,6.74029,186.73,11,0.0,49.8081,141.41202878952026,464.233138748
0.0147446,143193,0.966902092099,-0.0545764,1089,6.72563,188.93,10,0.0,44.8376,143.45896768569946,474.678951088
0.0149188,145243,0.977252531797,-0.0548979,1099,6.70131,191.56,10,0.0,36.0416,145.50592589378357,483.620472887
0.0192646,147344,0.947346620262,-0.0573853,1109,6.66747,196.2,10,0.0,64.7329,147.5528974533081,501.892669548
0.0222657,149406,0.970215581357,-0.0537423,1119,6.66555,198.38,10,0.0,43.4871,149.5908179283142,512.003317308
0.0148432,151452,0.964323848486,-0.0561384,1129,6.65654,200.82,10,0.0,59.3613,151.62420892715454,526.203364106
0.0134057,153539,0.95317273587,-0.0579519,1138,6.61231,204.9,9,0.0,85.9246,153.6618947982788,543.254895278
0.0184847,155559,0.954007413238,-0.0539762,1147,6.55229,206.53,9,0.0,87.3149,155.70906496047974,553.035936308
0.0148267,157597,0.941253244877,-0.056141,1155,6.53008,210.08,8,0.0,100.717,157.7408685684204,570.315567391
0.0196813,159704,0.947966516018,-0.0574178,1164,6.47461,213.62,9,0.0,100.004,159.78703141212463,586.273725139
0.0179435,161627,0.952970698476,-0.0538005,1172,6.44798,216.84,8,0.0,80.9463,161.8350191116333,599.582801507
0.0212604,163515,0.94152732566,-0.057305,1180,6.42357,221.3,8,0.0,89.1835,163.88103604316711,618.268323329
0.0186548,165682,0.959563542157,-0.0563015,1188,6.4011,226.87,8,0.0,76.865,165.91237664222717,637.483312098
0.0184715,167720,0.955905817449,-0.058183,1196,6.36344,231.94,8,0.0,82.6225,167.95951175689697,658.846676614
0.0179899,169931,0.956492096186,-0.0547665,1204,6.36181,235.78,8,0.0,80.6564,170.0085530281067,672.362735522
0.0179047,171865,0.948098707944,-0.0589883,1212,6.38395,238.97,8,0.0,104.245,172.06121349334717,684.314816781
