loss_vf_loss,TimeElapsed,EpisodesSoFar,ev_tdlam_before,loss_ent,TimestepsSoFar,EpThisIter,loss_kl,EpLenMean,loss_pol_entpen,EpRewMean,loss_pol_surr
68.1692,317.381982088089,1173,-0.00113046169281,0.786662,399018,2,0.00816295,985.82,0.0,985.82,-0.0103743
40.2245,319.0310888290405,1175,0.0161692500114,0.799602,400775,2,0.00854564,983.39,0.0,983.39,-0.0107181
69.4069,320.6410813331604,1177,-0.00874185562134,0.791716,402775,2,0.00802464,983.39,0.0,983.39,-0.00625833
64.8853,322.2654764652252,1179,0.00361347198486,0.780802,404681,2,0.00650279,982.57,0.0,982.57,-0.0108108
69.102,323.89025688171387,1181,-0.0117373466492,0.775887,406681,2,0.00892286,982.57,0.0,982.57,-0.00699432
69.0024,325.5318593978882,1183,-0.000394821166992,0.764978,408681,2,0.0192271,982.57,0.0,982.57,-0.00744308
68.8974,327.15593957901,1185,-0.000348806381226,0.789022,410681,2,0.00589722,983.28,0.0,983.28,-0.00439693
101.032,328.7812867164612,1188,-7.54594802856e-05,0.787596,413681,3,0.00913512,983.28,0.0,983.28,-0.00656759
67.9018,330.42227387428284,1190,-0.00519847869873,0.788767,415681,2,0.00582146,986.66,0.0,986.66,-0.00645886
62.2647,332.01523637771606,1192,0.003457903862,0.804934,417681,2,0.00662946,989.51,0.0,989.51,-0.00771732
68.489,333.6567449569702,1194,-0.0102006196976,0.809519,419681,2,0.00631331,991.92,0.0,991.92,-0.00493617
41.2672,335.2736642360687,1196,0.0890384912491,0.80658,421260,2,0.0069227,989.54,0.0,989.54,-0.0101927
69.257,336.9073877334595,1198,-0.0134257078171,0.802489,423260,2,0.00704437,989.54,0.0,989.54,-0.0046763
69.0957,338.53084111213684,1200,-0.0050665140152,0.796155,425260,2,0.0108405,989.54,0.0,989.54,-0.00654038
68.7439,340.15664291381836,1202,-0.000282049179077,0.802127,427260,2,0.00314997,992.42,0.0,992.42,-0.00431234
68.8731,341.7668311595917,1204,-0.00113081932068,0.825833,429260,2,0.0149482,992.42,0.0,992.42,-0.00875584
65.0259,343.40641736984253,1206,0.00201654434204,0.815861,431260,2,0.00500541,992.42,0.0,992.42,-0.00896559
68.8137,345.01565766334534,1208,-0.0112442970276,0.809349,433260,2,0.00590734,992.42,0.0,992.42,-0.00661522
68.8324,346.6559283733368,1210,-0.00271439552307,0.838642,435260,2,0.0103044,992.42,0.0,992.42,-0.00689806
100.599,348.28435373306274,1213,-0.00110948085785,0.855204,438260,3,0.00996873,992.42,0.0,992.42,-0.00674904
63.593,349.9060823917389,1215,0.000131249427795,0.87784,440260,2,0.00507595,992.42,0.0,992.42,-0.00538308
63.8239,351.5468397140503,1217,0.0213006138802,0.869898,442260,2,0.0060425,992.42,0.0,992.42,-0.00374919
61.7189,353.15693402290344,1219,0.155326187611,0.876539,444260,2,0.00429902,992.42,0.0,992.42,-0.00546277
65.6355,354.7968518733978,1221,0.0924566984177,0.892402,446260,2,0.00798734,992.42,0.0,992.42,-0.0073323
44.4848,356.4063024520874,1224,0.418712317944,0.875389,448235,3,0.0053504,982.17,0.0,982.17,-0.00992281
34.9413,358.04776668548584,1227,0.727002292871,0.872924,450491,3,0.00330933,974.73,0.0,974.73,-0.00624843
39.0384,359.65654468536377,1229,0.504448652267,0.874805,452491,2,0.017154,974.73,0.0,974.73,-0.00611832
66.401,361.2963647842407,1231,0.0319585800171,0.878706,454491,2,0.0084996,974.73,0.0,974.73,-0.00764212
65.2382,362.9214930534363,1233,0.126431643963,0.898218,456491,2,0.0099503,974.73,0.0,974.73,-0.00820662
64.9666,364.5422532558441,1235,0.0865769982338,0.904104,458491,2,0.00291513,974.73,0.0,974.73,-0.00397122
42.1545,366.1727876663208,1237,0.280678629875,0.922102,460431,2,0.00887713,974.13,0.0,974.13,-0.00878771
70.667,367.7969124317169,1239,0.035768866539,0.920925,462431,2,0.00617395,974.13,0.0,974.13,-0.00325891
64.629,369.4216191768646,1241,-0.0151518583298,0.919117,464431,2,0.00626933,974.13,0.0,974.13,-0.00602729
71.3608,371.03088903427124,1243,-0.0318981409073,0.929755,466431,2,0.00976989,974.13,0.0,974.13,-0.00690493
70.5964,372.68700218200684,1245,-0.0269012451172,0.942709,468431,2,0.00956752,974.13,0.0,974.13,-0.00867061
65.4805,374.2969698905945,1247,0.0333467721939,0.947226,470431,2,0.0107905,974.13,0.0,974.13,-0.00833242
65.5496,375.93729877471924,1249,0.0954167842865,0.940251,472431,2,0.00617611,974.13,0.0,974.13,-0.00812205
34.9757,377.54796028137207,1252,0.844770386815,0.949749,474716,3,0.00429219,966.98,0.0,966.98,-0.0104691
6.77273,379.18865489959717,1255,0.938054662198,0.95892,476960,3,0.0105052,959.42,0.0,959.42,-0.0122019
71.9299,380.78416991233826,1257,0.0157116651535,0.957449,478960,2,0.0108747,959.42,0.0,959.42,-0.00850009
