EpisodesSoFar,ev_tdlam_before,EpThisIter,loss_pol_entpen,loss_pol_surr,loss_vf_loss,EpLenMean,loss_ent,TimestepsSoFar,TimeElapsed,loss_kl,EpRewMean
1405,0.973771402612,10,0.0,-0.0514984,47.452,189.69,6.43434,190276,192.31957459449768,0.0168637,507.507830215
1415,0.967157870531,10,0.0,-0.0546713,61.5678,193.55,6.39484,192439,194.39777207374573,0.0165331,518.498073421
1424,0.970024194568,9,0.0,-0.0592656,54.8219,196.13,6.34262,194370,196.46111297607422,0.0185782,532.249504646
1434,0.97253699787,10,0.0,-0.0537973,49.2556,200.23,6.3533,196578,198.50711250305176,0.0204681,549.680393174
1443,0.956787765026,9,0.0,-0.049649,89.6002,203.68,6.36128,198584,200.56967639923096,0.0221986,564.115607574
1452,0.966732736677,9,0.0,-0.0526987,79.7484,204.99,6.34632,200492,202.61914610862732,0.0172122,571.405445432
1462,0.967906482518,10,0.0,-0.0563971,88.8185,208.55,6.29808,202641,204.67223858833313,0.0184603,593.426069829
1472,0.977212669328,10,0.0,-0.0569851,60.335,210.23,6.26785,204700,206.7256772518158,0.0175002,601.688300726
1481,0.978107217699,9,0.0,-0.0556015,54.3107,213.54,6.28082,206829,208.78847980499268,0.0174705,614.945292882
1489,0.98092122376,8,0.0,-0.052244,48.1361,217.1,6.27158,208699,210.85107421875,0.0165856,633.361747266
1498,0.955406364053,9,0.0,-0.0511816,81.1958,220.54,6.27813,210855,212.90057277679443,0.0181674,642.527559075
1508,0.967497900128,10,0.0,-0.0533219,76.261,220.27,6.26883,212926,214.95326972007751,0.0163758,645.574940969
1517,0.978088309988,9,0.0,-0.0570564,57.8228,221.04,6.23219,215005,217.0074553489685,0.0206778,651.796929413
1525,0.975286265835,8,0.0,-0.053496,49.7995,223.15,6.20286,216941,219.05758047103882,0.0198012,658.289900935
1534,0.961363434792,9,0.0,-0.0526917,85.3478,224.79,6.18206,219057,221.1243326663971,0.0189962,662.144653404
1542,0.972059419379,8,0.0,-0.0587182,59.41,225.27,6.15523,220888,223.1866111755371,0.0189736,664.703632751
1551,0.98176166974,9,0.0,-0.0531273,45.4365,230.02,6.13312,223194,225.24167776107788,0.022514,678.081213561
1559,0.984842822887,8,0.0,-0.0564929,36.1252,232.47,6.1118,225238,227.2886552810669,0.0163817,692.223411669
1567,0.983470173553,8,0.0,-0.0558866,41.8887,235.72,6.12645,227218,229.35102796554565,0.0230106,703.892946876
1575,0.979605512694,8,0.0,-0.0554048,48.7733,237.41,6.11533,229150,231.3973605632782,0.016933,709.066698191
1584,0.974155914038,9,0.0,-0.0575032,64.8016,236.63,6.06307,231231,233.46167063713074,0.0188834,707.006288283
1592,0.983996396884,8,0.0,-0.0599236,37.4598,237.88,5.99107,233329,235.4947385787964,0.0203322,716.693178693
1601,0.98101923801,9,0.0,-0.0597805,43.6636,239.73,5.9336,235485,237.54497694969177,0.017877,723.47657354
1609,0.975896948949,8,0.0,-0.0510536,44.4452,243.42,5.91841,237467,239.6080253124237,0.0214319,734.690206222
1618,0.980889942497,9,0.0,-0.0543632,52.6173,242.56,5.88937,239516,241.655855178833,0.0197786,733.616354417
1627,0.981310460716,9,0.0,-0.0574991,39.9801,242.46,5.82941,241600,243.71847915649414,0.0211599,736.468642151
