EpisodesSoFar,TimestepsSoFar,ev_tdlam_before,EpThisIter,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr,EpRewMean,loss_ent,EpLenMean,loss_pol_entpen
1175,141231,0.967090010643,14,24.4356,141.68425583839417,0.0141501,-0.0555578,320.547822739,6.99469,160.13,0.0
1187,143360,0.978992339224,12,17.441,143.73123836517334,0.0133354,-0.0504941,327.836293285,6.95322,163.92,0.0
1199,145299,0.962084259838,12,31.8165,145.7937994003296,0.0141894,-0.0432446,331.974162935,6.90308,165.34,0.0
1211,147173,0.972388757393,12,19.2379,147.84091067314148,0.0180436,-0.0525048,331.328077313,6.8378,162.21,0.0
1223,149342,0.98277788423,12,15.1616,149.90348482131958,0.0168672,-0.0517172,336.000032224,6.83929,163.83,0.0
1236,151499,0.982062209398,13,17.5645,151.950453042984,0.0162098,-0.0518979,340.280876222,6.82929,162.43,0.0
1248,153443,0.982281487435,12,17.3959,153.99968814849854,0.0167492,-0.0502029,344.99430075,6.79112,163.28,0.0
1261,155595,0.966192062944,13,27.5911,156.05128264427185,0.0203291,-0.0563054,352.325784414,6.72463,164.21,0.0
1273,157627,0.982408987358,12,15.9069,158.09878659248352,0.0173523,-0.054753,360.438033852,6.67224,166.72,0.0
1285,159641,0.986218272708,12,13.4318,160.15367913246155,0.0152658,-0.0515032,365.246147919,6.64909,166.68,0.0
1297,161760,0.987614827231,12,13.3772,162.2158601284027,0.014659,-0.0476053,372.634324811,6.65382,167.71,0.0
1309,163672,0.975930584595,12,21.0344,164.262512922287,0.0157384,-0.0546055,376.877593838,6.63831,168.33,0.0
1321,165853,0.985310927965,12,14.8361,166.30909514427185,0.0178001,-0.0492532,384.422206815,6.57315,169.12,0.0
1333,167901,0.984379546717,12,19.8352,168.35633444786072,0.0142326,-0.0520621,388.991811815,6.56843,169.47,0.0
1344,169909,0.980871492997,11,22.2253,170.38774156570435,0.0136188,-0.0509044,394.474471275,6.53161,171.51,0.0
1356,171947,0.982045570388,12,26.5205,172.43460869789124,0.0179694,-0.0436964,397.625920744,6.46802,171.49,0.0
1368,174059,0.979038394988,12,31.9498,174.49688982963562,0.0163558,-0.0357103,402.931529635,6.4628,172.95,0.0
1381,176099,0.974960975349,13,38.0347,176.53664541244507,0.0156689,-0.0435378,404.169240749,6.38978,171.41,0.0
1392,178109,0.979027220979,11,23.132,178.59118914604187,0.0162154,-0.0505424,408.143474542,6.35364,172.31,0.0
1403,180125,0.978573758155,11,29.1033,180.64000010490417,0.0163869,-0.0499616,415.467701196,6.34229,174.1,0.0
1416,182181,0.978194061667,13,32.9991,182.67733550071716,0.020842,-0.0518862,415.703929932,6.28314,172.76,0.0
1428,184240,0.991514293477,12,12.5657,184.7183437347412,0.0194814,-0.0510893,416.196362905,6.25991,171.31,0.0
1440,186322,0.979772794992,12,18.023,186.75486874580383,0.0168535,-0.0418502,421.625118904,6.2807,171.97,0.0
1451,188390,0.991913735867,11,12.8414,188.8274655342102,0.0173788,-0.0503745,427.847164479,6.2652,173.32,0.0
1462,190383,0.987990867347,11,18.2378,190.8630759716034,0.0195824,-0.0543586,431.541861437,6.20078,173.82,0.0
1473,192376,0.987459569238,11,21.6301,192.91102290153503,0.0168529,-0.0465564,439.141915901,6.18225,175.3,0.0
1484,194484,0.979642247781,11,20.438,194.94280743598938,0.0179309,-0.046493,445.42662751,6.18033,177.97,0.0
1496,196508,0.977727537975,12,29.796,196.98976755142212,0.0182673,-0.0459084,444.229373511,6.12896,176.49,0.0
1508,198604,0.978520365432,12,27.8857,199.02827143669128,0.0210136,-0.041682,448.553475266,6.11946,177.39,0.0
1519,200594,0.976665835828,11,19.6623,201.07487964630127,0.0153818,-0.0397773,448.337637398,6.08965,179.26,0.0
1531,202686,0.988710172474,12,17.9408,203.1215000152588,0.0198881,-0.0527877,450.023950536,6.04261,179.21,0.0
1542,204682,0.983694940805,11,19.3236,205.15269804000854,0.0195093,-0.0418346,452.783143076,6.02698,179.32,0.0
1554,206770,0.978154106066,12,35.3054,207.2005033493042,0.0201539,-0.0516714,451.285896044,5.96421,178.49,0.0
1566,208876,0.978897890076,12,24.9739,209.2468774318695,0.0141996,-0.0456203,451.802713355,5.93698,178.01,0.0
1578,210865,0.978778766468,12,38.454,211.27833151817322,0.0204194,-0.046477,448.85093809,5.91362,176.29,0.0
1589,212832,0.987113386393,11,25.1385,213.34201884269714,0.0150119,-0.0536502,447.067980494,5.8968,175.09,0.0
1601,215036,0.992376984563,12,14.7245,215.38127517700195,0.0193202,-0.0536933,451.899645662,5.83216,176.33,0.0
1612,217032,0.992670954205,11,14.3553,217.4341435432434,0.0176946,-0.0540794,458.569054924,5.76428,176.3,0.0
1623,219092,0.994513826445,11,10.7594,219.48115992546082,0.0179905,-0.053372,467.649996622,5.71589,178.42,0.0
1633,221011,0.99290738022,10,16.2013,221.5158133506775,0.0158255,-0.0492946,472.253498571,5.66636,179.24,0.0
1645,223114,0.97347734496,12,27.6632,223.55194115638733,0.0138151,-0.0469012,473.237857155,5.65828,179.05,0.0
1656,225101,0.992896825541,11,11.9225,225.5986132621765,0.022755,-0.0590454,478.060256752,5.66274,179.62,0.0
1667,227235,0.974181797355,11,51.2308,227.64431595802307,0.0198286,-0.0502141,486.544252588,5.63911,181.88,0.0
1678,229276,0.986249569803,11,30.0665,229.6768877506256,0.0246639,-0.0502997,496.310436308,5.65173,184.11,0.0
1689,231401,0.990166967735,11,14.8576,231.73910808563232,0.0183352,-0.0500575,504.290025653,5.66901,185.69,0.0
1700,233460,0.985566312447,11,21.6793,233.77030396461487,0.0168249,-0.0453321,506.956813886,5.63804,185.92,0.0
1710,235410,0.992306105793,10,15.8608,235.81728744506836,0.0152143,-0.0532994,510.830896655,5.6567,186.93,0.0
1721,237522,0.993895229418,11,15.4029,237.88012647628784,0.0189836,-0.0516241,515.394658102,5.61503,187.71,0.0
1731,239448,0.980917867273,10,34.2598,239.9121744632721,0.0229984,-0.0474559,519.033300898,5.52266,188.22,0.0
1742,241633,0.988493397832,11,20.1878,241.96543669700623,0.0171236,-0.045456,526.674639433,5.4939,190.13,0.0
1752,243645,0.987383669242,10,23.3302,243.9968123435974,0.0189244,-0.0489056,535.101605621,5.45045,192.84,0.0
1763,245658,0.985239593312,11,31.4062,246.0551016330719,0.0202941,-0.0519256,534.738159725,5.43696,192.22,0.0
1774,247797,0.979473985732,11,31.2176,248.09108805656433,0.0193936,-0.0425467,539.358963413,5.4134,192.6,0.0
1784,249818,0.982358695939,10,36.9672,250.1234519481659,0.0204934,-0.0490399,544.552176477,5.36853,193.61,0.0
1794,251800,0.979102833197,10,41.8314,252.1701798439026,0.0253353,-0.0488428,552.308129118,5.30871,194.28,0.0
1804,253842,0.979742111638,10,42.9418,254.21031165122986,0.0177987,-0.0477892,560.73705171,5.29447,195.6,0.0
1814,255839,0.987091911025,10,31.4453,256.25429248809814,0.0203641,-0.0515233,569.47880502,5.23183,196.92,0.0
1824,257899,0.985919578932,10,27.3302,258.2866473197937,0.0195221,-0.0516554,576.072987825,5.1779,197.76,0.0
