loss_ent,TimeElapsed,EpLenMean,loss_kl,EpThisIter,loss_vf_loss,EpisodesSoFar,ev_tdlam_before,TimestepsSoFar,loss_pol_entpen,EpRewMean,loss_pol_surr
21.0373,350.2592740058899,93.98,0.076166,22,0.278912,2723,0.946093615144,178107,0.0,45.9368296468,-0.143526
21.0148,354.5778434276581,95.37,0.0890287,20,0.27871,2743,0.94872656092,180111,0.0,47.084449709,-0.148432
20.9661,358.39067578315735,96.74,0.083814,20,0.266536,2763,0.948359478265,182178,0.0,47.7748003185,-0.147755
20.9418,362.21400237083435,99.23,0.0880633,20,0.322928,2783,0.95110546425,184245,0.0,48.903017874,-0.152886
20.9299,365.9912209510803,98.32,0.087068,23,0.293591,2806,0.953462272882,186346,0.0,48.6896343782,-0.146559
20.8918,370.03625202178955,99.14,0.0811417,21,0.293194,2827,0.958537720144,188407,0.0,48.8638939518,-0.144226
20.8646,374.25041675567627,99.28,0.0844377,20,0.40266,2847,0.944073028862,190454,0.0,48.6875164336,-0.144341
20.8185,378.7992470264435,98.03,0.0819502,20,0.467437,2867,0.948169909418,192423,0.0,48.0068174119,-0.142109
20.8007,383.2453191280365,97.9,0.0985545,22,0.362869,2889,0.945758935064,194551,0.0,47.9453068231,-0.144139
20.7555,387.06566643714905,97.43,0.0828587,22,0.443755,2911,0.928568959236,196570,0.0,47.6214022953,-0.146506
20.7353,390.92044973373413,94.95,0.094862,22,0.226915,2933,0.952437769622,198591,0.0,46.8701379605,-0.146527
20.7159,394.69436502456665,91.58,0.0823311,23,0.344943,2956,0.947088252753,200624,0.0,45.3709109391,-0.148637
20.7231,398.68166756629944,89.48,0.0887885,23,0.416413,2979,0.949499424547,202659,0.0,44.271333078,-0.148582
20.7258,402.9698541164398,91.06,0.086096,22,0.361537,3001,0.948753237724,204751,0.0,44.7910798218,-0.147701
20.6762,407.4459023475647,90.89,0.0897491,23,0.246613,3024,0.958182070404,206837,0.0,44.6433234449,-0.143398
20.6087,412.07662200927734,91.01,0.0932856,22,0.316772,3046,0.949081942439,208818,0.0,44.3692079928,-0.147727
20.5724,416.0042300224304,91.99,0.0902826,21,0.306291,3067,0.956717565656,210850,0.0,44.861391268,-0.147833
20.5281,419.82311725616455,94.14,0.0877606,22,0.344211,3089,0.951057948172,212977,0.0,46.0417583349,-0.142121
20.4928,423.71842074394226,95.42,0.0933407,21,0.370367,3110,0.929087504745,215040,0.0,47.002064356,-0.14499
20.4266,427.6093924045563,97.31,0.0919456,20,0.296974,3130,0.944328598678,217021,0.0,47.7040964621,-0.147889
20.3846,432.19452476501465,96.29,0.09977,23,0.383719,3153,0.955225527287,219108,0.0,47.3086138343,-0.14588
20.3562,436.7591998577118,99.87,0.0982562,17,0.299386,3170,0.934591569006,221145,0.0,48.8033847321,-0.144953
20.2848,441.41340136528015,99.95,0.0893249,21,0.408302,3191,0.941503800452,223166,0.0,48.6122154375,-0.145003
20.233,445.3277940750122,99.3,0.0870915,22,0.453907,3213,0.949011951685,225246,0.0,48.6201439349,-0.148745
20.1887,449.14806938171387,98.64,0.0985806,22,0.33031,3235,0.948661502451,227304,0.0,48.4687366053,-0.143453
20.1423,452.9370858669281,97.77,0.101061,22,0.348714,3257,0.964024554938,229353,0.0,47.9977752262,-0.145011
20.0888,456.84351778030396,94.4,0.0905689,20,0.299972,3277,0.967232145369,231310,0.0,46.3366342738,-0.146415
20.0541,460.9530305862427,95.85,0.0915014,21,0.36257,3298,0.956833340228,233406,0.0,46.9957408664,-0.144451
19.9837,465.34333419799805,99.11,0.0966244,18,0.260146,3316,0.955751921982,235400,0.0,48.362754225,-0.147189
19.9636,469.9842174053192,101.32,0.0993581,20,0.254509,3336,0.942989412695,237512,0.0,49.4480692157,-0.144539
19.8963,474.13171672821045,100.64,0.0928518,22,0.294205,3358,0.957747023553,239521,0.0,49.1685341007,-0.145809
19.829,478.00695872306824,103.35,0.102736,19,0.273415,3377,0.948150970042,241645,0.0,50.3835767558,-0.142136
19.8245,481.8532073497772,101.99,0.0954343,21,0.490681,3398,0.942133743316,243605,0.0,49.80355517,-0.138903
19.8214,485.647935628891,99.43,0.100122,21,0.328401,3419,0.96004769206,245670,0.0,48.7345105082,-0.143211
19.7702,489.67051458358765,97.76,0.0971307,22,0.364867,3441,0.961234338582,247743,0.0,47.969754311,-0.145686
19.7348,493.8841030597687,97.8,0.0977804,21,0.300068,3462,0.958530671895,249827,0.0,47.8606026962,-0.140467
19.7064,498.42897295951843,97.68,0.103558,20,0.290053,3482,0.960203688592,251836,0.0,47.9311494974,-0.14991
