loss_ent,ev_tdlam_before,EpThisIter,TimestepsSoFar,loss_kl,loss_pol_entpen,EpisodesSoFar,loss_vf_loss,TimeElapsed,loss_pol_surr,EpLenMean,EpRewMean
0.726832,0.00306934118271,2,267969,0.00706367,0.0,1029,67.9522,210.36711764335632,-0.00512897,986.45,986.45
0.72149,-0.0092306137085,2,269969,0.00858392,0.0,1031,68.6215,211.9608633518219,-0.00539164,986.45,986.45
0.711024,0.00043773651123,3,271974,0.0111745,0.0,1034,73.5052,213.57023310661316,-0.00810549,976.5,976.5
0.709797,0.00136935710907,2,273974,0.00245905,0.0,1036,68.5657,215.16397833824158,-0.00234892,976.5,976.5
0.71574,-0.00220370292664,2,275974,0.00843552,0.0,1038,68.4921,216.78198146820068,-0.00387323,976.5,976.5
0.719932,-0.0285218954086,2,277974,0.00530526,0.0,1040,68.1794,218.4069468975067,-0.0053822,976.5,976.5
0.723575,-0.00185585021973,2,279974,0.00687162,0.0,1042,68.2849,219.99248266220093,-0.00785885,976.5,976.5
0.754287,-0.000737190246582,2,281974,0.0106589,0.0,1044,60.0243,221.60244607925415,-0.00815516,984.51,984.51
0.72456,0.0102041363716,2,283974,0.00634821,0.0,1046,68.7205,223.18865203857422,-0.00753545,987.2,987.2
0.713993,-0.0182927846909,2,285974,0.0168377,0.0,1048,68.8898,224.79686164855957,-0.00955553,987.2,987.2
0.708319,-0.0032856464386,2,287974,0.00695545,0.0,1050,69.0083,226.39264130592346,-0.0070961,987.2,987.2
0.716688,-0.000494718551636,2,289974,0.0088685,0.0,1052,69.0181,227.98040580749512,-0.0046222,987.2,987.2
0.721432,-0.00449061393738,2,291974,0.00512777,0.0,1054,68.9087,229.56663703918457,-0.00573374,987.2,987.2
0.717537,0.00190424919128,2,293974,0.00670573,0.0,1056,68.5894,231.18031072616577,-0.00602813,987.2,987.2
0.729587,-0.00501382350922,2,295974,0.0105635,0.0,1058,68.7845,232.77309226989746,-0.00280947,987.2,987.2
0.717882,0.002237200737,3,298974,0.00706125,0.0,1061,94.5071,234.38246273994446,-0.00467336,987.2,987.2
0.73987,-0.0164091587067,2,300974,0.0105024,0.0,1063,68.0386,235.96058464050293,-0.00591794,987.2,987.2
0.745911,-0.00129783153534,2,302974,0.00361497,0.0,1065,68.1673,237.56995296478271,-0.00495375,987.2,987.2
0.762136,-0.00173032283783,2,304974,0.00966539,0.0,1067,68.3264,239.16369819641113,-0.00706336,987.2,987.2
0.764998,0.00171720981598,2,306974,0.00405773,0.0,1069,65.7861,240.7753233909607,-0.00312043,987.2,987.2
0.76844,-0.0179265737534,2,308974,0.0100071,0.0,1071,68.1954,242.39940476417542,-0.00412978,987.2,987.2
0.769581,0.00988435745239,2,310974,0.00655075,0.0,1073,66.1859,244.00025033950806,-0.00440425,987.2,987.2
0.78142,-0.0305835008621,2,312974,0.00264911,0.0,1075,68.1149,245.61074590682983,-0.00266103,987.2,987.2
0.798058,0.00590491294861,2,314974,0.00621927,0.0,1077,65.6988,247.21232175827026,-0.00659458,987.2,987.2
0.790951,-0.01280605793,2,316974,0.0264507,0.0,1079,68.7309,248.8062562942505,-0.0043968,987.2,987.2
0.800283,-0.00149083137512,2,318974,0.0072566,0.0,1081,68.7086,250.40785908699036,-0.00496573,990.05,990.05
0.82921,-0.00137448310852,2,320974,0.0075163,0.0,1083,68.6728,252.0412425994873,-0.00496229,990.05,990.05
0.849191,-0.00114798545837,2,322974,0.00645237,0.0,1085,68.6061,253.6326277256012,-0.00454951,990.05,990.05
0.823642,-0.00110530853271,2,324974,0.00927553,0.0,1087,68.5273,255.2419981956482,-0.00829258,990.05,990.05
0.827406,-0.00105535984039,2,326974,0.00962655,0.0,1089,68.5587,256.8357434272766,-0.0055466,990.05,990.05
0.830501,-6.90221786499e-05,2,328974,0.0175227,0.0,1091,68.5437,258.44511246681213,-0.00384236,990.05,990.05
0.841739,1.00135803223e-05,2,330974,0.00527844,0.0,1093,68.5232,260.0232322216034,-0.00358797,990.05,990.05
0.837018,0.000765383243561,2,332974,0.0029182,0.0,1095,68.3421,261.61697793006897,-0.00395577,990.05,990.05
0.869402,0.00211161375046,2,334974,0.00943188,0.0,1097,67.5077,263.2107241153717,-0.00616671,990.05,990.05
0.866703,-0.0158630609512,2,336974,0.00948702,0.0,1099,68.3629,264.8206076622009,-0.00325794,990.05,990.05
0.880371,-0.00200819969177,2,338974,0.0112564,0.0,1101,68.5849,266.4330654144287,-0.00409879,990.05,990.05
0.848123,-0.000828146934509,3,341974,0.0100612,0.0,1104,86.3009,268.03391098976135,-0.00889964,990.05,990.05
0.855576,-0.00102615356445,2,343974,0.00637382,0.0,1106,68.2695,269.62884426116943,-0.00596665,990.05,990.05
0.851351,-0.00157582759857,2,345974,0.00817694,0.0,1108,68.1906,271.22618770599365,-0.00547778,990.05,990.05
0.844214,0.000291585922241,2,347974,0.00632252,0.0,1110,68.1592,272.8355567455292,-0.00347733,990.05,990.05
0.854383,-0.000105261802673,2,349974,0.00698516,0.0,1112,65.4165,274.4136772155762,-0.0104706,990.05,990.05
0.877922,-0.0089658498764,2,351974,0.00640251,0.0,1114,67.9916,276.0230474472046,-0.00468899,990.05,990.05
