EpRewMean,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,loss_vf_loss,EpisodesSoFar,loss_ent,EpLenMean,TimeElapsed
905.78,2,-0.000836610794067,0.00534422,-0.0037494,0.0,145055,69.2793,916,1.08538,905.78,115.05599164962769
905.78,2,-0.00109350681305,0.00533681,-0.00213968,0.0,147055,69.284,918,1.08918,905.78,116.67227244377136
905.78,2,-0.000395894050598,0.00732756,-0.00526417,0.0,149055,69.1112,920,1.07562,905.78,118.28973388671875
905.78,2,-0.0459339618683,0.00556868,-0.00618746,0.0,151055,67.8809,922,1.06293,905.78,119.91105461120605
912.32,2,-0.00704658031464,0.00353417,-0.002219,0.0,153055,68.314,924,1.06482,912.32,121.51544952392578
917.96,2,-0.0136300325394,0.00207021,-0.00267902,0.0,155055,68.6601,926,1.06836,917.96,123.12481927871704
925.77,2,-0.00352966785431,0.00710455,-0.00516834,0.0,157055,68.6193,928,1.0561,925.77,124.7341902256012
930.85,2,8.06450843811e-05,0.00895954,-0.0064752,0.0,159055,68.6339,930,1.05043,930.85,126.3435595035553
933.47,2,-0.00220656394958,0.00982358,-0.00570596,0.0,161055,68.6165,932,1.0519,933.47,127.96855545043945
933.47,2,-0.00130724906921,0.00714809,-0.00333982,0.0,163055,68.6133,934,1.07204,933.47,129.56230092048645
933.47,2,-0.000716924667358,0.0130578,-0.00770986,0.0,165055,68.4633,936,1.02874,933.47,131.1716706752777
933.47,2,-0.00390017032623,0.0103964,-0.00801892,0.0,167055,68.4473,938,1.02971,933.47,132.78103971481323
932.44,3,0.00254666805267,0.00907628,-0.00743716,0.0,169952,80.4141,941,1.0374,932.44,134.4060356616974
930.44,2,-0.0615584850311,0.0042813,-0.00744187,0.0,171752,48.0627,943,1.02571,930.44,136.01540613174438
923.9,2,0.586439490318,0.00760362,-0.00905334,0.0,173098,34.8227,945,1.01749,923.9,137.64040088653564
930.32,3,-0.046373963356,0.00983315,-0.00869386,0.0,176098,97.8088,948,1.0226,930.32,139.23414635658264
930.32,2,-0.0122324228287,0.00850889,-0.00768105,0.0,178098,68.6457,950,0.994713,930.32,140.86813473701477
930.32,2,-0.0117573738098,0.00509005,-0.00527626,0.0,180098,68.3763,952,0.995863,930.32,142.46931076049805
918.72,3,0.496689796448,0.00587111,-0.0137481,0.0,181938,52.0473,955,0.993723,918.72,144.0952432155609
918.72,2,0.0113691091537,0.00423355,-0.00259346,0.0,183938,68.2276,957,0.988543,918.72,145.7042534351349
928.34,2,-0.0446029901505,0.00805913,-0.00772178,0.0,185938,68.3623,959,0.95783,928.34,147.3207392692566
