loss_vf_loss,loss_ent,loss_pol_entpen,EpLenMean,ev_tdlam_before,EpisodesSoFar,loss_kl,EpThisIter,loss_pol_surr,TimeElapsed,TimestepsSoFar,EpRewMean
34.6482,3.18975,0.0,1000.0,0.357529640198,167,0.0209255,2,-0.0504866,142.8287479877472,167000,260.68953608
39.857,3.115,0.0,1000.0,0.132046699524,169,0.0227374,2,-0.0479623,144.54553723335266,169000,277.854072574
48.1344,3.12317,0.0,1000.0,0.16660284996,172,0.0203206,3,-0.0427447,146.2892506122589,172000,302.516178473
34.597,3.07644,0.0,1000.0,0.160454392433,174,0.0223749,2,-0.0511678,148.01663517951965,174000,318.778777557
38.8164,3.03268,0.0,1000.0,0.195796191692,176,0.0222639,2,-0.0530864,149.74977207183838,176000,334.940347002
37.8561,2.99711,0.0,1000.0,0.179819643497,178,0.0224642,2,-0.0444706,151.48289823532104,178000,351.122842036
38.1041,2.93548,0.0,1000.0,0.217491090298,180,0.0216704,2,-0.0431568,153.21894359588623,180000,367.750525881
38.6074,2.90154,0.0,1000.0,0.223823308945,182,0.0214756,2,-0.0465016,154.9517114162445,182000,383.120306755
39.708,2.83097,0.0,1000.0,0.177971124649,184,0.0221236,2,-0.0441652,156.687842130661,184000,398.439831741
41.0832,2.79847,0.0,1000.0,0.128794312477,186,0.0260231,2,-0.0465105,158.4212028980255,186000,412.976551647
36.8894,2.78822,0.0,1000.0,0.144289493561,188,0.0227817,2,-0.0431821,160.1562979221344,188000,427.338340851
46.2759,2.75222,0.0,1000.0,0.182194650173,190,0.0253397,2,-0.0472838,161.9049952030182,190000,441.432815703
42.5139,2.70539,0.0,1000.0,0.0575898885727,192,0.0237414,2,-0.0440321,163.62505078315735,192000,458.384512133
46.234,2.67007,0.0,1000.0,0.110679268837,194,0.0237109,2,-0.0474755,165.3754105567932,194000,472.919898341
47.6754,2.63544,0.0,1000.0,0.159947633743,196,0.0325093,2,-0.0351745,167.1095736026764,196000,486.304509688
44.8736,2.59481,0.0,1000.0,0.177692830563,198,0.0259992,2,-0.0472693,168.85921144485474,198000,499.45570619
46.6451,2.5553,0.0,1000.0,0.209957718849,200,0.0211012,2,-0.0447904,170.59017038345337,200000,511.80767769
