loss_vf_loss,EpLenMean,EpisodesSoFar,TimeElapsed,ev_tdlam_before,loss_kl,EpRewMean,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,loss_ent,EpThisIter
67.9841,959.48,834,104.17658472061157,-0.0437135696411,0.00991572,959.48,128749,-0.00439512,0.0,1.08743,2
66.5327,966.99,836,105.83995389938354,0.0232247114182,0.00691091,966.99,130749,-0.0029704,0.0,1.10103,2
63.8712,966.59,839,107.46855902671814,0.340758264065,0.0111989,966.59,132714,-0.00946722,0.0,1.09084,3
75.4046,959.49,842,109.12480401992798,0.0468181371689,0.00600778,959.49,135004,-0.00920346,0.0,1.08603,3
67.3451,959.49,844,110.76542496681213,-0.0532121658325,0.00470662,959.49,137004,-0.00546926,0.0,1.06568,2
56.2764,959.49,846,112.4532401561737,-0.013420343399,0.00429173,959.49,139004,-0.00644789,0.0,1.0568,2
59.8476,960.15,848,114.07981610298157,0.12145626545,0.00488194,960.15,141004,-0.00797071,0.0,1.08475,2
98.8185,951.49,851,115.7349500656128,-0.032322883606,0.00342235,951.49,143047,-0.00509401,0.0,1.08215,3
67.0904,951.49,853,117.37543606758118,-0.0154469013214,0.00535106,951.49,145047,-0.00432715,0.0,1.08548,2
89.6393,951.68,856,119.0241630077362,0.0319209098816,0.00668746,951.68,147378,-0.00762021,0.0,1.05482,3
93.817,942.85,859,120.64865040779114,0.0465395450592,0.00577214,942.85,149495,-0.0060526,0.0,1.0364,3
65.2747,942.85,861,122.29676747322083,-0.143707990646,0.0108657,942.85,151495,-0.00593963,0.0,1.01916,2
58.0969,942.85,863,123.95301342010498,0.0204347372055,0.00530814,942.85,153495,-0.00453202,0.0,1.02483,2
65.654,942.85,865,125.57800698280334,-0.00627493858337,0.00784114,942.85,155495,-0.00502776,0.0,1.03194,2
62.7857,941.34,867,127.23425364494324,-0.0147260427475,0.00967174,941.34,157344,-0.00909882,0.0,1.01564,2
27.854,936.89,869,128.89049911499023,0.190749466419,0.00655193,936.89,158899,-0.0103176,0.0,1.00069,2
75.1279,934.09,872,130.56236910820007,0.287827253342,0.00523335,934.09,161619,-0.00586817,0.0,0.976921,3
44.5955,934.09,874,132.21861267089844,0.201075017452,0.00413275,934.09,163619,-0.0070334,0.0,0.988258,2
68.124,934.09,876,133.88114500045776,0.0122413635254,0.00209839,934.09,165619,-0.00148444,0.0,0.995596,2
49.7021,934.09,878,135.51336884498596,0.255412757397,0.00484742,934.09,167619,-0.00620541,0.0,0.994297,2
38.019,924.28,881,137.17331337928772,0.778928637505,0.00565504,924.28,169638,-0.00910782,0.0,0.991918,3
64.5282,924.28,883,138.80544638633728,0.142799377441,0.00760719,924.28,171638,-0.00469403,0.0,1.00368,2
67.6094,924.28,885,140.44563603401184,-0.0100560188293,0.00880511,924.28,173638,-0.00653318,0.0,0.997368,2
69.1949,924.28,887,142.07924342155457,0.0074976682663,0.00819598,924.28,175638,-0.00529726,0.0,1.00219,2
69.6484,924.28,889,143.71979880332947,-0.00814354419708,0.0071008,924.28,177638,-0.00423914,0.0,0.987923,2
69.9064,924.28,891,145.3794469833374,-0.0333088636398,0.00744096,924.28,179638,-0.0043153,0.0,0.978523,2
73.0556,904.88,895,147.011559009552,0.0324689149857,0.00644203,904.88,181698,-0.0120387,0.0,0.980878,4
47.934,904.88,897,148.67159819602966,0.216709434986,0.00498815,904.88,183698,-0.00590967,0.0,0.972126,2
48.6576,898.53,900,150.31221890449524,0.769492834806,0.00865569,898.53,186063,-0.0130561,0.0,0.961548,3
54.9769,898.53,902,151.95283842086792,0.607034653425,0.00942689,898.53,188063,-0.00993021,0.0,0.944948,2
47.7595,907.95,904,153.59345769882202,0.207783460617,0.00683132,907.95,190063,-0.0103207,0.0,0.954367,2
72.6066,907.95,906,155.24970412254333,-0.0218412876129,0.00441383,907.95,192063,-0.00420106,0.0,0.954822,2
