EpisodesSoFar,TimestepsSoFar,loss_vf_loss,EpRewMean,loss_pol_surr,TimeElapsed,loss_pol_entpen,EpThisIter,loss_kl,loss_ent,ev_tdlam_before,EpLenMean
2042,444110,824.373,2756.44256155,-0.0397985,446.11000394821167,0.0,3,0.0360103,3.89052,0.860556319356,663.45
2045,446390,1442.06,2791.82200761,-0.0406986,448.1722369194031,0.0,3,0.0273659,3.87922,0.697063326836,669.83
2047,447857,764.216,2827.30162312,-0.0371541,450.2036464214325,0.0,2,0.0255779,3.9047,0.822373464704,676.79
2051,450548,87.0772,2852.97004258,-0.0617147,452.2534484863281,0.0,4,0.0324921,3.93105,0.96778922528,681.83
2054,452324,156.257,2893.66344006,-0.0531044,454.30036449432373,0.0,3,0.0336823,3.87512,0.964779246598,689.86
2057,454509,206.099,2897.3046149,-0.0507459,456.3721389770508,0.0,3,0.0317715,3.87024,0.948124255985,689.93
2059,456509,1584.07,2933.21671333,-0.0304443,458.42236065864563,0.0,2,0.0296741,3.87496,0.492960572243,696.51
2062,458691,1517.46,2945.93031537,-0.0321716,460.4686961174011,0.0,3,0.0340381,3.89352,0.773171126842,698.81
2064,460567,821.122,2966.75053338,-0.0320873,462.51553225517273,0.0,2,0.0332718,3.87379,0.815365761518,702.2
2066,462533,740.801,3005.2376382,-0.0315482,464.56323313713074,0.0,2,0.0298561,3.84292,0.831069096923,709.11
2068,464029,348.172,3024.39428492,-0.040186,466.5942416191101,0.0,2,0.0273541,3.82438,0.858359232545,712.31
2071,466177,665.796,3018.75915535,-0.0386983,468.64900183677673,0.0,3,0.0351601,3.8307,0.881788402796,710.46
2074,468871,984.216,3056.24772022,-0.0421467,470.67898201942444,0.0,3,0.0357494,3.7724,0.856059253216,717.88
2076,470871,1422.47,3084.35731729,-0.0335207,472.7352030277252,0.0,2,0.0228814,3.7545,0.512752264738,723.71
2078,472871,1261.72,3142.44190623,-0.0364407,474.7812476158142,0.0,2,0.0265887,3.72397,0.497603416443,735.87
2080,474746,662.721,3180.69110303,-0.0415658,476.84487533569336,0.0,2,0.0327371,3.69085,0.822458520532,743.68
2083,477176,1248.81,3241.54489566,-0.0413524,478.8940291404724,0.0,3,0.0363953,3.70025,0.679894179106,756.5
2085,478244,57.7665,3199.50526905,-0.059141,480.9304447174072,0.0,2,0.0315882,3.67952,0.96819100529,747.18
2088,481244,2123.7,3266.50684237,-0.0294021,482.97718024253845,0.0,3,0.0606029,3.66946,0.42150592804,761.0
2090,482891,761.421,3253.78591345,-0.0376271,485.02459812164307,0.0,2,0.0275773,3.64415,0.789056941867,757.47
2093,485029,77.8433,3215.60667746,-0.0500186,487.0712556838989,0.0,3,0.0450559,3.62163,0.968422062695,748.85
2096,486961,105.663,3190.48876108,-0.0635512,489.1178641319275,0.0,3,0.028986,3.61522,0.964798141271,743.65
2099,489391,816.61,3230.58276915,-0.032031,491.15707540512085,0.0,3,0.0398185,3.59732,0.880368098617,751.57
2101,490855,790.366,3242.70731234,-0.0328412,493.2030749320984,0.0,2,0.022966,3.56654,0.822625249624,754.05
2104,493247,1640.05,3284.78668258,-0.039814,495.2500994205475,0.0,3,0.0336499,3.57136,0.710328519344,762.71
2106,495247,1452.72,3303.05732157,-0.036007,497.3011453151703,0.0,2,0.0458083,3.53516,0.43952524662,766.18
2108,497247,1306.83,3362.01873757,-0.0299097,499.3352265357971,0.0,2,0.0366205,3.54273,0.519467890263,778.16
2110,499240,156.699,3432.30947673,-0.0518048,501.3829698562622,0.0,2,0.0338897,3.51436,0.948025316,792.24
2112,501179,431.633,3479.13714041,-0.0365963,503.43053364753723,0.0,2,0.0247755,3.54566,0.846196874976,801.81
2114,502983,954.631,3515.16490217,-0.0390798,505.4777338504791,0.0,2,0.0374138,3.51919,0.783299386501,809.3
2117,505375,1652.03,3544.41324517,-0.039576,507.5442564487457,0.0,3,0.0399788,3.53425,0.673047453165,814.03
2119,507375,1064.09,3571.89777081,-0.0272719,509.5783302783966,0.0,2,0.0578248,3.56539,0.498564183712,819.14
2122,509543,836.048,3539.84320575,-0.0452805,511.62516140937805,0.0,3,0.0304426,3.54958,0.861618101597,810.82
2124,511424,769.922,3537.93570884,-0.0318278,513.671982049942,0.0,2,0.025809,3.55355,0.83117647469,809.63
2126,513360,789.338,3573.34823013,-0.0307509,515.7218127250671,0.0,2,0.0283327,3.53371,0.827272355556,816.7
2129,515938,1648.99,3590.22845077,-0.0365249,517.7741575241089,0.0,3,0.0302275,3.51788,0.70998352766,819.35
