ev_tdlam_before,EpThisIter,TimeElapsed,loss_pol_surr,EpisodesSoFar,EpRewMean,loss_vf_loss,TimestepsSoFar,loss_pol_entpen,loss_ent,loss_kl,EpLenMean
0.97637828812,13,136.56333756446838,-0.0413512,1102,351.077466669,32.0985,135119,0.0,6.93502,0.0116387,155.66
0.960281357169,14,138.64079904556274,-0.0470191,1116,355.070336251,41.9108,137216,0.0,6.83328,0.0226803,156.57
0.959599111229,12,140.70257925987244,-0.0424443,1128,363.456541501,36.1823,139166,0.0,6.79463,0.0191398,158.79
0.975272167474,13,142.78147220611572,-0.0464112,1141,367.965234089,21.4091,141308,0.0,6.76948,0.0180252,159.59
0.966437794268,13,144.8313591480255,-0.0404375,1154,367.856710789,47.6398,143292,0.0,6.73695,0.0147178,158.5
0.981451321393,13,146.8989336490631,-0.0455839,1167,369.049379629,19.6696,145371,0.0,6.65982,0.0176588,158.2
0.979512933642,12,148.97485184669495,-0.0415617,1179,378.124354466,17.2351,147353,0.0,6.63423,0.0158496,159.97
0.979057168588,14,151.02808165550232,-0.0434751,1193,378.01866806,22.7368,149454,0.0,6.58558,0.015379,157.7
0.964359037578,14,153.10876846313477,-0.0465594,1207,376.417747457,44.3977,151447,0.0,6.53838,0.019544,155.95
0.979154398665,13,155.17166805267334,-0.046159,1220,379.441676536,26.2222,153480,0.0,6.52182,0.0209139,156.05
0.968576714396,13,157.2502076625824,-0.0427691,1233,380.14887962,39.6911,155524,0.0,6.495,0.0168755,155.41
0.968593847007,13,159.2988817691803,-0.0463494,1246,382.551524084,44.7438,157667,0.0,6.44284,0.0185392,155.75
0.981587268412,11,161.38312554359436,-0.0505238,1257,390.62092889,22.3832,159639,0.0,6.36897,0.0166713,158.65
0.979546610266,13,163.43003225326538,-0.0534089,1270,391.196345666,27.9459,161624,0.0,6.34905,0.0158226,157.69
0.976012259722,13,165.49270057678223,-0.0528755,1283,392.888279327,31.6072,163712,0.0,6.32507,0.0168356,157.68
0.987124058418,12,167.5520327091217,-0.045168,1295,399.92454876,15.1729,165761,0.0,6.29834,0.0187695,160.04
0.978655083105,12,169.60913848876953,-0.0431853,1307,410.322833883,29.7957,167796,0.0,6.27191,0.0164507,163.49
0.972919171676,13,171.68741869926453,-0.0493818,1320,412.480527094,35.5286,169853,0.0,6.24217,0.0191944,163.73
0.976909359917,13,173.75015306472778,-0.0428381,1333,414.13016997,31.7959,171877,0.0,6.22549,0.020517,163.53
0.97780848667,12,175.828387260437,-0.0489707,1345,419.459764302,33.2119,173990,0.0,6.18128,0.0171024,165.03
0.977672863752,13,177.86191534996033,-0.0461006,1358,417.273400306,38.1564,176082,0.0,6.17225,0.0202555,162.71
0.976091779768,11,179.94593596458435,-0.0475988,1369,427.495805485,40.5238,178127,0.0,6.172,0.0171593,166.52
0.981245607138,12,181.98420238494873,-0.0498798,1381,433.062966581,25.0257,180124,0.0,6.12731,0.015417,167.41
0.985217583366,12,184.0469686985016,-0.0492582,1393,438.147287339,24.5146,182237,0.0,6.15696,0.0170348,168.25
0.971928142011,12,186.11028695106506,-0.0492288,1405,441.02126065,39.8624,184246,0.0,6.11928,0.016555,167.86
0.981525497511,12,188.1562521457672,-0.0516572,1417,445.222452043,20.927,186267,0.0,6.11093,0.0174143,168.56
0.988333544694,11,190.2344787120819,-0.0506315,1428,455.338250764,19.5383,188260,0.0,6.08838,0.023083,171.68
