EpThisIter,EpRewMean,TimeElapsed,loss_ent,EpisodesSoFar,loss_pol_surr,TimestepsSoFar,loss_pol_entpen,ev_tdlam_before,loss_kl,loss_vf_loss,EpLenMean
5,4094.15177285,157.77220463752747,-0.375132,4636,0.000407303,179790,0.0,0.593820780516,0.0302637,5288.48,440.3
3,4211.84039883,159.53092789649963,-0.392115,4639,-0.00248945,181392,0.0,0.64378157258,0.0319566,4480.45,452.95
3,4316.07043694,161.31244564056396,-0.395908,4642,-0.00852951,183437,0.0,0.346628367901,0.00711392,5338.72,464.14
4,4484.54698514,163.07825541496277,-0.412507,4646,-0.0104242,186211,0.0,0.390897870064,0.00830353,5647.02,482.23
3,4587.67688014,164.85877227783203,-0.407043,4649,-0.00474964,188252,0.0,0.118077099323,0.0162345,5785.09,493.3
2,4700.65420534,166.6230092048645,-0.413598,4651,-0.00713239,190252,0.0,-0.0154119729996,0.017369,4905.11,505.43
3,4772.48393841,168.39784979820251,-0.417354,4654,-0.0116694,192084,0.0,0.348199784756,0.015969,4800.41,513.14
3,4799.93279027,170.1626284122467,-0.42119,4657,-0.00927784,194335,0.0,0.190103232861,0.00981443,5755.9,516.07
2,4886.8072558,171.94412398338318,-0.418287,4659,-0.00719102,195675,0.0,0.406808018684,0.00530948,4246.39,525.4
4,4992.71322841,173.7191126346588,-0.433192,4663,-0.000134413,198418,0.0,0.337558090687,0.0354485,5683.67,536.77
2,5131.16565968,175.49963760375977,-0.422105,4665,-0.00774523,200418,0.0,-0.0151497125626,0.00801374,4777.48,551.64
2,5256.31225125,177.2649655342102,-0.412609,4667,-0.0107134,201976,0.0,0.324005782604,0.0162202,4193.0,565.08
3,5285.2813746,179.03179359436035,-0.417695,4670,0.00188997,204298,0.0,0.162263631821,0.04534,5899.9,568.18
3,5403.62891434,180.7966902256012,-0.415216,4673,-0.00833754,206427,0.0,0.262074172497,0.0173213,5580.55,580.9
3,5408.84612273,182.58508205413818,-0.430123,4676,-0.0047097,208046,0.0,0.503420501947,0.0177403,4509.28,581.45
2,5472.52271505,184.35095524787903,-0.418109,4678,-0.00492985,210046,0.0,-0.0875151157379,0.0333805,4758.89,588.28
4,5522.58430791,186.11597418785095,-0.402574,4682,-0.00933342,212907,0.0,0.417598128319,0.0104821,6141.65,593.64
4,5425.28338837,187.89745926856995,-0.427129,4686,0.0137664,214278,0.0,0.548473149538,0.0560066,4612.06,583.18
3,5438.8879559,189.67179417610168,-0.441562,4689,-0.0105493,216757,0.0,0.183287858963,0.0185958,5833.88,584.63
2,5516.62160299,191.43760466575623,-0.442981,4691,-0.0106195,218757,0.0,0.00132691860199,0.0280064,4730.47,592.96
2,5625.21435349,193.21811509132385,-0.434139,4693,-0.00753473,220757,0.0,-0.00507044792175,0.02164,4737.56,604.61
2,5806.95233614,194.98397827148438,-0.442047,4695,-0.0013133,222757,0.0,-0.0296767950058,0.0312284,4741.19,624.12
2,5919.90635949,196.78108477592468,-0.431204,4697,-0.00236038,224757,0.0,-0.000470042228699,0.0258323,4768.13,636.24
2,6090.49886286,198.5538249015808,-0.418348,4699,-0.00767992,226757,0.0,-0.000317454338074,0.00959608,4778.91,654.55
2,6167.58467618,200.3362786769867,-0.417036,4701,-0.00559196,228757,0.0,-0.000723481178284,0.0188459,4792.76,662.81
2,6275.29207868,202.10228037834167,-0.410173,4703,-0.00489915,230757,0.0,-0.000687122344971,0.0207891,4809.09,674.36
2,6345.87926265,203.8768448829651,-0.387938,4705,-0.010204,232757,0.0,-0.0319242477417,0.0168685,3402.63,681.92
2,6439.83787538,205.65394139289856,-0.38031,4707,-0.01104,234644,0.0,0.142170965672,0.0195301,3603.76,692.0
3,6480.96721957,207.4296646118164,-0.357233,4710,-0.00827728,237269,0.0,0.418809890747,0.00968404,5305.25,696.39
3,6586.04176177,209.1951367855072,-0.374438,4713,-0.0103372,239572,0.0,0.118946790695,0.0163125,5856.98,707.66
2,6659.58391031,210.976322889328,-0.374196,4715,-0.0117844,241181,0.0,0.297120451927,0.0135649,4057.65,715.54
3,6716.93296392,212.74100422859192,-0.377941,4718,-0.0114749,242977,0.0,0.545193076134,0.00844227,4598.46,721.69
3,6797.80301396,214.51524662971497,-0.394704,4721,-0.0104404,245090,0.0,0.192297756672,0.0191833,5877.86,730.36
3,6897.39432947,216.28052854537964,-0.382429,4724,-0.0137426,247246,0.0,0.0997657775879,0.0135086,6554.37,741.04
2,7033.15512516,218.05142951011658,-0.406837,4726,-0.00784481,249246,0.0,-0.0802956819534,0.014958,4965.71,755.61
2,7081.05763176,219.81836128234863,-0.395986,4728,-0.01139,251083,0.0,0.371541082859,0.0113668,4068.64,760.74
4,6998.0625609,221.58668446540833,-0.410867,4732,-0.00548445,253743,0.0,0.381323575974,0.0251408,7232.43,751.8
3,7106.94488034,223.35145735740662,-0.414913,4735,-0.00913494,255951,0.0,0.198762357235,0.0107946,6421.78,763.47
2,7213.79163978,225.12085843086243,-0.405712,4737,-0.00843628,257951,0.0,-0.0570183992386,0.0315883,5078.79,774.93
2,7271.04892445,226.88859391212463,-0.407728,4739,-0.00961981,259499,0.0,0.494408786297,0.0160064,3274.9,781.07
2,7271.18423977,228.65370225906372,-0.404327,4741,-0.00928335,261499,0.0,-0.0596472024918,0.0278249,5125.23,781.07
4,7308.29444385,230.41928386688232,-0.411917,4745,-0.0124134,263715,0.0,0.342920303345,0.010545,7469.95,785.04
2,7289.81388694,232.18758630752563,-0.411301,4747,-0.00968041,265515,0.0,0.288698375225,0.0155228,3686.62,783.04
3,7315.3386482,233.95315170288086,-0.417228,4750,-0.00164477,267828,0.0,0.35094845295,0.0207153,6424.12,785.76
2,7345.08709636,235.71875143051147,-0.418272,4752,-0.00593318,269828,0.0,-0.00556969642639,0.0120618,5276.62,788.93
4,7285.87569134,237.49010920524597,-0.416173,4756,-0.00778089,272338,0.0,0.397164046764,0.00934196,7405.0,782.54
2,7337.75223706,239.25706005096436,-0.412952,4758,-0.00389508,273485,0.0,0.337123930454,0.0240352,4883.14,788.1
2,7337.96151806,241.03941011428833,-0.396125,4760,-0.00775021,275485,0.0,-0.0259668827057,0.00736144,5345.83,788.1
5,7216.42045188,242.8040313720703,-0.38572,4765,-0.0083782,277919,0.0,0.505488455296,0.0164034,5657.75,775.01
2,7257.77710488,244.57815051078796,-0.365923,4767,-0.000248644,279919,0.0,-0.0490267276764,0.03676,5415.88,779.43
3,7261.78692269,246.34316730499268,-0.359656,4770,-0.0104799,282282,0.0,0.494687438011,0.0086791,4926.47,779.84
2,7337.86581402,248.10866594314575,-0.361067,4772,-0.0142847,284226,0.0,0.289583742619,0.0160619,4159.03,787.99
2,7337.99117242,249.8742756843567,-0.356244,4774,-0.00737822,286226,0.0,-0.00678217411041,0.00915543,5369.26,787.99
3,7378.54498489,251.65429878234863,-0.358223,4777,-0.00998895,288279,0.0,0.467371940613,0.0180567,5628.06,792.33
2,7378.64103803,253.42911505699158,-0.380876,4779,-0.00610694,290279,0.0,-0.0506808757782,0.0255674,5556.0,792.33
6,7340.36231463,255.2260777950287,-0.384563,4785,-0.0085971,292783,0.0,0.577783584595,0.0259212,5870.2,788.2
2,7377.38776858,256.9912383556366,-0.397977,4787,-0.00897624,294494,0.0,0.47504556179,0.0114078,3742.97,792.16
2,7426.02236473,258.77250814437866,-0.408309,4789,-0.00840938,296494,0.0,0.0122312903404,0.0109727,5715.36,797.37
2,7426.06093769,260.5310127735138,-0.397566,4791,-0.0121669,298494,0.0,0.0804275870323,0.0157961,4886.97,797.37
2,7426.12672227,262.3123667240143,-0.407149,4793,-0.0070305,300494,0.0,-0.134717464447,0.0305138,5804.83,797.37
2,7426.12258441,264.07862091064453,-0.420935,4795,-0.00377531,302494,0.0,-0.0556112527847,0.0241071,5771.61,797.37
2,7426.11601205,265.8588948249817,-0.420145,4797,-0.0123899,304494,0.0,-0.0075227022171,0.0261028,5718.71,797.37
3,7369.45118135,267.6228151321411,-0.410414,4800,-0.0104374,306886,0.0,0.348823487759,0.0158987,6480.31,791.29
4,7155.07945568,269.4065113067627,-0.427849,4804,0.0216101,308586,0.0,0.390527307987,0.0930667,7694.06,768.29
3,7077.12308576,271.1713523864746,-0.427145,4807,-0.00997651,310637,0.0,0.215648591518,0.0115386,6653.17,759.93
2,7085.16041801,272.9528875350952,-0.422407,4809,-0.0107936,312349,0.0,0.309678852558,0.0242498,5038.6,760.8
4,6970.77446751,274.71883893013,-0.439706,4813,-0.0152313,314425,0.0,0.471763968468,0.013638,5997.22,748.53
4,6929.31278509,276.49157881736755,-0.433894,4817,-0.0118467,316481,0.0,0.537251025438,0.0163406,8560.84,744.1
5,6791.58362875,278.2877194881439,-0.429422,4822,-0.0097775,319022,0.0,0.367389976978,0.0161846,10719.1,729.32
4,6686.46508004,280.0692620277405,-0.445605,4826,-0.00589751,321051,0.0,0.466123580933,0.0189739,8568.31,718.05
2,6701.64504566,281.83366799354553,-0.429421,4828,-0.00718876,323051,0.0,-0.0249215364456,0.027184,5602.74,719.68
2,6783.28795473,283.60901045799255,-0.431605,4830,-0.00736208,325051,0.0,-0.0219260454178,0.0178164,5631.22,728.45
3,6782.58168881,285.3748755455017,-0.448534,4833,-0.0110912,327581,0.0,0.362509667873,0.0110141,5692.29,728.38
3,6716.64330965,287.156368970871,-0.455258,4836,-0.0159504,329082,0.0,0.677970260382,0.0134985,2526.46,721.31
2,6748.32908464,288.9214975833893,-0.457492,4838,-0.00858192,331082,0.0,-0.0415657758713,0.0347593,5725.24,724.71
5,6605.29244705,290.7008743286133,-0.472846,4843,-0.0127533,333575,0.0,0.676834672689,0.0114776,4892.52,709.36
2,6680.82297561,292.46013021469116,-0.480881,4845,-0.00913792,335463,0.0,0.570673167706,0.013952,4328.91,717.48
3,6643.75574772,294.2416133880615,-0.474472,4848,-0.00990511,337867,0.0,0.608413130045,0.0099818,4597.9,713.52
2,6666.20527118,296.0065367221832,-0.474755,4850,0.00337957,339422,0.0,0.703674942255,0.0196028,1600.31,715.94
4,6582.34416492,297.75683331489563,-0.483769,4854,-0.00731401,341695,0.0,0.43596547842,0.00792928,8430.33,706.96
2,6643.7667904,299.5322415828705,-0.485849,4856,-0.0120977,343695,0.0,-0.190910816193,0.00939732,5768.81,713.57
3,6598.99935222,301.2971279621124,-0.49367,4859,-0.00384186,345363,0.0,0.642156422138,0.0240251,5303.16,708.78
2,6598.82442135,303.06232476234436,-0.520604,4861,-0.00198585,347363,0.0,0.240529179573,0.0179967,4632.14,708.78
3,6782.96139839,304.8337655067444,-0.518535,4864,-0.0117313,349775,0.0,0.347305595875,0.0115299,7298.37,728.56
3,6692.50899502,306.59337639808655,-0.500773,4867,-0.00796889,351806,0.0,0.402760982513,0.0209433,6828.73,718.87
2,6751.74910894,308.3587415218353,-0.514426,4869,-0.00969929,353806,0.0,-0.073437333107,0.0292536,5842.49,725.24
2,6751.70477763,310.13852858543396,-0.498296,4871,-0.0070002,355806,0.0,-0.00769901275635,0.0125482,5778.25,725.24
2,6750.4431997,311.9121720790863,-0.504422,4873,-0.0101034,357737,0.0,0.464567005634,0.0256727,3574.48,725.11
2,6750.41963813,313.6875915527344,-0.506917,4875,-0.00988871,359737,0.0,-0.25144970417,0.0165584,6080.38,725.11
3,6815.25889476,315.4876937866211,-0.510174,4878,-0.00780843,362487,0.0,0.196979105473,0.028043,6288.14,732.08
2,6816.61500029,317.2629358768463,-0.502515,4880,-0.012435,364112,0.0,0.291026651859,0.0205789,3528.45,732.23
2,6968.58538548,319.030779838562,-0.500829,4882,-0.00718271,366112,0.0,-0.0660048723221,0.0337852,5822.64,748.55
3,7020.71853729,320.7967565059662,-0.518322,4885,-0.00345586,368198,0.0,0.270348787308,0.0322481,7341.02,754.15
2,7020.11890064,322.5694808959961,-0.515975,4887,-0.013364,369904,0.0,0.381936490536,0.0144075,4504.66,754.1
3,6944.99718597,324.3373191356659,-0.514354,4890,-0.0114824,372100,0.0,0.436896800995,0.0210594,5874.5,746.06
3,6892.45349207,326.1090440750122,-0.524556,4893,-0.0118339,374538,0.0,0.114275932312,0.0294892,8150.16,740.44
2,6892.41708143,327.89022994041443,-0.510639,4895,-0.0106759,376538,0.0,-0.0273616313934,0.0109272,5790.42,740.44
2,6892.39039507,329.6509516239166,-0.536173,4897,-0.00643517,378538,0.0,-0.0664595365524,0.036102,5870.67,740.44
2,6905.27063621,331.4420835971832,-0.547584,4899,-0.00219695,380068,0.0,0.612242877483,0.0253808,1643.84,741.82
3,6958.88026019,333.20840072631836,-0.558247,4902,-0.013007,382139,0.0,0.403090894222,0.00887477,6951.78,747.57
2,7033.13781709,334.990421295166,-0.547113,4904,-0.00528646,384139,0.0,-0.0778039693832,0.0218351,6254.61,755.53
2,7121.58814316,336.75668501853943,-0.56269,4906,-0.0128488,386139,0.0,-0.0112981796265,0.0156023,5831.84,765.02
3,7062.70699042,338.530880689621,-0.554542,4909,-0.0119282,388217,0.0,0.153039395809,0.0160422,7065.23,758.68
3,7079.59160067,340.2965123653412,-0.546237,4912,-0.0157062,390228,0.0,0.464282095432,0.0127799,5419.25,760.49
2,7149.94601046,342.07781434059143,-0.536806,4914,-0.00494543,392228,0.0,0.00808787345886,0.022926,5768.33,768.03
3,7331.19485313,343.8428707122803,-0.549222,4917,-0.00942119,395228,0.0,-0.0351692438126,0.0217142,8056.94,787.47
3,7297.65972241,345.62296509742737,-0.547865,4920,-0.00885964,397087,0.0,0.437483549118,0.0207378,4872.31,783.86
3,7393.52150061,347.3978374004364,-0.550105,4923,-0.0164011,398957,0.0,0.600195884705,0.0172767,4236.82,794.14
3,7469.63800484,349.17908549308777,-0.537974,4926,-0.00026772,401280,0.0,0.446355879307,0.0323023,6590.68,802.29
2,7469.75654949,350.9438931941986,-0.5361,4928,-0.0106991,403280,0.0,-0.0100077390671,0.0167677,5804.08,802.29
2,7469.87790204,352.7258081436157,-0.510793,4930,-0.0062074,405280,0.0,-0.00671005249023,0.016775,5855.32,802.29
2,7513.76264717,354.49295830726624,-0.510418,4932,-0.0015768,407280,0.0,-0.0411431789398,0.0283739,5876.97,806.99
2,7576.6733885,356.2629117965698,-0.497122,4934,-0.0101714,409280,0.0,-0.00543868541718,0.0210004,5815.2,813.74
2,7653.52487125,358.03144669532776,-0.48289,4936,-0.00199462,411280,0.0,-0.0136975049973,0.0370363,5868.13,821.98
2,7653.58600473,359.81247663497925,-0.474731,4938,-0.001771,413280,0.0,-0.000586271286011,0.0227977,5875.71,821.98
2,7731.87438579,361.57059121131897,-0.457377,4940,-0.00448129,415280,0.0,0.000125110149384,0.0309777,5884.27,830.38
4,7726.25628678,363.3523323535919,-0.437348,4944,-0.0104621,417439,0.0,0.365078806877,0.0153135,8519.67,829.76
3,7721.79362239,365.1160452365875,-0.433852,4947,-0.00407364,419793,0.0,0.505251526833,0.0295264,4378.64,829.26
2,7687.69851686,366.8982825279236,-0.43426,4949,-0.0095404,421353,0.0,0.411674141884,0.0112692,4807.5,825.59
3,7743.56890369,368.65635561943054,-0.463753,4952,-0.0156637,423632,0.0,0.34207046032,0.0111844,6534.2,831.58
2,7816.19331993,370.43748784065247,-0.453249,4954,-0.00806132,425632,0.0,-0.00664877891541,0.010004,5863.5,839.37
2,7816.33984961,372.2030909061432,-0.465123,4956,-0.00958284,427632,0.0,-0.0201032161713,0.0123122,5828.69,839.37
2,7940.48580769,373.98416090011597,-0.451576,4958,-0.00877077,429632,0.0,0.0220299959183,0.0144212,5950.07,852.69
2,7940.6231456,375.7497854232788,-0.42953,4960,-0.0100272,431632,0.0,-0.000736474990845,0.00977742,5819.35,852.69
2,7940.72980064,377.52251982688904,-0.414983,4962,-0.00904717,433632,0.0,0.00460404157639,0.0116234,5766.45,852.69
3,7931.61901432,379.28821063041687,-0.426716,4965,-0.0115871,435945,0.0,0.273638784885,0.00832288,6490.78,851.7
3,7958.1230556,381.06948828697205,-0.419425,4968,-0.0125517,438260,0.0,0.193908810616,0.011648,7896.05,854.54
3,7826.74988007,382.83513021469116,-0.418934,4971,-0.0145487,439849,0.0,0.496276736259,0.0213038,5261.88,840.43
2,7833.29036803,384.6088020801544,-0.439265,4973,-0.00934358,441849,0.0,-0.345587968826,0.0197566,6146.12,841.12
3,7777.76578303,386.37439489364624,-0.444319,4976,-0.0156606,444003,0.0,0.512400120497,0.0297361,2973.65,835.16
3,7675.01227709,388.14797019958496,-0.449719,4979,-0.00984704,445524,0.0,0.527333915234,0.0189416,6075.25,824.12
4,7537.33188621,389.91508173942566,-0.469207,4983,-0.014621,448044,0.0,0.588441669941,0.0229067,7236.61,809.32
3,7551.82976728,391.6847813129425,-0.453418,4986,-0.00669469,450284,0.0,0.38035941124,0.0269758,6750.67,810.86
2,7521.95616324,393.45853972435,-0.455241,4988,-0.00942397,451665,0.0,0.446212589741,0.0269358,4794.43,807.63
