EpisodesSoFar,loss_vf_loss,loss_ent,EpRewMean,ev_tdlam_before,EpThisIter,loss_kl,TimeElapsed,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,EpLenMean
1597,2.24055,0.100715,-20.0866035913,0.826778396964,41,0.0109713,68.81239461898804,79850,-0.0207437,0.0,50.0
1638,2.03554,0.0243759,-19.5473378547,0.832761213183,41,0.0103039,70.57074165344238,81900,-0.0219097,0.0,50.0
1679,1.92019,-0.0571074,-19.2232617635,0.856892883778,41,0.0124931,72.31451630592346,83950,-0.0179959,0.0,50.0
1720,1.48691,-0.0883892,-18.8545503454,0.852433294058,41,0.00945716,74.08590459823608,86000,-0.0214611,0.0,50.0
1761,1.71084,-0.165579,-18.150902217,0.871621131897,41,0.0183696,75.83567333221436,88050,-0.0217048,0.0,50.0
1802,1.49043,-0.252197,-18.2339689037,0.875695191324,41,0.0133181,77.5845103263855,90100,-0.0252351,0.0,50.0
1843,1.4812,-0.309139,-17.7195525184,0.865657091141,41,0.0115855,79.32731318473816,92150,-0.0161453,0.0,50.0
1884,1.26402,-0.335094,-17.3647176985,0.896205075085,41,0.0152655,81.0971531867981,94200,-0.0217579,0.0,50.0
1925,1.29088,-0.394781,-17.1153851763,0.863356769085,41,0.0113257,82.83468723297119,96250,-0.0162738,0.0,50.0
1966,1.42614,-0.435799,-16.2107078441,0.819157600403,41,0.0143419,84.60148549079895,98300,-0.0213578,0.0,50.0
2007,1.02918,-0.483761,-15.4059954311,0.840023398399,41,0.00971917,86.34351110458374,100350,-0.0201753,0.0,50.0
2048,1.29077,-0.530842,-15.4488705532,0.87268717587,41,0.0173054,88.11010265350342,102400,-0.0153528,0.0,50.0
2088,0.872922,-0.592796,-15.4430312469,0.88875579834,40,0.0119234,89.84361577033997,104400,-0.0217828,0.0,50.0
2129,0.915996,-0.645767,-14.7889859767,0.840493395925,41,0.0139258,91.59587717056274,106450,-0.0233811,0.0,50.0
2170,0.938489,-0.693291,-14.6194845445,0.776654601097,41,0.0137643,93.34460282325745,108500,-0.0199531,0.0,50.0
2211,0.867856,-0.71731,-14.7503541853,0.870543017983,41,0.00957478,95.0936872959137,110550,-0.0199074,0.0,50.0
2252,0.742394,-0.751799,-14.5925372838,0.885032750666,41,0.014509,96.84569025039673,112600,-0.0223143,0.0,50.0
2293,0.729138,-0.785301,-14.0941528379,0.871699988842,41,0.0176639,98.58626341819763,114650,-0.0238206,0.0,50.0
2334,0.772165,-0.820079,-13.6324336102,0.839563265443,41,0.0125666,100.3307785987854,116700,-0.0189766,0.0,50.0
2375,0.809094,-0.844397,-13.457454079,0.847873046994,41,0.00937965,102.06998825073242,118750,-0.0210602,0.0,50.0
2416,0.631132,-0.882566,-13.4771039485,0.83056345582,41,0.0129028,103.80421376228333,120800,-0.0190235,0.0,50.0
2457,0.975571,-0.913052,-13.5671816354,0.799463123083,41,0.0229217,105.5698356628418,122850,-0.0169477,0.0,50.0
2498,0.863111,-0.94639,-13.6145335482,0.711097538471,41,0.0139728,107.32800483703613,124900,-0.0244989,0.0,50.0
2539,0.851117,-0.981278,-12.5416359917,0.753990277648,41,0.0196935,109.06227850914001,126950,-0.0165941,0.0,50.0
2580,0.751339,-1.00145,-12.1087224759,0.721781075001,41,0.0170707,110.79966926574707,129000,-0.0176831,0.0,50.0
2621,0.778866,-1.01609,-12.1445114168,0.795861721039,41,0.0126122,112.5387511253357,131050,-0.0237722,0.0,50.0
2662,0.765569,-1.04764,-12.3074137191,0.815259814262,41,0.0157412,114.28078746795654,133100,-0.018364,0.0,50.0
2703,0.608261,-1.07532,-12.1146665625,0.809064313769,41,0.0187901,116.01631426811218,135150,-0.0190529,0.0,50.0
2744,0.628286,-1.12599,-11.9495027029,0.776710376143,41,0.0136755,117.76549816131592,137200,-0.0191711,0.0,50.0
2785,0.6394,-1.17191,-11.3962183376,0.776265025139,41,0.0270532,119.49990487098694,139250,-0.0169015,0.0,50.0
2826,0.515295,-1.18785,-11.5463531631,0.76789714396,41,0.0135022,121.25802969932556,141300,-0.0257968,0.0,50.0
2867,0.595319,-1.2439,-11.6292615304,0.767376020551,41,0.0153485,122.98622822761536,143350,-0.0213898,0.0,50.0
2908,0.618726,-1.26507,-11.641863108,0.796157509089,41,0.0139298,124.72681093215942,145400,-0.0151609,0.0,50.0
2949,0.597143,-1.31831,-11.3964089352,0.816318273544,41,0.0127663,126.46803259849548,147450,-0.0187843,0.0,50.0
2990,0.6198,-1.33436,-11.2538576645,0.828147128224,41,0.0229148,128.21127891540527,149500,-0.00867359,0.0,50.0
3031,0.513929,-1.36363,-10.9770826355,0.837850958109,41,0.020717,129.9571328163147,151550,-0.0141539,0.0,50.0
3072,0.622386,-1.37655,-10.9433316767,0.775136560202,41,0.0142161,131.71051788330078,153600,-0.0197165,0.0,50.0
3112,0.577317,-1.41083,-10.9365046352,0.796140298247,40,0.0245254,133.43668508529663,155600,-0.0233502,0.0,50.0
3153,0.486046,-1.41568,-11.0347857347,0.856857836246,41,0.017927,135.18656134605408,157650,-0.018036,0.0,50.0
3194,0.511102,-1.45993,-11.1231522855,0.864597499371,41,0.0107036,136.93724632263184,159700,-0.0196305,0.0,50.0
3235,0.432435,-1.50276,-11.1450918725,0.8681794554,41,0.0115411,138.70665311813354,161750,-0.0236062,0.0,50.0
3276,0.427963,-1.54261,-10.9888002651,0.868651300669,41,0.0145038,140.43702721595764,163800,-0.0225856,0.0,50.0
