EpThisIter,TimeElapsed,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_ent,loss_pol_surr,loss_vf_loss,loss_pol_entpen,TimestepsSoFar,EpLenMean,loss_kl
2,197.12021899223328,1002,1000.0,0.0235494375229,0.94689,-0.00793583,65.0115,0.0,249129,1000.0,0.00747009
2,198.72938776016235,1004,1000.0,-0.0127520561218,0.964939,-0.00231782,67.3602,0.0,251129,1000.0,0.00431787
2,200.32376527786255,1006,1000.0,-0.0107280015945,0.961471,-0.00205031,67.7333,0.0,253129,1000.0,0.0134876
2,201.93283605575562,1008,1000.0,-0.00930881500244,0.969036,-0.00168544,69.0082,0.0,255129,1000.0,0.00317729
2,203.5578625202179,1010,1000.0,-0.000858902931213,0.981268,-0.0026335,68.9173,0.0,257129,1000.0,0.00754773
2,205.1665198802948,1012,1000.0,-0.00355768203735,0.970345,-0.00367635,67.6739,0.0,259129,1000.0,0.00415573
3,206.77660870552063,1015,1000.0,-0.0102177858353,0.960227,-0.00214079,98.5717,0.0,262129,1000.0,0.00487958
2,208.38609790802002,1017,1000.0,-0.0154167413712,0.974682,-0.00508408,67.8719,0.0,264129,1000.0,0.0072901
2,210.01090502738953,1019,1000.0,-0.00112009048462,0.968041,-0.00753747,68.0272,0.0,266129,1000.0,0.00930651
2,211.61954259872437,1021,1000.0,-0.0110954046249,0.961168,-0.00373831,67.1486,0.0,268129,1000.0,0.0077155
2,213.2135968208313,1023,1000.0,0.0303156375885,0.958947,-0.00578149,65.6078,0.0,270129,1000.0,0.00364001
2,214.8237590789795,1025,1000.0,-0.0325801372528,0.954584,-0.00365321,66.9478,0.0,272129,1000.0,0.00662495
2,216.43905806541443,1027,1000.0,0.00939106941223,0.963842,-0.00536388,67.3378,0.0,274129,1000.0,0.00820095
2,218.04226088523865,1029,1000.0,0.0230578780174,0.962079,-0.00476251,68.4268,0.0,276129,1000.0,0.0131275
2,219.65159726142883,1031,1000.0,0.0500828623772,0.957178,-0.00542271,65.3233,0.0,278129,1000.0,0.00777905
2,221.2758710384369,1033,1000.0,0.00519448518753,0.934378,-0.00345944,68.4292,0.0,280129,1000.0,0.00340856
2,222.88595914840698,1035,1000.0,-0.0197845697403,0.926737,-0.00415642,70.1071,0.0,282129,1000.0,0.00940892
2,224.48790216445923,1037,1000.0,-0.0067412853241,0.924807,-0.00263598,69.7185,0.0,284129,1000.0,0.00859793
2,226.08861231803894,1039,1000.0,-0.0126386880875,0.926285,-0.00294445,69.1217,0.0,286129,1000.0,0.00431133
