EpisodesSoFar,TimestepsSoFar,loss_kl,TimeElapsed,loss_pol_surr,loss_pol_entpen,loss_vf_loss,EpRewMean,EpThisIter,ev_tdlam_before,EpLenMean,loss_ent
1563,194556,0.0153143,197.81020760536194,-0.0334112,0.0,4.36842,637.123037441,11,0.99776117038,194.82,2.6192
1573,196546,0.0145017,199.86319518089294,-0.0262634,0.0,4.70271,637.36455952,10,0.998229840421,194.97,2.59292
1583,198462,0.0115228,201.93275570869446,-0.0333699,0.0,9.65403,637.715865201,10,0.995989463758,194.86,2.60333
1594,200604,0.0161994,203.9641592502594,-0.0325822,0.0,7.20124,638.008111616,11,0.996797316941,194.86,2.6024
1605,202752,0.0110517,205.97986841201782,-0.0307352,0.0,5.58908,639.054787761,11,0.998087748536,194.75,2.62319
1615,204707,0.0122832,208.0421848297119,-0.0284524,0.0,9.93552,639.983873294,10,0.99584177509,194.92,2.63691
1627,206829,0.0121988,210.0902383327484,-0.0212663,0.0,87.255,631.136630676,12,0.942107010633,192.53,2.62827
1637,208777,0.0148068,212.17189359664917,-0.0171548,0.0,17.3785,630.672271965,10,0.970577018335,192.44,2.59076
1648,210907,0.0158529,214.23780822753906,-0.0321116,0.0,8.49128,631.356285699,11,0.995056518819,192.63,2.55617
1659,212945,0.0114416,216.26409912109375,-0.022631,0.0,42.981,627.66044954,11,0.964183829725,191.63,2.56685
1670,214999,0.0129201,218.29955530166626,-0.0265241,0.0,7.72727,624.949811298,11,0.997216605116,190.55,2.53436
1681,217085,0.0111544,220.36224055290222,-0.0256829,0.0,5.43733,624.913880414,11,0.997122386703,189.97,2.54107
1691,219038,0.0141244,222.43311715126038,-0.0293149,0.0,5.54366,627.500460348,10,0.997573593166,190.29,2.5309
1702,221140,0.0164265,224.51129937171936,-0.0286403,0.0,7.06052,626.594199639,11,0.996937761316,189.65,2.51898
1713,223204,0.0116357,226.5600290298462,-0.0288733,0.0,4.54634,625.163080309,11,0.998645792832,188.92,2.4988
1723,225102,0.013894,228.61380434036255,-0.0308703,0.0,5.44775,630.13164689,10,0.993293847889,190.22,2.48935
1734,227189,0.0153973,230.68925499916077,-0.0289554,0.0,5.58451,631.012656222,11,0.997447217116,189.86,2.49508
1745,229285,0.0161529,232.75213742256165,-0.0274884,0.0,5.59094,631.366498214,11,0.998211307684,189.59,2.48134
1756,231382,0.0145674,234.8158597946167,-0.0330153,0.0,5.2058,634.690888031,11,0.998246922391,190.15,2.48465
1767,233458,0.0143912,236.84865975379944,-0.0313287,0.0,6.36809,634.379733081,11,0.997706845868,190.16,2.46559
1777,235388,0.0121997,238.90118312835693,-0.0210032,0.0,4.70643,635.664979442,10,0.997898908332,190.77,2.45484
1788,237483,0.0183621,240.9480390548706,-0.0231206,0.0,4.94401,634.012073644,11,0.997793314047,190.23,2.43378
1798,239445,0.0134923,243.01237154006958,-0.0273827,0.0,5.92815,634.761932029,10,0.99829867261,190.56,2.42569
1809,241593,0.01765,245.06009101867676,-0.0314359,0.0,4.72992,637.846891441,11,0.998093891656,191.49,2.39963
1819,243544,0.0119873,247.09355640411377,-0.0312264,0.0,2.83103,640.326031617,10,0.998783028219,192.13,2.39137
1830,245686,0.0185205,249.1591498851776,-0.0278566,0.0,4.5698,641.733996518,11,0.997963237343,192.63,2.39614
1840,247671,0.0172647,251.20860981941223,-0.0270144,0.0,6.47337,645.595160747,10,0.997781743063,193.66,2.3657
1851,249814,0.0149879,253.28719091415405,-0.0275387,0.0,5.90554,646.354376125,11,0.997660046676,193.96,2.33827
1861,251756,0.015222,255.32328295707703,-0.0301394,0.0,5.79041,648.517367246,10,0.997676225379,194.17,2.3424
1872,253910,0.0173521,257.3860914707184,-0.0373911,0.0,7.7168,651.851302506,11,0.993788483553,194.82,2.31019
1882,255872,0.0149034,259.41796135902405,-0.026045,0.0,7.30389,653.444327762,10,0.997305919183,195.28,2.27837
1893,258017,0.0169008,261.5181875228882,-0.0323427,0.0,6.03719,652.936737307,11,0.996322249295,195.44,2.24544
1903,259965,0.0144747,263.54250407218933,-0.0344552,0.0,4.15448,652.686508758,10,0.998359348276,195.3,2.18045
1913,261975,0.012712,265.5772693157196,-0.0304375,0.0,3.93628,655.388643119,10,0.998618935118,196.09,2.1541
1924,264134,0.0126473,267.61123514175415,-0.0322862,0.0,4.99363,656.048836435,11,0.997552447952,195.97,2.16139
1934,266081,0.0161214,269.67505383491516,-0.0325845,0.0,7.25019,656.217549547,10,0.996629346628,195.99,2.18751
1945,268147,0.0174804,271.74494433403015,-0.0279248,0.0,4.7858,652.71304863,11,0.997811286245,195.15,2.20919
1956,270247,0.0146379,273.79359674453735,-0.0371181,0.0,5.49122,651.808307693,11,0.998361274251,194.68,2.19529
1966,272220,0.0135686,275.842720746994,-0.0346313,0.0,4.49809,653.854556133,10,0.998318487895,195.25,2.16311
1977,274351,0.0217924,277.89350175857544,-0.0343933,0.0,5.93809,651.575369511,11,0.997493541334,194.67,2.16515
1987,276311,0.020499,279.9408075809479,-0.0219647,0.0,4.69739,652.334226619,10,0.998223949107,194.69,2.17126
1998,278497,0.0132627,282.00349497795105,-0.0302218,0.0,4.32077,654.718924574,11,0.997818277916,194.98,2.13743
2008,280451,0.0223826,284.09716272354126,-0.0273204,0.0,5.41117,654.668712965,10,0.99834045826,194.79,2.08041
2018,282465,0.0182089,286.12729501724243,-0.0314563,0.0,7.90544,656.840476591,10,0.996751639526,195.0,2.07995
2028,284480,0.0129484,288.16739892959595,-0.0311585,0.0,6.79932,660.862499142,10,0.997796730604,195.89,2.07312
2039,286720,0.0204051,290.2144114971161,-0.0279413,0.0,7.6664,665.879784263,11,0.996312760748,197.22,2.05022
2049,288708,0.0136069,292.29496359825134,-0.0302271,0.0,4.35065,668.098556636,10,0.998460624483,197.85,2.03547
2058,290601,0.0124602,294.3467924594879,-0.0371537,0.0,5.085,674.977361096,9,0.997912196675,199.68,1.99912
2068,292727,0.013928,296.37773633003235,-0.0290638,0.0,12.3206,681.122381644,10,0.996418284252,201.0,2.00715
2078,294773,0.0216068,298.41711688041687,-0.0359438,0.0,5.76838,685.415440727,10,0.997179045109,202.42,2.00244
2088,296807,0.0154999,300.4797432422638,-0.0321064,0.0,5.597,688.490218673,10,0.997751545627,202.98,2.01884
2098,298899,0.018061,302.5581660270691,-0.0326955,0.0,5.08582,693.196892552,10,0.997988038929,204.02,2.01113
2108,300926,0.0153116,304.6079864501953,-0.0345142,0.0,11.7737,696.320591843,10,0.9958525314,204.75,1.97823
2118,302939,0.0268838,306.65113830566406,-0.0341944,0.0,7.17727,696.91971976,10,0.996940567857,204.74,1.94305
