loss_ent,TimeElapsed,TimestepsSoFar,EpRewMean,loss_pol_entpen,loss_pol_surr,loss_vf_loss,loss_kl,ev_tdlam_before,EpLenMean,EpThisIter,EpisodesSoFar
6.4469,151.32632780075073,149494,391.67288048,0.0,-0.0464134,12.759,0.0182783,0.98754812032,163.09,13,1142
6.39629,153.38762044906616,151413,389.983931224,0.0,-0.0403756,23.7859,0.0166809,0.982571179047,161.71,12,1154
6.3404,155.46582293510437,153541,392.916376002,0.0,-0.0517734,11.2663,0.0184522,0.992132910527,162.03,13,1167
6.29001,157.5276322364807,155642,393.862386782,0.0,-0.0500619,11.1975,0.0186383,0.990287300199,161.5,13,1180
6.26334,159.58158707618713,157675,394.670801704,0.0,-0.05575,10.2811,0.0173508,0.992960932199,160.7,13,1193
6.25659,161.65987038612366,159640,401.963165577,0.0,-0.0515158,8.91271,0.0154931,0.993452581111,162.21,12,1205
6.2233,163.7224884033203,161773,404.130599502,0.0,-0.0498376,12.0932,0.0183849,0.991227229126,162.03,13,1218
6.21305,165.78631711006165,163838,404.236670144,0.0,-0.0406934,19.5444,0.0164546,0.966543138027,161.27,13,1231
6.19958,167.84908199310303,165810,405.670377692,0.0,-0.0452571,31.3375,0.0162271,0.973814478144,161.47,12,1243
6.19457,169.91902685165405,167844,412.52518899,0.0,-0.0452723,25.4364,0.017937,0.961700432003,162.89,12,1255
6.14701,171.98129558563232,169932,415.740240454,0.0,-0.0523562,13.0436,0.0183521,0.989614204504,163.91,12,1267
6.06233,174.03718256950378,171872,421.980278265,0.0,-0.0536677,16.2296,0.016142,0.986496927217,165.53,11,1278
6.05081,176.12881541252136,174080,431.189980014,0.0,-0.0523088,10.1211,0.0197108,0.988335873,169.0,12,1290
6.05477,178.17683291435242,175927,431.572954701,0.0,-0.0530176,12.2546,0.0207087,0.990967674181,169.15,11,1301
6.02482,180.2702043056488,178126,437.030614705,0.0,-0.0470619,12.2525,0.0139726,0.984771079384,171.44,12,1313
5.99207,182.32482767105103,180124,444.612070259,0.0,-0.0559244,22.4651,0.015822,0.97948984243,174.07,11,1324
5.97822,184.4030783176422,182247,454.054311303,0.0,-0.053013,20.3791,0.0149334,0.982975421473,177.72,11,1335
5.9648,186.4666087627411,184277,460.514344039,0.0,-0.0513684,17.1542,0.0126686,0.985047082417,179.77,11,1346
5.92337,188.53683233261108,186311,466.53149704,0.0,-0.0533189,18.2525,0.0176596,0.983674805611,181.35,11,1357
5.94374,190.62335181236267,188389,467.206637041,0.0,-0.0474294,13.9951,0.015293,0.984583373182,181.34,12,1369
5.91253,192.67160725593567,190388,469.509160774,0.0,-0.0580835,9.06484,0.0182076,0.994824724738,181.82,11,1380
5.89304,194.75548791885376,192494,473.990258625,0.0,-0.0475326,11.9878,0.0173611,0.988795943558,182.34,11,1391
5.89481,196.80981159210205,194393,482.058865024,0.0,-0.0480941,32.76,0.0171155,0.973390221596,184.66,10,1401
5.87234,198.87141728401184,196548,487.105947965,0.0,-0.050295,29.0771,0.0154168,0.981494380161,185.9,11,1412
5.84195,200.93400621414185,198564,491.546840809,0.0,-0.0529621,18.9369,0.0144057,0.984670058824,186.5,11,1423
5.7931,202.9972767829895,200536,494.438641256,0.0,-0.0538763,30.5897,0.0212558,0.971684874967,187.16,10,1433
5.74619,205.07472372055054,202489,497.930923708,0.0,-0.050917,32.8604,0.0190408,0.975295960903,187.66,10,1443
5.69823,207.122305393219,204798,506.342862804,0.0,-0.0583684,20.8264,0.0196519,0.981400791556,190.73,11,1454
5.69118,209.2045395374298,206636,508.105377661,0.0,-0.0500049,40.433,0.0207012,0.957484316081,190.85,10,1464
5.67285,211.26799178123474,208760,514.550660803,0.0,-0.056503,33.811,0.0179515,0.982979550958,192.45,11,1475
5.6613,213.32575750350952,210926,519.158640505,0.0,-0.0554323,74.9846,0.0177809,0.947409614921,193.67,11,1486
5.67748,215.38744044303894,212781,527.493253319,0.0,-0.0544599,22.4383,0.0200127,0.975451556966,195.91,9,1495
5.67807,217.442551612854,214960,529.073195838,0.0,-0.0486543,38.6722,0.0160821,0.975562168285,195.9,11,1506
5.62124,219.51995849609375,216940,530.692241698,0.0,-0.0578751,35.8764,0.0174654,0.974533000961,196.07,10,1516
5.56897,221.5754680633545,219109,536.960100114,0.0,-0.0523234,27.4878,0.0205988,0.98061459884,197.98,11,1527
5.54631,223.65282320976257,221150,539.836981103,0.0,-0.0599231,34.4476,0.0201705,0.978304592893,198.52,10,1537
5.51693,225.70025324821472,223056,543.732754088,0.0,-0.0550172,33.9901,0.0212032,0.982344470918,198.83,9,1546
5.53395,227.76244616508484,225168,548.738596786,0.0,-0.0590006,33.7009,0.0216139,0.982957491651,199.82,10,1556
5.50004,229.82537293434143,227183,553.108560553,0.0,-0.0494362,62.9518,0.0207528,0.96104285866,201.17,10,1566
5.50467,231.88729691505432,229289,559.686505964,0.0,-0.055964,29.4349,0.0176777,0.974424183369,203.24,10,1576
5.46712,233.96671628952026,231369,565.427772626,0.0,-0.0514711,44.2944,0.0208572,0.972189711407,204.43,10,1586
5.43264,236.01332879066467,233415,563.780461013,0.0,-0.0518404,48.6474,0.027022,0.967158358544,203.95,10,1596
5.37414,238.0940067768097,235410,574.191940876,0.0,-0.0514917,17.2822,0.0238167,0.987891252153,206.15,9,1605
5.37106,240.15299034118652,237480,580.939907899,0.0,-0.0509412,34.6768,0.0160953,0.979232346639,207.32,10,1615
5.35133,242.23101425170898,239570,587.454376102,0.0,-0.0477677,39.2717,0.0199563,0.974476907402,208.71,10,1625
5.30861,244.29341578483582,241629,588.579858054,0.0,-0.0600931,30.6718,0.0183415,0.98463478405,209.04,10,1635
5.27893,246.34167218208313,243588,589.114675595,0.0,-0.0533601,19.4091,0.022406,0.98495275341,209.42,9,1644
5.25876,248.41899275779724,245566,589.680129827,0.0,-0.0561208,28.7848,0.023267,0.984263638034,210.0,9,1653
5.22845,250.47381591796875,247782,599.800507835,0.0,-0.0581196,20.3162,0.0242606,0.988465010189,212.17,10,1663
5.15973,252.5518832206726,249781,608.045889967,0.0,-0.0570347,22.3461,0.0181129,0.989025522955,213.93,9,1672
5.13533,254.62335968017578,251739,608.424615368,0.0,-0.0565887,26.5403,0.0188193,0.987211194821,213.75,9,1681
5.13205,256.7039692401886,253914,614.322601891,0.0,-0.0558157,23.125,0.0154748,0.987632875331,215.29,10,1691
5.09984,258.75464725494385,255805,615.201919989,0.0,-0.0577032,19.9141,0.020449,0.989800686948,214.97,9,1700
5.05308,260.8335657119751,257958,611.583066719,0.0,-0.057318,22.1502,0.0240063,0.988682906143,214.82,10,1710
5.0395,262.8874821662903,260007,610.62856115,0.0,-0.0510046,26.9938,0.0189185,0.981892108917,214.55,10,1720
4.96872,264.93645310401917,262046,616.212096372,0.0,-0.0558718,14.1981,0.021574,0.99241280742,216.35,9,1729
4.9359,267.0051484107971,264081,626.217187801,0.0,-0.0588365,20.3199,0.0240237,0.988003470935,218.56,9,1738
4.90733,269.0518596172333,266104,629.260439327,0.0,-0.058226,14.8424,0.0228466,0.988892877474,217.95,9,1747
