TimeElapsed,loss_pol_entpen,EpRewMean,ev_tdlam_before,EpisodesSoFar,EpThisIter,loss_vf_loss,loss_kl,EpLenMean,loss_pol_surr,TimestepsSoFar,loss_ent
119.59222555160522,0.0,974.92,0.0091250538826,892,3,92.1732,0.0045795,974.92,-0.00525029,151513,0.885887
121.20230603218079,0.0,974.92,-0.0196665525436,894,2,67.585,0.00563794,974.92,-0.00432509,153513,0.872252
122.82761907577515,0.0,974.92,-0.000954270362854,896,2,67.2367,0.0042749,974.92,-0.00347065,155513,0.872184
124.43608260154724,0.0,974.92,-0.000850677490234,898,2,66.0211,0.00299893,974.92,-0.00261919,157513,0.889973
126.05294966697693,0.0,974.92,-0.0143036842346,900,2,67.9513,0.00945302,974.92,-0.00480319,159513,0.893665
127.67098546028137,0.0,974.92,-0.0230408906937,902,2,65.7387,0.00938347,974.92,-0.00947171,161513,0.903126
129.2808644771576,0.0,974.92,-0.000726819038391,904,2,67.756,0.00827575,974.92,-0.00326717,163513,0.917753
130.8901596069336,0.0,974.92,-0.00112175941467,906,2,67.7,0.0079723,974.92,-0.00458861,165513,0.91832
132.49985647201538,0.0,976.99,0.0525556206703,909,3,69.293,0.011777,976.99,-0.00603681,167832,0.93228
134.11350846290588,0.0,976.97,0.42218965292,911,2,36.451,0.0149507,976.97,-0.00658645,169557,0.949978
135.71750259399414,0.0,976.97,0.0013399720192,913,2,68.7464,0.0033902,976.97,-0.00899081,171557,0.928627
137.34306406974792,0.0,980.72,-0.00766909122467,915,2,69.0836,0.00897232,980.72,-0.00655419,173557,0.915106
138.93772888183594,0.0,980.72,-0.000787615776062,917,2,69.0657,0.00722601,980.72,-0.00554679,175557,0.913473
140.56151723861694,0.0,980.72,-0.003262758255,919,2,68.8626,0.0069391,980.72,-0.00393102,177557,0.92165
142.17089557647705,0.0,985.3,-0.000143051147461,921,2,68.5371,0.00489788,985.3,-0.00605877,179557,0.921022
143.79566884040833,0.0,985.3,-0.000717282295227,923,2,68.7188,0.00726303,985.3,-0.00390799,181557,0.926268
145.4063596725464,0.0,990.44,0.0184393525124,925,2,60.8716,0.00616739,990.44,-0.00858776,183557,0.919725
147.01464748382568,0.0,990.44,-0.00532341003418,927,2,68.8844,0.00271661,990.44,-0.00304288,185557,0.912556
148.63937044143677,0.0,990.44,-0.00382125377655,929,2,68.6924,0.0116728,990.44,-0.0069122,187557,0.927574
150.23427748680115,0.0,981.43,0.303678512573,932,3,63.7815,0.00719472,981.43,-0.00805472,189656,0.930557
151.84341740608215,0.0,981.43,0.053345143795,934,2,67.5207,0.00775419,981.43,-0.00732555,191656,0.916475
153.45178389549255,0.0,981.43,0.070031940937,936,2,58.08,0.0113274,981.43,-0.00744056,193656,0.918825
155.076922416687,0.0,981.43,-0.00860679149628,938,2,70.2013,0.00253677,981.43,-0.00308604,195656,0.929632
156.68597555160522,0.0,981.43,0.0318673253059,941,3,82.2683,0.00676485,981.43,-0.00965236,198656,0.940703
158.36350560188293,0.0,981.43,-0.0602585077286,943,2,70.8907,0.0161598,981.43,-0.00553457,200656,0.946494
159.98376941680908,0.0,981.43,-0.00990235805511,945,2,69.2828,0.0118459,981.43,-0.00705426,202656,0.934656
161.6086597442627,0.0,981.43,-0.00620639324188,947,2,69.0323,0.00427068,981.43,-0.00498782,204656,0.915669
163.2186405658722,0.0,981.43,-0.00221836566925,949,2,68.8215,0.00634894,981.43,-0.00412618,206656,0.933605
164.82681131362915,0.0,981.43,0.00202465057373,951,2,68.1967,0.00497915,981.43,-0.00626322,208656,0.914155
166.43768405914307,0.0,981.43,-0.00275218486786,953,2,68.7897,0.00515298,981.43,-0.00453911,210656,0.908864
168.04603552818298,0.0,981.43,0.0145873427391,955,2,58.811,0.00525188,981.43,-0.00517852,212656,0.889812
169.6718258857727,0.0,981.43,-0.0651798248291,957,2,69.8808,0.00801447,981.43,-0.00847201,214656,0.889934
171.2644979953766,0.0,981.43,0.00449007749557,959,2,62.8813,0.00631943,981.43,-0.00682239,216656,0.890009
172.8894853591919,0.0,981.43,-0.0392829179764,961,2,68.1919,0.00614965,981.43,-0.00384907,218656,0.885885
174.49847316741943,0.0,981.43,0.00900858640671,963,2,64.8587,0.00556644,981.43,-0.00417221,220656,0.88708
176.1078805923462,0.0,981.43,-0.0338095426559,965,2,68.7124,0.00584637,981.43,-0.00350495,222656,0.893311
177.71919918060303,0.0,981.43,-0.00388753414154,967,2,68.761,0.00580859,981.43,-0.00426794,224656,0.88717
179.34293699264526,0.0,981.43,-0.00123834609985,969,2,68.5902,0.00962013,981.43,-0.00432039,226656,0.878792
180.95197463035583,0.0,981.43,0.00313717126846,971,2,68.2419,0.0118396,981.43,-0.00765516,228656,0.861656
182.5774745941162,0.0,981.43,-0.00373756885529,973,2,68.6584,0.00352421,981.43,-0.00258816,230656,0.852732
184.1711766719818,0.0,981.43,-0.00925064086914,975,2,68.4322,0.00803688,981.43,-0.00300605,232656,0.852563
185.79639148712158,0.0,981.43,-0.00568330287933,977,2,66.2628,0.0101318,981.43,-0.00599333,234656,0.836029
187.3974688053131,0.0,981.25,0.948132842779,979,2,5.85773,0.0137624,981.25,-0.0123259,236638,0.858849
188.9995481967926,0.0,981.25,-0.00769853591919,981,2,67.4734,0.00865123,981.25,-0.00867229,238638,0.854856
190.62387037277222,0.0,981.25,-0.0134665966034,984,3,101.165,0.00430478,981.25,-0.00360602,241638,0.848192
192.21752285957336,0.0,981.25,-0.00492084026337,986,2,68.9381,0.00572667,981.25,-0.00557398,243638,0.863785
193.84247946739197,0.0,981.25,-0.00641560554504,988,2,68.5456,0.00609473,981.25,-0.0062821,245638,0.855076
195.45249462127686,0.0,981.25,0.00258296728134,990,2,66.2142,0.00538527,981.25,-0.0051686,247638,0.840524
197.0615804195404,0.0,981.25,-0.00505173206329,992,2,68.2859,0.00725722,981.25,-0.00441464,249638,0.830131
