EpThisIter,TimeElapsed,loss_kl,loss_pol_entpen,loss_vf_loss,TimestepsSoFar,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,ev_tdlam_before,EpRewMean
44,55.43799543380737,0.00698582,0.0,3389.27,63474,-0.00951732,3849,0.275803,47.14,0.702145695686,436.495093843
44,57.20726943016052,0.0053325,0.0,2852.04,65528,-0.01082,3893,0.261284,47.3,0.730269730091,437.97345724
43,58.96884822845459,0.0117802,0.0,3118.31,67546,-0.014339,3936,0.253704,46.96,0.709055155516,434.843582559
39,60.73446798324585,0.00935469,0.0,3367.36,69572,-0.00748476,3975,0.245873,48.74,0.712637126446,451.404261291
43,62.48446226119995,0.00794926,0.0,3321.58,71648,-0.00939276,4018,0.22591,49.35,0.72719296813,457.104429333
32,64.25008177757263,0.0121773,0.0,5200.18,73715,-0.00779167,4050,0.19654,55.64,0.670958817005,515.595553051
35,66.00007796287537,0.0179749,0.0,4202.28,75769,-0.00646421,4085,0.169855,56.24,0.700724542141,521.266537393
35,67.76569747924805,0.0119353,0.0,3506.03,77801,-0.00652761,4120,0.148127,60.23,0.747861355543,558.443322275
29,69.51569128036499,0.00638841,0.0,4842.59,79683,-0.00857025,4149,0.126624,60.85,0.682995319366,564.429356045
25,71.26568627357483,0.00750449,0.0,5056.5,81781,-0.0123196,4174,0.0961559,64.88,0.691622972488,601.949887902
29,73.01592302322388,0.00612666,0.0,4694.39,83881,-0.00906303,4203,0.086174,70.63,0.70763194561,655.630398415
28,74.78162336349487,0.0138785,0.0,4557.86,85976,-0.0113183,4231,0.0633956,74.3,0.736872255802,689.822822409
27,76.51590418815613,0.0123144,0.0,4636.45,88043,-0.00401368,4258,0.0471251,72.71,0.747745215893,674.996641303
25,78.28247666358948,0.0170564,0.0,4637.24,90109,-0.0143732,4283,0.0279199,77.51,0.747667253017,719.682661013
18,80.03147029876709,0.00926557,0.0,5657.55,92087,-0.0164286,4301,0.00611138,83.08,0.729947417974,771.558149528
18,81.80128192901611,0.00744605,0.0,6128.18,94172,-0.0106805,4319,-0.019887,92.25,0.697166800499,856.823753962
13,83.54708790779114,0.0216034,0.0,6520.07,96111,0.00169195,4332,-0.0412012,100.8,0.675915926695,936.42316529
8,85.29840803146362,0.010122,0.0,7050.48,98101,-0.00688936,4340,-0.0345627,113.68,0.689831167459,1056.33859239
18,87.03151321411133,0.00910619,0.0,6143.09,100300,-0.0131724,4358,-0.0385814,122.57,0.652940869331,1139.06186658
13,88.78978753089905,0.0137623,0.0,6545.07,102363,-0.00304632,4371,-0.0494436,133.32,0.671890079975,1239.09429872
16,90.52920055389404,0.00788112,0.0,5720.85,104335,-0.0133298,4387,-0.0534319,138.39,0.711810350418,1286.22294701
