TimestepsSoFar,ev_tdlam_before,loss_kl,EpRewMean,TimeElapsed,EpLenMean,EpisodesSoFar,loss_vf_loss,loss_pol_surr,loss_ent,loss_pol_entpen,EpThisIter
339783,-0.000974655151367,0.0161547,7614.8139646,291.9202342033386,817.99,5018,5819.48,-0.00920084,-0.37969,0.0,2
341618,0.445858538151,0.0132243,7506.4721337,293.6702289581299,806.34,5021,3576.46,-0.0143351,-0.382042,0.0,3
343690,0.482678055763,0.0138402,7530.6289296,295.4138352870941,808.92,5024,5372.13,-0.0139761,-0.362683,0.0,3
345851,0.454842329025,0.0128011,7573.49002466,297.1704635620117,813.52,5027,6684.35,-0.0139299,-0.374914,0.0,3
347851,-0.0957858562469,0.0199484,7650.24006178,298.9204578399658,821.75,5029,5842.52,-0.00700782,-0.390733,0.0,2
349839,0.392284929752,0.00941566,7653.58677177,300.6720736026764,822.09,5031,4079.28,-0.00895584,-0.400928,0.0,2
351839,-0.0344631671906,0.0139069,7715.39138733,302.4211857318878,828.71,5033,5859.13,-0.00238838,-0.403413,0.0,2
353740,0.252560913563,0.0168839,7706.28682095,304.19494128227234,827.72,5035,4968.75,-0.0105489,-0.414426,0.0,2
355740,-0.0992518663406,0.016171,7783.84454575,305.92047452926636,836.04,5037,5914.22,-0.0126555,-0.416168,0.0,2
357740,-0.00663626194,0.0210031,7855.16979529,307.6704683303833,843.69,5039,5875.98,-0.0115282,-0.413141,0.0,2
360160,0.360449314117,0.0172357,7841.54577607,309.42077589035034,842.21,5042,6534.17,-0.014727,-0.422691,0.0,3
362160,-0.0324927568436,0.0134335,7871.21427173,311.17931485176086,845.37,5044,5899.19,-0.0113952,-0.40369,0.0,2
364181,0.46223628521,0.0158208,7808.51176448,312.9145224094391,838.62,5047,5449.33,-0.0169944,-0.417778,0.0,3
366224,0.494300365448,0.0179413,7797.41481726,314.6643524169922,837.41,5050,5442.29,-0.0119914,-0.417931,0.0,3
368224,-0.0115414857864,0.0259001,7797.54502502,316.41273283958435,837.41,5052,5843.63,-0.0121747,-0.410501,0.0,2
370611,0.18942630291,0.0225741,7740.72684559,318.17102313041687,831.28,5055,8158.99,-0.0111679,-0.42182,0.0,3
372418,0.508711695671,0.0165257,7796.10923889,319.92080450057983,837.21,5057,3321.19,-0.0147726,-0.427221,0.0,2
374417,0.631902188063,0.00740002,7703.0385436,321.67078495025635,827.2,5060,5227.99,-0.0140457,-0.448543,0.0,3
376417,-0.0141642093658,0.0394882,7703.24616464,323.42118096351624,827.2,5062,5953.58,-0.00199567,-0.451904,0.0,2
378417,-0.0161675214767,0.0125209,7787.33731902,325.163654088974,836.21,5064,5887.44,-0.00524802,-0.444577,0.0,2
380417,-0.0294642448425,0.0217246,7848.36632967,326.89792013168335,842.75,5066,5867.34,-0.00881015,-0.430079,0.0,2
382660,0.73050275445,0.0171535,7588.22911737,328.64676427841187,814.81,5072,5622.52,-0.00747856,-0.429506,0.0,6
384660,-0.0157903432846,0.0157875,7588.33227685,330.3965537548065,814.81,5074,5854.69,-0.0103225,-0.437474,0.0,2
386660,-0.0551909208298,0.00944034,7648.67751561,332.13460540771484,821.28,5076,5889.42,-0.00809293,-0.443355,0.0,2
388590,0.737591743469,0.0179947,7694.21952323,333.87374544143677,826.17,5078,1880.08,-0.012813,-0.453863,0.0,2
390590,-0.121515750885,0.0306437,7714.37725904,335.62374210357666,828.32,5080,6056.87,-0.00611484,-0.460944,0.0,2
392590,0.00342208147049,0.0141295,7714.47523124,337.35811138153076,828.32,5082,5855.68,-0.0103111,-0.465272,0.0,2
394580,0.458285331726,0.0276198,7713.66262539,339.1119222640991,828.22,5084,3166.6,-0.0122646,-0.454499,0.0,2
397255,0.304711401463,0.01297,7803.22979519,340.850665807724,837.82,5087,6395.2,-0.00862662,-0.432928,0.0,3
398879,0.321361243725,0.00973963,7841.88776275,342.6015567779541,841.96,5089,4521.51,-0.0131764,-0.429419,0.0,2
400692,0.566200137138,0.0284212,7824.55325181,344.34378814697266,840.09,5091,3504.77,-0.00666745,-0.426562,0.0,2
402692,-0.15388417244,0.0137726,7824.69612882,346.0926146507263,840.09,5093,6140.27,-0.00543503,-0.451368,0.0,2
404692,-0.00550508499146,0.0156459,7871.42173211,347.8348731994629,845.09,5095,5893.94,-0.0114178,-0.449002,0.0,2
406692,-0.0200040340424,0.0295816,7937.78691082,349.5849940776825,852.2,5097,5948.31,-0.0130999,-0.460999,0.0,2
408756,0.222531378269,0.0303061,7969.10791808,351.34363079071045,855.54,5100,7091.09,-0.00290218,-0.477299,0.0,3
410756,-0.050791144371,0.0102275,8024.40300678,353.07923793792725,861.46,5102,5666.3,-0.00824265,-0.488499,0.0,2
412756,-0.0289033651352,0.0215794,8024.59766708,354.8304805755615,861.46,5104,5934.27,-0.00777585,-0.494499,0.0,2
414756,-0.0135420560837,0.0135478,8050.92831708,356.5765459537506,864.27,5106,5914.14,-0.0107124,-0.496583,0.0,2
417756,-0.00753629207611,0.0146479,8102.0458482,358.32653975486755,869.73,5109,8152.25,-0.0050731,-0.491643,0.0,3
419756,-0.00161194801331,0.0241296,8102.26291346,360.06091022491455,869.73,5111,5904.29,-0.012145,-0.489394,0.0,2
421756,-0.0037933588028,0.0184578,8102.4897746,361.81090450286865,869.73,5113,5903.91,-0.0112387,-0.496468,0.0,2
423756,-0.011380314827,0.0229674,8102.67355979,363.5608985424042,869.73,5115,5908.98,-0.00522146,-0.494311,0.0,2
425756,-0.0039746761322,0.0221136,8102.74108067,365.31089425086975,869.73,5117,5902.06,-0.0124151,-0.505241,0.0,2
427684,0.4598107934,0.0106717,8057.0485088,367.0608892440796,864.82,5120,4148.02,-0.0154389,-0.497083,0.0,3
429883,0.345961868763,0.015624,8042.71428414,368.81088304519653,863.27,5123,6788.56,-0.00991117,-0.511199,0.0,3
431883,-0.0315601825714,0.0236099,8129.44474418,370.5456564426422,872.57,5125,5915.72,-0.00664009,-0.518463,0.0,2
433284,0.574968129396,0.0233774,8052.67667473,372.31109833717346,864.33,5128,4453.25,-0.012191,-0.519559,0.0,3
435610,0.496762275696,0.0183312,7897.78965176,374.0454680919647,847.71,5132,6583.36,-0.016518,-0.510469,0.0,4
438021,0.586608469486,0.0152107,7852.11941249,375.8031017780304,842.81,5135,5299.89,-0.0151856,-0.516662,0.0,3
439786,0.553665369749,0.0141794,7830.23627483,377.55455207824707,840.46,5137,3731.39,-0.0180659,-0.532357,0.0,2
441786,-0.0428766012192,0.012213,7830.28758947,379.295583486557,840.46,5139,5930.39,-0.00804137,-0.518583,0.0,2
443786,-0.0293934345245,0.0226188,7831.96802626,381.0455777645111,840.64,5141,5865.98,-0.0073312,-0.498199,0.0,2
445708,0.520864695311,0.021377,7877.05200449,382.7955729961395,845.48,5143,3607.72,-0.0120269,-0.481107,0.0,2
447708,-0.114676356316,0.0158934,7877.04278786,384.52994203567505,845.48,5145,6059.5,-0.00582744,-0.488371,0.0,2
450540,0.200704991817,0.018039,7959.91692571,386.27401304244995,854.39,5148,7251.26,-0.0135834,-0.488542,0.0,3
452571,0.344073832035,0.0129418,7951.2999817,388.0297517776489,853.47,5151,5789.47,-0.01511,-0.477666,0.0,3
