ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_ent,loss_vf_loss,EpThisIter,EpRewMean,EpisodesSoFar,TimestepsSoFar,loss_pol_entpen,loss_kl,EpLenMean
0.979707535356,-0.0501607,161.55536580085754,6.60623,30.3666,11,430.654985341,1103,157661,0.0,0.016531,189.73
0.983757501468,-0.0448995,163.64076209068298,6.58218,22.9919,10,438.3653663,1113,159631,0.0,0.0134554,190.55
0.983156366274,-0.0409468,165.7183940410614,6.55299,20.6076,11,448.766983988,1124,161752,0.0,0.0182175,192.98
0.987936998717,-0.0478514,167.81295728683472,6.57343,18.3984,10,461.23658925,1134,163822,0.0,0.0170611,196.89
0.975276349112,-0.0445365,169.89300847053528,6.56358,19.1582,10,467.231726067,1144,165878,0.0,0.0150186,198.36
0.970641912892,-0.0465583,172.00849437713623,6.54808,21.9996,9,474.762476013,1153,167825,0.0,0.0162512,200.98
0.984812295996,-0.0556652,174.0936563014984,6.51693,21.378,10,483.47526805,1163,169912,0.0,0.0172374,202.99
0.974273070693,-0.0445674,176.20287156105042,6.46922,27.2438,10,485.125185892,1173,171935,0.0,0.0181002,202.14
0.980986621231,-0.0551246,178.28084182739258,6.44129,30.5842,10,488.641574623,1183,174065,0.0,0.0222106,203.0
0.98394751735,-0.0458102,180.40657925605774,6.45932,16.4923,8,496.415874055,1191,175953,0.0,0.0129379,206.46
0.983464710414,-0.0442356,182.48641562461853,6.45945,27.621,10,507.177215735,1201,178140,0.0,0.0136454,209.31
0.983269343153,-0.0537745,184.57963013648987,6.45682,20.3935,9,510.747772876,1210,180110,0.0,0.015416,210.56
0.981046203524,-0.054607,186.69140148162842,6.42051,26.3481,9,514.732449594,1219,182040,0.0,0.0172213,212.51
0.97723878175,-0.0535118,188.78912329673767,6.35417,21.5756,9,522.414907298,1228,184093,0.0,0.0195929,215.17
0.976229522377,-0.0447528,190.9332582950592,6.32591,23.5858,10,526.537507124,1238,186185,0.0,0.0149075,215.87
0.976718755439,-0.0450744,193.05016469955444,6.30422,19.9555,9,539.63316153,1247,188367,0.0,0.0202328,218.74
0.985349659808,-0.0443569,195.22636890411377,6.31001,15.4909,9,544.163614231,1256,190333,0.0,0.0161938,219.51
0.992026733235,-0.0480028,197.35937643051147,6.27739,12.1719,9,551.291733578,1265,192377,0.0,0.0164435,220.79
0.981041826308,-0.0486158,199.49968314170837,6.25333,22.1406,10,555.993979367,1275,194523,0.0,0.0129394,221.6
0.98180142045,-0.052554,201.64057970046997,6.19514,27.7716,9,560.849882208,1284,196430,0.0,0.0149154,221.52
0.965740628541,-0.0483705,203.76529359817505,6.17082,30.3889,10,557.558313849,1294,198437,0.0,0.0154983,218.06
0.95552321896,-0.0568731,205.87454795837402,6.18502,53.3087,11,555.335446031,1305,200585,0.0,0.0159159,215.3
0.987502437085,-0.0490206,207.97212481498718,6.1168,21.0011,9,561.70833207,1314,202569,0.0,0.0166391,216.02
0.990361222066,-0.0494701,210.0844566822052,6.08073,19.564,10,565.662625647,1324,204700,0.0,0.0175843,215.23
0.979787329212,-0.0478657,212.16383838653564,6.08316,30.6137,9,569.276317364,1333,206739,0.0,0.0161747,215.43
0.980555538088,-0.0486622,214.26631259918213,6.08022,29.7439,10,568.5959691,1343,208839,0.0,0.0173073,213.94
0.981615150347,-0.0500063,216.34431886672974,6.0251,26.5339,9,569.0872972,1352,210720,0.0,0.0182473,212.79
0.984173776582,-0.0497542,218.43760704994202,6.04387,27.8211,10,565.576329672,1362,212828,0.0,0.0170504,211.02
0.990478449501,-0.0529314,220.517231464386,6.03872,15.5105,10,564.846332723,1372,214889,0.0,0.021044,209.18
0.990628791042,-0.0477518,222.61229872703552,5.9763,14.9767,9,572.011406273,1381,216837,0.0,0.018418,210.26
0.986601120792,-0.0517033,224.7059507369995,5.9709,19.4194,11,573.679428108,1392,219061,0.0,0.0192188,210.04
0.942797899246,-0.0374085,226.788414478302,5.95907,27.8979,10,578.905559672,1402,221159,0.0,0.0149352,211.26
0.975938139483,-0.0550812,228.89717650413513,5.9025,26.5118,9,586.557703953,1411,223164,0.0,0.021971,213.12
0.972244532779,-0.0496108,230.97532868385315,5.85745,37.5113,10,587.232273298,1421,225240,0.0,0.0174706,211.82
0.975611561909,-0.0544768,233.08654356002808,5.84047,22.146,9,588.679877635,1430,227180,0.0,0.0185768,211.13
0.989807012491,-0.0550248,235.1717324256897,5.81253,16.3934,10,594.410943104,1440,229327,0.0,0.0191565,211.35
0.986346415244,-0.0474575,237.26577591896057,5.77204,22.2932,9,600.285936488,1449,231326,0.0,0.0183445,212.72
0.98736103531,-0.0525746,239.3440523147583,5.73396,19.2976,9,603.347740294,1458,233386,0.0,0.0203598,213.1
0.984190320596,-0.0514838,241.42845582962036,5.71983,22.9049,9,612.077358142,1467,235345,0.0,0.0165472,215.22
0.981579039246,-0.0466202,243.5234034061432,5.69654,29.065,9,615.318122636,1476,237335,0.0,0.0290949,215.42
0.986866810359,-0.0514988,245.61733293533325,5.69375,23.9411,10,618.613084453,1486,239544,0.0,0.0223202,216.18
0.984817001969,-0.0519609,247.71005749702454,5.63594,24.6728,9,629.520856993,1495,241499,0.0,0.0193281,218.06
0.982525451109,-0.0431451,249.7893214225769,5.62897,28.3665,9,637.634586776,1504,243575,0.0,0.0230348,219.09
0.98402518034,-0.0486801,251.90042400360107,5.63043,35.4898,8,651.224395623,1512,245622,0.0,0.0224912,222.67
0.982029821724,-0.0535487,253.984050989151,5.57438,35.229,8,668.394342811,1520,247754,0.0,0.0189062,227.32
