loss_pol_surr,loss_kl,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,EpThisIter,loss_ent,TimestepsSoFar,loss_pol_entpen,ev_tdlam_before,TimeElapsed
-0.00411922,0.0071825,925.68,925.68,68.6622,892,2,0.962013,214492,0.0,0.0552141070366,168.65887236595154
-0.00712093,0.00910088,925.68,925.68,68.746,894,2,0.971438,216492,0.0,0.0462492704391,170.25262188911438
-0.00660886,0.00701594,925.68,925.68,68.1509,896,2,0.969444,218492,0.0,0.0525100231171,171.86198735237122
-0.00320774,0.00323822,925.68,925.68,68.4254,898,2,0.962603,220492,0.0,0.0508683919907,173.44010734558105
-0.00544896,0.00716551,925.68,925.68,67.3772,900,2,0.973385,222492,0.0,0.061613202095,175.04947757720947
-0.00469936,0.00853046,925.68,925.68,67.7515,902,2,0.980324,224492,0.0,0.0543971657753,176.64322328567505
-0.00592296,0.00760078,925.68,925.68,56.5387,904,2,0.98176,226492,0.0,0.0927132368088,178.26821851730347
-0.00718379,0.00771541,925.68,925.68,66.7318,906,2,0.988055,228492,0.0,0.114089846611,179.89743947982788
-0.00417025,0.0026635,925.68,925.68,67.0801,908,2,0.98366,230492,0.0,0.0850321650505,181.5024311542511
-0.000726923,0.0267372,930.1,930.1,67.431,910,2,0.977257,232492,0.0,0.080995798111,183.11180233955383
-0.00269604,0.00649349,930.1,930.1,95.0282,913,3,0.96884,235492,0.0,0.080870449543,184.7055470943451
-0.00705302,0.00718448,930.1,930.1,64.9754,915,2,0.958557,237492,0.0,0.162462234497,186.30800914764404
-0.00462244,0.00572875,931.55,931.55,66.011,917,2,0.958153,239492,0.0,0.132486581802,187.91075372695923
-0.00361721,0.00417651,936.83,936.83,66.5785,919,2,0.948149,241492,0.0,0.0950560569763,189.51418161392212
-0.00310051,0.00699429,936.83,936.83,67.2941,921,2,0.94062,243492,0.0,0.0801618099213,191.10041189193726
-0.0068734,0.00595875,936.83,936.83,67.4262,923,2,0.933227,245492,0.0,0.0598549246788,192.70610761642456
-0.00481283,0.00824007,937.59,937.59,67.7011,925,2,0.926547,247492,0.0,0.0650228857994,194.29985332489014
-0.00512181,0.00618428,949.33,949.33,63.3645,927,2,0.925952,249492,0.0,0.0846729278564,195.9248504638672
-0.00438112,0.00655934,958.25,958.25,68.2136,929,2,0.933817,251492,0.0,0.025494992733,197.51859307289124
-0.00804423,0.00850663,971.2,971.2,61.6008,931,2,0.94915,253492,0.0,0.100122630596,199.12796568870544
-0.00554241,0.00885815,971.2,971.2,69.9755,933,2,0.950128,255492,0.0,0.019790828228,200.72170877456665
-0.00259669,0.00206706,971.2,971.2,69.1056,935,2,0.961462,257492,0.0,0.0448723435402,202.31684017181396
-0.00353991,0.00526467,971.2,971.2,68.8716,937,2,0.965567,259492,0.0,0.0393653512001,203.91770100593567
-0.00562342,0.00416772,971.2,971.2,68.7682,939,2,0.971409,261492,0.0,0.0348778963089,205.5221893787384
-0.00651547,0.00679056,971.2,971.2,61.8972,941,2,0.964303,263492,0.0,0.0807948708534,207.1230764389038
-0.00731951,0.00529681,971.2,971.2,66.499,943,2,0.960947,265492,0.0,0.054183781147,208.71791815757751
-0.00944985,0.010524,973.1,973.1,59.6232,945,2,0.975181,267492,0.0,0.114898502827,210.33507132530212
-0.00597712,0.0114173,973.1,973.1,64.6884,947,2,0.980871,269492,0.0,0.11624777317,211.93452191352844
-0.00480664,0.0117153,973.1,973.1,66.8061,949,2,0.987795,271492,0.0,0.11624199152,213.52954077720642
-0.0062578,0.00940947,973.1,973.1,70.6873,951,2,0.988348,273492,0.0,0.077969789505,215.12794852256775
-0.0038527,0.00575023,973.1,973.1,73.3725,953,2,0.985424,275492,0.0,0.0379548072815,216.73732089996338
-0.00571628,0.00863002,979.75,979.75,102.19,956,3,0.982579,278492,0.0,-0.0198796987534,218.3320438861847
-0.00467764,0.0125324,985.86,985.86,70.6626,958,2,1.00228,280492,0.0,0.0362644195557,219.9338972568512
-0.00310831,0.00976089,994.94,994.94,70.9995,960,2,1.02337,282492,0.0,0.0248540639877,221.52795791625977
-0.00405138,0.00625648,994.94,994.94,71.8223,962,2,1.04166,284492,0.0,-0.00321114063263,223.13011360168457
-0.00677784,0.0073745,994.94,994.94,69.4601,964,2,1.03319,286492,0.0,0.0305634140968,224.73987221717834
-0.00450612,0.00736602,994.94,994.94,70.8221,966,2,1.02322,288492,0.0,0.0221893191338,226.33478045463562
-0.0038498,0.00784813,1000.0,1000.0,71.0417,968,2,1.00108,290492,0.0,0.0115259289742,227.95127654075623
-0.00356648,0.00559755,1000.0,1000.0,70.6481,970,2,1.01015,292492,0.0,0.0178180336952,229.53401112556458
-0.00370559,0.00253808,1000.0,1000.0,67.0536,972,2,1.01251,294492,0.0,0.0420286655426,231.14338064193726
-0.00577697,0.0106117,1000.0,1000.0,65.4684,974,2,1.02319,296492,0.0,0.0748012065887,232.73712635040283
-0.00886592,0.0100536,990.2,990.2,81.7134,977,3,1.04412,298512,0.0,-0.0190674066544,234.3464958667755
-0.00565314,0.00965592,990.2,990.2,69.9861,979,2,1.04688,300512,0.0,-0.0118979215622,235.94024205207825
-0.00932964,0.00539625,980.4,980.4,74.0205,982,3,1.04085,302532,0.0,0.0430877804756,237.54961133003235
-0.00757543,0.00793158,980.4,980.4,68.0184,984,2,1.01912,304532,0.0,-0.00479340553284,239.14335775375366
-0.00338577,0.00562586,980.4,980.4,67.308,986,2,1.01438,306532,0.0,0.0347129106522,240.75506019592285
-0.00595494,0.00594232,980.4,980.4,68.6898,988,2,1.01205,308532,0.0,0.0230048298836,242.35260844230652
-0.00500899,0.00377286,980.4,980.4,69.2559,990,2,0.994324,310532,0.0,-0.14732503891,243.95673942565918
-0.00445621,0.00452851,980.4,980.4,67.7919,992,2,1.00584,312532,0.0,0.0157744884491,245.5660364627838
-0.00505189,0.0104065,980.4,980.4,67.4816,994,2,1.00821,314532,0.0,0.0239473581314,247.15226531028748
-0.00810386,0.00999809,980.4,980.4,68.1866,996,2,1.01868,316532,0.0,-0.00539171695709,248.75404977798462
-0.00210107,0.0113971,980.4,980.4,67.9089,998,2,0.984493,318532,0.0,0.00420337915421,250.36350512504578
-0.00633328,0.00794866,980.4,980.4,100.124,1001,3,0.977328,321532,0.0,0.0166030526161,251.99660325050354
-0.00719693,0.00739311,980.4,980.4,67.0383,1003,2,0.957037,323532,0.0,0.0263713598251,253.59079432487488
-0.00425797,0.00528873,980.4,980.4,66.6975,1005,2,0.952279,325532,0.0,0.0219400525093,255.1903259754181
-0.00502457,0.0057891,980.4,980.4,67.2243,1007,2,0.9671,327532,0.0,0.0179730057716,256.7840700149536
-0.00891542,0.00740587,980.4,980.4,63.3934,1009,2,0.942452,329532,0.0,0.0129743218422,258.37781500816345
-0.00684223,0.0130103,980.4,980.4,67.1954,1011,2,0.938057,331532,0.0,-0.0116976499557,259.98718643188477
-0.0066341,0.00599695,980.4,980.4,67.1087,1013,2,0.940685,333532,0.0,0.00115031003952,261.58093070983887
-0.00482888,0.00558315,980.4,980.4,67.5256,1015,2,0.927658,335532,0.0,-0.00344300270081,263.1903009414673
-0.00504879,0.00816094,980.4,980.4,67.6247,1017,2,0.937863,337532,0.0,0.0107741951942,264.78404688835144
-0.0067252,0.00934241,980.4,980.4,66.9157,1019,2,0.959139,339532,0.0,0.0311169028282,266.3934166431427
-0.00516926,0.00611595,980.4,980.4,67.1296,1021,2,0.953043,341532,0.0,0.0499020218849,267.9871623516083
-0.0115902,0.0074534,968.46,968.46,56.1667,1024,3,0.958821,343338,0.0,0.0982605218887,269.58090710639954
-0.00781554,0.00669949,968.46,968.46,65.4069,1026,2,0.964401,345338,0.0,0.103022038937,271.1902766227722
-0.00799857,0.00510648,965.58,965.58,87.4872,1029,3,0.954767,348050,0.0,0.0742016434669,272.78402614593506
-0.00207739,0.0058576,965.58,965.58,52.2716,1031,2,0.952125,350050,0.0,0.199960529804,274.37776803970337
-0.00568163,0.00596371,965.58,965.58,71.3469,1033,2,0.94572,352050,0.0,-0.00610792636871,275.97900915145874
-0.00566113,0.00730264,965.58,965.58,66.6221,1035,2,0.937034,354050,0.0,0.00207263231277,277.5885634422302
-0.0163105,0.00567808,949.83,949.83,61.806,1038,3,0.919342,355475,0.0,0.0831510424614,279.1734850406647
-0.00852907,0.00899816,949.83,949.83,72.16,1040,2,0.935202,357475,0.0,-0.0799705982208,280.8072519302368
-0.0108531,0.00729761,945.65,945.65,81.2128,1043,3,0.929543,360057,0.0,0.138379871845,282.4157328605652
-0.00655639,0.00656328,945.65,945.65,59.7547,1045,2,0.903931,362057,0.0,-0.0223836898804,284.0196249485016
-0.00419438,0.00917573,945.65,945.65,67.0813,1047,2,0.896887,364057,0.0,0.0402433276176,285.6212303638458
